published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-07-29,450.0,492.0,450.0,492.0,9.8,80.0,38160.0,1
2020-07-30,501.0,541.0,501.0,541.0,9.96,90.0,47690.0,1
2020-08-02,551.0,595.0,551.0,595.0,9.98,230.0,135750.0,1
2020-08-03,606.0,654.0,606.0,654.0,9.92,776.0,506304.0,1
2020-08-05,667.0,719.0,667.0,719.0,9.94,4522.0,3249940.0,1
2020-08-06,754.0,790.0,715.0,719.0,0.0,31854.0,23756166.0,0
2020-08-09,754.0,754.0,669.0,692.0,-3.76,9707.0,6707094.0,-1
2020-08-10,687.0,761.0,685.0,746.0,7.8,11652.0,8181347.0,1
2020-08-11,732.0,746.0,690.0,718.0,-3.75,5870.0,4222646.0,-1
2020-08-12,705.0,729.0,700.0,705.0,-1.81,3541.0,2494608.0,-1
2020-08-13,692.0,751.0,692.0,720.0,2.13,7146.0,5061042.0,1
2020-08-16,706.0,710.0,680.0,695.0,-3.47,5753.0,4001208.0,-1
2020-08-17,708.0,732.0,683.0,718.0,3.31,4011.0,2806811.0,1
2020-08-18,704.0,710.0,696.0,710.0,-1.11,2177.0,1530939.0,-1
2020-08-19,697.0,697.0,687.0,690.0,-2.82,4465.0,3082906.0,-1
2020-08-20,703.0,703.0,680.0,694.0,0.58,2401.0,1657160.0,1
2020-08-23,694.0,714.0,681.0,714.0,2.88,4104.0,2843482.0,1
2020-08-24,708.0,722.0,701.0,719.0,0.7,5291.0,3774339.0,1
2020-08-25,720.0,745.0,705.0,717.0,-0.28,3897.0,2799365.0,-1
2020-08-26,705.0,722.0,705.0,714.0,-0.42,4609.0,3297896.0,-1
2020-08-27,710.0,719.0,702.0,709.0,-0.7,2704.0,1915336.0,-1
2020-08-30,681.0,709.0,681.0,703.0,-0.85,1698.0,1190258.0,-1
2020-08-31,705.0,711.0,700.0,704.0,0.14,5805.0,4086704.0,1
2020-09-02,712.0,724.0,701.0,706.0,0.28,4545.0,3211778.0,1
2020-09-03,697.0,705.0,695.0,704.0,-0.28,4522.0,3163142.0,-1
2020-09-06,739.0,739.0,697.0,702.0,-0.28,5536.0,3896396.0,-1
2020-09-07,700.0,709.0,691.0,709.0,1.0,4312.0,3016563.0,1
2020-09-08,710.0,717.0,701.0,709.0,0.0,5292.0,3760529.0,0
2020-09-09,723.0,779.0,713.0,775.0,9.31,24756.0,18558987.0,1
2020-09-10,813.0,813.0,761.0,782.0,0.9,11276.0,8907826.0,1
2020-09-13,782.0,782.0,753.0,773.0,-1.15,12187.0,9351494.0,-1
2020-09-14,760.0,770.0,737.0,760.0,-1.68,12613.0,9508884.0,-1
2020-09-15,750.0,765.0,735.0,748.0,-1.58,5209.0,3897291.0,-1
2020-09-16,762.0,777.0,735.0,745.0,-0.4,5457.0,4046115.0,-1
2020-09-17,745.0,770.0,740.0,754.0,1.21,8523.0,6464973.0,1
2020-09-20,769.0,770.0,740.0,741.0,-1.72,3455.0,2579475.0,-1
2020-09-21,741.0,745.0,736.0,741.0,0.0,2758.0,2040710.0,0
2020-09-22,741.0,741.0,725.0,734.0,-0.94,5813.0,4268098.0,-1
2020-09-23,721.0,747.0,721.0,740.0,0.82,2153.0,1575196.0,1
2020-09-24,728.0,740.0,728.0,738.0,-0.27,3241.0,2373095.0,-1
2021-01-10,752.0,811.0,752.0,811.0,9.89,635.0,513385.0,1
