published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-03-23,298.8,328.6,298.8,328.6,9.97,3220.0,1055530.8,1
2023-03-26,335.0,361.4,335.0,361.4,9.98,980.0,353522.0,1
2023-03-27,368.6,397.5,368.6,397.5,9.99,6410.0,2547264.0,1
2023-03-28,405.4,437.2,405.4,437.2,9.99,5420.0,2368772.0,1
2023-03-29,445.9,480.9,445.0,448.0,2.47,52292.0,23775403.1,1
2023-03-30,440.1,450.0,430.4,437.6,-2.32,23220.0,10186483.0,-1
2023-04-02,435.0,440.0,404.0,419.1,-4.23,19656.0,8296047.0,-1
2023-04-03,411.0,412.0,390.2,398.0,-5.03,16906.0,6727166.8,-1
2023-04-04,399.0,407.9,388.0,393.6,-1.11,5547.0,2197591.3,-1
2023-04-05,390.0,408.9,388.2,408.9,3.89,7492.0,2996571.0,1
2023-04-06,403.0,411.0,401.0,407.0,-0.46,5440.0,2205475.5,-1
2023-04-09,400.1,402.0,390.1,392.0,-3.69,5680.0,2242547.0,-1
2023-04-10,385.1,406.0,382.7,398.9,1.76,5370.0,2089464.1,1
2023-04-11,391.0,399.0,390.0,398.0,-0.23,3836.0,1513311.0,-1
2023-04-12,405.0,417.9,391.1,417.9,5.0,6880.0,2818297.2,1
2023-04-13,415.0,434.0,402.2,434.0,3.85,7351.0,3023348.5,1
2023-04-16,425.4,430.0,400.0,400.0,-7.83,19740.0,8082087.0,-1
2023-04-17,398.0,400.0,392.3,400.0,0.0,3120.0,1234922.0,0
2023-04-18,392.0,398.0,386.0,396.5,-0.88,2600.0,1024715.0,-1
2023-04-19,395.0,399.8,392.0,397.0,0.13,1840.0,728255.0,1
2023-04-20,404.9,404.9,385.0,394.0,-0.76,6555.0,2555631.0,-1
2023-04-23,386.2,390.0,375.1,376.0,-4.57,4040.0,1536140.3,-1
2023-04-24,370.0,380.0,367.1,378.0,0.53,3151.0,1176905.8,1
2023-04-25,370.6,382.0,360.9,379.0,0.26,7262.0,2696263.6,1
2023-04-26,383.0,385.0,371.5,376.0,-0.79,3490.0,1305532.0,-1
2023-04-27,380.0,380.0,365.2,374.0,-0.53,6634.0,2439882.0,-1
2023-04-30,366.8,375.0,352.0,359.0,-4.01,10243.0,3694226.0,-1
2023-05-02,366.0,369.0,347.1,369.0,2.79,3222.0,1135850.2,1
2023-05-03,369.0,369.0,348.0,358.0,-2.98,3370.0,1201804.0,-1
2023-05-04,351.1,361.0,346.0,358.0,0.0,1720.0,604667.0,0
2023-05-07,350.9,350.9,341.0,347.8,-2.85,1800.0,620222.0,-1
2023-05-08,341.0,343.3,330.1,337.0,-3.11,1890.0,634057.0,-1
2023-05-09,335.0,349.0,330.1,343.0,1.78,2590.0,884419.0,1
2023-05-10,340.5,351.9,335.1,351.9,2.59,1122.0,385158.0,1
2023-05-11,354.0,354.0,335.6,335.6,-4.63,1992.0,677154.0,-1
2023-05-14,335.6,342.3,330.3,334.0,-0.48,1902.0,635775.0,-1
2023-05-15,327.4,337.0,323.0,328.0,-1.8,1090.0,358092.0,-1
2023-05-16,325.0,335.0,323.0,330.1,0.64,3350.0,1101873.0,1
2023-05-17,325.0,336.0,325.0,335.9,1.76,1570.0,523170.0,1
2023-05-18,330.4,351.0,330.4,350.0,4.2,7120.0,2459646.0,1
2023-05-21,350.0,364.0,338.0,345.0,-1.43,6066.0,2084798.6,-1
2023-05-22,351.0,351.9,332.2,343.5,-0.43,2604.0,888462.0,-1
2023-05-23,340.0,365.0,340.0,365.0,6.26,20052.0,7087406.2,1
2023-05-24,365.0,371.9,359.0,368.4,0.93,5575.0,2041772.0,1
2023-05-28,361.6,377.4,353.0,377.4,2.44,15729.0,5716649.5,1
2023-05-30,369.9,369.9,348.7,362.9,-3.84,13364.0,4735298.3,-1
2023-05-31,356.0,356.0,327.5,327.5,-9.75,13708.0,4672128.3,-1
2023-06-01,327.5,350.0,323.6,344.1,5.07,5851.0,1971283.5,1
2023-06-04,344.0,362.0,338.1,361.9,5.17,5460.0,1928995.0,1
2023-06-05,367.0,367.0,338.0,349.9,-3.32,10704.0,3738716.7,-1
2023-06-06,343.0,351.8,337.0,346.8,-0.89,16854.0,5773063.9,-1
2023-06-07,350.0,357.0,338.0,346.0,-0.23,8067.0,2786656.7,-1
2023-06-08,352.9,354.0,339.0,346.0,0.0,6162.0,2140912.0,0
2023-06-11,341.5,360.7,341.5,357.3,3.27,18836.0,6682482.6,1
2023-06-12,357.2,363.0,351.2,353.0,-1.2,6223.0,2207327.0,-1
2023-06-13,350.0,367.0,348.1,360.0,1.98,8622.0,3124515.5,1
2023-06-14,360.0,379.0,358.0,366.0,1.67,14791.0,5443973.6,1
2023-06-15,358.7,366.0,355.1,355.2,-2.95,6210.0,2231552.6,-1
2023-06-18,355.2,379.0,355.2,376.6,6.02,12019.0,4468333.3,1
2023-06-19,376.0,406.0,370.0,397.0,5.42,16499.0,6468637.0,1
2023-06-20,397.0,404.8,381.0,381.0,-4.03,7767.0,3057593.2,-1
2023-06-21,381.0,382.0,360.5,362.6,-4.83,13984.0,5162053.5,-1
2023-06-22,369.7,375.3,356.1,356.4,-1.71,4980.0,1813100.0,-1
2023-06-25,350.1,374.3,349.2,374.3,5.02,7695.0,2768566.2,1
2023-06-26,371.0,376.0,364.8,365.1,-2.46,5145.0,1892734.2,-1
2023-06-27,358.0,372.0,358.0,372.0,1.89,5422.0,1970460.4,1
