published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-07-02,421.00,420.00,405.00,410.00,0.00,3952.00,1623186.00,0
2017-07-03,410.00,418.00,405.00,406.00,0.00,5055.00,2064916.00,0
2017-07-04,406.00,412.00,400.00,409.00,0.00,1815.00,739723.00,0
2017-07-05,409.00,417.00,405.00,417.00,0.00,3711.00,1510056.00,0
2017-07-06,417.00,425.00,409.00,425.00,0.00,1898.00,789357.00,0
2017-07-09,425.00,430.00,408.00,425.00,0.00,5553.00,2328785.00,0
2017-07-10,425.00,425.00,401.00,415.00,0.00,32236.00,13363029.00,0
2017-07-11,415.00,417.00,408.00,417.00,0.00,4924.00,2026748.00,0
2017-07-12,417.00,414.00,410.00,410.00,0.00,3492.00,1436443.00,0
2017-07-13,410.00,413.00,405.00,409.00,0.00,2146.00,877888.00,0
2017-07-16,409.00,415.00,401.00,415.00,0.00,5459.00,2208990.00,0
2017-07-17,415.00,416.00,407.00,412.00,0.00,7175.00,2944449.00,0
2017-07-18,412.00,441.00,405.00,434.00,0.00,9889.00,4189454.00,0
2017-07-19,434.00,435.00,417.00,417.00,0.00,10705.00,4508979.00,0
2017-07-20,417.00,422.00,415.00,417.00,0.00,5106.00,2133496.00,0
2017-07-23,417.00,425.00,411.00,416.00,0.00,5856.00,2430825.00,0
2017-07-24,416.00,423.00,411.00,412.00,0.00,9148.00,3787907.00,0
2017-07-25,412.00,423.00,404.00,411.00,0.00,3866.00,1598305.00,0
2017-07-26,411.00,416.00,410.00,415.00,0.00,6045.00,2497707.00,0
2017-07-27,415.00,414.00,409.00,412.00,0.00,3964.00,1628987.00,0
2017-07-30,412.00,418.00,407.00,407.00,0.00,11606.00,4751125.00,0
2017-07-31,407.00,423.00,400.00,418.00,0.00,8062.00,3311181.00,0
2017-08-01,418.00,420.00,404.00,420.00,0.00,6928.00,2825951.00,0
2017-08-02,420.00,416.00,408.00,411.00,0.00,4182.00,1717301.00,0
2017-08-03,411.00,418.00,404.00,410.00,0.00,3902.00,1598879.00,0
2017-08-06,410.00,411.00,402.00,407.00,0.00,3548.00,1447024.00,0
2017-08-07,407.00,410.00,405.00,406.00,0.00,3067.00,1247544.00,0
2017-08-09,406.00,405.00,397.00,400.00,0.00,11476.00,4595925.00,0
2017-08-10,400.00,400.00,392.00,393.00,0.00,8529.00,3360936.00,0
2017-08-13,393.00,400.00,376.00,381.00,0.00,5335.00,2032823.00,0
2017-08-15,381.00,387.00,367.00,367.00,0.00,5051.00,1879853.00,0
2017-08-16,367.00,387.00,370.00,375.00,0.00,5715.00,2157848.00,0
