published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-03-11,300.0,306.0,300.0,306.0,0.0,20.0,6060.0,0
2019-03-12,321.0,321.0,321.0,321.0,4.9,10.0,3210.0,1
2019-03-13,337.0,349.0,337.0,349.0,8.72,30.0,10290.0,1
2019-03-14,366.0,366.0,366.0,366.0,4.87,10.0,3660.0,1
2019-03-17,384.0,402.0,384.0,402.0,9.84,50.0,19770.0,1
2019-03-18,422.0,422.0,422.0,422.0,4.98,10.0,4220.0,1
2019-03-19,443.0,464.0,443.0,464.0,9.95,40.0,18180.0,1
2019-03-21,487.0,510.0,487.0,510.0,9.91,500.0,254580.0,1
2019-03-24,535.0,555.0,486.0,492.0,-3.53,31231.0,15575910.0,-1
2019-03-25,492.0,496.0,484.0,490.0,-0.41,10094.0,4951070.0,-1
2019-03-26,490.0,490.0,481.0,489.0,-0.2,5200.0,2532055.0,-1
2019-03-27,482.0,494.0,480.0,489.0,0.0,5701.0,2753324.0,0
2019-03-28,498.0,498.0,481.0,485.0,-0.82,3750.0,1818970.0,-1
2019-03-31,489.0,498.0,480.0,483.0,-0.41,4030.0,1957030.0,-1
2019-04-01,481.0,484.0,476.0,479.0,-0.83,3680.0,1766180.0,-1
2019-04-02,478.0,483.0,477.0,477.0,-0.42,4050.0,1941180.0,-1
2019-04-03,475.0,481.0,473.0,480.0,0.63,3700.0,1768840.0,1
2019-04-04,479.0,480.0,474.0,477.0,-0.63,1730.0,824910.0,-1
2019-04-07,472.0,473.0,463.0,466.0,-2.31,3250.0,1523160.0,-1
2019-04-08,466.0,490.0,459.0,482.0,3.43,3120.0,1499460.0,1
2019-04-09,487.0,487.0,474.0,474.0,-1.66,2260.0,1085010.0,-1
2019-04-10,473.0,477.0,465.0,468.0,-1.27,2020.0,947460.0,-1
2019-04-11,459.0,473.0,459.0,471.0,0.64,2100.0,980490.0,1
2019-04-15,462.0,473.0,462.0,466.0,-1.06,1710.0,799460.0,-1
2019-04-16,463.0,480.0,463.0,469.0,0.64,990.0,468310.0,1
2019-04-17,470.0,487.0,469.0,471.0,0.43,2230.0,1055330.0,1
2019-04-18,475.0,479.0,464.0,464.0,-1.49,1670.0,784170.0,-1
2019-04-21,464.0,479.0,464.0,474.0,2.16,1430.0,673920.0,1
2019-04-22,465.0,475.0,465.0,470.0,-0.84,1350.0,636820.0,-1
2019-04-23,465.0,466.0,457.0,466.0,-0.85,2434.0,1131004.0,-1
2019-04-24,460.0,468.0,452.0,468.0,0.43,1655.0,762300.0,1
2019-04-25,474.0,474.0,462.0,462.0,-1.28,1980.0,925400.0,-1
2019-04-28,465.0,500.0,460.0,485.0,4.98,5761.0,2723480.0,1
2019-04-29,485.0,488.0,467.0,472.0,-2.68,3909.0,1871435.0,-1
2019-04-30,472.0,475.0,465.0,471.0,-0.21,1290.0,605650.0,-1
2019-05-02,471.0,471.0,464.0,464.0,-1.49,2100.0,979040.0,-1
2019-05-05,464.0,470.0,463.0,464.0,0.0,1960.0,913560.0,0
2019-05-06,463.0,465.0,460.0,465.0,0.22,1420.0,657050.0,1
2019-05-07,456.0,464.0,456.0,464.0,-0.22,1710.0,788940.0,-1
2019-05-08,459.0,473.0,450.0,470.0,1.29,4104.0,1889806.0,1
2019-05-09,468.0,470.0,464.0,469.0,-0.21,970.0,452750.0,-1
2019-05-12,460.0,467.0,456.0,465.0,-0.85,370.0,171290.0,-1
2019-05-13,465.0,471.0,460.0,471.0,1.29,1050.0,491170.0,1
2019-05-14,475.0,475.0,459.0,466.0,-1.06,670.0,312630.0,-1
2019-05-15,459.0,471.0,459.0,464.0,-0.43,1940.0,901570.0,-1
2019-05-16,456.0,461.0,450.0,455.0,-1.94,3019.0,1378499.0,-1
2019-05-19,451.0,463.0,442.0,442.0,-2.86,2240.0,1000060.0,-1
2019-05-20,442.0,459.0,435.0,449.0,1.58,1790.0,796180.0,1
2019-05-21,449.0,466.0,433.0,450.0,0.22,1290.0,578520.0,1
2019-05-22,450.0,463.0,446.0,450.0,0.0,1050.0,478250.0,0
2019-05-23,446.0,468.0,445.0,445.0,-1.11,1140.0,513240.0,-1
2019-05-26,445.0,448.0,438.0,441.0,-0.9,1480.0,653040.0,-1
2019-05-27,449.0,449.0,438.0,442.0,0.23,915.0,403715.0,1
2019-05-28,440.0,441.0,435.0,440.0,-0.45,1080.0,472850.0,-1
2019-05-29,439.0,444.0,436.0,442.0,0.45,1840.0,809620.0,1
2019-05-30,445.0,468.0,430.0,444.0,0.45,4693.0,2105845.0,1
2019-06-02,436.0,447.0,436.0,447.0,0.68,1040.0,458860.0,1
2019-06-03,440.0,441.0,430.0,432.0,-3.36,1420.0,615990.0,-1
2019-06-04,435.0,451.0,430.0,438.0,1.39,2140.0,931630.0,1
2019-06-06,438.0,441.0,430.0,441.0,0.68,2223.0,963460.0,1
2019-06-10,441.0,441.0,428.0,428.0,-2.95,1450.0,626900.0,-1
2019-06-11,428.0,457.0,420.0,422.0,-1.4,1090.0,464560.0,-1
2019-06-12,430.0,430.0,406.0,417.0,-1.18,1810.0,756170.0,-1
2019-06-13,410.0,421.0,410.0,416.0,-0.24,910.0,379830.0,-1
2019-06-16,416.0,416.0,390.0,399.0,-4.09,2270.0,908580.0,-1
2019-06-17,399.0,409.0,391.0,404.0,1.25,1295.0,517160.0,1
2019-06-18,404.0,415.0,396.0,400.0,-0.99,1840.0,737950.0,-1
2019-06-19,395.0,402.0,389.0,402.0,0.5,560.0,222350.0,1
2019-06-20,400.0,405.0,394.0,400.0,-0.5,390.0,156080.0,-1
2019-06-23,398.0,404.0,395.0,395.0,-1.25,620.0,246300.0,-1
2019-06-24,398.0,405.0,395.0,400.0,1.27,960.0,382865.0,1
2019-06-25,400.0,415.0,392.0,407.0,1.75,510.0,205650.0,1
2019-06-26,399.0,399.0,388.0,390.0,-4.18,1590.0,624850.0,-1
2019-06-27,390.0,401.0,388.0,401.0,2.82,1009.0,398197.0,1
2019-06-30,408.0,408.0,389.0,395.0,-1.5,620.0,242760.0,-1
2019-07-01,388.0,394.0,382.0,389.0,-1.52,790.0,305350.0,-1
2019-07-02,390.0,397.0,388.0,397.0,2.06,640.0,249810.0,1
2019-07-03,390.0,410.0,385.0,397.0,0.0,1080.0,430120.0,0
2019-07-04,397.0,405.0,392.0,398.0,0.25,740.0,296450.0,1
2019-07-07,395.0,405.0,389.0,392.0,-1.51,400.0,158810.0,-1
2019-07-08,385.0,402.0,385.0,392.0,0.0,1725.0,681320.0,0
2019-07-09,398.0,404.0,378.0,404.0,3.06,1144.0,456336.0,1
2019-07-10,402.0,409.0,398.0,404.0,0.0,610.0,246230.0,0
2019-07-11,396.0,402.0,390.0,390.0,-3.47,1080.0,428090.0,-1
2019-07-14,390.0,400.0,390.0,400.0,2.56,420.0,165680.0,1
2019-07-15,392.0,402.0,385.0,399.0,-0.25,370.0,144150.0,-1
2019-07-16,392.0,400.0,392.0,395.0,-1.0,486.0,193390.0,-1
2019-07-17,396.0,400.0,388.0,395.0,0.0,280.0,110500.0,0
2019-07-18,396.0,400.0,395.0,395.0,0.0,300.0,119070.0,0
2019-07-21,395.0,395.0,389.0,390.0,-1.27,310.0,121700.0,-1
2019-07-22,389.0,399.0,389.0,399.0,2.31,400.0,157700.0,1
2019-07-23,404.0,412.0,397.0,403.0,1.0,1745.0,705160.0,1
2019-07-24,403.0,414.0,403.0,410.0,1.74,950.0,389120.0,1
2019-07-25,402.0,409.0,400.0,402.0,-1.95,890.0,358720.0,-1
2019-07-28,400.0,405.0,399.0,402.0,0.0,1530.0,616895.0,0
2019-07-29,405.0,440.0,397.0,427.0,6.22,2240.0,941350.0,1
2019-07-30,427.0,446.0,423.0,433.0,1.41,7145.0,3093120.0,1
2019-07-31,432.0,476.0,432.0,476.0,9.93,13290.0,6104670.0,1
2019-08-01,478.0,523.0,471.0,515.0,8.19,24725.0,12420095.0,1
2019-08-04,515.0,531.0,491.0,496.0,-3.69,13559.0,6882035.0,-1
2019-08-05,500.0,500.0,465.0,474.0,-4.44,7870.0,3749800.0,-1
2019-08-06,470.0,477.0,450.0,477.0,0.63,2730.0,1239875.0,1
2019-08-07,468.0,491.0,456.0,485.0,1.68,2250.0,1071560.0,1
2019-08-08,477.0,483.0,468.0,478.0,-1.44,2210.0,1045720.0,-1
2019-08-11,469.0,470.0,452.0,461.0,-3.56,980.0,455920.0,-1
2019-08-12,460.0,477.0,456.0,475.0,3.04,2805.0,1313870.0,1
2019-08-13,475.0,475.0,468.0,475.0,0.0,1300.0,612140.0,0
2019-08-14,480.0,482.0,467.0,474.0,-0.21,980.0,460930.0,-1
2019-08-15,465.0,470.0,456.0,467.0,-1.48,1230.0,571630.0,-1
2019-08-18,467.0,477.0,458.0,466.0,-0.21,1570.0,728470.0,-1
2019-08-19,466.0,480.0,458.0,476.0,2.15,2165.0,1018425.0,1
2019-08-20,476.0,476.0,462.0,470.0,-1.26,2274.0,1067810.0,-1
2019-08-21,463.0,466.0,457.0,466.0,-0.85,3579.0,1650910.0,-1
2019-08-22,466.0,471.0,458.0,464.0,-0.43,1250.0,578940.0,-1
2019-08-25,464.0,465.0,447.0,454.0,-2.16,3810.0,1719470.0,-1
2019-08-26,458.0,458.0,442.0,447.0,-1.54,1344.0,600268.0,-1
2019-08-27,445.0,458.0,443.0,456.0,2.01,1590.0,715910.0,1
2019-08-28,460.0,465.0,445.0,447.0,-1.97,2235.0,1000815.0,-1
2019-08-29,444.0,450.0,439.0,441.0,-1.34,949.0,420545.0,-1
