published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-06-10,299.7,344.6,299.7,344.6,14.98,110.0,36581.0,1
2026-06-11,331.7,396.2,331.7,396.2,14.97,100.0,36810.0,1
2026-06-12,413.0,455.6,413.0,455.6,14.99,100.0,43758.0,1
2026-06-15,469.2,523.9,469.2,523.9,14.99,210.0,108688.0,1
2026-06-16,550.0,602.4,550.0,602.4,14.98,260.0,155536.0,1
2026-06-17,620.4,692.7,620.4,692.7,14.99,250.0,171420.0,1
2026-06-18,700.0,796.6,700.0,796.6,15.0,398.0,312992.4,1
2026-06-19,836.0,916.0,836.0,916.0,14.99,1380.0,1262412.0,1
2026-06-22,961.8,1053.4,870.1,964.2,5.26,81620.0,77370648.0,1
2026-06-23,950.0,950.0,855.1,857.0,-11.12,54588.0,49049001.0,-1
2026-06-24,860.0,900.0,810.0,875.0,2.1,39477.0,33349079.0,1
2026-06-25,875.0,936.0,851.0,900.0,2.86,23135.0,20511850.6,1
2026-06-26,880.0,905.0,873.1,875.0,-2.78,25803.0,22872906.2,-1
2026-06-29,831.3,875.0,831.3,855.0,-2.29,31428.0,26894334.1,-1
2026-06-30,812.3,855.0,788.0,849.9,-0.6,27374.0,22885217.4,-1
2026-07-01,807.5,907.0,807.5,888.0,4.48,29517.0,25937444.1,1
2026-07-02,888.0,915.0,865.0,905.0,1.91,27833.0,24669863.8,1
2026-07-03,859.8,954.8,859.8,898.0,-0.77,25254.0,22694076.7,1
2026-07-06,853.1,905.0,853.1,887.0,-1.22,26917.0,23614233.1,1
2026-07-07,850.0,890.0,850.0,870.0,-1.92,20186.0,17581555.5,1
2026-07-08,860.0,880.0,826.8,857.0,-1.49,28726.0,24835324.0,-1
2026-07-09,850.0,932.0,807.1,871.6,1.7,31890.0,27296535.3,1
2026-07-10,850.0,921.0,849.1,879.9,0.95,45663.0,40926453.3,1
2026-07-13,858.0,880.0,830.0,849.9,-3.41,18305.0,15511636.3,-1
2026-07-14,824.5,899.0,801.0,835.0,-1.75,17614.0,14541950.2,1
2026-07-15,809.1,867.0,809.1,820.0,-1.8,16019.0,13419003.9,1
