published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2015-12-29,371.0,381.0,368.0,372.0,nan,13555.0,5029450.0,0
2015-12-31,372.0,381.0,368.0,370.0,-0.54,11336.0,4216637.0,0
2016-01-03,370.0,377.0,362.0,369.0,-0.27,11849.0,4375998.0,0
2016-01-04,369.0,373.0,358.0,368.0,-0.27,9183.0,3351712.0,0
2016-01-05,368.0,375.0,350.0,375.0,1.90,27876.0,10117332.0,0
2016-01-06,375.0,375.0,353.0,360.0,-4.00,21477.0,7864631.0,0
2016-01-07,360.0,377.0,356.0,368.0,2.22,16005.0,5872918.0,0
2016-01-10,368.0,380.0,361.0,378.0,2.72,29492.0,10917607.0,0
2016-01-11,378.0,383.0,370.0,376.0,-0.53,30518.0,11377998.0,0
2016-01-12,376.0,400.0,370.0,400.0,6.38,35468.0,13408785.0,0
2016-01-12,376.0,400.0,370.0,400.0,0.0,35468.0,13408785.0,0
2016-01-13,400.0,405.0,378.0,394.0,-1.50,26417.0,10359766.0,0
2016-01-14,394.0,400.0,379.0,390.0,-1.02,29503.0,11431453.0,0
2016-01-24,390.0,429.0,397.0,429.0,10.00,3250.0,1390050.0,0
2016-01-25,429.0,471.0,437.0,454.0,5.83,4993.0,2312342.0,0
2016-01-26,454.0,455.0,446.0,448.0,-1.32,3463.0,1561100.0,0
2016-01-27,448.0,445.0,432.0,432.0,-3.57,2889.0,1261906.0,0
2016-01-28,432.0,445.0,430.0,430.0,-0.46,4905.0,2142909.0,0
2016-01-31,430.0,440.0,432.0,432.0,0.47,864.0,374782.0,0
2016-02-01,432.0,448.0,430.0,435.0,0.69,4260.0,1850460.0,0
2016-02-02,435.0,439.0,430.0,430.0,-1.15,3252.0,1404556.0,0
2016-02-03,430.0,450.0,435.0,441.0,2.56,1624.0,711018.0,0
2016-02-04,441.0,457.0,440.0,449.0,1.81,4935.0,2202194.0,0
2016-02-07,449.0,493.0,450.0,493.0,9.80,22443.0,10597556.0,0
2016-02-08,493.0,540.0,502.0,515.0,4.46,7786.0,4067248.0,0
2016-02-11,515.0,540.0,515.0,540.0,4.85,16567.0,8679098.0,0
2016-02-14,540.0,531.0,496.0,500.0,-7.41,8387.0,4258243.0,0
2016-02-15,500.0,510.0,470.0,485.0,-3.00,4728.0,2267292.0,0
2016-02-16,485.0,485.0,477.0,482.0,-0.62,6993.0,3376593.0,0
2016-02-17,482.0,484.0,480.0,483.0,0.21,4226.0,2039080.0,0
2016-02-18,483.0,488.0,480.0,480.0,-0.62,3850.0,1862966.0,0
2016-02-21,480.0,498.0,480.0,498.0,3.75,15416.0,7434530.0,0
2016-02-22,498.0,500.0,485.0,491.0,-1.41,5314.0,2603456.0,0
2016-02-23,491.0,486.0,474.0,486.0,-1.02,2333.0,1114554.0,0
2016-02-24,486.0,500.0,472.0,472.0,-2.88,472.0,231150.0,0
2016-02-25,472.0,495.0,480.0,495.0,4.87,1844.0,889876.0,0
2016-02-28,495.0,500.0,473.0,474.0,-4.24,4388.0,2099132.0,0
2016-02-29,474.0,483.0,471.0,471.0,-0.63,3918.0,1857646.0,0
2016-03-01,471.0,473.0,469.0,470.0,-0.21,3318.0,1561038.0,0
2016-03-02,470.0,517.0,472.0,517.0,10.00,25387.0,12874174.0,0
2016-03-03,517.0,568.0,527.0,568.0,9.86,18063.0,10204191.0,0
2016-03-06,568.0,624.0,579.0,624.0,9.86,42776.0,26486552.0,0
2016-03-10,624.0,686.0,636.0,686.0,9.94,4341.0,2976506.0,0
2016-03-13,686.0,754.0,645.0,747.0,8.89,63486.0,47241684.0,0
2016-03-14,747.0,821.0,761.0,821.0,9.91,17751.0,14569041.0,0
2016-03-15,821.0,853.0,739.0,740.0,-9.87,52406.0,41597984.0,0
2016-03-16,740.0,732.0,671.0,680.0,-8.11,27686.0,19031668.0,0
2016-03-17,680.0,729.0,686.0,720.0,5.88,18857.0,13249274.0,0
2016-03-20,720.0,765.0,724.0,739.0,2.64,30357.0,22573664.0,0
2016-03-21,739.0,759.0,711.0,733.0,-0.81,13239.0,9804403.0,0
2016-03-23,733.0,741.0,707.0,710.0,-3.14,13548.0,9695165.0,0
2016-03-24,710.0,708.0,670.0,694.0,-2.25,19641.0,13519363.0,0
2016-03-27,694.0,707.0,655.0,656.0,-5.48,6101.0,4043679.0,0
2016-03-28,656.0,644.0,621.0,630.0,-3.96,9481.0,5971255.0,0
2016-03-29,630.0,642.0,602.0,615.0,-2.38,14798.0,9084341.0,0
2016-03-30,615.0,671.0,600.0,658.0,6.99,5258.0,3244028.0,0
2016-03-31,658.0,659.0,634.0,637.0,-3.19,5559.0,3544101.0,0
2016-04-03,637.0,661.0,620.0,661.0,3.77,5868.0,3687498.0,0
2016-04-04,661.0,670.0,630.0,643.0,-2.72,5021.0,3228650.0,0
2016-04-05,643.0,655.0,633.0,652.0,1.40,5271.0,3397389.0,0
2016-04-06,652.0,685.0,645.0,669.0,2.61,15794.0,10377915.0,0
2016-04-10,669.0,714.0,659.0,660.0,-1.35,14444.0,9923564.0,0
2016-04-11,660.0,676.0,664.0,675.0,2.27,4920.0,3299895.0,0
2016-04-12,675.0,688.0,652.0,658.0,-2.52,9235.0,6162636.0,0
2016-04-14,658.0,663.0,651.0,663.0,0.76,3240.0,2126032.0,0
2016-04-17,663.0,664.0,652.0,660.0,-0.45,3223.0,2112254.0,0
2016-04-18,660.0,659.0,651.0,658.0,-0.30,4213.0,2755410.0,0
2016-04-19,658.0,655.0,640.0,649.0,-1.37,9288.0,5991501.0,0
2016-04-20,649.0,654.0,640.0,643.0,-0.92,4124.0,2654858.0,0
2016-04-21,643.0,640.0,622.0,635.0,-1.24,15246.0,9615214.0,0
2016-04-24,635.0,645.0,622.0,629.0,-0.94,4791.0,3005162.0,0
2016-04-25,629.0,627.0,616.0,627.0,-0.32,8434.0,5246016.0,0
2016-04-26,627.0,626.0,617.0,626.0,-0.16,3696.0,2292698.0,0
2016-04-27,626.0,631.0,618.0,625.0,-0.16,2313.0,1437821.0,0
