published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-09-25,316.0,347.6,316.0,347.6,10.0,212.0,69366.0,1
2022-09-27,354.5,368.7,354.5,368.7,6.07,60.0,21319.8,1
2022-09-28,376.0,398.9,376.0,398.9,8.19,41.0,15856.4,1
2022-09-29,406.8,438.7,406.8,438.7,9.98,50.0,21150.0,1
2022-10-09,447.4,456.3,447.4,456.3,4.01,30.0,13427.0,1
2022-10-10,465.4,501.9,465.4,501.9,9.99,90.0,43278.6,1
2022-10-11,511.0,552.0,511.0,552.0,9.98,60.0,32100.0,1
2022-10-12,563.0,607.2,563.0,607.2,10.0,70.0,40906.9,1
2022-10-13,619.3,667.9,619.3,667.9,10.0,50.0,32200.0,1
2022-10-16,681.2,734.6,681.2,734.6,9.99,1944.0,1426751.4,1
2022-10-17,749.0,808.0,749.0,808.0,9.99,3780.0,3050852.0,1
2022-10-19,824.1,888.8,824.1,888.8,10.0,6990.0,6206619.0,1
2022-10-20,906.5,963.0,820.2,830.2,-6.59,42382.0,36952901.0,-1
2022-10-23,830.0,830.0,764.4,767.1,-7.6,16958.0,13173753.1,-1
2022-10-31,782.4,782.4,730.0,731.0,-4.71,10764.0,7971486.0,-1
2022-11-01,731.0,795.0,706.0,778.0,6.43,9803.0,7108378.5,1
2022-11-02,777.0,800.0,750.0,785.0,0.9,6290.0,4933983.5,1
2022-11-03,780.0,785.0,755.0,759.0,-3.31,3880.0,2955399.0,-1
2022-11-06,759.0,786.0,744.0,783.0,3.16,11612.0,8940070.1,1
2022-11-07,790.0,794.0,770.1,774.0,-1.15,10064.0,7900999.6,-1
2022-11-08,760.3,777.0,760.3,765.0,-1.16,2826.0,2169215.1,-1
2022-11-09,764.0,764.0,747.0,747.0,-2.35,3832.0,2886592.7,-1
2022-11-10,743.0,759.0,721.0,730.0,-2.28,3358.0,2456795.3,-1
2022-11-13,740.0,744.0,710.0,720.0,-1.37,3485.0,2508647.5,-1
2022-11-14,710.1,728.9,710.1,724.0,0.56,1880.0,1350128.0,1
2022-11-15,724.0,724.0,711.3,713.2,-1.49,2240.0,1604207.5,-1
