published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-11-11,285.0,313.5,285.0,313.5,10.0,270.0,83515.0,1
2025-11-12,313.9,344.8,313.9,344.8,9.98,490.0,167734.0,1
2025-11-13,344.5,379.2,344.5,379.2,9.98,610.0,230274.0,1
2025-11-16,386.7,417.1,386.7,417.1,9.99,820.0,341273.0,1
2025-11-17,420.0,458.8,420.0,458.8,10.0,1430.0,654222.0,1
2025-11-18,467.6,504.6,467.6,504.6,9.98,1540.0,776170.0,1
2025-11-19,514.4,555.0,514.4,555.0,9.99,2360.0,1307985.0,1
2025-11-20,566.0,610.5,566.0,610.5,10.0,6810.0,4155966.0,1
2025-11-23,622.7,671.5,622.7,671.5,9.99,22250.0,14935774.0,1
2025-11-24,684.9,738.6,684.9,738.6,9.99,57040.0,42095094.0,1
2025-11-25,753.3,812.0,750.1,792.0,7.23,346850.0,269997649.0,1
2025-11-26,792.0,795.0,760.0,763.1,-3.65,255880.0,196817555.5,-1
2025-11-27,763.1,765.0,750.1,758.1,-0.66,170479.0,128563286.3,-1
2025-11-30,758.0,778.9,750.0,764.9,0.9,130752.0,99728356.6,1
2025-12-01,765.0,806.0,758.0,789.0,3.15,187463.0,146792961.0,1
2025-12-02,790.0,796.0,778.5,780.0,-1.14,76732.0,60088493.6,-1
2025-12-03,780.0,837.0,775.1,825.0,5.77,227147.0,184976769.6,1
2025-12-07,825.0,830.0,780.0,787.0,-4.61,192052.0,154860465.7,-1
2025-12-08,787.0,794.5,778.6,782.5,-0.57,99982.0,78572308.4,-1
2025-12-09,766.9,803.0,766.9,790.0,0.96,80114.0,63231327.0,1
2025-12-10,800.0,800.0,765.0,770.0,-2.53,83345.0,64688884.5,-1
2025-12-11,770.0,777.0,760.3,765.5,-0.58,72592.0,55618447.2,-1
2025-12-14,760.0,780.0,760.0,766.9,0.18,83655.0,64522485.5,1
2025-12-15,761.0,773.2,761.0,765.0,-0.25,53892.0,41363816.7,-1
2025-12-16,765.0,780.0,765.0,775.0,1.31,61768.0,47880768.5,1
2025-12-17,775.0,789.0,771.6,774.0,-0.13,61887.0,48219584.7,-1
2025-12-18,774.0,778.0,760.0,762.1,-1.54,96768.0,74234887.7,-1
2025-12-21,750.0,765.0,745.1,746.5,-2.05,88188.0,66350076.2,-1
2025-12-22,731.6,746.0,725.5,728.6,-2.4,84838.0,62162453.7,-1
2025-12-23,720.0,744.6,720.0,733.0,0.6,68164.0,49874990.7,1
2025-12-24,720.0,740.0,720.0,733.0,0.0,48568.0,35711394.5,0
2025-12-28,735.0,745.9,735.0,743.9,1.49,64241.0,47552178.1,1
2025-12-29,743.0,763.9,741.1,746.2,0.31,88588.0,66514679.7,1
2025-12-31,748.0,788.0,748.0,774.2,3.75,204920.0,158837876.0,1
2026-01-01,789.6,799.0,770.0,778.3,0.53,148443.0,116785246.3,1
2026-01-04,778.3,840.0,766.0,817.0,4.97,277313.0,221237434.5,1
2026-01-05,820.0,898.7,820.0,898.7,10.0,242983.0,209121356.9,1
2026-01-06,916.6,984.0,840.0,850.0,-5.42,239193.0,215553820.6,-1
2026-01-07,840.0,873.0,814.0,820.0,-3.53,138243.0,115570906.2,-1
2026-01-08,825.0,837.0,800.0,833.0,1.59,214428.0,176060188.5,1
2026-01-12,833.0,888.8,827.0,864.0,3.72,216989.0,186764345.3,1
2026-01-13,864.0,880.9,831.0,833.0,-3.59,189613.0,160925235.1,-1
2026-01-14,830.0,847.9,818.0,830.0,-0.36,107926.0,89439555.9,-1
2026-01-18,829.0,894.0,821.0,892.0,7.47,295254.0,258397494.6,1
2026-01-20,909.8,959.9,895.0,933.0,4.6,286502.0,268443735.4,1
2026-01-21,930.0,945.0,903.1,905.0,-3.0,159689.0,147067596.2,-1
2026-01-22,905.0,988.0,895.0,980.0,8.29,301445.0,282726029.1,1
2026-01-25,982.0,1078.0,982.0,1078.0,10.0,276746.0,290681931.7,1
2026-01-26,1099.5,1180.0,1081.0,1165.0,8.07,357245.0,405545293.7,1
2026-01-27,1165.0,1233.0,1110.0,1115.0,-4.29,317966.0,373137253.0,-1
2026-01-28,1120.0,1169.0,1081.2,1135.0,1.79,251510.0,282582347.3,1
2026-01-29,1113.0,1160.0,1079.0,1080.0,-4.85,211122.0,233239732.1,-1
2026-02-01,1080.0,1088.5,1032.3,1037.0,-3.98,171319.0,180869551.9,-1
2026-02-02,1030.1,1140.7,1030.1,1140.0,9.93,255110.0,284143500.5,1
2026-02-03,1162.0,1190.0,1125.0,1140.0,0.0,212693.0,246960739.5,0
2026-02-04,1140.0,1162.0,1107.0,1126.0,-1.23,177439.0,202518265.8,-1
2026-02-05,1104.8,1148.0,1070.0,1107.0,-1.69,218898.0,241353277.3,-1
2026-02-08,1100.0,1135.0,1055.0,1055.0,-4.7,138461.0,150596640.3,-1
2026-02-09,1060.0,1073.0,989.9,1019.0,-3.41,176729.0,183444103.6,-1
2026-02-10,1020.0,1060.0,1000.0,1000.0,-1.86,100113.0,102339887.6,-1
2026-02-11,1000.0,1030.0,954.0,968.0,-3.2,106925.0,105068463.6,-1
2026-02-12,968.0,984.7,930.0,935.0,-3.41,135427.0,128251299.6,-1
2026-02-16,935.0,972.0,935.0,960.0,2.67,74723.0,71443083.4,1
2026-02-17,952.0,969.9,919.4,920.0,-4.17,74333.0,69513545.7,-1
2026-02-22,938.2,938.2,885.0,887.0,-3.59,77375.0,69365360.3,-1
2026-02-23,887.0,902.0,862.8,875.0,-1.35,65484.0,57524638.3,-1
2026-02-24,860.0,948.0,860.0,948.0,8.34,73914.0,66967620.7,1
2026-02-25,966.9,980.0,936.0,957.0,0.95,108341.0,104210526.4,1
2026-02-26,957.0,957.0,935.0,937.9,-2.0,59677.0,56321271.3,-1
2026-03-01,919.2,951.0,902.0,940.0,0.22,59901.0,55921868.7,1
2026-03-03,940.0,968.2,931.2,965.0,2.66,75394.0,72268426.0,1
2026-03-09,984.3,1050.0,984.3,1038.0,7.56,6402.0,6625037.0,1
2026-03-10,1058.0,1058.0,1000.0,1017.0,-2.02,168640.0,172871614.6,-1
2026-03-11,1037.0,1037.0,980.1,984.0,-3.24,62790.0,62596197.5,-1
2026-03-12,964.4,1003.0,959.9,965.0,-1.93,85676.0,83557913.4,-1
2026-03-15,960.0,969.0,926.1,939.8,-2.61,108492.0,102120541.8,-1
2026-03-16,930.0,962.0,925.3,943.0,0.34,55222.0,52005484.1,1
2026-03-17,926.0,950.0,926.0,939.0,-0.42,45505.0,42443501.9,-1
2026-03-19,930.0,954.0,930.0,943.0,0.43,109303.0,102881817.2,1
2026-03-22,943.0,973.9,943.0,959.0,1.7,121031.0,115914247.4,1
2026-03-23,950.0,970.0,940.0,944.9,-1.47,85731.0,81261536.3,-1
2026-03-24,944.9,955.0,937.0,949.0,0.43,50303.0,47393472.7,1
2026-03-25,967.0,985.0,940.0,973.0,2.53,112278.0,108486617.1,1
2026-03-26,970.0,999.9,969.0,985.0,1.23,95093.0,93907925.2,1
2026-03-29,985.0,985.0,939.0,941.0,-4.47,81178.0,77706732.2,-1
2026-03-30,936.0,953.0,920.0,923.0,-1.91,73956.0,68790508.9,-1
2026-03-31,915.0,935.0,900.5,922.1,-0.1,42381.0,38779871.0,-1
2026-04-01,920.0,920.0,875.0,878.0,-4.78,75225.0,67275602.8,-1
2026-04-02,878.0,883.0,861.2,872.0,-0.68,60460.0,52718615.0,-1
2026-04-05,872.0,872.0,799.0,799.0,-8.37,107665.0,88665143.9,-1
2026-04-06,800.0,852.0,800.0,840.0,5.13,58017.0,48036734.5,1
2026-04-07,840.0,865.0,835.0,838.4,-0.19,57172.0,48444744.6,-1
2026-04-08,845.0,908.0,840.0,907.0,8.18,111596.0,98249630.6,1
2026-04-09,890.0,949.0,890.0,924.0,1.87,94954.0,88456341.2,1
2026-04-10,942.4,942.4,891.2,902.1,-2.37,83512.0,75735552.2,-1
2026-04-13,900.0,910.0,884.2,889.0,-1.45,56402.0,50351646.2,-1
2026-04-15,889.0,927.9,887.1,904.0,1.69,74798.0,67807251.1,1
2026-04-16,900.0,904.0,882.2,887.9,-1.78,52856.0,47007148.2,-1
2026-04-17,880.0,896.0,872.0,883.0,-0.55,40034.0,35172487.0,-1
2026-04-20,927.0,927.0,865.4,875.0,-0.91,22829.0,19946168.9,-1
2026-04-21,875.0,899.0,860.0,879.5,0.51,37663.0,33300412.3,1
2026-04-22,921.9,921.9,850.3,862.0,-1.99,58291.0,50430976.9,-1
2026-04-23,870.0,877.9,850.0,855.0,-0.81,36224.0,31099490.7,-1
2026-04-24,812.3,907.0,812.3,843.0,-1.4,27672.0,23390254.9,-1
2026-04-27,801.0,880.0,801.0,847.0,0.47,35927.0,30589860.5,1
2026-04-28,804.7,858.0,804.7,831.0,-1.89,28012.0,23520724.3,-1
2026-04-29,831.0,845.0,808.0,814.0,-2.05,28534.0,23303464.4,-1
2026-04-30,810.0,835.0,790.1,824.7,1.31,45389.0,36771881.6,1
2026-05-04,825.0,829.7,797.0,801.0,-2.87,29428.0,23690608.1,-1
2026-05-05,795.0,817.0,792.0,803.0,0.25,16070.0,12933881.7,1
2026-05-06,800.0,815.0,800.0,803.0,0.0,14227.0,11408356.1,0
