published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2015-10-28,388.00,426.00,395.00,419.00,0.00,5200.00,2161590.00,0
2015-10-29,419.00,422.00,400.00,412.00,0.00,4740.00,1908510.00,0
2015-11-01,412.00,410.00,391.00,400.00,0.00,2670.00,1059460.00,0
2015-11-02,400.00,397.00,385.00,385.00,0.00,1800.00,703800.00,0
2015-11-03,385.00,378.00,357.00,368.00,0.00,620.00,226400.00,0
2015-11-04,368.00,387.00,365.00,380.00,0.00,860.00,325380.00,0
2015-11-05,380.00,389.00,370.00,382.00,0.00,890.00,335830.00,0
2015-11-08,382.00,382.00,375.00,380.00,0.00,820.00,310490.00,0
2015-11-09,380.00,397.00,372.00,380.00,0.00,1260.00,478160.00,0
2015-11-10,380.00,397.00,374.00,397.00,0.00,1710.00,655690.00,0
2015-11-15,397.00,390.00,376.00,376.00,0.00,40.00,15320.00,0
2015-11-16,376.00,376.00,363.00,374.00,0.00,740.00,275240.00,0
2015-11-18,374.00,384.00,375.00,381.00,0.00,2180.00,831440.00,0
2015-11-19,381.00,390.00,366.00,366.00,0.00,2440.00,934540.00,0
2015-11-22,366.00,370.00,354.00,370.00,0.00,980.00,355400.00,0
2015-11-23,370.00,368.00,363.00,367.00,0.00,250.00,91100.00,0
2015-11-24,367.00,365.00,350.00,360.00,0.00,1000.00,356670.00,0
2015-11-25,360.00,359.00,341.00,344.00,0.00,1920.00,665860.00,0
2015-11-26,344.00,338.00,330.00,330.00,0.00,1200.00,397020.00,0
2015-11-29,330.00,342.00,330.00,330.00,0.00,1530.00,510000.00,0
2015-11-30,330.00,330.00,325.00,325.00,0.00,580.00,189290.00,0
2015-12-01,325.00,333.00,325.00,333.00,0.00,740.00,243360.00,0
2015-12-02,333.00,338.00,338.00,338.00,0.00,20.00,6760.00,0
2015-12-03,338.00,335.00,325.00,325.00,0.00,960.00,313500.00,0
2015-12-06,325.00,337.00,325.00,325.00,0.00,650.00,214370.00,0
2015-12-07,325.00,326.00,320.00,322.00,0.00,420.00,135450.00,0
2015-12-08,322.00,320.00,310.00,315.00,0.00,460.00,144780.00,0
2015-12-09,315.00,321.00,314.00,314.00,0.00,750.00,237690.00,0
2015-12-10,314.00,317.00,305.00,317.00,0.00,480.00,148670.00,0
2015-12-13,317.00,315.00,303.00,305.00,0.00,1440.00,447410.00,0
2015-12-14,305.00,307.00,301.00,306.00,0.00,1190.00,362730.00,0
2015-12-15,306.00,307.00,300.00,307.00,0.00,720.00,218600.00,0
2015-12-16,307.00,313.00,299.00,299.00,0.00,1110.00,334640.00,0
2015-12-17,299.00,295.00,289.00,289.00,0.00,940.00,274380.00,0
2015-12-20,289.00,290.00,274.00,285.00,0.00,1280.00,364040.00,0
2015-12-21,285.00,286.00,276.00,281.00,0.00,1790.00,502110.00,0
2015-12-22,281.00,286.00,274.00,274.00,0.00,750.00,210570.00,0
2015-12-23,274.00,275.00,266.00,269.00,0.00,670.00,180890.00,0
2015-12-24,269.00,275.00,268.00,272.00,0.00,940.00,254170.00,0
2015-12-27,272.00,275.00,250.00,265.00,0.00,1450.00,378500.00,0
2015-12-28,265.00,274.00,258.00,273.00,0.00,910.00,244290.00,0
2015-12-29,273.00,280.00,265.00,273.00,0.00,750.00,203740.00,0
2015-12-31,273.00,276.00,265.00,271.00,0.00,2330.00,630870.00,0
2016-01-03,271.00,271.00,261.00,267.00,0.00,1230.00,329120.00,0
2016-01-04,267.00,280.00,266.00,276.00,0.00,1050.00,286600.00,0
2016-01-05,276.00,281.00,270.00,277.00,0.00,1690.00,464810.00,0
2016-01-06,277.00,285.00,270.00,280.00,0.00,1580.00,439530.00,0
2016-01-07,280.00,283.00,270.00,283.00,0.00,1060.00,293890.00,0
2016-01-10,283.00,288.00,267.00,282.00,0.00,1690.00,467850.00,0
2016-01-11,282.00,282.00,260.00,273.00,0.00,4310.00,1169610.00,0
2016-01-12,273.00,280.00,258.00,275.00,0.00,4060.00,1097200.00,0
2016-01-12,273.00,280.00,258.00,275.00,0.00,4060.00,1097200.00,0
2016-01-13,275.00,290.00,269.00,290.00,0.00,4650.00,1297960.00,0
2016-01-14,290.00,306.00,270.00,280.00,0.00,5130.00,1506630.00,0
2016-01-24,280.00,308.00,285.00,308.00,0.00,900.00,274550.00,0
2016-01-25,308.00,338.00,314.00,330.00,0.00,3950.00,1304650.00,0
2016-01-26,330.00,336.00,324.00,324.00,0.00,1980.00,654320.00,0
2016-01-27,324.00,318.00,312.00,312.00,0.00,500.00,157200.00,0
2016-01-28,312.00,320.00,312.00,320.00,0.00,665.00,210270.00,0
2016-02-01,320.00,320.00,314.00,314.00,0.00,70.00,22280.00,0
2016-02-04,314.00,316.00,316.00,316.00,0.00,10.00,3160.00,0
2016-02-07,316.00,315.00,315.00,315.00,0.00,80.00,25200.00,0
2016-02-08,315.00,336.00,320.00,336.00,0.00,1655.00,544250.00,0
2016-02-11,336.00,352.00,335.00,352.00,0.00,440.00,150530.00,0
2016-02-14,352.00,345.00,345.00,345.00,0.00,10.00,3450.00,0
2016-02-15,345.00,345.00,339.00,345.00,0.00,160.00,54840.00,0
2016-02-16,345.00,340.00,339.00,340.00,0.00,80.00,27170.00,0
2016-02-18,340.00,359.00,345.00,347.00,0.00,510.00,177900.00,0
2016-02-21,347.00,347.00,347.00,347.00,0.00,70.00,24290.00,0
2016-02-22,347.00,350.00,346.00,350.00,0.00,160.00,55760.00,0
2016-02-23,350.00,345.00,345.00,345.00,0.00,20.00,6900.00,0
2016-02-24,345.00,345.00,345.00,345.00,0.00,10.00,3450.00,0
2016-02-25,345.00,345.00,345.00,345.00,0.00,30.00,10350.00,0
2016-02-28,345.00,345.00,345.00,345.00,0.00,100.00,34500.00,0
2016-02-29,345.00,351.00,346.00,351.00,0.00,20.00,6970.00,0
2016-03-01,351.00,352.00,351.00,352.00,0.00,1120.00,393720.00,0
2016-03-03,352.00,350.00,350.00,350.00,0.00,300.00,105000.00,0
2016-03-06,350.00,361.00,352.00,361.00,0.00,90.00,32150.00,0
2016-03-10,361.00,354.00,353.00,353.00,0.00,300.00,106100.00,0
2016-03-13,353.00,374.00,360.00,374.00,0.00,580.00,209430.00,0
2016-03-15,374.00,411.00,381.00,411.00,0.00,500.00,204710.00,0
2016-03-16,411.00,452.00,411.00,452.00,0.00,120.00,51660.00,0
2016-03-17,452.00,484.00,452.00,484.00,0.00,650.00,307850.00,0
2016-03-21,484.00,532.00,493.00,532.00,0.00,1480.00,774180.00,0
2016-03-23,532.00,532.00,522.00,522.00,0.00,320.00,167740.00,0
2016-03-28,522.00,512.00,512.00,512.00,0.00,10.00,5120.00,0
2016-04-03,512.00,502.00,502.00,502.00,0.00,50.00,25100.00,0
2016-04-04,502.00,492.00,492.00,492.00,0.00,50.00,24600.00,0
2016-04-18,492.00,483.00,447.00,447.00,0.00,50.00,23250.00,0
2016-04-19,447.00,439.00,403.00,418.00,0.00,3790.00,1542890.00,0
2016-04-20,418.00,410.00,400.00,401.00,0.00,510.00,205390.00,0
2016-04-21,401.00,402.00,395.00,395.00,0.00,670.00,267970.00,0
2016-04-24,395.00,395.00,388.00,395.00,0.00,30.00,11710.00,0
2016-04-25,395.00,414.00,400.00,414.00,0.00,330.00,135540.00,0
2016-04-26,414.00,422.00,415.00,420.00,0.00,790.00,332880.00,0
2016-04-27,420.00,421.00,420.00,421.00,0.00,160.00,67260.00,0
2016-04-28,421.00,429.00,417.00,417.00,0.00,130.00,54970.00,0
2016-05-03,417.00,409.00,404.00,404.00,0.00,20.00,8130.00,0
2016-05-04,404.00,400.00,385.00,390.00,0.00,240.00,94910.00,0
2016-05-05,390.00,395.00,385.00,395.00,0.00,840.00,326680.00,0
2016-05-08,395.00,391.00,385.00,391.00,0.00,380.00,147400.00,0
2016-05-09,391.00,388.00,380.00,388.00,0.00,500.00,192560.00,0
2016-05-10,388.00,400.00,381.00,392.00,0.00,1390.00,549580.00,0
2016-05-11,392.00,395.00,378.00,392.00,0.00,950.00,368980.00,0
2016-05-12,392.00,399.00,385.00,395.00,0.00,50.00,19610.00,0
2016-05-15,395.00,400.00,385.00,400.00,0.00,360.00,142100.00,0
2016-05-16,400.00,399.00,392.00,393.00,0.00,840.00,330450.00,0
2016-05-17,393.00,399.00,385.00,395.00,0.00,1440.00,566300.00,0
2016-05-18,395.00,410.00,397.00,398.00,0.00,350.00,140950.00,0
2016-05-19,398.00,400.00,386.00,395.00,0.00,750.00,299150.00,0
2016-05-22,395.00,403.00,392.00,403.00,0.00,860.00,343350.00,0
2016-05-23,403.00,406.00,400.00,400.00,0.00,410.00,165000.00,0
2016-05-24,400.00,405.00,399.00,401.00,0.00,250.00,100160.00,0
2016-05-25,401.00,405.00,372.00,372.00,0.00,280.00,111680.00,0
2016-05-26,372.00,390.00,366.00,390.00,0.00,130.00,48970.00,0
2016-05-29,390.00,400.00,395.00,399.00,0.00,220.00,87110.00,0
2016-05-30,399.00,400.00,391.00,400.00,0.00,360.00,142860.00,0
2016-05-31,400.00,440.00,400.00,440.00,0.00,6320.00,2738830.00,0
2016-06-01,440.00,456.00,412.00,412.00,0.00,2960.00,1282520.00,0
2016-06-02,412.00,425.00,403.00,410.00,0.00,510.00,211530.00,0
2016-06-05,410.00,402.00,394.00,395.00,0.00,1300.00,512500.00,0
2016-06-06,395.00,400.00,391.00,400.00,0.00,280.00,111100.00,0
2016-06-07,400.00,408.00,400.00,404.00,0.00,300.00,120430.00,0
2016-06-08,404.00,416.00,395.00,400.00,0.00,380.00,154390.00,0
2016-06-09,400.00,405.00,394.00,394.00,0.00,120.00,47960.00,0
2016-06-12,394.00,395.00,390.00,393.00,0.00,510.00,200790.00,0
2016-06-13,393.00,412.00,391.00,412.00,0.00,220.00,89130.00,0
2016-06-14,412.00,441.00,412.00,425.00,0.00,8270.00,3535880.00,0
2016-06-15,425.00,467.00,430.00,467.00,0.00,3290.00,1532890.00,0
2016-06-16,467.00,513.00,476.00,513.00,0.00,2780.00,1424330.00,0
2016-06-19,513.00,523.00,504.00,505.00,0.00,8350.00,4269560.00,0
2016-06-20,505.00,510.00,498.00,505.00,0.00,4950.00,2488860.00,0
2016-06-21,505.00,515.00,500.00,515.00,0.00,3220.00,1636640.00,0
2016-06-22,515.00,515.00,500.00,510.00,0.00,3240.00,1648540.00,0
2016-06-23,510.00,530.00,506.00,522.00,0.00,2720.00,1406480.00,0
2016-06-26,522.00,570.00,520.00,535.00,0.00,3300.00,1779310.00,0
2016-06-27,535.00,540.00,520.00,520.00,0.00,770.00,408590.00,0
2016-06-28,520.00,525.00,515.00,521.00,0.00,1440.00,750810.00,0
2016-06-29,521.00,520.00,511.00,512.00,0.00,800.00,413550.00,0
2016-06-30,512.00,522.00,500.00,510.00,0.00,1120.00,565830.00,0
2016-07-03,510.00,510.00,490.00,503.00,0.00,3930.00,1946740.00,0
2016-07-04,503.00,526.00,504.00,526.00,0.00,2620.00,1359660.00,0
2016-07-05,526.00,530.00,506.00,521.00,0.00,1050.00,553000.00,0
2016-07-06,521.00,525.00,515.00,525.00,0.00,1410.00,733300.00,0
2016-07-10,525.00,530.00,520.00,520.00,0.00,510.00,265870.00,0
2016-07-11,520.00,520.00,510.00,520.00,0.00,390.00,201220.00,0
2016-07-12,520.00,520.00,490.00,520.00,0.00,170.00,86230.00,0
2016-07-13,520.00,510.00,490.00,495.00,0.00,880.00,442200.00,0
2016-07-14,495.00,510.00,495.00,495.00,0.00,635.00,318730.00,0
2016-07-17,495.00,504.00,486.00,500.00,0.00,190.00,95020.00,0
2016-07-18,500.00,499.00,481.00,499.00,0.00,60.00,29400.00,0
2016-07-19,499.00,500.00,490.00,500.00,0.00,310.00,153350.00,0
2016-07-20,500.00,500.00,490.00,492.00,0.00,180.00,88740.00,0
2016-07-21,492.00,508.00,495.00,496.00,0.00,180.00,89910.00,0
2016-07-25,496.00,495.00,487.00,491.00,0.00,290.00,142960.00,0
2016-07-26,491.00,540.00,495.00,530.00,0.00,3535.00,1843235.00,0
2016-07-27,530.00,535.00,510.00,535.00,0.00,380.00,198250.00,0
2016-07-28,535.00,540.00,520.00,540.00,0.00,450.00,236490.00,0
2016-07-31,540.00,530.00,520.00,520.00,0.00,310.00,161300.00,0
2016-08-01,520.00,510.00,500.00,500.00,0.00,160.00,81210.00,0
2016-08-02,500.00,510.00,480.00,510.00,0.00,450.00,221460.00,0
2016-08-03,510.00,510.00,500.00,506.00,0.00,800.00,406080.00,0
2016-08-04,506.00,506.00,488.00,488.00,0.00,60.00,29770.00,0
2016-08-07,488.00,530.00,488.00,530.00,0.00,160.00,80280.00,0
2016-08-08,530.00,520.00,510.00,510.00,0.00,130.00,67300.00,0
2016-08-10,510.00,520.00,500.00,500.00,0.00,1031.00,525330.00,0
2016-08-11,500.00,493.00,480.00,485.00,0.00,2410.00,1174910.00,0
2016-08-14,485.00,489.00,472.00,475.00,0.00,480.00,229670.00,0
2016-08-15,475.00,466.00,450.00,465.00,0.00,490.00,226080.00,0
2016-08-16,465.00,456.00,444.00,444.00,0.00,1020.00,457120.00,0
2016-08-17,444.00,455.00,436.00,455.00,0.00,250.00,112600.00,0
2016-08-21,455.00,455.00,450.00,452.00,0.00,60.00,27080.00,0
2016-08-22,452.00,469.00,443.00,443.00,0.00,2380.00,1082300.00,0
2016-08-23,443.00,445.00,440.00,441.00,0.00,440.00,194860.00,0
2016-08-24,441.00,445.00,437.00,445.00,0.00,335.00,148615.00,0
2016-08-28,445.00,440.00,440.00,440.00,0.00,330.00,145200.00,0
2016-08-29,440.00,447.00,427.00,427.00,0.00,110.00,47970.00,0
2016-08-30,427.00,446.00,430.00,440.00,0.00,210.00,91760.00,0
2016-08-31,440.00,432.00,403.00,403.00,0.00,960.00,395140.00,0
2016-09-01,403.00,406.00,396.00,406.00,0.00,580.00,231860.00,0
2016-09-03,406.00,410.00,399.00,410.00,0.00,190.00,77330.00,0
2016-09-04,406.00,410.00,399.00,410.00,0.00,190.00,77330.00,0
2016-09-05,410.00,412.00,402.00,410.00,0.00,160.00,65430.00,0
2016-09-06,410.00,412.00,403.00,405.00,0.00,640.00,259430.00,0
2016-09-07,405.00,413.00,404.00,410.00,0.00,230.00,93930.00,0
2016-09-08,410.00,420.00,406.00,412.00,0.00,250.00,103060.00,0
2016-09-11,412.00,420.00,406.00,415.00,0.00,140.00,57980.00,0
2016-09-12,415.00,412.00,407.00,412.00,0.00,80.00,32700.00,0
2016-09-14,412.00,428.00,412.00,420.00,0.00,760.00,322320.00,0
2016-09-18,420.00,433.00,415.00,430.00,0.00,1360.00,584600.00,0
2016-09-20,430.00,435.00,430.00,435.00,0.00,730.00,317210.00,0
2016-09-21,435.00,435.00,430.00,430.00,0.00,120.00,51950.00,0
2016-09-22,430.00,431.00,422.00,430.00,0.00,499.00,212748.00,0
2016-09-25,430.00,425.00,420.00,420.00,0.00,40.00,16950.00,0
2016-09-26,420.00,425.00,417.00,417.00,0.00,100.00,42170.00,0
2016-09-27,417.00,415.00,410.00,410.00,0.00,80.00,32890.00,0
2016-09-28,410.00,405.00,403.00,403.00,0.00,140.00,56620.00,0
2016-09-29,403.00,400.00,392.00,397.00,0.00,540.00,213370.00,0
2016-10-02,397.00,395.00,394.00,394.00,0.00,80.00,31530.00,0
2016-10-03,394.00,398.00,395.00,398.00,0.00,40.00,15860.00,0
2016-10-04,398.00,398.00,395.00,398.00,0.00,90.00,35580.00,0
2016-10-05,398.00,395.00,395.00,395.00,0.00,40.00,15800.00,0
2016-10-06,395.00,402.00,394.00,402.00,0.00,70.00,27740.00,0
2016-10-16,402.00,402.00,400.00,400.00,0.00,70.00,28050.00,0
2016-10-18,400.00,392.00,392.00,392.00,0.00,10.00,3920.00,0
2016-10-19,392.00,392.00,385.00,392.00,0.00,20.00,7770.00,0
2016-10-20,392.00,399.00,390.00,399.00,0.00,310.00,123010.00,0
2016-10-23,399.00,400.00,398.00,398.00,0.00,50.00,19940.00,0
