published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
1995-07-20,2220.0,2220.0,2220.0,2220.0,0.0,560.0,0.0,0
1995-07-26,2220.0,2442.0,2442.0,2442.0,0.0,150.0,0.0,0
1995-07-30,2442.0,2500.0,2500.0,2500.0,0.0,200.0,0.0,0
1995-08-02,2500.0,2501.0,2501.0,2501.0,0.0,18.0,0.0,0
1995-08-06,2501.0,2500.0,2500.0,2500.0,0.0,40.0,0.0,0
1995-08-08,2500.0,2550.0,2550.0,2550.0,0.0,110.0,0.0,0
1995-08-20,2550.0,2600.0,2600.0,2600.0,0.0,23.0,0.0,0
1995-08-24,2600.0,2650.0,2650.0,2650.0,0.0,200.0,0.0,0
1995-09-11,2650.0,2815.0,2815.0,2815.0,0.0,36.0,0.0,0
1995-09-17,2815.0,3096.0,3096.0,3096.0,0.0,18.0,0.0,0
1995-09-19,3096.0,3405.0,3301.0,3301.0,0.0,346.0,0.0,0
1995-09-27,3301.0,2971.0,2971.0,2971.0,0.0,38.0,0.0,0
1995-10-16,2971.0,3268.0,3268.0,3268.0,0.0,18.0,0.0,0
1995-10-31,3268.0,3594.0,3594.0,3594.0,0.0,210.0,0.0,0
1995-11-02,3594.0,3600.0,3600.0,3600.0,0.0,40.0,0.0,0
1995-11-05,3600.0,3700.0,3700.0,3700.0,0.0,28.0,0.0,0
1995-11-12,3700.0,3600.0,3600.0,3600.0,0.0,160.0,0.0,0
1995-11-16,3600.0,3600.0,3420.0,3420.0,0.0,80.0,0.0,0
1995-11-20,3420.0,3600.0,3600.0,3600.0,0.0,30.0,0.0,0
1995-11-23,3600.0,3600.0,3600.0,3600.0,0.0,10.0,0.0,0
1995-11-27,3600.0,3600.0,3600.0,3600.0,0.0,30.0,0.0,0
1995-12-04,3600.0,3240.0,3240.0,3240.0,0.0,500.0,0.0,0
1995-12-05,3240.0,3465.0,3300.0,3465.0,0.0,162.0,0.0,0
1995-12-06,3465.0,3550.0,3550.0,3550.0,0.0,62.0,0.0,0
1995-12-07,3550.0,3525.0,3525.0,3525.0,0.0,130.0,0.0,0
1995-12-12,3525.0,3525.0,3525.0,3525.0,0.0,200.0,0.0,0
1995-12-17,3525.0,3525.0,3525.0,3525.0,0.0,10.0,0.0,0
1995-12-24,3525.0,3550.0,3550.0,3550.0,0.0,10.0,0.0,0
1995-12-25,3550.0,3600.0,3600.0,3600.0,0.0,100.0,0.0,0
1996-01-04,3600.0,3550.0,3550.0,3550.0,0.0,100.0,0.0,0
1996-01-18,3550.0,3500.0,3500.0,3500.0,0.0,20.0,0.0,0
1996-01-23,3500.0,3495.0,3495.0,3495.0,0.0,50.0,0.0,0
1996-02-05,3495.0,3600.0,3600.0,3600.0,0.0,28.0,0.0,0
1996-02-12,3600.0,3500.0,3500.0,3500.0,0.0,146.0,0.0,0
1996-02-13,3500.0,3576.0,3576.0,3576.0,0.0,500.0,0.0,0
1996-02-18,3576.0,3600.0,3600.0,3600.0,0.0,76.0,0.0,0
1996-02-21,3600.0,3605.0,3605.0,3605.0,0.0,90.0,0.0,0
1996-02-25,3605.0,3605.0,3605.0,3605.0,0.0,45.0,0.0,0
1996-02-28,3605.0,3600.0,3600.0,3600.0,0.0,100.0,0.0,0
1996-03-03,3600.0,3600.0,3600.0,3600.0,0.0,80.0,0.0,0
1996-04-02,3600.0,3260.0,3260.0,3260.0,0.0,45.0,0.0,0
1996-04-23,3260.0,3400.0,3400.0,3400.0,0.0,58.0,0.0,0
1996-05-20,3400.0,3405.0,3405.0,3405.0,0.0,120.0,0.0,0
1996-05-29,3405.0,3400.0,3400.0,3400.0,0.0,100.0,0.0,0
1996-07-04,3400.0,3450.0,3450.0,3450.0,0.0,90.0,0.0,0
1996-07-07,3450.0,3300.0,3300.0,3300.0,0.0,10.0,0.0,0
1996-07-08,3300.0,3400.0,3400.0,3400.0,0.0,456.0,0.0,0
1996-07-09,3400.0,3450.0,3450.0,3450.0,0.0,17.0,0.0,0
1996-07-25,3450.0,3550.0,3550.0,3550.0,0.0,10.0,0.0,0
1996-07-28,3550.0,3200.0,3200.0,3200.0,0.0,72.0,0.0,0
1996-07-30,3200.0,3500.0,3500.0,3500.0,0.0,150.0,0.0,0
1996-08-07,3500.0,3200.0,3200.0,3200.0,0.0,364.0,0.0,0
1996-08-11,3200.0,3501.0,3501.0,3501.0,0.0,60.0,0.0,0
1996-08-13,3501.0,3500.0,3500.0,3500.0,0.0,71.0,0.0,0
1996-08-20,3500.0,3530.0,3530.0,3530.0,0.0,50.0,0.0,0
1996-08-25,3530.0,3530.0,3530.0,3530.0,0.0,35.0,0.0,0
1996-09-02,3530.0,3500.0,3500.0,3500.0,0.0,500.0,0.0,0
1996-09-05,3500.0,3500.0,3325.0,3325.0,0.0,126.0,0.0,0
1996-09-09,3325.0,3500.0,3500.0,3500.0,0.0,10.0,0.0,0
1996-09-12,3500.0,3600.0,3600.0,3600.0,0.0,20.0,0.0,0
1996-09-15,3600.0,3500.0,3500.0,3500.0,0.0,100.0,0.0,0
1996-09-23,3500.0,3500.0,3500.0,3500.0,0.0,52.0,0.0,0
1996-09-24,3500.0,3500.0,3500.0,3500.0,0.0,120.0,0.0,0
1996-09-29,3500.0,3500.0,3500.0,3500.0,0.0,60.0,0.0,0
1996-10-14,3500.0,3445.0,3445.0,3445.0,0.0,30.0,0.0,0
1996-10-15,3445.0,3450.0,3450.0,3450.0,0.0,36.0,0.0,0
1996-10-27,3450.0,3200.0,3200.0,3200.0,0.0,28.0,0.0,0
1996-11-18,3200.0,3200.0,3000.0,3000.0,0.0,404.0,0.0,0
1996-11-19,3000.0,2900.0,2900.0,2900.0,0.0,213.0,0.0,0
1996-11-21,2900.0,3190.0,3190.0,3190.0,0.0,270.0,0.0,0
1996-12-15,3190.0,3501.0,3500.0,3501.0,0.0,85.0,0.0,0
1996-12-26,3501.0,3450.0,3450.0,3450.0,0.0,24.0,0.0,0
1997-01-12,3450.0,3600.0,3600.0,3600.0,0.0,157.0,0.0,0
1997-02-02,3600.0,3601.0,3601.0,3601.0,0.0,500.0,0.0,0
1997-02-17,3601.0,3650.0,3650.0,3650.0,0.0,547.0,0.0,0
1997-02-24,3650.0,3600.0,3500.0,3500.0,0.0,242.0,0.0,0
1997-02-25,3500.0,3500.0,3500.0,3500.0,0.0,66.0,0.0,0
1997-02-26,3500.0,3550.0,3500.0,3500.0,0.0,304.0,0.0,0
1997-05-04,3500.0,3500.0,3500.0,3500.0,0.0,36.0,0.0,0
1997-06-03,3500.0,3150.0,3150.0,3150.0,0.0,44.0,0.0,0
1997-06-05,3150.0,3150.0,3150.0,3150.0,0.0,12.0,0.0,0
1997-06-23,3150.0,3000.0,3000.0,3000.0,0.0,150.0,0.0,0
1997-06-30,3000.0,2800.0,2800.0,2800.0,0.0,15.0,0.0,0
1997-07-02,2800.0,2800.0,2800.0,2800.0,0.0,40.0,0.0,0
1997-07-28,2800.0,2900.0,2900.0,2900.0,0.0,24.0,0.0,0
1997-07-30,2900.0,2850.0,2850.0,2850.0,0.0,76.0,0.0,0
1997-07-31,2850.0,2850.0,2850.0,2850.0,0.0,43.0,0.0,0
1997-08-05,2850.0,2800.0,2800.0,2800.0,0.0,100.0,0.0,0
1997-08-28,2800.0,2750.0,2750.0,2750.0,0.0,118.0,0.0,0
1997-09-08,2750.0,2750.0,2750.0,2750.0,0.0,11.0,0.0,0
1997-09-14,2750.0,2800.0,2800.0,2800.0,0.0,40.0,0.0,0
1997-09-16,2800.0,2800.0,2800.0,2800.0,0.0,63.0,0.0,0
1997-09-17,2800.0,2800.0,2800.0,2800.0,0.0,100.0,0.0,0
1997-09-18,2800.0,2700.0,2700.0,2700.0,0.0,307.0,0.0,0
1997-09-22,2700.0,2600.0,2600.0,2600.0,0.0,43.0,0.0,0
1997-09-24,2600.0,2700.0,2700.0,2700.0,0.0,140.0,0.0,0
1997-10-01,2700.0,2450.0,2450.0,2450.0,0.0,133.0,0.0,0
1997-10-05,2450.0,2450.0,2450.0,2450.0,0.0,20.0,0.0,0
1997-10-22,2450.0,2650.0,2601.0,2650.0,0.0,110.0,0.0,0
1997-10-23,2650.0,2800.0,2800.0,2800.0,0.0,18.0,0.0,0
1997-10-26,2800.0,2600.0,2600.0,2600.0,0.0,200.0,0.0,0
1997-10-27,2600.0,2860.0,2860.0,2860.0,0.0,262.0,0.0,0
1997-10-28,2860.0,2600.0,2600.0,2600.0,0.0,170.0,0.0,0
1997-10-29,2600.0,2800.0,2800.0,2800.0,0.0,26.0,0.0,0
1997-11-04,2800.0,2800.0,2800.0,2800.0,0.0,59.0,0.0,0
1997-11-09,2800.0,2940.0,2800.0,2940.0,0.0,233.0,0.0,0
1997-11-10,2940.0,2750.0,2750.0,2750.0,0.0,157.0,0.0,0
1997-11-18,2750.0,2750.0,2750.0,2750.0,0.0,26.0,0.0,0
1997-11-30,2750.0,3000.0,2860.0,3000.0,0.0,212.0,0.0,0
1997-12-03,3000.0,2875.0,2875.0,2875.0,0.0,100.0,0.0,0
1997-12-09,2875.0,2700.0,2700.0,2700.0,0.0,518.0,0.0,0
1997-12-11,2700.0,2700.0,2700.0,2700.0,0.0,71.0,0.0,0
1997-12-15,2700.0,2700.0,2700.0,2700.0,0.0,52.0,0.0,0
1997-12-16,2700.0,2700.0,2700.0,2700.0,0.0,100.0,0.0,0
1998-02-11,2700.0,2050.0,2050.0,2050.0,0.0,60.0,0.0,0
