published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-06-08,202.8,223.0,202.8,223.0,9.96,3223.0,717242.3,1
2023-06-11,227.4,245.3,227.4,245.3,10.0,2858.0,699718.8,1
2023-06-12,250.2,269.8,250.2,269.8,9.99,12422.0,3350734.6,1
2023-06-13,275.1,296.7,254.6,296.7,9.97,78893.0,21901591.2,1
2023-06-14,302.6,326.3,279.3,319.0,7.52,35632.0,11237285.0,1
2023-06-15,320.0,320.0,300.1,300.3,-5.86,28590.0,8734924.0,-1
2023-06-18,299.0,299.0,277.2,289.1,-3.73,49791.0,14354572.3,-1
2023-06-19,283.5,287.0,278.4,284.6,-1.56,17866.0,5032991.0,-1
2023-06-20,284.0,284.0,274.0,278.0,-2.32,13448.0,3727304.7,-1
2023-06-21,272.5,276.0,267.3,271.0,-2.52,14784.0,4001340.1,-1
2023-06-22,269.0,270.0,261.0,264.0,-2.58,9747.0,2575265.4,-1
2023-06-25,258.8,270.4,252.1,270.0,2.27,22187.0,5730320.7,1
2023-06-26,265.0,280.0,260.0,269.0,-0.37,16541.0,4378570.3,-1
2023-06-27,274.2,274.2,255.1,268.0,-0.37,9935.0,2626895.0,-1
2023-06-28,263.0,273.0,256.1,263.0,-1.87,8720.0,2278987.5,-1
2023-07-02,257.8,258.0,247.4,247.4,-5.93,11249.0,2832487.5,-1
2023-07-03,243.0,252.3,237.0,237.1,-4.16,10062.0,2425419.6,-1
2023-07-04,234.0,239.8,229.5,230.0,-2.99,12012.0,2788389.0,-1
2023-07-05,226.5,249.9,222.0,223.5,-2.83,17941.0,4100656.3,-1
2023-07-06,219.3,227.9,219.3,224.0,0.22,6690.0,1491582.0,1
2023-07-09,224.0,240.7,218.0,229.0,2.23,6683.0,1514040.3,1
2023-07-10,227.0,234.6,222.1,227.4,-0.7,7595.0,1728960.0,-1
2023-07-11,222.9,230.0,222.9,228.0,0.26,10400.0,2354488.0,1
2023-07-12,224.0,244.0,224.0,240.6,5.53,11187.0,2654362.7,1
2023-07-13,236.0,244.9,232.1,236.2,-1.83,8649.0,2065752.0,-1
2023-07-16,231.5,232.2,227.2,232.2,-1.69,5089.0,1164075.0,-1
2023-07-17,228.0,238.7,224.6,235.0,1.21,5512.0,1274761.0,1
2023-07-18,230.3,244.0,226.0,235.0,0.0,7115.0,1665004.0,0
2023-07-19,230.3,238.0,226.3,232.0,-1.28,4989.0,1146294.8,-1
2023-07-20,230.0,236.6,226.0,236.0,1.72,12037.0,2764530.8,1
2023-07-23,231.5,240.6,231.4,235.0,-0.42,5756.0,1356088.0,-1
2023-07-24,236.0,243.6,233.0,236.4,0.6,6918.0,1637562.5,1
2023-07-25,231.7,239.5,228.6,231.0,-2.28,9807.0,2278757.5,-1
2023-07-26,230.0,232.0,226.6,231.0,0.0,5915.0,1354934.2,0
2023-07-27,227.1,231.0,226.4,226.5,-1.95,3740.0,854366.0,-1
2023-07-30,224.0,226.6,223.3,224.2,-1.02,4962.0,1114022.4,-1
2023-07-31,222.1,225.5,222.1,222.6,-0.71,5047.0,1126835.7,-1
2023-08-01,227.0,227.0,215.0,218.0,-2.07,5789.0,1263971.0,-1
2023-08-02,218.0,218.0,212.2,217.0,-0.46,5621.0,1203932.0,-1
2023-08-03,213.0,217.0,212.1,214.1,-1.34,6941.0,1483273.0,-1
2023-08-06,209.9,210.0,206.1,207.5,-3.08,5060.0,1050285.3,-1
2023-08-07,203.4,208.0,203.4,207.0,-0.24,6245.0,1280241.8,-1
2023-08-08,210.0,214.2,200.1,201.1,-2.85,5131.0,1047159.6,-1
2023-08-09,197.3,209.0,197.3,205.0,1.94,4027.0,812190.6,1
2023-08-10,202.0,213.0,202.0,203.8,-0.59,4690.0,962863.1,-1
2023-08-13,203.8,210.0,200.3,201.6,-1.08,10515.0,2149226.6,-1
2023-08-14,200.0,208.0,200.0,202.0,0.2,4015.0,811154.5,1
2023-08-15,200.0,202.0,198.1,198.1,-1.93,4555.0,910254.4,-1
2023-08-16,195.0,198.0,192.2,196.0,-1.06,6020.0,1175079.0,-1
2023-08-17,199.9,199.9,188.6,188.9,-3.62,4100.0,780133.0,-1
2023-08-20,186.0,189.0,181.0,182.0,-3.65,5320.0,974911.0,-1
2023-08-21,179.0,180.0,170.0,172.6,-5.16,6815.0,1191248.3,-1
2023-08-22,171.0,179.5,171.0,178.0,3.13,5301.0,924083.6,1
2023-08-23,176.0,191.7,175.1,191.7,7.7,4836.0,892551.0,1
2023-08-24,191.7,194.2,182.0,183.9,-4.07,4344.0,820506.0,-1
2023-08-27,182.0,182.0,172.0,178.0,-3.21,2044.0,360001.0,-1
2023-08-28,174.5,181.0,174.5,181.0,1.69,3818.0,683200.5,1
2023-08-29,177.5,180.4,175.0,178.0,-1.66,3730.0,663613.0,-1
2023-08-30,175.0,181.5,172.0,175.0,-1.69,3100.0,545342.5,-1
2023-09-03,172.0,175.8,172.0,175.0,0.0,2825.0,488258.5,0
2023-09-04,171.5,182.0,171.5,182.0,4.0,3035.0,530730.5,1
2023-09-05,178.4,181.0,175.5,176.1,-3.24,2889.0,511975.0,-1
2023-09-07,172.9,180.0,172.8,179.0,1.65,5225.0,922847.1,1
2023-09-10,177.0,188.5,176.0,188.0,5.03,4040.0,737353.0,1
2023-09-11,184.4,204.0,181.0,201.0,6.91,10997.0,2166116.2,1
2023-09-12,202.0,210.0,187.4,197.5,-1.74,9425.0,1872759.2,-1
2023-09-13,193.6,212.0,190.0,212.0,7.34,6910.0,1403050.0,1
2023-09-17,207.9,210.0,193.1,195.0,-8.02,19419.0,3878204.1,-1
2023-09-18,191.1,212.1,188.0,212.0,8.72,5990.0,1198863.1,1
2023-09-19,211.0,228.5,199.0,225.0,6.13,25367.0,5520671.6,1
2023-09-21,227.0,242.7,225.1,231.0,2.67,36575.0,8624137.4,1
2023-09-24,232.6,232.6,221.5,222.5,-3.68,14329.0,3247245.6,-1
