published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-06-26,386.00,400.00,393.00,400.00,0.00,44.00,17446.00,0
2011-06-29,400.00,415.00,408.00,415.00,0.00,30.00,12310.00,0
2011-06-30,415.00,430.00,423.00,430.00,0.00,30.00,12830.00,0
2011-07-11,430.00,450.00,422.00,450.00,0.00,112.00,48736.00,0
2011-07-19,450.00,459.00,459.00,459.00,0.00,242.00,111078.00,0
2011-07-20,459.00,465.00,459.00,465.00,0.00,272.00,125028.00,0
2011-07-25,465.00,474.00,474.00,474.00,0.00,14.00,6636.00,0
2011-09-22,474.00,483.00,483.00,483.00,0.00,14.00,6762.00,0
2011-10-19,483.00,485.00,485.00,485.00,0.00,484.00,234740.00,0
2012-01-02,494.00,503.00,503.00,503.00,0.00,22.00,11066.00,0
2012-01-18,503.00,493.00,475.00,475.00,0.00,1815.00,878460.00,0
2012-02-08,475.00,466.00,448.00,448.00,0.00,978.00,442680.00,0
2012-02-09,448.00,440.00,424.00,424.00,0.00,340.00,146176.00,0
2012-02-29,424.00,432.00,432.00,432.00,0.00,22.00,9504.00,0
2012-03-14,432.00,311.00,294.00,294.00,0.00,4356.00,1329306.00,0
2012-03-18,294.00,300.00,294.00,298.00,0.00,71.00,21084.00,0
2012-03-19,298.00,309.00,303.00,309.00,0.00,46.00,14034.00,0
2012-03-20,309.00,319.00,309.00,319.00,0.00,91.00,28605.00,0
2012-03-21,319.00,331.00,325.00,331.00,0.00,48.00,15756.00,0
2012-03-26,331.00,337.00,337.00,337.00,0.00,20.00,6740.00,0
2012-04-15,337.00,343.00,343.00,343.00,0.00,10.00,3430.00,0
2012-04-17,343.00,355.00,349.00,355.00,0.00,50.00,17570.00,0
2012-04-18,355.00,374.00,360.00,374.00,0.00,80.00,29260.00,0
2012-04-19,374.00,402.00,381.00,402.00,0.00,85.00,33120.00,0
2012-05-09,402.00,410.00,410.00,410.00,0.00,95.00,38950.00,0
2012-05-10,410.00,418.00,418.00,418.00,0.00,26.00,10868.00,0
2012-05-14,418.00,426.00,426.00,426.00,0.00,10.00,4260.00,0
2012-05-31,426.00,418.00,418.00,418.00,0.00,10.00,4180.00,0
2012-09-06,418.00,430.00,426.00,430.00,0.00,36.00,15376.00,0
2012-09-12,430.00,430.00,422.00,430.00,0.00,548.00,235408.00,0
2017-08-02,430.00,422.00,422.00,422.00,0.00,22746.00,1990680.00,0
