published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-08-20,292.1,321.3,292.1,321.3,10.0,320.0,100791.7,1
2025-08-21,320.0,353.4,320.0,353.4,9.99,490.0,171408.9,1
2025-08-24,346.8,388.7,346.8,388.7,9.99,545.0,209516.5,1
2025-08-25,383.2,427.5,383.2,427.5,9.98,885.0,376241.5,1
2025-08-26,436.0,470.2,436.0,470.2,9.99,750.0,351809.0,1
2025-08-27,477.0,517.2,477.0,517.2,10.0,2420.0,1249378.0,1
2025-08-28,527.5,568.9,527.5,568.9,10.0,34970.0,19892587.0,1
2025-08-31,580.2,625.7,521.0,542.27,-4.68,328282.0,180510324.8,-1
2025-09-01,543.0,543.0,512.0,515.8,-4.88,176864.0,91630544.2,-1
2025-09-02,520.0,520.0,493.0,494.94,-4.04,75879.0,37822884.9,-1
2025-09-03,485.1,515.0,472.1,483.06,-2.4,71659.0,34887081.4,-1
2025-09-04,475.0,500.0,474.0,495.24,2.52,57229.0,27598746.0,1
2025-09-07,490.0,499.0,475.0,475.82,-3.92,52696.0,25475251.5,-1
2025-09-08,470.0,483.8,455.1,458.92,-3.55,53608.0,24974366.2,-1
2025-09-18,449.8,449.8,413.1,416.0,-9.35,1814.0,786893.5,-1
2025-09-21,410.0,445.0,395.0,437.52,5.17,45519.0,19548353.7,1
2025-09-23,437.0,453.5,437.0,449.8,2.81,40917.0,18336233.4,1
2025-09-24,449.8,469.2,433.1,461.0,2.49,36839.0,16664271.5,1
2025-09-25,470.0,477.0,450.1,459.0,-0.43,47055.0,21955924.6,-1
2025-09-28,455.0,463.0,451.2,459.0,0.0,20632.0,9462162.2,0
2025-10-07,459.0,460.0,440.0,444.9,-3.07,34673.0,15448204.6,-1
2025-10-08,444.9,444.9,426.7,432.0,-2.9,32690.0,14117892.4,-1
2025-10-09,440.0,460.0,430.1,432.0,0.0,26983.0,11896247.4,0
2025-10-12,423.5,440.5,407.0,410.0,-5.09,34247.0,14197767.3,-1
2025-10-13,408.1,423.8,403.0,420.0,2.44,28114.0,11671207.9,1
2025-10-14,416.0,420.0,408.5,409.1,-2.6,14035.0,5780607.6,-1
2025-10-15,417.2,417.2,403.1,411.7,0.64,21279.0,8754046.0,1
2025-10-16,411.0,411.0,397.1,400.0,-2.84,22993.0,9256608.0,-1
2025-10-19,400.0,424.0,397.2,407.9,1.98,11705.0,4736892.1,1
2025-10-26,407.9,415.0,400.0,402.0,-1.45,8288.0,3342287.5,-1
2025-10-28,394.0,418.9,394.0,418.9,4.2,21817.0,8983025.9,1
2025-10-29,412.1,430.0,412.0,415.0,-0.93,23621.0,9912225.5,-1
2025-10-30,409.0,448.8,409.0,437.3,5.37,40896.0,17641471.4,1
2025-11-02,440.0,446.7,432.0,441.0,0.85,40403.0,17824989.3,1
2025-11-03,433.0,447.8,429.0,437.0,-0.91,32879.0,14376208.4,-1
2025-11-04,433.0,445.5,420.0,427.0,-2.29,21850.0,9433240.5,-1
2025-11-05,420.0,430.0,415.0,424.0,-0.7,18083.0,7583120.5,-1
2025-11-06,424.0,430.0,417.8,422.1,-0.45,19186.0,8121419.5,-1
2025-11-09,419.1,452.9,416.0,439.9,4.22,56050.0,24437513.4,1
2025-11-10,441.0,448.6,428.6,433.3,-1.5,26547.0,11632550.2,-1
2025-11-11,425.1,460.0,425.1,450.0,3.85,81917.0,36744444.2,1
2025-11-12,443.0,455.0,437.2,445.0,-1.11,27435.0,12205345.6,-1
2025-11-13,436.9,458.0,436.9,447.0,0.45,37162.0,16560855.4,1
2025-11-16,447.0,454.9,432.0,440.0,-1.57,21049.0,9232122.2,-1
2025-11-17,432.1,445.0,432.1,445.0,1.14,26235.0,11534196.5,1
2025-11-18,453.9,465.0,446.0,464.0,4.27,62716.0,28753713.3,1
2025-11-19,463.0,490.0,463.0,488.0,5.17,124282.0,59643893.3,1
2025-11-20,489.0,506.0,468.2,469.5,-3.79,94449.0,46154473.5,-1
2025-11-23,469.5,487.0,465.3,477.1,1.62,58078.0,27650450.5,1
2025-11-24,467.6,493.0,467.6,480.0,0.61,52082.0,25107230.7,1
2025-11-25,479.0,480.0,468.2,473.7,-1.31,41107.0,19458928.9,-1
2025-11-26,471.5,490.0,467.3,483.4,2.05,41468.0,19876474.6,1
2025-11-27,485.0,492.7,478.1,487.8,0.91,73026.0,35465643.3,1
2025-11-30,482.1,503.0,482.1,490.0,0.45,93046.0,46203173.9,1
2025-12-01,490.0,496.0,476.8,479.9,-2.06,68130.0,33094657.7,-1
2025-12-02,478.0,517.0,473.1,511.0,6.48,99073.0,49438574.3,1
2025-12-03,511.0,545.0,504.5,527.0,3.13,139422.0,73323272.6,1
2025-12-07,527.0,527.0,500.0,506.9,-3.81,104380.0,53564492.7,-1
2025-12-08,506.0,535.0,501.5,528.0,4.16,122440.0,63603442.4,1
2025-12-09,517.5,547.7,517.5,538.9,2.06,75017.0,40393687.9,1
2025-12-10,530.0,535.0,516.0,531.2,-1.43,98999.0,51899504.7,-1
2025-12-11,521.0,556.6,517.1,517.1,-2.65,133391.0,70593335.7,-1
2025-12-14,525.0,527.4,500.2,512.0,-0.99,97568.0,49995723.2,-1
2025-12-15,502.1,514.9,499.8,507.9,-0.8,79709.0,40354311.7,-1
2025-12-16,501.0,510.0,496.0,508.2,0.06,74667.0,37575563.0,1
2025-12-17,505.0,515.1,497.3,497.3,-2.14,69193.0,34727285.6,-1
2025-12-18,502.0,503.9,484.1,485.0,-2.47,100733.0,49444205.1,-1
2025-12-21,475.3,489.6,468.0,475.9,-1.88,79997.0,37896731.3,-1
2025-12-22,476.0,490.0,467.5,489.0,2.75,46456.0,22326506.1,1
2025-12-23,480.1,494.0,477.1,487.0,-0.41,48033.0,23216841.9,-1
2025-12-24,480.5,490.0,475.0,478.0,-1.85,48665.0,23344801.0,-1
2025-12-28,472.0,490.0,472.0,484.0,1.26,48867.0,23585654.2,1
2025-12-29,484.0,485.0,475.0,475.1,-1.84,56150.0,26820516.5,-1
2025-12-31,475.1,497.5,475.1,490.0,3.14,105576.0,51840448.3,1
2026-01-01,491.0,505.0,487.4,497.4,1.51,86888.0,43405764.6,1
2026-01-04,495.0,517.2,490.0,515.0,3.54,146419.0,74430143.3,1
2026-01-05,520.0,547.7,516.1,546.0,6.02,196474.0,105157283.4,1
2026-01-06,550.0,570.0,520.6,530.0,-2.93,180534.0,98132950.8,-1
2026-01-07,523.1,539.9,510.0,513.0,-3.21,106998.0,55547861.8,-1
2026-01-08,513.0,534.0,509.2,533.0,3.9,113701.0,59644763.2,1
2026-01-12,533.0,560.0,530.0,550.0,3.19,192393.0,105517584.8,1
2026-01-13,550.0,574.8,537.0,543.0,-1.27,232119.0,129240456.3,-1
2026-01-14,532.2,551.0,532.0,532.0,-2.03,78218.0,42112011.8,-1
2026-01-18,542.6,553.0,531.2,549.8,3.35,92643.0,50472618.5,1
2026-01-20,555.0,571.0,550.0,552.5,0.49,169106.0,94814941.8,1
2026-01-21,552.0,582.0,552.0,580.0,4.98,213417.0,121489982.2,1
