published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-07-28,334.0,367.4,334.0,367.4,10.0,13720.0,5036712.0,1
2022-07-29,374.7,404.1,363.0,378.0,2.89,55635.0,20842346.1,1
2022-07-31,385.5,395.8,370.0,395.8,4.71,22370.0,8461266.4,1
2022-08-01,395.8,410.1,375.1,406.5,2.7,21390.0,8558967.0,1
2022-08-02,399.0,447.1,398.0,447.1,9.99,41189.0,17660563.0,1
2022-08-03,450.0,482.6,435.0,466.1,4.25,30777.0,14198570.2,1
2022-08-04,466.0,495.5,448.0,487.0,4.48,33555.0,16129705.5,1
2022-08-05,477.5,482.4,459.0,472.1,-3.06,26010.0,12336119.7,-1
2022-08-07,470.0,504.0,465.1,482.0,2.1,27273.0,13109018.2,1
2022-08-08,491.5,520.0,480.0,497.0,3.11,27790.0,13860900.0,1
2022-08-09,488.0,515.0,480.0,487.0,-2.01,19469.0,9474064.0,-1
2022-08-10,477.3,484.5,470.0,477.0,-2.05,14665.0,6969095.0,-1
2022-08-11,468.0,499.0,468.0,468.0,-1.89,18162.0,8653948.5,-1
2022-08-14,463.6,486.0,458.7,459.2,-1.88,15793.0,7290647.9,-1
2022-08-15,459.0,475.2,450.0,475.0,3.44,12940.0,6051166.6,1
2022-08-16,469.9,493.0,458.0,467.0,-1.68,23137.0,10775743.5,-1
2022-08-17,460.0,480.0,453.0,475.0,1.71,26513.0,12493178.5,1
2022-08-18,484.0,499.5,466.1,489.0,2.95,21993.0,10776042.1,1
2022-08-21,498.7,505.0,475.0,476.0,-2.66,15918.0,7703424.7,-1
2022-08-22,466.5,495.0,465.2,481.4,1.13,10150.0,4786722.0,1
2022-08-23,471.8,480.0,467.0,479.0,-0.5,5090.0,2414028.0,-1
2022-08-24,469.5,480.0,461.1,472.0,-1.46,9780.0,4621758.0,-1
2022-08-25,472.0,480.0,460.1,461.0,-2.33,13306.0,6197379.5,-1
2022-08-26,457.0,457.0,449.0,454.9,-1.32,5720.0,2585807.0,-1
2022-08-28,445.9,455.9,428.5,445.0,-2.18,16573.0,7315287.6,-1
2022-08-29,437.0,452.0,423.3,440.0,-1.12,10911.0,4750252.4,-1
2022-08-30,432.0,456.0,432.0,434.0,-1.36,3151.0,1374277.0,-1
2022-08-31,430.0,450.0,412.0,414.0,-4.61,8330.0,3510895.3,-1
2022-09-01,406.1,433.0,400.7,429.0,3.62,5130.0,2141765.0,1
2022-09-02,420.6,444.7,420.1,421.0,-1.86,1210.0,513124.0,-1
2022-09-04,415.0,444.0,415.0,429.0,1.9,5245.0,2235917.0,1
2022-09-05,423.6,437.5,423.6,425.4,-0.84,3360.0,1438730.0,-1
2022-09-06,418.0,433.0,412.0,426.0,0.14,4421.0,1854474.2,1
2022-09-07,417.6,430.0,411.0,421.4,-1.08,1750.0,732858.0,-1
2022-09-08,421.0,437.0,416.7,437.0,3.7,3940.0,1675343.0,1
2022-09-11,431.0,439.0,422.6,427.0,-2.29,3400.0,1451418.0,-1
2022-09-12,418.7,421.0,416.0,420.0,-1.64,3030.0,1266798.0,-1
2022-09-13,415.0,436.5,415.0,421.0,0.24,3790.0,1595917.0,1
2022-09-14,415.0,440.0,415.0,437.0,3.8,13157.0,5643859.8,1
2022-09-15,429.0,430.0,403.1,411.0,-5.95,10060.0,4172264.5,-1
2022-09-16,402.8,423.3,389.0,423.0,2.92,5390.0,2165341.0,1
2022-09-18,414.6,414.6,394.0,409.0,-3.31,5110.0,2048021.0,-1
2022-09-20,405.0,405.0,380.0,388.0,-5.13,4161.0,1614934.0,-1
2022-09-21,395.0,395.0,380.0,380.0,-2.06,2750.0,1054751.0,-1
2022-09-22,375.0,394.0,353.0,360.0,-5.26,16182.0,5896886.8,-1
2022-09-25,360.0,360.0,345.0,354.9,-1.42,2217.0,774577.1,-1
2022-09-27,360.0,367.2,340.0,363.0,2.28,4395.0,1544084.0,1
2022-09-28,355.8,360.0,345.0,345.0,-4.96,1439.0,502062.0,-1
2022-09-29,338.1,361.0,338.1,358.0,3.77,725.0,252600.0,1
2022-10-09,358.0,367.0,348.0,367.0,2.51,870.0,309679.0,1
2022-10-10,368.0,368.0,343.6,367.9,0.25,6495.0,2243502.0,1
2022-10-11,360.6,360.6,336.3,341.5,-7.18,4460.0,1525515.2,-1
2022-10-12,335.1,356.0,331.0,353.6,3.54,1356.0,460161.0,1
2022-10-13,347.0,353.0,341.2,343.0,-3.0,3730.0,1283493.0,-1
2022-10-16,336.2,349.8,330.0,349.8,1.98,4250.0,1426945.0,1
2022-10-17,342.9,342.9,332.0,335.0,-4.23,1020.0,342484.0,-1
2022-10-19,333.0,335.0,322.5,322.5,-3.73,1845.0,602818.0,-1
2022-10-20,316.1,336.6,310.5,336.6,4.37,2581.0,816667.0,1
2022-10-23,329.9,330.3,317.0,327.0,-2.85,770.0,248493.0,-1
2022-10-31,320.5,330.0,310.1,326.0,-0.31,1239.0,396620.5,-1
2022-11-01,320.0,338.1,310.0,328.2,0.67,2085.0,683663.0,1
2022-11-02,334.0,342.0,316.0,333.4,1.58,8536.0,2820104.1,1
2022-11-03,327.1,340.0,327.1,334.0,0.18,7223.0,2396903.0,1
2022-11-06,334.0,343.7,330.0,340.0,1.8,2099.0,712077.4,1
2022-11-07,333.4,370.0,331.0,350.0,2.94,10455.0,3623692.0,1
2022-11-08,343.0,350.0,337.5,350.0,0.0,1170.0,403064.0,0
2022-11-09,343.0,343.0,327.0,332.9,-4.89,4835.0,1610566.0,-1
2022-11-10,328.0,330.0,321.5,327.9,-1.5,4309.0,1403280.6,-1
2022-11-13,321.6,326.0,319.0,319.0,-2.71,3550.0,1145327.0,-1
2022-11-14,317.5,338.0,317.0,327.4,2.63,810.0,262408.0,1
2022-11-15,321.0,328.0,320.0,320.0,-2.26,1660.0,537191.8,-1
2022-11-16,316.8,337.6,316.8,330.0,3.13,4547.0,1487349.2,1
2022-11-17,330.0,341.5,322.0,339.0,2.73,2926.0,991286.4,1
2022-11-22,340.0,350.0,321.1,325.9,-3.86,7559.0,2533744.9,-1
2022-11-23,332.0,332.0,318.8,328.4,0.77,1730.0,558220.8,1
2022-11-24,325.0,335.0,325.0,335.0,2.01,930.0,306286.0,1
2022-11-27,330.0,343.0,323.5,343.0,2.39,3210.0,1082496.2,1
2022-11-28,338.2,341.0,333.0,336.1,-2.01,3947.0,1331814.0,-1
2022-11-29,329.4,345.0,327.2,339.9,1.13,1921.0,649524.2,1
2022-11-30,336.1,350.5,336.1,342.1,0.65,5406.0,1856735.7,1
2022-12-01,336.1,353.0,336.1,344.8,0.79,2760.0,951360.0,1
2022-12-04,344.8,351.0,340.0,351.0,1.8,4805.0,1667171.0,1
2022-12-05,346.0,358.0,339.3,340.0,-3.13,10339.0,3537968.4,-1
2022-12-06,338.0,345.0,338.0,343.1,0.91,4664.0,1597911.0,1
2022-12-07,340.1,346.5,337.1,343.5,0.12,3370.0,1155410.0,1
2022-12-11,337.0,342.0,331.0,341.0,-0.73,3250.0,1099958.0,-1
2022-12-12,334.2,344.9,330.0,344.9,1.14,1535.0,514102.5,1
2022-12-13,338.3,348.0,338.3,348.0,0.9,1640.0,565507.0,1
2022-12-14,343.0,354.5,343.0,350.0,0.57,6181.0,2165538.0,1
2022-12-15,344.0,350.8,340.0,344.0,-1.71,3759.0,1306671.0,-1
2022-12-18,338.0,340.0,330.0,340.0,-1.16,8570.0,2856339.0,-1
