published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2016-11-20,675.00,688.00,638.00,655.00,0.00,77691.00,50652744.00,0
2016-11-21,655.00,669.00,631.00,658.00,0.00,67806.00,44022568.00,0
2016-11-22,658.00,659.00,615.00,644.00,0.00,58544.00,37697392.00,0
2016-11-23,644.00,650.00,620.00,630.00,0.00,77629.00,49037932.00,0
2016-11-24,630.00,654.00,620.00,629.00,0.00,63443.00,40128468.00,0
2016-11-27,629.00,635.00,611.00,617.00,0.00,73178.00,45405732.00,0
2016-11-28,617.00,650.00,595.00,646.00,0.00,109608.00,67365568.00,0
2016-11-29,646.00,658.00,609.00,651.00,0.00,96962.00,62635768.00,0
2016-11-30,651.00,675.00,652.00,669.00,0.00,90494.00,60208032.00,0
2016-12-01,669.00,682.00,654.00,669.00,0.00,66851.00,44807864.00,0
2016-12-04,669.00,681.00,649.00,660.00,0.00,40874.00,27080926.00,0
2016-12-05,660.00,660.00,646.00,653.00,0.00,45679.00,29750944.00,0
2016-12-06,653.00,670.00,647.00,660.00,0.00,38914.00,25497642.00,0
2016-12-07,660.00,673.00,633.00,658.00,0.00,31067.00,20399428.00,0
2016-12-08,658.00,658.00,650.00,656.00,0.00,20692.00,13528561.00,0
2016-12-11,656.00,658.00,640.00,641.00,0.00,34307.00,22225576.00,0
2016-12-12,641.00,648.00,620.00,637.00,0.00,26635.00,16925878.00,0
2016-12-14,637.00,645.00,635.00,639.00,0.00,25739.00,16442300.00,0
2016-12-15,639.00,651.00,635.00,650.00,0.00,27803.00,17887178.00,0
2016-12-18,650.00,650.00,638.00,646.00,0.00,41502.00,26637396.00,0
2016-12-19,646.00,650.00,636.00,643.00,0.00,34377.00,21994584.00,0
2016-12-20,643.00,640.00,625.00,625.00,0.00,25930.00,16437553.00,0
2016-12-21,625.00,627.00,620.00,621.00,0.00,29990.00,18687144.00,0
2016-12-22,621.00,626.00,615.00,620.00,0.00,19840.00,12332470.00,0
2016-12-26,620.00,615.00,600.00,603.00,0.00,55924.00,33782624.00,0
2016-12-27,603.00,609.00,578.00,595.00,0.00,43724.00,25960532.00,0
2016-12-28,595.00,607.00,592.00,600.00,0.00,29792.00,17824864.00,0
2016-12-29,600.00,625.00,596.00,615.00,0.00,42205.00,25813924.00,0
2017-01-01,615.00,631.00,620.00,625.00,0.00,29831.00,18595774.00,0
2017-01-02,625.00,640.00,623.00,625.00,0.00,37538.00,23650798.00,0
2017-01-03,625.00,627.00,610.00,612.00,0.00,25697.00,15894419.00,0
2017-01-04,612.00,618.00,600.00,614.00,0.00,16585.00,10162839.00,0
2017-01-05,614.00,632.00,603.00,612.00,0.00,21291.00,13111973.00,0
2017-01-08,612.00,614.00,606.00,613.00,0.00,149829.00,91243152.00,0
2017-01-09,613.00,616.00,610.00,616.00,0.00,14193.00,8704056.00,0
2017-01-10,616.00,626.00,617.00,621.00,0.00,16048.00,9987547.00,0
2017-01-11,621.00,626.00,619.00,619.00,0.00,11953.00,7429264.00,0
2017-01-12,619.00,620.00,614.00,614.00,0.00,11035.00,6811290.00,0
2017-01-15,614.00,616.00,610.00,612.00,0.00,10360.00,6339781.00,0
2017-01-16,612.00,613.00,608.00,609.00,0.00,7024.00,4284353.00,0
2017-01-17,609.00,611.00,600.00,610.00,0.00,19781.00,12020579.00,0
2017-01-18,610.00,613.00,608.00,611.00,0.00,11726.00,7163864.00,0
2017-01-19,611.00,611.00,601.00,609.00,0.00,9518.00,5793197.00,0
2017-01-22,609.00,611.00,605.00,606.00,0.00,12086.00,7338585.00,0
2017-01-23,606.00,607.00,600.00,603.00,0.00,17889.00,10770634.00,0
2017-01-24,603.00,603.00,590.00,596.00,0.00,21459.00,12776623.00,0
2017-01-25,596.00,596.00,578.00,585.00,0.00,18628.00,10866042.00,0
2017-01-26,585.00,585.00,565.00,570.00,0.00,32501.00,18644180.00,0
2017-01-30,570.00,573.00,537.00,540.00,0.00,37872.00,20671684.00,0
2017-01-31,540.00,560.00,510.00,545.00,0.00,16759.00,8955600.00,0
2017-02-01,545.00,573.00,548.00,573.00,0.00,24179.00,13625747.00,0
2017-02-02,573.00,595.00,560.00,570.00,0.00,28786.00,16529866.00,0
2017-02-05,570.00,565.00,553.00,558.00,0.00,8133.00,4548835.00,0
2017-02-06,558.00,561.00,544.00,550.00,0.00,12842.00,7071894.00,0
2017-02-07,550.00,550.00,534.00,548.00,0.00,7990.00,4338677.00,0
2017-02-08,548.00,550.00,535.00,541.00,0.00,15736.00,8511349.00,0
2017-02-09,541.00,540.00,525.00,526.00,0.00,24053.00,12776920.00,0
2017-02-12,526.00,525.00,500.00,508.00,0.00,25795.00,13269350.00,0
2017-02-13,508.00,527.00,490.00,525.00,0.00,52492.00,26344512.00,0
2017-02-14,525.00,528.00,512.00,519.00,0.00,26751.00,13932842.00,0
2017-02-15,519.00,531.00,513.00,531.00,0.00,39286.00,20487912.00,0
2017-02-16,531.00,548.00,526.00,548.00,0.00,76411.00,40961688.00,0
2017-02-19,548.00,558.00,539.00,548.00,0.00,57690.00,31654600.00,0
2017-02-20,548.00,559.00,544.00,546.00,0.00,58284.00,32133076.00,0
2017-02-21,546.00,564.00,539.00,539.00,0.00,43351.00,23744428.00,0
2017-02-22,539.00,545.00,530.00,531.00,0.00,27687.00,14853621.00,0
2017-02-23,531.00,536.00,529.00,529.00,0.00,87307.00,46478112.00,0
2017-02-26,430.00,426.00,408.00,412.00,0.00,21747.00,9044099.00,0
2017-02-28,412.00,412.00,401.00,409.00,0.00,13178.00,5361811.00,0
2017-03-01,409.00,416.00,409.00,415.00,0.00,8384.00,3457952.00,0
2017-03-02,415.00,418.00,413.00,417.00,0.00,8740.00,3633825.00,0
2017-03-05,417.00,420.00,410.00,418.00,0.00,15674.00,6548196.00,0
2017-03-06,418.00,435.00,417.00,423.00,0.00,12979.00,5497401.00,0
2017-03-07,423.00,423.00,415.00,416.00,0.00,8537.00,3550995.00,0
