published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-11-10,302.4,332.6,302.4,332.6,9.99,190.0,61389.0,1
2025-11-11,339.2,365.8,339.2,365.8,9.98,290.0,105427.0,1
2025-11-12,373.1,402.3,373.1,402.3,9.98,520.0,208479.0,1
2025-11-13,410.3,442.5,410.3,442.5,9.99,4850.0,2145334.0,1
2025-11-16,451.3,486.7,451.3,486.7,9.99,11500.0,5594965.0,1
2025-11-17,496.4,535.3,451.0,535.3,9.99,114540.0,57033915.0,1
2025-11-18,545.9,588.8,535.0,588.8,9.99,40870.0,23071952.0,1
2025-11-19,600.0,647.6,561.0,647.6,9.99,36430.0,22660841.0,1
2025-11-20,634.7,634.7,582.9,589.0,-9.05,154398.0,92764782.5,-1
2025-11-23,580.0,593.0,546.9,579.9,-1.54,87382.0,50358925.6,-1
2025-11-24,591.4,591.4,559.6,568.9,-1.9,48456.0,27698688.6,-1
2025-11-25,560.0,591.0,554.0,588.1,3.37,51448.0,28896006.2,1
2025-11-26,577.0,585.0,566.0,568.6,-3.32,35305.0,20342445.4,-1
2025-11-27,562.59,582.0,558.1,565.0,-0.63,30000.0,17083086.2,-1
2025-11-30,557.2,568.2,555.0,555.2,-1.73,34190.0,19153117.5,-1
2025-12-01,550.0,565.0,544.0,562.0,1.22,32047.0,17813465.0,1
2025-12-02,562.0,618.2,552.4,618.2,10.0,140946.0,84855338.2,1
2025-12-03,630.5,675.0,620.0,658.0,6.44,110513.0,72603664.8,1
2025-12-07,644.9,644.9,595.1,602.0,-8.51,155524.0,96010268.9,-1
2025-12-08,590.0,605.1,582.0,600.0,-0.33,52224.0,31193810.1,-1
2025-12-09,612.0,635.5,600.0,632.0,5.33,34665.0,21518169.5,1
2025-12-10,620.0,635.0,611.3,616.0,-2.53,65680.0,41006204.5,-1
2025-12-11,606.1,625.0,602.0,606.0,-1.62,43989.0,26877521.3,-1
2025-12-14,600.0,607.0,590.3,591.0,-2.48,27175.0,16197686.1,-1
2025-12-15,585.0,607.0,585.0,594.0,0.51,31029.0,18463979.8,1
2025-12-16,590.1,630.0,588.5,611.0,2.86,40189.0,24686504.0,1
2025-12-17,605.0,623.0,600.2,612.0,0.16,18698.0,11353666.3,1
2025-12-18,600.0,633.2,600.0,620.9,1.45,112831.0,70241242.9,1
2025-12-21,620.9,630.0,610.2,620.0,-0.14,58542.0,36358897.9,-1
2025-12-22,632.4,632.4,598.1,600.0,-3.23,60902.0,36960305.0,-1
2025-12-23,590.1,604.0,580.0,585.2,-2.47,46819.0,27665546.3,-1
2025-12-24,580.0,596.0,570.0,575.0,-1.74,55434.0,32194421.5,-1
2025-12-28,575.0,596.7,565.0,590.0,2.61,52920.0,30887228.9,1
2025-12-29,578.3,601.8,578.3,590.0,0.0,43251.0,25503425.3,0
2025-12-31,590.0,604.0,586.5,592.0,0.34,57437.0,34113523.7,1
2026-01-01,587.0,644.0,587.0,620.3,4.78,188747.0,116656783.7,1
2026-01-04,620.0,643.0,616.0,640.0,3.18,111305.0,70562668.0,1
2026-01-05,645.0,695.0,640.2,694.0,8.44,103420.0,69159198.2,1
2026-01-06,695.0,729.3,643.9,666.0,-4.03,67157.0,46435075.6,-1
2026-01-07,670.0,693.5,646.0,650.1,-2.39,68663.0,45684574.8,-1
2026-01-08,650.1,656.0,625.3,637.5,-1.94,150364.0,95599814.2,-1
2026-01-12,637.5,673.0,632.0,672.0,5.41,99233.0,65160540.1,1
2026-01-13,672.0,681.0,646.0,647.0,-3.72,77131.0,50613187.3,-1
2026-01-14,659.9,659.9,635.1,637.2,-1.51,35411.0,22699624.5,-1
2026-01-18,628.1,683.9,628.1,677.0,6.25,119975.0,79998205.9,1
2026-01-20,690.0,723.0,677.3,700.2,3.43,120617.0,84503451.5,1
2026-01-21,702.0,714.2,687.8,689.2,-1.57,66185.0,46145798.0,-1
2026-01-22,689.3,736.0,680.2,710.0,3.02,135587.0,95539160.8,1
2026-01-25,710.0,770.0,710.0,752.0,5.92,117900.0,88059025.0,1
2026-01-26,755.0,803.0,714.0,780.0,3.72,215586.0,160115318.3,1
2026-01-27,781.0,822.0,755.0,762.0,-2.31,82827.0,65437019.7,-1
2026-01-28,760.0,780.0,731.1,772.0,1.31,90583.0,68321128.7,1
2026-01-29,772.0,772.0,720.0,720.0,-6.74,103510.0,76416272.5,-1
2026-02-01,710.0,720.0,695.8,702.0,-2.5,40218.0,28305357.1,-1
2026-02-02,714.8,752.0,696.0,740.0,5.41,57882.0,42378159.9,1
2026-02-03,749.9,750.0,710.6,720.0,-2.7,35538.0,25737303.7,-1
2026-02-04,720.0,734.0,701.2,705.0,-2.08,29817.0,21214227.1,-1
2026-02-05,715.0,715.0,700.2,708.8,0.54,35758.0,25213754.2,1
2026-02-08,715.0,718.0,691.8,691.8,-2.4,32238.0,22714861.8,-1
2026-02-09,694.0,699.9,656.1,670.0,-3.15,42632.0,28741616.1,-1
2026-02-10,660.0,693.9,660.0,672.0,0.3,26352.0,17787705.7,1
2026-02-11,685.0,685.2,652.0,663.0,-1.34,16616.0,11005567.1,-1
2026-02-12,651.0,675.0,642.0,647.0,-2.41,25892.0,16894438.8,-1
2026-02-16,647.0,670.0,643.5,661.0,2.16,24556.0,16247770.3,1
2026-02-17,661.0,670.0,645.0,648.0,-1.97,19262.0,12614918.1,-1
2026-02-22,642.0,642.9,626.1,630.0,-2.78,22907.0,14494486.2,-1
2026-02-23,639.0,639.0,620.0,624.0,-0.95,12090.0,7549991.7,-1
2026-02-24,616.0,647.7,616.0,646.0,3.53,20441.0,12943126.6,1
2026-02-25,650.0,660.5,643.0,649.0,0.46,18029.0,11741526.2,1
2026-02-26,649.0,652.0,632.3,642.0,-1.08,9866.0,6301476.2,-1
2026-03-01,629.2,643.8,629.2,638.5,-0.55,16757.0,10671648.9,-1
2026-03-03,645.0,659.9,635.2,658.9,3.19,22141.0,14470364.3,1
2026-03-09,672.0,713.0,672.0,713.0,8.21,891.0,628308.0,1
2026-03-10,727.0,727.0,680.0,689.9,-3.24,42165.0,29354253.8,-1
2026-03-11,689.0,694.0,666.5,666.6,-3.38,23470.0,15942479.2,-1
2026-03-12,679.0,679.0,654.0,665.0,-0.24,21212.0,14130670.2,-1
2026-03-15,665.0,677.5,650.0,655.2,-1.47,20702.0,13612637.0,-1
2026-03-16,650.0,667.4,640.0,648.0,-1.1,26699.0,17331084.3,-1
2026-03-17,648.0,655.0,637.2,638.2,-1.51,13955.0,8991713.5,-1
2026-03-19,632.1,657.0,632.1,645.0,1.07,33530.0,21711793.4,1
2026-03-22,656.9,657.9,645.0,650.0,0.78,28819.0,18705285.6,1
2026-03-23,649.0,657.8,645.0,652.0,0.31,29163.0,18971384.7,1
2026-03-24,650.0,660.9,647.1,655.9,0.6,20475.0,13370268.0,1
2026-03-25,663.0,678.0,647.1,665.5,1.46,33893.0,22526009.7,1
2026-03-26,673.0,686.0,666.1,678.0,1.88,32916.0,22356038.1,1
2026-03-29,664.5,684.9,650.0,653.0,-3.69,22456.0,14876660.1,-1
2026-03-30,645.1,653.0,633.0,635.0,-2.76,18046.0,11592855.5,-1
2026-03-31,626.0,640.0,614.0,626.0,-1.42,23577.0,14780219.4,-1
2026-04-01,620.0,634.9,605.7,611.0,-2.4,19951.0,12361130.7,-1
2026-04-02,600.0,620.0,599.0,612.0,0.16,16792.0,10216786.5,1
2026-04-05,602.0,602.0,558.0,564.0,-7.84,25673.0,14861712.5,-1
2026-04-06,555.1,598.0,555.1,580.0,2.84,17129.0,9955929.8,1
2026-04-07,588.9,595.0,578.4,584.0,0.69,13100.0,7685120.6,1
2026-04-08,588.6,626.0,582.0,623.0,6.68,33455.0,20547773.3,1
2026-04-09,634.9,648.7,612.0,633.0,1.61,27276.0,17460727.9,1
2026-04-10,640.0,640.0,612.7,622.9,-1.6,19547.0,12148342.2,-1
2026-04-13,610.8,623.0,600.0,615.0,-1.27,17249.0,10574650.9,-1
2026-04-15,615.0,633.3,610.1,618.0,0.49,15769.0,9878921.0,1
2026-04-16,615.0,625.0,601.0,605.0,-2.1,19013.0,11558928.5,-1
2026-04-17,598.1,621.0,596.1,618.1,2.17,24626.0,14864124.4,1
2026-04-20,631.2,631.2,596.1,628.8,1.73,22429.0,13896305.8,1
2026-04-21,617.0,628.1,611.5,619.0,-1.56,12926.0,8037703.8,-1
2026-04-22,603.0,617.8,595.0,610.0,-1.45,17239.0,10432159.4,-1
2026-04-23,601.2,607.9,592.0,596.4,-2.23,11698.0,7000121.2,-1
2026-04-24,586.0,597.0,585.0,591.2,-0.87,8118.0,4792005.5,-1
2026-04-27,591.2,603.0,590.0,600.0,1.49,12977.0,7710787.4,1
2026-04-28,570.0,603.0,570.0,594.0,-1.0,15363.0,9028442.4,-1
2026-04-29,594.0,589.9,560.1,570.0,-4.04,18619.0,10627796.1,-1
2026-04-30,560.0,579.8,555.0,571.0,0.18,8665.0,4894635.5,1
2026-05-04,550.0,573.0,550.0,560.0,-1.93,7211.0,4050679.2,-1
2026-05-05,555.1,573.9,555.0,567.0,1.25,7867.0,4437129.0,1
2026-05-06,556.0,570.0,556.0,565.0,-0.35,3497.0,1966858.0,-1
2026-05-07,560.0,570.0,557.1,562.0,-0.53,3992.0,2244910.1,-1
2026-05-08,560.1,575.0,560.1,569.1,1.26,7311.0,4174112.8,1
2026-05-11,569.0,595.0,569.0,595.0,4.55,15122.0,8815906.1,1
2026-05-12,600.0,610.0,570.0,583.0,-2.02,19837.0,11626699.8,-1
2026-05-13,570.0,583.0,565.8,582.0,-0.17,8505.0,4890602.8,-1
2026-05-14,570.2,584.9,570.2,583.8,0.31,6832.0,3956388.7,1
2026-05-15,572.0,592.0,572.0,589.8,1.03,12169.0,7075990.0,1
2026-05-18,590.0,631.5,589.0,627.1,6.32,76742.0,47405125.8,1
2026-05-19,625.0,654.0,625.0,635.1,1.28,97455.0,62693588.2,1
2026-05-20,636.0,688.9,636.0,682.8,7.51,137677.0,92946695.5,1
2026-05-21,682.8,746.0,661.0,746.0,9.26,197708.0,135920486.3,1
2026-05-22,708.7,814.0,680.0,814.0,9.12,145025.0,104640151.3,1
2026-05-25,773.3,773.3,706.0,730.0,-10.32,113158.0,83682767.3,-1
2026-05-26,730.0,737.7,710.0,732.1,0.29,101332.0,74064442.6,1
2026-05-27,702.0,841.0,702.0,841.0,14.88,197734.0,147429598.6,1
2026-06-01,799.0,799.0,723.0,730.0,-13.2,104206.0,77330890.0,-1
2026-06-02,730.0,730.0,675.0,697.2,-4.49,92390.0,64546886.9,-1
2026-06-03,663.0,740.0,663.0,732.0,4.99,68798.0,49855705.8,1
2026-06-04,736.0,743.6,720.0,720.0,-1.64,87099.0,63787241.5,-1
2026-06-05,684.0,730.0,684.0,700.1,-2.76,59295.0,42276210.0,-1
2026-06-08,735.1,735.1,682.1,686.0,-2.01,24953.0,17197457.8,-1
2026-06-09,686.0,700.2,670.0,688.1,0.31,36335.0,24862278.2,1
2026-06-10,688.1,735.0,688.1,733.1,6.54,92750.0,66795800.5,1
2026-06-11,730.9,751.0,720.0,731.0,-0.29,222281.0,164508029.8,-1
2026-06-12,694.5,735.0,673.7,710.0,-2.87,35379.0,25110415.3,-1
2026-06-15,700.1,718.0,700.1,709.9,-0.01,36086.0,25617471.3,-1
2026-06-16,745.3,767.6,690.0,747.9,5.35,164406.0,121632378.8,1
2026-06-17,750.0,820.0,735.1,818.0,9.37,232796.0,178335352.2,1
2026-06-18,777.1,895.0,755.0,888.0,8.56,161716.0,125480106.9,1
2026-06-19,843.6,843.6,754.8,777.4,-12.45,148991.0,113992598.4,-1
2026-06-22,754.2,810.0,722.0,810.0,4.19,123995.0,94904730.0,1
2026-06-23,769.5,769.5,688.5,688.5,-15.0,185057.0,131287767.1,-1
2026-06-24,700.0,703.0,662.0,669.0,-2.83,36626.0,24556035.8,-1
2026-06-25,655.0,701.0,653.8,658.0,-1.64,27718.0,18494368.8,-1
2026-06-26,669.9,682.0,652.0,662.0,0.61,59751.0,39995389.3,1
2026-06-29,662.0,674.0,651.0,671.5,1.44,43084.0,28687020.5,1
2026-06-30,705.0,705.0,625.7,639.0,-4.84,45755.0,30142504.2,-1
2026-07-01,639.0,660.0,621.0,637.0,-0.31,26572.0,17165073.4,-1
2026-07-02,650.0,658.0,636.0,652.0,2.35,33044.0,21389903.9,1
2026-07-03,652.0,669.7,652.0,665.1,2.01,33322.0,22149801.7,1
2026-07-06,690.0,690.0,620.8,630.0,-5.28,85489.0,55012626.9,-1
2026-07-07,630.0,650.0,629.5,635.0,0.79,79467.0,50546537.6,1
2026-07-08,635.0,654.0,587.0,600.5,-5.43,84365.0,51701496.5,-1
2026-07-09,600.0,605.0,578.0,585.0,-2.58,42423.0,24754030.0,-1
2026-07-10,571.1,609.0,571.1,600.1,2.58,39341.0,23470169.9,1
2026-07-13,616.9,616.9,568.5,575.0,-4.18,36819.0,21415686.0,-1
