published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-07-18,1000.0,1000.0,1000.0,1000.0,0.0,25.0,25000.0,0
2022-07-19,980.1,980.1,922.5,922.5,-7.75,50.0,47842.0,-1
2022-07-20,905.0,905.0,874.6,890.0,-3.52,235.0,207609.5,-1
2022-07-21,873.0,880.2,873.0,880.2,-1.1,100.0,87835.0,-1
2022-07-24,870.0,897.6,865.4,897.6,1.98,200.0,175814.5,1
2022-07-25,879.9,885.0,877.0,878.0,-2.18,125.0,109997.5,-1
2022-07-26,895.5,899.9,882.0,882.0,0.46,75.0,66935.0,1
2022-07-27,869.6,878.0,869.6,878.0,-0.45,50.0,43690.0,-1
2022-07-31,875.0,892.5,875.0,892.5,1.65,40.0,35262.5,1
2022-08-01,886.0,886.0,884.0,884.0,-0.95,50.0,44250.0,-1
2022-08-02,870.0,881.0,870.0,881.0,-0.34,150.0,130905.0,-1
2022-08-03,885.0,885.0,885.0,885.0,0.45,50.0,44250.0,1
2022-08-04,885.0,885.0,884.1,884.1,-0.1,20.0,17691.0,-1
2022-08-07,880.0,880.0,876.1,876.1,-0.9,55.0,48302.5,-1
2022-08-09,877.1,890.0,877.1,890.0,1.59,50.0,44177.5,1
2022-08-10,880.0,880.0,880.0,880.0,-1.12,25.0,22000.0,-1
2022-08-11,880.2,881.0,880.2,881.0,0.11,55.0,48431.0,1
2022-08-14,881.0,881.0,881.0,881.0,0.0,30.0,26430.0,0
2022-08-16,895.0,895.0,881.3,881.3,0.03,50.0,44407.5,1
2022-08-17,866.0,883.3,866.0,883.3,0.23,50.0,43732.5,1
2022-08-21,880.1,885.0,880.1,885.0,0.19,50.0,44127.5,1
2022-08-22,868.6,892.7,868.6,892.7,0.87,50.0,43770.0,1
2022-08-23,876.0,890.0,874.9,880.0,-1.42,160.0,140638.5,-1
2022-08-24,870.0,870.0,866.0,868.3,-1.33,95.0,82431.0,-1
2022-08-25,871.5,871.5,871.5,871.5,0.37,25.0,21787.5,1
2022-08-28,870.1,870.1,870.0,870.0,-0.17,235.0,204471.0,-1
2022-08-30,870.6,871.2,870.6,871.2,0.14,75.0,65322.5,1
2022-08-31,873.1,873.1,871.4,871.4,0.02,75.0,65440.5,1
2022-09-04,866.0,880.0,866.0,873.0,0.18,205.0,179175.0,1
2022-09-07,870.0,870.0,870.0,870.0,-0.34,25.0,21750.0,-1
2022-09-11,870.0,870.0,870.0,870.0,0.0,25.0,21750.0,0
2022-09-18,853.1,854.1,853.1,854.1,-1.83,50.0,42680.0,-1
2022-09-20,849.0,849.0,849.0,849.0,-0.6,25.0,21225.0,-1
2022-09-22,843.2,847.4,843.2,847.4,-0.19,75.0,63345.0,-1
2022-09-25,864.3,864.3,864.3,864.3,1.99,190.0,164217.0,1
2022-09-28,880.0,880.0,863.0,863.0,-0.15,75.0,65405.0,-1
2022-09-29,848.1,848.1,848.0,848.0,-1.74,50.0,42402.5,-1
2022-10-09,850.1,850.1,850.1,850.1,0.25,95.0,80759.5,1
2022-10-11,867.1,884.0,867.1,884.0,3.99,95.0,83055.0,1
2022-10-13,866.4,866.4,866.4,866.4,-1.99,25.0,21660.0,-1
2022-10-20,855.0,855.0,855.0,855.0,-1.32,25.0,21375.0,-1
2022-10-23,855.0,855.0,845.0,845.0,-1.17,100.0,85250.0,-1
2022-11-01,849.9,849.9,849.9,849.9,0.58,25.0,21247.5,1
2022-11-02,850.0,850.0,850.0,850.0,0.01,50.0,42500.0,1
2022-11-06,834.3,834.3,834.3,834.3,-1.85,25.0,20857.5,-1
2022-11-07,840.1,856.9,840.1,856.9,2.71,50.0,42425.0,1
2022-11-10,845.1,845.1,845.1,845.1,-1.38,50.0,42255.0,-1
2022-11-13,842.5,842.5,842.5,842.5,-0.31,25.0,21062.5,-1
2022-11-14,842.5,842.5,842.5,842.5,0.0,25.0,21062.5,0
2022-11-15,859.3,859.3,859.3,859.3,1.99,25.0,21482.5,1
2022-11-23,850.0,850.0,850.0,850.0,-1.08,25.0,21250.0,-1
2022-11-24,850.0,855.0,850.0,855.0,0.59,60.0,51175.0,1
2022-11-28,850.0,858.0,850.0,858.0,0.35,50.0,42700.0,1
2022-11-29,858.0,858.0,858.0,858.0,0.0,500.0,429000.0,0
2022-11-30,845.0,845.0,842.0,842.0,-1.86,95.0,80140.0,-1
2022-12-01,842.0,850.1,842.0,850.1,0.96,50.0,42302.5,1
2022-12-04,850.0,850.0,850.0,850.0,-0.01,60.0,51000.0,-1
2022-12-05,850.0,850.0,850.0,850.0,0.0,25.0,21250.0,0
2022-12-12,840.0,840.0,840.0,840.0,-1.18,25.0,21000.0,-1
2022-12-13,836.0,836.0,836.0,836.0,-0.48,25.0,20900.0,-1
2022-12-14,838.0,838.0,838.0,838.0,0.24,25.0,20950.0,1
2022-12-18,838.0,838.0,838.0,838.0,0.0,25.0,20950.0,0
2022-12-19,838.5,840.0,838.5,839.0,0.12,65.0,54546.5,1
2022-12-20,838.5,850.0,838.5,850.0,1.31,50.0,42212.5,1
2022-12-21,850.0,850.0,850.0,850.0,0.0,25.0,21250.0,0
2022-12-27,841.0,850.0,840.0,850.0,0.0,225.0,189700.0,0
2022-12-28,850.0,850.0,850.0,850.0,0.0,50.0,42500.0,0
2022-12-29,851.0,851.0,851.0,851.0,0.12,15.0,12765.0,1
2023-01-01,865.0,868.0,865.0,868.0,2.0,125.0,108200.0,1
2023-01-03,868.0,870.0,868.0,870.0,0.23,125.0,108700.0,1
2023-01-05,887.4,887.4,887.4,887.4,2.0,10.0,8874.0,1
2023-01-08,885.0,885.0,885.0,885.0,-0.27,40.0,35400.0,-1
2023-01-09,900.0,900.0,900.0,900.0,1.69,15.0,13500.0,1
2023-01-18,882.0,882.0,882.0,882.0,-2.0,25.0,22050.0,-1
2023-01-24,879.9,882.0,879.9,882.0,0.0,240.0,211525.0,0
2023-02-02,864.4,864.5,864.4,864.5,-1.98,50.0,43222.5,-1
2023-02-05,847.3,847.3,847.3,847.3,-1.99,25.0,21182.5,-1
2023-02-06,850.0,850.0,850.0,850.0,0.32,25.0,21250.0,1
2023-02-07,850.0,850.0,850.0,850.0,0.0,25.0,21250.0,0
2023-02-08,850.0,850.0,833.1,833.1,-1.99,52.0,43743.7,-1
2023-02-12,833.0,833.0,833.0,833.0,-0.01,45.0,37485.0,-1
2023-02-14,825.6,840.0,825.6,840.0,0.84,135.0,112578.0,1
2023-02-15,829.1,829.1,829.1,829.1,-1.3,50.0,41455.0,-1
2023-02-22,830.0,830.0,826.4,826.4,-0.33,45.0,37260.0,-1
2023-02-23,819.3,819.3,816.0,816.2,-1.23,845.0,690790.5,-1
2023-02-26,826.0,826.0,826.0,826.0,1.2,30.0,24780.0,1
2023-02-27,813.0,813.0,813.0,813.0,-1.57,25.0,20325.0,-1
2023-02-28,829.0,829.0,829.0,829.0,1.97,155.0,128495.0,1
2023-03-05,829.0,829.0,829.0,829.0,0.0,50.0,41450.0,0
