published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-20,225.0,221.0,221.0,221.0,0.0,20.0,4420.0,0
2011-03-25,206.0,210.0,210.0,210.0,0.0,20.0,4200.0,0
2011-03-27,210.0,214.0,211.0,212.0,0.0,270.0,57200.0,0
2011-03-28,212.0,216.0,215.0,215.0,0.0,50.0,10790.0,0
2011-03-30,215.0,215.0,211.0,211.0,0.0,540.0,116060.0,0
2011-03-31,211.0,215.0,214.0,215.0,0.0,70.0,15030.0,0
2011-04-04,215.0,211.0,210.0,210.0,0.0,60.0,12610.0,0
2011-04-05,210.0,209.0,209.0,209.0,0.0,120.0,25080.0,0
2011-04-06,209.0,205.0,197.0,197.0,0.0,60.0,11990.0,0
2011-04-07,197.0,194.0,188.0,188.0,0.0,150.0,28510.0,0
2011-04-10,188.0,188.0,188.0,188.0,0.0,20.0,3760.0,0
2011-04-11,188.0,185.0,179.0,179.0,0.0,170.0,30580.0,0
2011-04-13,179.0,179.0,176.0,179.0,0.0,110.0,19630.0,0
2011-04-17,179.0,177.0,177.0,177.0,0.0,110.0,19470.0,0
2011-04-19,177.0,177.0,174.0,174.0,0.0,50.0,8820.0,0
2011-04-20,174.0,171.0,157.0,157.0,0.0,250.0,40390.0,0
2011-04-21,157.0,155.0,146.0,146.0,0.0,290.0,44000.0,0
2011-04-25,146.0,151.0,147.0,150.0,0.0,370.0,55180.0,0
2011-05-02,150.0,150.0,150.0,150.0,0.0,100.0,15000.0,0
2011-05-03,150.0,153.0,153.0,153.0,0.0,30.0,4590.0,0
2011-05-10,153.0,155.0,155.0,155.0,0.0,20.0,3100.0,0
2011-05-12,155.0,154.0,154.0,154.0,0.0,10.0,1540.0,0
2011-05-16,154.0,155.0,155.0,155.0,0.0,20.0,3100.0,0
2011-05-18,155.0,155.0,155.0,155.0,0.0,160.0,24800.0,0
2011-05-23,155.0,152.0,152.0,152.0,0.0,10.0,1520.0,0
2011-05-24,152.0,154.0,151.0,152.0,0.0,200.0,30480.0,0
2011-05-25,152.0,150.0,150.0,150.0,0.0,30.0,4500.0,0
2011-05-26,150.0,152.0,152.0,152.0,0.0,110.0,16720.0,0
2011-05-30,152.0,149.0,147.0,147.0,0.0,80.0,11850.0,0
2011-06-01,147.0,147.0,147.0,147.0,0.0,10.0,1470.0,0
2011-06-02,147.0,149.0,149.0,149.0,0.0,20.0,2980.0,0
2011-06-05,149.0,147.0,145.0,145.0,0.0,50.0,7270.0,0
2011-06-07,145.0,143.0,143.0,143.0,0.0,10.0,1430.0,0
2011-06-08,143.0,141.0,141.0,141.0,0.0,10.0,1410.0,0
2011-06-12,141.0,139.0,137.0,137.0,0.0,80.0,11000.0,0
2011-06-13,137.0,135.0,131.0,131.0,0.0,50.0,6630.0,0
2011-06-19,131.0,131.0,131.0,131.0,0.0,50.0,6550.0,0
2011-06-20,131.0,131.0,131.0,131.0,0.0,50.0,6550.0,0
2011-07-03,129.0,129.0,129.0,129.0,0.0,10.0,1290.0,0
2011-07-05,129.0,127.0,119.0,119.0,0.0,180.0,22360.0,0
2011-07-07,119.0,117.0,117.0,117.0,0.0,200.0,23400.0,0
