published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2006-06-13,800.0,281.0,276.0,281.0,nan,260950.0,0.0,0
2006-06-14,281.0,336.0,295.0,336.0,19.57,99810.0,0.0,0
2006-06-15,336.0,352.0,352.0,352.0,4.76,1540.0,0.0,0
2006-06-18,352.0,369.0,369.0,369.0,4.83,300.0,0.0,0
2006-06-20,369.0,387.0,387.0,387.0,4.88,3640.0,0.0,0
2006-06-21,387.0,412.0,406.0,412.0,6.46,16180.0,0.0,0
2006-06-22,412.0,414.0,413.0,414.0,0.49,11060.0,0.0,0
2006-06-25,414.0,425.0,420.0,420.0,1.45,5450.0,0.0,0
2006-06-26,420.0,406.0,405.0,406.0,-3.33,5200.0,0.0,0
2006-06-27,406.0,386.0,380.0,381.0,-6.16,13280.0,0.0,0
2006-06-28,381.0,375.0,362.0,362.0,-4.99,6360.0,0.0,0
2006-06-29,362.0,368.0,360.0,368.0,1.66,2800.0,0.0,0
2006-07-02,368.0,375.0,369.0,375.0,1.90,3400.0,0.0,0
2006-07-03,375.0,377.0,377.0,377.0,0.53,450.0,0.0,0
2006-07-04,377.0,397.0,383.0,391.0,3.71,9550.0,0.0,0
2006-07-05,391.0,398.0,390.0,398.0,1.79,4660.0,0.0,0
2006-07-06,398.0,396.0,394.0,396.0,-0.50,2580.0,0.0,0
2006-07-09,396.0,400.0,396.0,400.0,1.01,755.0,0.0,0
2006-07-10,400.0,401.0,397.0,401.0,0.25,3150.0,0.0,0
2006-07-12,401.0,403.0,400.0,400.0,-0.25,1230.0,0.0,0
2006-07-13,400.0,401.0,398.0,401.0,0.25,4620.0,0.0,0
2006-07-16,401.0,400.0,400.0,400.0,-0.25,350.0,0.0,0
2006-07-17,400.0,398.0,395.0,395.0,-1.25,2550.0,0.0,0
2006-07-18,395.0,395.0,395.0,395.0,0.0,1870.0,0.0,0
2006-07-19,395.0,395.0,390.0,390.0,-1.27,8850.0,0.0,0
2006-07-20,390.0,390.0,390.0,390.0,0.0,5000.0,0.0,0
2006-07-24,390.0,390.0,390.0,390.0,0.0,1970.0,0.0,0
