published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-07-05,625.00,669.00,620.00,654.00,5.31,51282.00,33328063.00,1
2021-07-06,663.00,663.00,630.00,643.00,-1.68,26520.00,17217690.00,-1
2021-07-07,635.00,645.00,625.00,635.00,-1.24,21037.00,13344093.00,-1
2021-07-08,623.00,636.00,617.00,623.00,-1.89,18339.00,11462081.00,-1
2021-07-11,610.00,644.00,610.00,635.00,1.93,30632.00,19366527.00,1
2021-07-12,635.00,645.00,616.00,620.00,-2.36,20503.00,12839503.00,-1
2021-07-13,613.00,620.00,608.00,610.00,-1.61,15988.00,9810703.00,-1
2021-07-14,610.00,628.00,604.00,620.00,1.64,10935.00,6746705.00,1
2021-07-15,620.00,630.00,611.00,619.00,-0.16,12077.00,7453652.00,-1
2021-07-18,620.00,626.00,614.00,620.10,0.18,12597.00,7791193.00,1
2021-07-19,625.00,644.00,620.00,642.00,3.53,28160.00,17844606.00,1
2021-07-20,631.40,700.00,630.00,690.00,7.48,85932.00,58010019.20,1
2021-07-22,700.00,759.00,690.00,759.00,10.00,105781.00,78166684.50,1
2021-07-25,760.00,810.00,758.00,806.00,6.19,106809.00,84892159.00,1
2021-07-26,822.10,840.00,777.00,836.00,3.72,87376.00,70532485.60,1
2021-07-27,836.00,850.00,805.00,827.00,-1.08,54095.00,44868020.50,-1
2021-07-28,816.00,830.00,785.00,817.00,-1.21,48150.00,38921256.00,-1
2021-07-29,817.00,818.00,787.00,800.00,-2.08,51189.00,41059604.50,-1
2021-08-01,800.00,880.00,800.00,877.00,9.63,78768.00,65684547.00,1
2021-08-02,890.00,894.50,844.00,845.00,-3.65,78313.00,67466456.00,-1
2021-08-03,845.00,912.80,835.00,912.80,8.02,65324.00,56854735.80,1
2021-08-04,931.00,1000.00,913.00,975.00,6.81,91969.00,89763361.70,1
2021-08-05,975.00,992.00,937.00,941.00,-3.49,59129.00,56473288.00,-1
2021-08-08,925.00,955.00,908.00,940.00,-0.11,58440.00,54918125.00,-1
2021-08-09,926.00,970.00,926.00,949.00,0.96,46679.00,44545092.00,1
2021-08-10,949.00,970.00,930.10,935.00,-1.48,29357.00,27671512.80,-1
2021-08-11,940.00,1028.50,932.00,1009.00,7.91,67588.00,66611564.00,1
2021-08-12,1010.00,1085.00,991.00,1050.00,4.06,62758.00,66066316.00,1
2021-08-15,1050.00,1060.80,990.00,1030.00,-1.90,88109.00,89168384.80,-1
2021-08-16,1010.00,1049.00,990.00,1038.00,0.78,59174.00,59814463.30,1
2021-08-17,1038.00,1141.80,1023.40,1141.80,10.00,70567.00,78415315.30,1
2021-08-18,1164.60,1255.90,1164.60,1238.00,8.43,88969.00,109698032.90,1
2021-08-19,1238.00,1326.00,1197.00,1324.00,6.95,104850.00,129509073.10,1
2021-08-24,1320.00,1415.00,1301.00,1364.00,3.02,96331.00,130980058.50,1
2021-08-25,1364.00,1364.00,1275.00,1350.00,-1.03,71923.00,94442287.10,-1
2021-08-26,1323.00,1404.00,1300.00,1330.00,-1.48,48706.00,65183408.70,-1
2021-08-29,1303.40,1330.00,1260.00,1260.00,-5.26,54903.00,70702190.00,-1
2021-08-31,1285.20,1285.20,1221.10,1224.00,-2.86,47528.00,59588804.00,-1
2021-09-01,1200.00,1247.00,1190.00,1206.00,-1.47,41831.00,51000053.80,-1
2021-09-02,1190.00,1210.00,1153.00,1180.00,-2.16,38383.00,45443664.10,-1
2021-09-05,1160.00,1160.00,1062.00,1062.00,-10.00,52972.00,58110220.00,-1
2021-09-06,1050.00,1168.20,1017.00,1160.00,9.23,50341.00,56031694.80,1
2021-09-07,1182.00,1183.00,1088.80,1109.00,-4.40,75336.00,83599653.50,-1
2021-09-08,1087.00,1100.00,1070.10,1080.00,-2.61,10209.00,11081086.50,-1
2021-09-09,1089.90,1122.00,1060.00,1098.00,1.67,21737.00,23889270.20,1
2021-09-12,1119.00,1155.00,1100.00,1139.00,3.73,43308.00,48712789.00,1
2021-09-13,1139.00,1157.00,1109.50,1120.00,-1.67,36653.00,41536110.90,-1
2021-09-14,1108.60,1142.00,1107.00,1129.00,0.80,32044.00,36065628.10,1
2021-09-15,1113.00,1119.00,1093.00,1100.00,-2.57,13973.00,15427111.00,-1
2021-09-16,1078.00,1100.00,1021.00,1035.00,-5.91,29509.00,31022274.00,-1
2021-09-20,1015.00,1018.00,931.50,960.00,-7.25,48667.00,46169578.00,-1
2021-09-21,940.80,980.00,905.20,950.00,-1.04,22974.00,21898832.90,-1
2021-09-22,967.50,1035.00,967.50,1024.00,7.79,19431.00,19701795.40,1
2021-09-23,1044.00,1044.40,980.00,1015.00,-0.88,23233.00,23385790.40,-1
2021-09-26,994.70,1035.30,955.00,960.00,-5.42,15730.00,15281727.10,-1
2021-09-27,960.00,980.00,905.10,922.00,-3.96,18953.00,17674938.00,-1
2021-09-28,903.60,915.00,845.90,870.00,-5.64,28135.00,24535322.00,-1
2021-09-29,852.70,917.40,852.70,906.50,4.20,22115.00,19587058.50,1
2021-09-30,920.00,920.00,862.40,864.10,-4.68,13440.00,11884372.80,-1
2021-10-03,869.00,869.00,785.00,829.00,-4.06,17166.00,14090686.10,-1
2021-10-04,812.50,828.00,775.00,800.00,-3.50,11095.00,8856603.00,-1
2021-10-05,784.00,830.00,784.00,830.00,3.75,12010.00,9826091.00,1
2021-10-06,844.90,913.00,829.10,908.00,9.40,10083.00,8875409.00,1
2021-10-10,926.10,926.10,860.00,860.00,-5.29,11906.00,10573632.00,-1
2021-10-11,860.00,877.20,825.20,831.00,-3.37,8577.00,7155464.00,-1
2021-10-17,823.00,847.50,800.30,820.00,-1.32,8851.00,7157873.00,-1
2021-10-18,804.00,804.00,759.10,779.00,-5.00,25182.00,19433063.20,-1
2021-10-19,763.50,763.50,708.00,735.90,-5.53,16941.00,12422438.30,-1
2021-10-20,750.60,809.40,741.50,809.40,9.99,84960.00,64151764.30,1
2021-10-21,825.00,825.50,766.10,790.00,-2.40,10993.00,8770167.50,-1
2021-10-24,774.20,858.80,774.20,835.00,5.70,25013.00,20821632.00,1
2021-10-25,850.00,882.00,840.00,881.90,5.62,43356.00,37502401.40,1
2021-10-26,899.50,916.00,880.00,900.00,2.05,43299.00,38798300.80,1
2021-10-27,900.00,920.00,869.20,910.00,1.11,34115.00,30841025.20,1
2021-10-28,905.00,949.00,887.00,949.00,4.29,27491.00,25164776.30,1
2021-10-31,930.10,979.00,920.00,974.00,2.63,20249.00,19378008.80,1
2021-11-01,990.00,990.00,930.00,930.00,-4.52,32439.00,30732309.50,-1
2021-11-02,912.00,945.00,894.00,943.60,1.46,21303.00,19654192.00,1
2021-11-03,962.00,975.00,935.00,942.00,-0.17,14059.00,13373756.20,-1
2021-11-08,935.00,960.00,925.00,935.00,-0.74,7419.00,6979087.90,-1
2021-11-09,937.00,937.00,863.10,875.40,-6.37,28640.00,25588817.00,-1
2021-11-11,857.90,889.00,843.00,850.00,-2.90,15791.00,13562511.00,-1
2021-11-14,845.00,868.00,819.00,850.00,0.00,18176.00,15293965.30,0
2021-11-15,850.00,879.00,850.00,868.80,2.21,15253.00,13247333.00,1
2021-11-16,886.10,907.00,869.00,907.00,4.40,20374.00,18125294.20,1
2021-11-17,912.00,965.00,905.00,923.00,1.76,22227.00,20739693.10,1
2021-11-18,905.10,926.00,892.00,906.00,-1.84,21455.00,19413613.90,-1
