published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-09-17,163.00,165.00,158.00,159.00,0.00,248.00,39778.00,0
2017-09-18,159.00,165.00,157.00,163.00,0.00,603.00,97469.00,0
2017-09-20,163.00,165.00,161.00,161.00,0.00,131.00,21205.00,0
2017-09-24,161.00,163.00,158.00,163.00,0.00,618.00,99240.00,0
2017-09-25,163.00,169.00,166.00,169.00,0.00,80.00,13490.00,0
2017-09-26,169.00,179.00,169.00,175.00,0.00,1151.00,199407.00,0
2017-10-03,175.00,175.00,172.00,172.00,0.00,150.00,26148.00,0
2017-10-04,172.00,172.00,172.00,172.00,0.00,40.00,6880.00,0
2017-10-08,172.00,173.00,166.00,173.00,0.00,94.00,15900.00,0
2017-10-09,173.00,170.00,168.00,168.00,0.00,172.00,29084.00,0
2017-10-10,168.00,168.00,163.00,168.00,0.00,228.00,37866.00,0
2017-10-11,168.00,168.00,165.00,168.00,0.00,76.00,12690.00,0
2017-10-12,168.00,174.00,168.00,173.00,0.00,92.00,15796.00,0
2017-10-15,173.00,176.00,171.00,176.00,0.00,352.00,61108.00,0
2017-10-16,176.00,185.00,179.00,185.00,0.00,541.00,97977.00,0
2017-10-17,185.00,196.00,183.00,196.00,0.00,1005.00,190129.00,0
2017-10-18,196.00,196.00,195.00,196.00,0.00,30.00,5870.00,0
2017-10-22,196.00,199.00,196.00,199.00,0.00,56.00,11054.00,0
2017-10-23,199.00,198.00,192.00,195.00,0.00,422.00,82204.00,0
2017-10-24,195.00,205.00,195.00,205.00,0.00,888.00,176844.00,0
2017-10-25,205.00,213.00,201.00,201.00,0.00,1238.00,250886.00,0
2017-10-29,201.00,199.00,197.00,199.00,0.00,20.00,3960.00,0
2017-10-30,199.00,197.00,196.00,196.00,0.00,88.00,17258.00,0
2017-10-31,196.00,195.00,190.00,195.00,0.00,351.00,67361.00,0
2017-11-01,195.00,194.00,192.00,194.00,0.00,197.00,38188.00,0
2017-11-02,194.00,194.00,190.00,190.00,0.00,258.00,49241.00,0
2017-11-05,190.00,196.00,187.00,196.00,0.00,199.00,37756.00,0
2017-11-06,196.00,196.00,190.00,194.00,0.00,114.00,22000.00,0
