published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-08-10,437.00,440.00,432.00,432.00,0.00,72.00,31184.00,0
2011-08-11,432.00,440.00,440.00,440.00,0.00,11.00,4840.00,0
2011-09-13,440.00,448.00,448.00,448.00,0.00,31.00,13888.00,0
2011-09-15,448.00,446.00,446.00,446.00,0.00,45.00,20070.00,0
2011-10-16,446.00,450.00,450.00,450.00,0.00,20.00,9000.00,0
2011-10-17,450.00,451.00,451.00,451.00,0.00,112.00,50512.00,0
2011-10-23,451.00,445.00,445.00,445.00,0.00,124.00,55180.00,0
2011-10-31,445.00,453.00,453.00,453.00,0.00,10.00,4530.00,0
2011-11-15,453.00,455.00,451.00,455.00,0.00,124.00,56172.00,0
2011-11-16,455.00,450.00,450.00,450.00,0.00,248.00,111600.00,0
2011-12-13,450.00,480.00,459.00,480.00,0.00,215.00,101748.00,0
2011-12-14,480.00,489.00,489.00,489.00,0.00,31.00,15159.00,0
2011-12-27,489.00,498.00,498.00,498.00,0.00,62.00,30876.00,0
2012-01-01,498.00,489.00,489.00,489.00,0.00,50.00,24450.00,0
2012-01-08,489.00,517.00,498.00,507.00,0.00,107.00,54174.00,0
2012-01-09,507.00,517.00,517.00,517.00,0.00,12.00,6204.00,0
2012-01-10,489.00,532.00,522.00,532.00,0.00,40.00,21080.00,0
2012-01-23,532.00,562.00,541.00,552.00,0.00,127.00,69653.00,0
2012-01-26,552.00,563.00,563.00,563.00,0.00,15.00,8445.00,0
2012-01-29,563.00,563.00,563.00,563.00,0.00,62.00,34906.00,0
2012-01-31,563.00,574.00,563.00,574.00,0.00,25.00,14240.00,0
2012-02-01,574.00,574.00,574.00,574.00,0.00,50.00,28700.00,0
2012-02-12,574.00,563.00,563.00,563.00,0.00,52.00,29276.00,0
2012-02-15,563.00,596.00,574.00,596.00,0.00,104.00,61489.00,0
2012-02-21,596.00,610.00,607.00,610.00,0.00,43.00,26131.00,0
2012-02-23,610.00,620.00,620.00,620.00,0.00,20.00,12400.00,0
2012-02-26,620.00,644.00,632.00,644.00,0.00,46.00,29444.00,0
2012-02-28,644.00,669.00,656.00,669.00,0.00,70.00,46275.00,0
2012-03-04,669.00,670.00,670.00,670.00,0.00,10.00,6700.00,0
2012-03-06,670.00,675.00,675.00,675.00,0.00,62.00,41850.00,0
2012-03-11,675.00,675.00,675.00,675.00,0.00,126.00,85050.00,0
2012-03-15,675.00,682.00,682.00,682.00,0.00,15.00,10230.00,0
2012-03-20,682.00,682.00,670.00,677.00,0.00,2063.00,1382400.00,0
2012-03-21,677.00,675.00,670.00,675.00,0.00,110.00,73750.00,0
2012-03-25,675.00,680.00,670.00,670.00,0.00,71.00,47970.00,0
2012-03-29,670.00,657.00,632.00,640.00,0.00,449.00,287675.00,0
2012-04-01,640.00,628.00,628.00,628.00,0.00,40.00,25120.00,0
2012-04-02,628.00,616.00,616.00,616.00,0.00,52.00,32032.00,0
2012-04-05,616.00,604.00,604.00,604.00,0.00,156.00,94224.00,0
2012-04-09,604.00,593.00,593.00,593.00,0.00,40.00,23720.00,0
2012-04-12,593.00,600.00,600.00,600.00,0.00,45.00,27000.00,0
2012-05-02,600.00,591.00,590.00,590.00,0.00,198.00,116966.00,0
2012-05-08,590.00,592.00,591.00,592.00,0.00,144.00,85144.00,0
2012-05-09,592.00,603.00,603.00,603.00,0.00,40.00,24120.00,0
2012-05-10,603.00,615.00,615.00,615.00,0.00,38.00,23370.00,0
2012-05-21,615.00,627.00,615.00,627.00,0.00,360.00,221880.00,0
2012-05-22,627.00,627.00,627.00,627.00,0.00,160.00,100320.00,0
2012-05-24,627.00,639.00,639.00,639.00,0.00,40.00,25560.00,0
2012-05-30,639.00,630.00,630.00,630.00,0.00,40.00,25200.00,0
2012-06-04,630.00,625.00,620.00,623.00,0.00,220.00,136849.00,0
2012-06-05,623.00,635.00,620.00,630.00,0.00,412.00,257621.00,0
2012-06-06,630.00,618.00,618.00,618.00,0.00,72.00,44496.00,0
2012-06-11,618.00,620.00,620.00,620.00,0.00,48.00,29760.00,0
2012-06-12,620.00,630.00,620.00,630.00,0.00,29.00,18120.00,0
2012-06-13,630.00,640.00,630.00,640.00,0.00,133.00,84190.00,0
2012-06-17,640.00,678.00,652.00,678.00,0.00,71.00,47189.00,0
2012-06-18,678.00,691.00,691.00,691.00,0.00,16.00,11056.00,0
2012-06-19,691.00,691.00,691.00,691.00,0.00,30.00,20730.00,0
2012-06-20,691.00,756.00,704.00,756.00,0.00,538.00,394546.00,0
2012-07-04,756.00,560.00,560.00,560.00,0.00,100.00,56000.00,0
2012-07-05,560.00,576.00,555.00,576.00,0.00,251.00,141345.00,0
2012-07-08,576.00,587.00,587.00,587.00,0.00,10.00,5870.00,0
2012-07-09,587.00,576.00,555.00,555.00,0.00,122.00,68030.00,0
2012-07-11,555.00,566.00,566.00,566.00,0.00,25.00,14150.00,0
2012-07-12,566.00,577.00,566.00,566.00,0.00,28.00,15958.00,0
2012-07-18,566.00,570.00,570.00,570.00,0.00,34.00,19380.00,0
2012-07-25,570.00,581.00,581.00,581.00,0.00,10.00,5810.00,0
2012-07-30,581.00,592.00,592.00,592.00,0.00,31.00,18352.00,0
2012-08-23,592.00,603.00,603.00,603.00,0.00,34.00,20502.00,0
2012-08-27,603.00,615.00,615.00,615.00,0.00,10.00,6150.00,0
2012-09-09,615.00,627.00,627.00,627.00,0.00,40.00,25080.00,0
2012-09-10,627.00,677.00,639.00,677.00,0.00,160.00,105990.00,0
2012-09-11,677.00,703.00,690.00,703.00,0.00,160.00,110920.00,0
2012-09-12,703.00,745.00,717.00,745.00,0.00,35.00,25515.00,0
2012-09-13,745.00,759.00,759.00,759.00,0.00,40.00,30360.00,0
2012-09-19,759.00,774.00,759.00,774.00,0.00,186.00,143034.00,0
2012-09-20,774.00,789.00,789.00,789.00,0.00,40.00,31560.00,0
2012-09-23,789.00,851.00,804.00,851.00,0.00,225.00,187845.00,0
2012-09-24,851.00,897.00,855.00,880.00,0.00,184.00,162376.00,0
2012-09-25,880.00,913.00,897.00,900.00,0.00,340.00,306534.00,0
