published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-04-30,1000.0,1030.0,1000.0,1020.0,0.0,275.0,280820.0,0
2024-05-02,1020.0,1025.1,1020.0,1025.1,0.5,190.0,194177.5,1
2024-05-05,1025.0,1030.0,1020.0,1021.3,-0.37,230.0,235170.5,-1
2024-05-06,1030.0,1030.0,1010.5,1020.0,-0.13,248.0,252627.5,-1
2024-05-07,1020.0,1020.0,1020.0,1020.0,0.0,102.0,104040.0,0
2024-05-08,1020.0,1020.0,1015.0,1015.0,-0.49,50.0,50925.0,-1
2024-05-09,1008.0,1015.0,1008.0,1015.0,0.0,130.0,131620.0,0
2024-05-12,1035.3,1035.3,1035.3,1035.3,2.0,25.0,25882.5,1
2024-05-13,1020.7,1020.7,1020.7,1020.7,-1.41,25.0,25517.5,-1
2024-05-14,1040.0,1059.0,1019.2,1059.0,3.75,225.0,234052.5,1
2024-05-15,1038.0,1038.0,1026.0,1026.0,-3.12,50.0,51600.0,-1
2024-05-16,1025.0,1025.0,1022.2,1023.0,-0.29,150.0,153495.0,-1
2024-05-19,1022.2,1035.3,1016.9,1035.0,1.17,135.0,138396.5,1
2024-05-20,1055.0,1075.0,1053.5,1074.5,3.82,387.0,412739.0,1
2024-05-22,1055.0,1055.0,1055.0,1055.0,-1.81,100.0,105500.0,-1
2024-05-27,1050.0,1050.0,1050.0,1050.0,-0.47,25.0,26250.0,-1
2024-05-29,1029.1,1029.1,1023.0,1024.2,-2.46,125.0,128110.0,-1
2024-06-02,1020.1,1040.0,1020.1,1040.0,1.54,150.0,155495.0,1
2024-06-03,1040.0,1040.0,1023.1,1023.1,-1.63,55.0,56777.5,-1
2024-06-04,1043.5,1043.5,1043.5,1043.5,1.99,50.0,52175.0,1
2024-06-06,1022.7,1024.0,1022.7,1024.0,-1.87,50.0,51167.5,-1
2024-06-09,1022.2,1022.2,1022.2,1022.2,-0.18,25.0,25555.0,-1
2024-06-10,1025.0,1025.0,1025.0,1025.0,0.27,28.0,28752.8,1
2024-06-11,1025.0,1025.0,1025.0,1025.0,0.0,25.0,25625.0,0
2024-06-12,1023.0,1023.1,1023.0,1023.0,-0.2,50.0,51149.1,-1
2024-06-13,1023.1,1023.3,1023.1,1023.1,0.01,150.0,153483.0,1
2024-06-18,1025.0,1026.0,1025.0,1025.0,0.19,150.0,153767.5,1
2024-06-19,1045.5,1065.8,1045.5,1065.8,3.98,68.0,71882.8,1
2024-06-23,1045.0,1045.0,1045.0,1045.0,-1.95,25.0,26125.0,-1
2024-06-27,1025.3,1045.8,1025.3,1045.8,0.08,75.0,77902.5,1
2024-06-30,1064.0,1088.0,1064.0,1087.5,3.99,198.0,213126.1,1
2024-07-08,1065.8,1065.8,1045.0,1045.0,-3.91,50.0,52666.0,-1
2024-07-11,1040.0,1040.0,1040.0,1040.0,-0.48,40.0,41600.0,-1
2024-07-15,1040.0,1058.0,1040.0,1058.0,1.73,50.0,52450.0,1
2024-07-16,1050.0,1050.0,1006.0,1006.0,-4.91,45.0,46035.0,-1
2024-07-17,1000.1,1000.1,1000.1,1000.1,-0.59,50.0,50005.0,-1
2024-07-18,1000.5,1000.5,1000.0,1000.0,-0.01,173.0,173025.0,-1
2024-07-21,1000.1,1002.0,1000.1,1002.0,0.2,70.0,70092.5,1
2024-07-22,1002.0,1009.0,1002.0,1009.0,0.7,150.0,151102.5,1
2024-07-23,1015.0,1015.0,1015.0,1015.0,0.59,25.0,25375.0,1
2024-07-24,1020.0,1029.5,1020.0,1020.0,0.49,163.0,166845.0,1
2024-07-25,1030.0,1050.6,1030.0,1030.0,0.98,67.0,69525.0,1
2024-07-28,1011.9,1030.0,1011.9,1030.0,0.0,35.0,35597.5,0
2024-07-29,1031.0,1031.0,1031.0,1031.0,0.1,100.0,103100.0,1
2024-07-30,1050.0,1070.0,1040.0,1040.0,0.87,180.0,190405.0,1
2024-08-01,1030.0,1050.0,1030.0,1041.0,0.1,75.0,78025.0,1
2024-08-05,1055.0,1076.0,1055.0,1074.0,3.17,217.0,232142.0,1
2024-08-08,1074.0,1095.0,1074.0,1095.0,1.96,300.0,325612.5,1
2024-08-14,1080.0,1080.0,1080.0,1080.0,-1.37,25.0,27000.0,-1
2024-08-15,1080.0,1080.0,1080.0,1080.0,0.0,40.0,43200.0,0
2024-08-21,1065.0,1065.0,1065.0,1065.0,-1.39,50.0,53250.0,-1
2024-08-22,1051.0,1051.0,1051.0,1051.0,-1.31,50.0,52550.0,-1
2024-08-25,1045.0,1045.0,1045.0,1045.0,-0.57,30.0,31350.0,-1
2024-08-27,1050.0,1050.0,1050.0,1050.0,0.48,25.0,26250.0,1
2024-09-01,1052.0,1070.0,1052.0,1070.0,1.9,75.0,79350.0,1
2024-09-02,1070.0,1070.0,1070.0,1070.0,0.0,25.0,26750.0,0
2024-09-03,1070.0,1070.0,1070.0,1070.0,0.0,25.0,26750.0,0
2024-09-04,1072.0,1072.0,1072.0,1072.0,0.19,120.0,128640.0,1
2024-09-05,1072.0,1072.0,1072.0,1072.0,0.0,50.0,53600.0,0
2024-09-08,1070.0,1070.0,1051.1,1051.1,-1.95,50.0,53027.5,-1
