published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-20,127.0,126.0,126.0,126.0,0.0,500.0,63000.0,0
2011-04-05,126.0,138.0,132.0,138.0,0.0,65.0,8850.0,0
2011-04-06,138.0,148.0,144.0,148.0,0.0,30.0,4380.0,0
2011-04-07,148.0,150.0,150.0,150.0,0.0,10.0,1500.0,0
2011-04-10,150.0,156.0,153.0,156.0,0.0,20.0,3090.0,0
2011-04-19,156.0,153.0,150.0,150.0,0.0,204289.0,30686216.0,0
2011-04-20,150.0,148.0,148.0,148.0,0.0,680.0,100640.0,0
2011-04-27,148.0,146.0,146.0,146.0,0.0,517.0,75482.0,0
2011-05-04,146.0,144.0,144.0,144.0,0.0,20.0,2880.0,0
2011-06-07,144.0,142.0,140.0,140.0,0.0,1631.0,228420.0,0
2018-09-23,0.0,0.0,0.0,0.0,0.0,398977.0,8777494.0,0
2018-09-25,22.0,22.0,22.0,22.0,0.0,564931.0,12428482.0,0
2018-09-26,22.0,22.0,22.0,22.0,0.0,1570175.0,34543848.0,0
2019-05-21,22.0,22.0,22.0,22.0,0.0,328568.0,7228496.0,0
