published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-11-22,9.0,9.9,9.0,9.9,10.0,8000.0,77953.0,1
2020-11-23,9.82,9.99,9.82,9.85,-0.51,15820.0,156161.7,-1
2020-11-24,9.82,10.0,9.81,9.81,-0.41,4010.0,39527.2,-1
2020-11-25,9.7,10.15,9.7,10.15,3.47,14100.0,140197.0,1
2020-11-26,9.95,10.09,9.76,10.02,-1.28,8060.0,80630.7,-1
2020-11-29,10.0,10.21,9.87,10.1,0.8,43400.0,434733.0,1
2020-11-30,10.1,10.1,9.9,10.0,-0.99,6830.0,68178.0,-1
2020-12-01,10.0,10.1,9.95,10.05,0.5,14850.0,148511.0,1
2020-12-02,9.95,10.0,9.9,9.9,-1.49,27100.0,270578.5,-1
2020-12-03,9.75,9.8,9.66,9.7,-2.02,6750.0,65407.0,-1
2020-12-06,9.55,9.6,9.39,9.56,-1.44,4280.0,40752.0,-1
2020-12-07,9.4,9.9,9.4,9.9,3.56,7050.0,67350.5,1
2020-12-08,9.71,9.9,9.52,9.71,-1.92,10100.0,98659.0,-1
2020-12-09,9.54,9.55,9.49,9.49,-2.27,1750.0,16676.0,-1
2020-12-10,9.35,9.57,9.35,9.57,0.84,4500.0,42920.0,1
2020-12-13,9.55,10.0,9.55,10.0,4.49,17300.0,167216.0,1
2020-12-14,9.9,9.9,9.71,9.89,-1.1,3450.0,33911.5,-1
2020-12-15,9.76,10.05,9.76,10.05,1.62,5500.0,54305.0,1
2020-12-16,9.89,10.0,9.85,9.85,-1.99,4000.0,39558.0,-1
2020-12-17,9.67,9.85,9.67,9.85,0.0,6900.0,67658.0,0
2020-12-20,9.75,9.75,9.62,9.62,-2.34,4200.0,40550.0,-1
2020-12-21,9.43,9.61,9.43,9.61,-0.1,2700.0,25755.0,-1
2020-12-22,9.42,9.98,9.42,9.98,3.85,3220.0,31377.4,1
2020-12-23,10.0,10.17,9.61,9.61,-3.71,6200.0,60459.0,-1
2020-12-24,9.46,9.79,9.46,9.79,1.87,4500.0,42813.0,1
2020-12-27,9.7,9.7,9.7,9.7,-0.92,1650.0,16005.0,-1
2020-12-28,9.7,9.73,9.54,9.54,-1.65,2700.0,25900.0,-1
2020-12-29,9.35,9.64,9.35,9.46,-0.84,4500.0,42876.0,-1
2020-12-30,9.45,9.64,9.45,9.5,0.42,15850.0,152450.0,1
2020-12-31,9.46,10.06,9.46,9.8,3.16,4900.0,47396.0,1
2021-01-03,9.8,10.0,9.8,9.85,0.51,25700.0,255541.0,1
2021-01-04,9.8,9.9,9.8,9.9,0.51,6000.0,59103.0,1
2021-01-05,9.86,9.99,9.86,9.95,0.51,10100.0,100164.0,1
2021-01-06,9.86,10.0,9.86,10.0,0.5,20900.0,207752.0,1
2021-01-07,9.88,10.0,9.76,10.0,0.0,9200.0,90880.0,0
2021-01-10,9.85,10.0,9.85,10.0,0.0,64000.0,635533.0,0
2021-01-11,9.85,10.05,9.85,10.05,0.5,10050.0,100126.5,1
2021-01-12,10.0,10.25,10.0,10.2,1.49,52000.0,522605.0,1
2021-01-13,10.18,10.25,10.0,10.2,0.0,15540.0,157663.0,0
2021-01-17,10.15,10.25,10.1,10.1,-0.98,97300.0,990124.5,-1
2021-01-18,10.13,10.3,10.13,10.2,0.99,13700.0,139301.5,1
2021-01-19,10.0,10.35,10.0,10.33,1.27,14550.0,149158.5,1
2021-01-20,10.13,10.35,9.93,10.35,0.19,4500.0,45257.0,1
2021-01-21,10.15,10.55,10.15,10.55,1.93,10900.0,113640.0,1
2021-01-24,10.35,10.4,10.0,10.34,-1.99,122750.0,1247393.0,-1
2021-01-25,10.15,10.3,10.05,10.3,-0.39,108150.0,1092596.0,-1
2021-01-26,10.1,10.6,10.0,10.6,2.91,15900.0,161174.0,1
2021-01-27,10.39,10.39,10.06,10.1,-4.72,15100.0,154092.0,-1
2021-01-28,10.02,10.1,10.02,10.04,-0.59,15800.0,158877.0,-1
2021-01-31,10.05,10.14,10.05,10.14,1.0,5300.0,53355.0,1
2021-02-01,10.02,10.1,9.96,10.0,-1.38,8680.0,87280.0,-1
2021-02-02,9.9,10.0,9.8,9.97,-0.3,6490.0,64646.8,-1
2021-02-03,9.83,10.36,9.83,10.0,0.3,6800.0,67772.5,1
2021-02-04,9.82,10.16,9.82,10.16,1.6,6250.0,62583.0,1
2021-02-07,9.99,10.01,9.99,10.01,-1.48,5100.0,51003.0,-1
2021-02-08,9.82,10.15,9.82,10.15,1.4,7950.0,79412.5,1
2021-02-09,9.97,10.1,9.95,9.95,-1.97,45300.0,451727.0,-1
2021-02-10,10.0,10.12,9.97,9.97,0.2,41750.0,417129.5,1
2021-02-11,9.99,10.1,9.95,9.95,-0.2,4100.0,40839.0,-1
2021-02-14,10.0,10.14,9.97,9.97,0.2,4950.0,49762.0,1
2021-02-15,9.79,10.16,9.79,10.16,1.91,18850.0,189051.0,1
2021-02-16,9.96,10.1,9.92,10.1,-0.59,9800.0,98086.0,-1
2021-02-17,10.0,10.22,10.0,10.22,1.19,30200.0,307972.0,1
2021-02-18,10.02,10.39,10.02,10.34,1.17,114080.0,1177239.2,1
2021-02-21,10.32,11.37,10.32,10.8,4.45,85250.0,914228.4,1
2021-02-22,10.8,11.0,10.39,10.48,-2.96,420050.0,4423115.5,-1
2021-02-23,10.48,10.5,10.31,10.5,0.19,71100.0,738813.0,1
2021-02-24,10.4,10.97,10.4,10.85,3.33,360130.0,3836528.3,1
2021-02-25,10.7,10.96,10.29,10.55,-2.76,381610.0,4091571.9,-1
2021-02-28,10.6,11.07,10.6,10.85,2.84,620234.0,6699122.1,1
2021-03-01,10.64,10.66,10.46,10.65,-1.84,227249.0,2392992.36,-1
2021-03-02,10.56,10.7,10.56,10.62,-0.28,115800.0,1231151.6,-1
2021-03-03,10.44,10.5,10.44,10.5,-1.13,1920.0,20108.6,-1
2021-03-04,10.45,10.6,10.45,10.52,0.19,118699.0,1247043.48,1
2021-03-07,10.42,10.6,10.42,10.6,0.76,13410.0,140745.3,1
2021-03-09,10.43,10.6,10.43,10.6,0.0,10600.0,111411.0,0
2021-03-10,10.45,10.6,10.45,10.6,0.0,15900.0,167727.0,0
2021-03-14,10.43,10.65,10.31,10.44,-1.51,26300.0,273460.0,-1
2021-03-15,10.35,10.76,10.26,10.76,3.07,2200.0,22852.0,1
2021-03-16,10.55,10.55,10.34,10.5,-2.42,113100.0,1188346.0,-1
2021-03-17,10.32,10.44,10.32,10.44,-0.57,3330.0,34608.0,-1
2021-03-18,10.44,10.52,10.43,10.51,0.67,30300.0,318306.0,1
2021-03-21,10.42,11.02,10.42,10.6,0.86,3790.0,40335.9,1
2021-03-22,10.5,10.71,10.42,10.52,-0.75,9020.0,94577.0,-1
2021-03-23,10.4,10.6,10.4,10.5,-0.19,56400.0,594906.5,-1
2021-03-24,10.45,10.65,10.45,10.6,0.95,57700.0,611773.0,1
2021-03-25,10.56,10.71,10.55,10.64,0.38,92650.0,986523.0,1
2021-03-29,10.66,10.9,10.66,10.74,0.94,307300.0,3340739.23,1
2021-03-30,10.76,11.16,10.76,11.11,3.45,124747.0,1384713.6,1
2021-03-31,11.0,11.22,11.0,11.09,-0.18,34300.0,381244.4,-1
2021-04-01,11.1,11.1,10.95,11.01,-0.72,8300.0,91411.0,-1
2021-04-04,10.81,11.1,10.81,11.0,-0.09,12603.0,138561.5,-1
2021-04-05,10.81,11.11,10.81,11.11,1.0,24950.0,273160.0,1
2021-04-06,10.91,11.01,10.91,10.97,-1.26,2800.0,30760.0,-1
2021-04-07,11.0,11.11,10.97,11.02,0.46,7800.0,85961.0,1
2021-04-08,11.05,11.05,10.98,11.0,-0.18,28850.0,317728.0,-1
2021-04-12,10.94,11.1,10.94,11.0,0.0,306250.0,3368569.0,0
2021-04-13,11.0,11.4,11.0,11.14,1.27,102220.0,1150486.8,1
2021-04-15,11.12,11.34,11.11,11.34,1.8,128400.0,1445564.0,1
2021-04-18,11.34,11.56,11.32,11.52,1.59,124480.0,1431154.0,1
2021-04-19,11.29,11.33,11.29,11.33,-1.65,5200.0,58843.0,-1
2021-04-20,11.32,11.38,11.31,11.38,0.44,30800.0,348431.0,1
2021-04-21,11.31,11.35,11.31,11.32,-0.53,56000.0,634011.0,-1
2021-04-22,11.31,11.35,11.31,11.32,0.0,21040.0,238229.8,0
2021-04-25,11.31,11.32,11.31,11.31,-0.09,109800.0,1242288.0,-1
2021-04-26,11.48,11.48,11.08,11.1,-1.86,12200.0,137053.0,-1
2021-04-27,10.9,11.21,10.9,11.21,0.99,5300.0,58587.0,1
2021-04-28,11.21,11.65,11.21,11.35,1.25,34700.0,400027.0,1
2021-04-29,11.14,11.37,11.14,11.37,0.18,8650.0,97435.5,1
2021-05-02,11.37,11.59,11.21,11.59,1.93,55000.0,633859.5,1
2021-05-03,11.59,11.59,11.4,11.52,-0.6,16000.0,184221.0,-1
2021-05-04,11.55,11.65,11.5,11.54,0.17,72800.0,840634.0,1
2021-05-05,11.54,11.77,11.12,11.46,-0.69,92100.0,1046658.58,-1
2021-05-06,11.25,11.4,11.24,11.4,-0.52,35800.0,402957.0,-1
2021-05-09,11.18,11.48,11.18,11.48,0.7,59750.0,679194.5,1
2021-05-10,11.3,11.4,11.3,11.36,-1.05,2900.0,32868.0,-1
2021-05-11,11.15,11.4,11.15,11.4,0.35,119050.0,1345018.0,1
2021-05-12,11.25,11.4,11.25,11.35,-0.44,9000.0,101938.0,-1
2021-05-13,11.21,11.43,11.21,11.33,-0.18,23252.0,264338.36,-1
2021-05-16,11.33,11.5,11.3,11.5,1.5,16500.0,187694.0,1
2021-05-17,11.35,11.49,11.35,11.49,-0.09,3550.0,40572.5,-1
2021-05-18,11.4,11.6,11.34,11.6,0.96,36648.0,420266.3,1
2021-05-19,11.45,11.58,11.45,11.52,-0.69,9000.0,103782.0,-1
2021-05-20,11.35,11.5,11.32,11.49,-0.26,13600.0,155693.0,-1
2021-05-23,11.38,11.6,11.38,11.6,0.96,56754.0,656711.52,1
2021-05-24,11.6,11.8,11.55,11.7,0.86,23251.0,271707.65,1
2021-05-25,11.55,11.74,11.55,11.74,0.34,1600.0,18712.0,1
2021-05-27,11.51,11.8,11.42,11.8,0.51,7800.0,90978.0,1
2021-05-30,11.8,12.4,11.8,12.3,4.24,143520.0,1748207.2,1
2021-05-31,12.2,12.3,12.15,12.25,-0.41,80800.0,985966.0,-1
2021-06-01,12.24,12.4,12.01,12.4,1.22,61450.0,747261.0,1
2021-06-02,12.2,12.4,12.2,12.2,-1.61,82900.0,1013970.0,-1
2021-06-03,12.2,12.3,12.16,12.24,0.33,15200.0,185616.0,1
2021-06-06,12.25,12.59,12.25,12.42,1.47,38720.0,482474.0,1
2021-06-07,12.4,12.64,12.4,12.62,1.61,44400.0,559592.5,1
2021-06-08,12.5,13.36,12.5,13.36,5.86,182200.0,2329709.5,1
2021-06-09,13.6,14.11,13.39,13.85,3.67,81400.0,1125214.5,1
2021-06-10,13.85,13.9,13.85,13.9,0.36,9050.0,125656.0,1
2021-06-13,13.7,13.77,13.43,13.57,-2.37,25100.0,341244.0,-1
2021-06-14,13.3,13.6,13.3,13.53,-0.29,11000.0,148660.0,-1
2021-06-15,13.4,13.5,13.31,13.5,-0.22,164450.0,2207116.0,-1
2021-06-16,13.7,13.7,13.2,13.2,-2.22,130720.0,1734819.0,-1
2021-06-17,13.2,13.6,13.2,13.46,1.97,23150.0,309631.0,1
2021-06-20,13.46,13.5,13.15,13.39,-0.52,82930.0,1102275.0,-1
2021-06-21,13.14,13.35,13.13,13.13,-1.94,10600.0,139712.0,-1
