published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-04-10,302.5,332.7,302.5,332.7,9.98,210.0,68364.0,1
2025-04-13,335.2,365.9,335.2,365.9,9.98,180.0,64701.0,1
2025-04-15,372.8,402.4,372.8,402.4,9.98,250.0,99571.0,1
2025-04-16,410.0,442.6,410.0,442.6,9.99,240.0,104439.0,1
2025-04-17,451.0,486.8,451.0,486.8,9.99,180.0,86023.0,1
2025-04-20,496.5,535.4,496.5,535.4,9.98,440.0,234622.0,1
2025-04-21,537.7,588.9,537.7,588.9,9.99,310.0,180066.0,1
2025-04-22,579.7,647.7,579.7,647.7,9.98,440.0,282686.0,1
2025-04-23,660.6,712.4,660.6,712.4,9.99,580.0,410367.0,1
2025-04-24,704.3,783.6,704.3,783.6,9.99,440.0,342186.0,1
2025-04-27,783.6,861.9,783.6,861.9,9.99,580.0,496797.0,1
2025-04-28,873.7,948.0,873.7,948.0,9.99,480.0,453102.0,1
2025-04-29,963.7,1042.8,963.7,1042.8,10.0,740.0,769676.0,1
2025-04-30,1061.3,1147.0,1061.3,1147.0,9.99,810.0,926930.0,1
2025-05-04,1169.9,1261.7,1169.9,1261.7,10.0,1110.0,1398233.0,1
2025-05-05,1239.3,1387.8,1239.3,1387.8,9.99,870.0,1202282.0,1
2025-05-06,1415.5,1526.5,1415.5,1526.5,9.99,950.0,1447454.0,1
2025-05-07,1526.0,1679.1,1526.0,1679.1,10.0,1330.0,2228658.0,1
2025-05-08,1678.9,1847.0,1678.9,1847.0,10.0,1790.0,3297783.0,1
2025-05-11,1820.4,2031.7,1820.4,2031.7,10.0,3320.0,6738170.0,1
2025-05-13,2072.3,2234.8,2072.3,2234.8,10.0,19150.0,42792079.0,1
2025-05-14,2279.4,2458.2,2015.2,2066.15,-7.55,246209.0,513268681.6,-1
2025-05-15,2025.0,2228.0,1953.2,2151.2,4.12,88593.0,185884964.4,1
2025-05-18,2108.2,2108.2,1999.0,2003.72,-6.86,78228.0,159444229.4,-1
2025-05-19,2001.0,2050.0,1903.1,1915.75,-4.39,69459.0,136794436.0,-1
2025-05-20,1878.0,1928.7,1830.1,1913.5,-0.12,56183.0,105624846.2,-1
2025-05-21,1950.0,2000.0,1830.0,1839.02,-3.89,41132.0,76916545.8,-1
2025-05-22,1820.0,1935.9,1792.0,1881.76,2.32,75386.0,139675765.2,1
2025-05-25,1875.0,1902.0,1828.0,1870.84,-0.58,28325.0,52699637.7,-1
2025-05-26,1908.0,1908.0,1829.1,1833.34,-2.0,52290.0,96829701.7,-1
2025-05-27,1800.0,1830.0,1798.0,1802.05,-1.71,36957.0,66932613.3,-1
2025-05-28,1785.1,1802.0,1700.0,1710.15,-5.1,47473.0,82614205.7,-1
2025-06-02,1705.0,1749.0,1657.0,1690.88,-1.13,71911.0,120892775.8,-1
2025-06-03,1690.0,1764.6,1680.0,1725.62,2.05,37905.0,65736043.8,1
2025-06-04,1750.0,1764.0,1716.0,1750.3,1.43,29753.0,51915710.4,1
2025-06-05,1750.3,1760.0,1676.0,1694.13,-3.21,40175.0,68886177.0,-1
2025-06-08,1685.0,1693.0,1563.1,1579.0,-6.8,55475.0,89406912.1,-1
2025-06-09,1579.1,1641.1,1521.0,1614.25,2.23,36658.0,58504358.6,1
2025-06-10,1640.0,1662.0,1600.0,1625.46,0.69,22910.0,37537843.3,1
2025-06-11,1657.0,1657.0,1585.1,1587.7,-2.32,16983.0,27239600.9,-1
2025-06-12,1560.0,1587.0,1531.0,1535.22,-3.31,29931.0,46287655.3,-1
2025-06-15,1535.0,1570.0,1511.0,1521.77,-0.88,17077.0,26319230.5,-1
2025-06-16,1500.0,1541.0,1488.0,1493.14,-1.88,24121.0,36296257.0,-1
2025-06-17,1500.0,1500.0,1435.0,1445.27,-3.21,24372.0,35441171.4,-1
2025-06-18,1445.0,1473.0,1417.0,1439.7,-0.39,23828.0,34310322.4,-1
2025-06-19,1439.7,1452.0,1388.8,1401.48,-2.65,26002.0,36554920.0,-1
2025-06-22,1373.5,1400.0,1330.0,1336.95,-4.6,26507.0,36078479.8,-1
2025-06-23,1332.0,1367.7,1311.1,1324.75,-0.91,16170.0,21531153.2,-1
2025-06-24,1324.0,1395.0,1320.0,1368.89,3.33,25663.0,35116730.2,1
2025-06-25,1345.0,1484.0,1345.0,1453.69,6.19,33763.0,48684853.7,1
2025-06-26,1482.7,1482.7,1391.6,1397.79,-3.85,23027.0,32653376.3,-1
