published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2005-06-14,120.0,120.0,120.0,120.0,0.0,20.0,0.0,0
2005-06-16,120.0,120.0,118.0,118.0,0.0,7100.0,0.0,0
2005-06-19,118.0,120.0,120.0,120.0,0.0,500.0,0.0,0
2005-06-21,120.0,122.0,122.0,122.0,0.0,60.0,0.0,0
2005-06-22,122.0,120.0,120.0,120.0,0.0,510.0,0.0,0
2005-06-27,120.0,120.0,120.0,120.0,0.0,580.0,0.0,0
2005-06-29,120.0,120.0,120.0,120.0,0.0,50.0,0.0,0
2005-07-03,120.0,120.0,120.0,120.0,0.0,120.0,0.0,0
2005-07-05,120.0,120.0,120.0,120.0,0.0,200.0,0.0,0
2005-07-06,120.0,120.0,120.0,120.0,0.0,180.0,0.0,0
2005-07-13,120.0,120.0,120.0,120.0,0.0,110.0,0.0,0
2005-07-14,120.0,120.0,120.0,120.0,0.0,60.0,0.0,0
2005-07-17,120.0,120.0,120.0,120.0,0.0,320.0,0.0,0
2005-07-18,120.0,120.0,120.0,120.0,0.0,80.0,0.0,0
2005-08-01,120.0,120.0,120.0,120.0,0.0,20.0,0.0,0
2005-08-07,120.0,120.0,120.0,120.0,0.0,500.0,0.0,0
2005-08-16,120.0,122.0,122.0,122.0,0.0,80.0,0.0,0
2005-08-29,122.0,122.0,122.0,122.0,0.0,360.0,0.0,0
2005-08-31,122.0,123.0,123.0,123.0,0.0,150.0,0.0,0
2005-09-01,123.0,123.0,123.0,123.0,0.0,1600.0,0.0,0
2005-09-05,123.0,123.0,123.0,123.0,0.0,140.0,0.0,0
2005-09-12,123.0,123.0,123.0,123.0,0.0,140.0,0.0,0
2005-09-15,123.0,121.0,121.0,121.0,0.0,200.0,0.0,0
2006-04-03,121.0,100.0,100.0,100.0,0.0,20.0,0.0,0
2006-05-30,100.0,102.0,102.0,102.0,0.0,240.0,0.0,0
2006-05-31,102.0,107.0,107.0,107.0,0.0,400.0,0.0,0
2006-06-11,107.0,110.0,110.0,110.0,0.0,200.0,0.0,0
