published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-04-20,244.00,240.00,240.00,240.00,0.00,86.00,20640.00,0
2017-04-24,240.00,239.00,223.00,223.00,0.00,107.00,24581.00,0
2017-04-25,223.00,230.00,223.00,230.00,0.00,569.00,129806.00,0
2017-04-26,230.00,234.00,228.00,234.00,0.00,266.00,61012.00,0
2017-04-27,234.00,234.00,227.00,230.00,0.00,103.00,23704.00,0
2017-04-30,230.00,235.00,230.00,231.00,0.00,270.00,62769.00,0
2017-05-02,231.00,229.00,220.00,224.00,0.00,495.00,111353.00,0
2017-05-03,224.00,227.00,221.00,227.00,0.00,116.00,26022.00,0
2017-05-04,227.00,225.00,217.00,221.00,0.00,218.00,48129.00,0
2017-05-07,221.00,220.00,216.00,216.00,0.00,183.00,39701.00,0
2017-05-08,216.00,220.00,214.00,220.00,0.00,1160.00,254780.00,0
2017-05-09,220.00,233.00,224.00,226.00,0.00,1493.00,345353.00,0
2017-05-11,226.00,248.00,227.00,248.00,0.00,1479.00,348101.00,0
2017-05-15,248.00,270.00,247.00,268.00,0.00,2306.00,586442.00,0
2017-05-16,268.00,271.00,250.00,250.00,0.00,746.00,196060.00,0
2017-05-17,250.00,252.00,250.00,250.00,0.00,343.00,86087.00,0
2017-05-18,250.00,245.00,233.00,233.00,0.00,548.00,132539.00,0
2017-05-21,233.00,237.00,231.00,232.00,0.00,210.00,48924.00,0
2017-05-22,232.00,232.00,220.00,225.00,0.00,178.00,40204.00,0
2017-05-23,225.00,229.00,224.00,229.00,0.00,136.00,30742.00,0
2017-05-24,229.00,229.00,225.00,225.00,0.00,105.00,23750.00,0
2017-05-28,225.00,229.00,221.00,229.00,0.00,791.00,176224.00,0
2017-05-30,229.00,225.00,218.00,222.00,0.00,185.00,40958.00,0
2017-05-31,222.00,224.00,220.00,224.00,0.00,115.00,25350.00,0
2017-06-01,224.00,224.00,221.00,222.00,0.00,161.00,35894.00,0
2017-06-04,222.00,224.00,220.00,222.00,0.00,136.00,30222.00,0
2017-06-05,222.00,227.00,219.00,225.00,0.00,563.00,126752.00,0
2017-06-06,225.00,225.00,222.00,225.00,0.00,53.00,11870.00,0
2017-06-07,225.00,231.00,224.00,225.00,0.00,949.00,215308.00,0
2017-06-08,225.00,225.00,223.00,223.00,0.00,272.00,60775.00,0
2017-06-11,223.00,223.00,220.00,222.00,0.00,350.00,77693.00,0
2017-06-12,222.00,221.00,213.00,218.00,0.00,210.00,45924.00,0
2017-06-13,218.00,226.00,218.00,221.00,0.00,708.00,156292.00,0
2017-06-14,221.00,232.00,216.00,220.00,0.00,203.00,45426.00,0
2017-06-15,220.00,222.00,216.00,222.00,0.00,501.00,110797.00,0
2017-06-18,222.00,219.00,217.00,217.00,0.00,184.00,39948.00,0
2017-06-19,217.00,224.00,215.00,218.00,0.00,422.00,93404.00,0
2017-06-20,218.00,220.00,215.00,220.00,0.00,107.00,23261.00,0
2017-06-21,220.00,226.00,220.00,220.00,0.00,250.00,55649.00,0
2017-06-22,220.00,224.00,216.00,224.00,0.00,105.00,23024.00,0
2017-06-25,224.00,220.00,216.00,220.00,0.00,50.00,10960.00,0
2017-06-27,220.00,223.00,215.00,215.00,0.00,141.00,30959.00,0
2017-06-28,215.00,215.00,211.00,214.00,0.00,85.00,18129.00,0
2017-07-02,214.00,215.00,214.00,215.00,0.00,106.00,22695.00,0
2017-07-03,215.00,214.00,210.00,210.00,0.00,93.00,19640.00,0
2017-07-04,210.00,215.00,211.00,215.00,0.00,184.00,39034.00,0
2017-07-05,215.00,219.00,211.00,211.00,0.00,52.00,11246.00,0
2017-07-06,211.00,210.00,206.00,206.00,0.00,300.00,61888.00,0
2017-07-09,206.00,210.00,204.00,204.00,0.00,121.00,24814.00,0
2017-07-10,204.00,207.00,200.00,207.00,0.00,31.00,6317.00,0
2017-07-11,207.00,210.00,206.00,208.00,0.00,141.00,29394.00,0
2017-07-12,208.00,210.00,204.00,207.00,0.00,235.00,48316.00,0
2017-07-13,207.00,226.00,202.00,226.00,0.00,475.00,98467.00,0
2017-07-16,226.00,224.00,210.00,210.00,0.00,280.00,61636.00,0
