published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-10-23,179.7,179.7,179.7,179.7,0.0,73.0,13157.8,0
2022-10-31,179.7,179.7,179.7,179.7,0.0,10.0,1798.6,0
2022-11-01,179.7,179.7,179.7,179.7,0.0,20.0,3599.0,0
2022-11-06,177.7,183.2,177.7,183.2,1.95,20.0,3609.0,1
2022-11-07,186.8,198.1,186.8,198.1,8.13,50.0,9658.5,1
2022-11-13,202.0,202.0,202.0,202.0,1.97,10.0,2020.0,1
2022-11-15,202.0,202.0,202.0,202.0,0.0,11.0,2219.0,0
2022-11-16,206.0,206.0,206.0,206.0,1.98,20.0,4106.6,1
2022-11-17,210.1,214.3,210.1,214.3,4.03,20.0,4244.0,1
2022-11-22,218.5,222.8,218.5,222.8,3.97,30.0,6684.4,1
2022-11-23,227.2,231.7,227.2,231.7,3.99,20.0,4589.0,1
2022-11-27,236.3,245.8,236.3,245.8,6.09,30.0,7231.0,1
2022-11-28,250.7,250.7,250.7,250.7,1.99,20.0,4926.0,1
2022-11-29,255.7,266.0,255.7,266.0,6.1,30.0,7825.0,1
2022-12-01,271.3,292.6,271.3,292.6,10.0,60.0,17032.0,1
2022-12-04,298.4,321.8,298.4,321.8,9.98,90.0,28160.3,1
2022-12-06,328.2,348.1,328.2,348.1,8.17,47.0,16000.3,1
2022-12-07,355.0,355.0,355.0,355.0,1.98,14.0,4948.8,1
2022-12-11,362.1,376.6,362.1,376.6,6.08,36.0,13268.2,1
2022-12-12,384.1,399.5,384.1,399.5,6.08,30.0,11753.0,1
2022-12-13,407.4,407.4,407.4,407.4,1.98,10.0,4074.0,1
2022-12-14,415.5,440.8,415.5,440.8,8.2,40.0,17123.0,1
2022-12-15,440.8,458.5,440.8,458.5,4.02,30.0,13489.0,1
2022-12-18,467.6,496.1,467.6,496.1,8.2,43.0,20626.3,1
2022-12-19,506.0,545.7,506.0,545.7,10.0,50.0,26311.0,1
2022-12-20,556.6,600.2,556.6,600.2,9.99,57.0,32867.7,1
2022-12-21,612.2,649.5,612.2,649.5,8.21,40.0,25229.0,1
2022-12-22,662.4,714.4,662.4,714.4,9.99,50.0,34443.0,1
2022-12-26,728.6,785.8,728.6,785.8,9.99,90.0,69316.0,1
2022-12-27,801.5,864.3,801.5,864.3,9.99,70.0,58961.0,1
2022-12-28,881.5,950.7,881.5,950.7,10.0,90.0,83864.0,1
2022-12-29,969.7,1045.7,969.7,1045.7,9.99,190.0,196817.0,1
2023-01-01,1066.5,1150.2,1066.5,1150.2,9.99,220.0,250359.0,1
2023-01-02,1173.2,1265.2,1173.2,1265.2,10.0,200.0,249698.0,1
2023-01-03,1290.5,1391.7,1290.5,1391.7,10.0,1583.0,2199341.1,1
2023-01-04,1419.5,1530.8,1295.0,1375.0,-1.2,15505.0,21387729.0,-1
2023-01-05,1402.0,1512.5,1330.0,1512.5,10.0,5812.0,8138467.4,1
2023-01-08,1542.0,1662.0,1440.6,1599.0,5.72,8886.0,14070099.4,1
2023-01-09,1629.9,1630.0,1540.0,1560.0,-2.44,5379.0,8450044.0,-1
2023-01-10,1560.0,1591.2,1462.0,1463.0,-6.22,4746.0,7156685.0,-1
2023-01-12,1463.0,1492.2,1365.0,1380.0,-5.67,4615.0,6485600.6,-1
2023-01-17,1380.0,1405.0,1350.0,1392.0,0.87,3272.0,4475084.7,1
2023-01-18,1367.0,1402.0,1367.0,1376.0,-1.15,2427.0,3371072.0,-1
2023-01-19,1352.0,1375.0,1351.2,1360.0,-1.16,1875.0,2551527.3,-1
2023-01-23,1335.0,1387.3,1335.0,1346.0,-1.03,2469.0,3359832.0,-1
2023-01-24,1327.1,1356.0,1327.1,1351.0,0.37,2131.0,2867559.0,1
2023-01-25,1330.0,1397.0,1330.0,1367.0,1.18,2290.0,3130563.5,1
2023-01-26,1394.3,1421.0,1362.0,1365.0,-0.15,1160.0,1590298.0,-1
2023-01-29,1345.0,1369.9,1345.0,1369.9,0.36,1215.0,1645647.0,1
2023-01-30,1350.0,1360.0,1327.0,1332.1,-2.76,1385.0,1858310.5,-1
2023-01-31,1316.0,1338.0,1308.1,1312.0,-1.51,1250.0,1644237.0,-1
2023-02-01,1286.0,1325.0,1286.0,1311.0,-0.08,1274.0,1676213.0,-1
2023-02-02,1300.0,1326.0,1280.0,1297.0,-1.07,1767.0,2280727.8,-1
2023-02-05,1276.0,1280.0,1255.0,1258.0,-3.01,1300.0,1645093.0,-1
2023-02-06,1255.0,1260.0,1235.0,1260.0,0.16,730.0,906933.0,1
2023-02-07,1275.0,1300.0,1261.0,1300.0,3.17,910.0,1173310.0,1
2023-02-08,1325.0,1350.0,1301.0,1340.0,3.08,1950.0,2579655.0,1
2023-02-09,1340.0,1340.0,1315.3,1337.0,-0.22,768.0,1020583.0,-1
2023-02-12,1310.3,1310.3,1280.0,1298.9,-2.85,940.0,1216193.0,-1
2023-02-14,1275.0,1290.0,1262.0,1280.0,-1.46,830.0,1053371.0,-1
2023-02-15,1256.0,1274.0,1235.1,1274.0,-0.47,915.0,1145148.1,-1
2023-02-16,1298.9,1298.9,1220.1,1220.1,-4.23,790.0,974574.0,-1
2023-02-20,1196.0,1215.0,1196.0,1200.1,-1.64,941.0,1132176.0,-1
2023-02-22,1195.0,1198.0,1166.2,1185.0,-1.26,1484.0,1755714.0,-1
2023-02-23,1161.5,1161.5,1066.5,1066.5,-10.0,1281.0,1373619.5,-1
2023-02-26,1045.2,1087.0,959.9,1067.0,0.05,3309.0,3300800.5,1
2023-02-27,1088.0,1088.3,990.5,1020.0,-4.4,2280.0,2324003.5,-1
2023-02-28,1005.0,1020.0,990.0,1001.0,-1.86,745.0,748520.0,-1
2023-03-01,995.0,1076.0,995.0,995.0,-0.6,1470.0,1490898.0,-1
2023-03-02,995.0,995.0,968.0,968.0,-2.71,350.0,343021.0,-1
2023-03-05,950.0,987.3,920.3,920.3,-4.93,1025.0,948706.0,-1
2023-03-07,901.9,940.0,896.0,911.0,-1.01,758.0,690628.0,-1
2023-03-09,928.0,945.0,894.0,930.0,2.09,743.0,676665.0,1
2023-03-12,920.0,929.0,880.0,897.0,-3.55,1291.0,1147069.3,-1
2023-03-13,880.0,895.0,863.1,895.0,-0.22,880.0,763472.0,-1
2023-03-14,877.1,877.1,860.7,870.0,-2.79,270.0,234479.0,-1
2023-03-15,860.0,880.0,845.1,859.0,-1.26,585.0,500452.0,-1
2023-03-16,843.0,860.0,833.5,840.0,-2.21,877.0,736907.0,-1
2023-03-19,825.0,845.0,825.0,828.2,-1.4,560.0,468629.0,-1
2023-03-20,813.0,846.6,805.0,846.6,2.22,1054.0,858559.5,1
2023-03-22,840.0,863.0,801.0,801.0,-5.39,1332.0,1082382.0,-1
2023-03-23,786.0,815.0,777.0,777.0,-3.0,1430.0,1122823.2,-1
2023-03-26,761.6,770.0,746.0,746.1,-3.98,720.0,544264.0,-1
2023-03-27,746.1,761.0,725.0,725.0,-2.83,1110.0,812982.0,-1
2023-03-28,725.0,780.0,725.0,754.0,4.0,731.0,555620.0,1
2023-03-29,769.0,795.5,760.0,793.0,5.17,466.0,362841.0,1
2023-03-30,780.0,799.9,765.6,768.7,-3.06,411.0,319952.6,-1
2023-04-02,765.0,766.5,749.0,749.0,-2.56,674.0,508137.3,-1
2023-04-03,750.0,752.0,734.0,751.0,0.27,240.0,177789.0,1
2023-04-04,736.0,750.0,725.0,725.0,-3.46,340.0,249784.0,-1
2023-04-05,739.5,768.0,730.5,731.0,0.83,205.0,153619.0,1
2023-04-06,745.0,745.0,730.0,740.0,1.23,525.0,385622.0,1
2023-04-09,725.4,739.9,725.3,725.6,-1.95,210.0,153149.0,-1
2023-04-10,725.0,730.0,716.0,730.0,0.61,100.0,72450.0,1
2023-04-11,730.0,743.9,725.0,743.9,1.9,342.0,249764.9,1
2023-04-12,755.0,800.0,745.0,800.0,7.54,352.0,273203.1,1
2023-04-13,816.0,816.0,760.2,762.0,-4.75,975.0,765236.0,-1
2023-04-16,750.0,816.0,750.0,805.0,5.64,2526.0,2031317.9,1
2023-04-17,820.0,820.0,791.0,792.0,-1.61,492.0,390950.0,-1
2023-04-18,790.0,807.0,776.7,785.0,-0.88,185.0,145314.5,-1
2023-04-19,780.1,840.0,780.1,840.0,7.01,1233.0,1012369.1,1
