published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-06-08,261.0,287.1,250.0,287.1,10.0,78315.0,21767098.6,1
2023-06-11,292.8,311.0,279.3,292.0,1.71,41826.0,12200268.8,1
2023-06-12,287.0,289.6,274.9,283.5,-2.91,33479.0,9513832.6,-1
2023-06-13,283.0,305.5,278.0,295.0,4.06,32792.0,9405001.1,1
2023-06-14,290.0,303.7,285.0,290.0,-1.69,20048.0,5916557.3,-1
2023-06-15,285.0,291.0,283.1,288.9,-0.38,13645.0,3895484.4,-1
2023-06-18,283.2,294.0,280.0,288.0,-0.31,23489.0,6789217.2,-1
2023-06-19,288.0,292.0,282.3,289.0,0.35,22744.0,6522096.6,1
2023-06-20,292.0,292.0,280.0,285.0,-1.38,8314.0,2360428.1,-1
2023-06-21,290.0,290.0,270.9,279.0,-2.11,17871.0,4927253.7,-1
2023-06-22,273.5,276.0,266.0,270.0,-3.23,10461.0,2824246.7,-1
2023-06-25,264.6,277.0,261.6,277.0,2.59,9820.0,2627202.2,1
2023-06-26,282.0,282.0,264.0,267.0,-3.61,9980.0,2698694.7,-1
2023-06-27,262.7,278.4,262.0,275.0,3.0,15335.0,4094627.0,1
2023-06-28,269.5,269.5,260.0,263.0,-4.36,16091.0,4246524.5,-1
2023-07-02,262.0,262.0,249.1,252.2,-4.11,11395.0,2887180.0,-1
2023-07-03,247.5,257.0,242.0,247.0,-2.06,16563.0,4073333.2,-1
2023-07-04,242.1,251.0,240.2,245.0,-0.81,5390.0,1306615.5,-1
2023-07-05,240.4,243.0,232.7,234.9,-4.12,10875.0,2579096.0,-1
2023-07-06,230.5,246.0,226.1,239.7,2.04,9178.0,2122011.0,1
2023-07-09,235.0,239.7,235.0,235.0,-1.96,8040.0,1898235.0,-1
2023-07-10,232.0,236.6,223.5,227.3,-3.28,16880.0,3873859.4,-1
2023-07-11,224.8,229.0,222.0,227.5,0.09,4049.0,910081.0,1
2023-07-12,225.0,244.0,223.0,241.0,5.93,11827.0,2800668.5,1
2023-07-13,237.1,246.6,231.4,231.4,-3.98,8899.0,2103939.2,-1
2023-07-16,228.0,234.0,223.6,228.0,-1.47,4465.0,1014962.0,-1
2023-07-17,232.5,233.0,221.8,231.0,1.32,8295.0,1892788.5,1
2023-07-18,227.0,239.0,226.7,232.0,0.43,5435.0,1249719.6,1
2023-07-19,233.0,233.0,224.0,228.3,-1.59,3135.0,718112.0,-1
2023-07-20,225.0,242.7,225.0,242.7,6.31,15045.0,3507026.0,1
2023-07-23,242.0,255.0,238.0,249.0,2.6,14804.0,3612062.6,1
2023-07-24,249.0,258.0,239.2,243.0,-2.41,11654.0,2847604.1,-1
2023-07-25,239.0,246.5,237.0,238.0,-2.06,3315.0,792868.4,-1
2023-07-26,242.0,242.0,234.0,239.9,0.8,4720.0,1125181.0,1
2023-07-27,235.2,243.7,231.5,239.6,-0.13,5101.0,1207708.0,-1
2023-07-30,235.0,235.0,226.4,231.0,-3.59,9818.0,2269376.5,-1
2023-07-31,228.1,234.1,228.0,230.0,-0.43,4848.0,1116318.2,-1
2023-08-01,230.0,234.0,226.1,228.0,-0.87,4186.0,951139.0,-1
2023-08-02,224.2,240.0,213.0,221.0,-3.07,6077.0,1342589.3,-1
2023-08-03,225.0,233.0,217.0,223.0,0.9,4425.0,984163.0,1
2023-08-06,220.0,220.0,215.3,219.0,-1.79,5296.0,1148222.6,-1
2023-08-07,222.0,227.7,208.0,214.0,-2.28,4480.0,959138.5,-1
2023-08-08,210.1,215.0,210.0,213.0,-0.47,6700.0,1419353.0,-1
2023-08-09,210.1,219.3,206.3,217.5,2.11,5875.0,1235828.0,1
2023-08-10,214.0,215.4,209.8,215.0,-1.15,5910.0,1254927.2,-1
2023-08-13,211.0,214.0,209.1,214.0,-0.47,5680.0,1196852.0,-1
2023-08-14,210.0,222.0,207.2,208.3,-2.66,8574.0,1804770.2,-1
2023-08-15,208.0,208.0,199.5,199.6,-4.18,8220.0,1665856.5,-1
2023-08-16,195.7,204.0,195.7,203.0,1.7,2590.0,516951.0,1
2023-08-17,200.0,206.9,196.6,199.0,-1.97,3715.0,747315.0,-1
2023-08-20,195.1,205.0,191.6,192.3,-3.37,2805.0,550417.0,-1
2023-08-21,189.0,189.9,183.3,185.5,-3.54,6820.0,1269454.0,-1
2023-08-22,182.0,188.5,180.0,187.4,1.02,2310.0,426434.0,1
2023-08-23,185.0,205.5,185.0,204.0,8.86,6030.0,1191983.5,1
2023-08-24,200.0,203.0,190.0,190.0,-6.86,6072.0,1182578.0,-1
2023-08-27,188.8,189.9,182.1,184.0,-3.16,2154.0,396442.1,-1
2023-08-28,181.0,187.0,177.4,184.0,0.0,3670.0,671237.0,0
2023-08-29,181.0,194.7,180.6,194.7,5.82,2113.0,392173.5,1
2023-08-30,190.9,191.0,184.0,187.3,-3.8,4455.0,837155.5,-1
2023-09-03,183.6,184.0,180.1,180.1,-3.84,3228.0,587869.2,-1
2023-09-04,180.0,198.1,178.0,198.1,9.99,3056.0,561442.2,1
2023-09-05,194.2,195.4,186.6,195.0,-1.56,2340.0,447043.0,-1
2023-09-07,191.1,191.1,184.0,189.0,-3.08,2210.0,414363.0,-1
2023-09-10,186.0,202.0,186.0,194.9,3.12,2625.0,505845.0,1
2023-09-11,191.2,210.0,191.2,209.9,7.7,11616.0,2306707.8,1
2023-09-12,214.0,218.2,197.0,218.2,3.95,6047.0,1232942.4,1
2023-09-13,222.5,222.5,198.4,220.0,0.82,12113.0,2486793.0,1
2023-09-17,215.6,215.6,201.9,205.0,-6.82,11897.0,2430489.4,-1
2023-09-18,201.0,209.2,200.0,207.0,0.98,6865.0,1411915.5,1
2023-09-19,203.0,224.4,203.0,218.1,5.36,16259.0,3545740.0,1
2023-09-21,219.0,232.5,219.0,230.0,5.46,21862.0,4979962.9,1
2023-09-24,230.0,234.6,217.1,219.0,-4.78,12761.0,2871641.7,-1
2023-09-25,215.0,238.0,211.1,234.0,6.85,32423.0,7452938.9,1
2023-09-26,235.0,248.0,231.0,242.0,3.42,26608.0,6454646.9,1
2023-09-27,246.8,246.8,230.0,238.0,-1.65,22541.0,5338862.3,-1
2023-10-01,233.3,235.0,221.0,221.3,-7.02,18875.0,4277063.0,-1
2023-10-02,217.0,230.7,217.0,228.9,3.43,14576.0,3261581.5,1
2023-10-03,224.4,233.0,217.0,223.0,-2.58,18065.0,3991937.0,-1
2023-10-04,225.0,229.0,219.7,227.0,1.79,8627.0,1941685.8,1
2023-10-05,222.5,228.0,222.5,228.0,0.44,8301.0,1875453.4,1
2023-10-08,223.5,223.5,217.7,217.7,-4.52,10723.0,2355792.9,-1
2023-10-09,213.4,224.0,211.1,217.0,-0.32,3913.0,848507.5,-1
2023-10-10,212.7,219.3,211.0,215.0,-0.92,5320.0,1130770.0,-1
2023-10-11,211.0,216.0,207.0,214.0,-0.47,4370.0,933225.0,-1
2023-10-12,209.8,215.0,205.0,209.0,-2.34,8457.0,1759460.2,-1
2023-10-16,205.0,208.0,201.0,205.0,-1.91,4115.0,837613.0,-1
2023-10-17,207.0,215.3,202.9,203.0,-0.98,7926.0,1621807.2,-1
2023-10-18,205.0,212.5,203.0,210.0,3.45,5395.0,1133094.0,1
2023-10-19,214.0,214.0,202.2,207.9,-1.0,3072.0,634003.1,-1
2023-10-29,204.0,209.0,197.9,202.4,-2.65,2970.0,601088.0,-1
2023-10-30,199.0,208.0,198.0,207.0,2.27,5530.0,1113972.0,1
2023-10-31,202.9,206.8,199.1,202.0,-2.42,5220.0,1049253.6,-1
2023-11-01,198.0,206.0,195.0,199.8,-1.09,4270.0,847077.0,-1
2023-11-02,198.0,199.0,194.1,199.0,-0.4,8680.0,1697331.0,-1
2023-11-05,196.0,199.0,192.0,197.7,-0.65,4143.0,809657.2,-1
2023-11-06,197.0,204.0,197.0,200.2,1.26,4320.0,866254.0,1
2023-11-07,204.2,206.0,200.0,204.0,1.9,3430.0,692028.0,1
2023-11-08,204.0,205.0,200.3,205.0,0.49,1650.0,335125.0,1
2023-11-09,205.1,209.0,195.4,198.0,-3.41,4900.0,978819.5,-1
2023-11-20,194.2,205.0,194.2,198.9,0.45,2780.0,547893.0,1
2023-11-21,195.0,198.0,192.1,196.0,-1.46,1250.0,243223.0,-1
2023-11-22,193.0,204.0,190.0,203.9,4.03,3922.0,770415.0,1
2023-11-23,199.9,209.9,196.1,207.0,1.52,4765.0,982965.0,1
