published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-10,1000.0,1000.0,1000.0,1000.0,0.0,10.0,10000.0,0
2023-12-11,981.1,1000.0,981.1,990.0,-1.0,215.0,213784.0,-1
2023-12-12,976.1,997.5,976.1,993.0,0.3,275.0,271825.0,1
2023-12-13,980.2,1000.0,980.2,990.1,-0.29,125.0,124079.0,-1
2023-12-14,1000.0,1001.0,992.0,1000.0,1.0,195.0,194625.0,1
2023-12-17,996.0,1015.0,996.0,1015.0,1.5,180.0,180525.0,1
2023-12-18,1030.0,1030.0,994.7,994.7,-2.0,210.0,211005.0,-1
2023-12-19,1000.0,1014.5,992.0,993.0,-0.17,475.0,477505.0,-1
2023-12-20,1000.0,1010.0,1000.0,1000.0,0.7,910.0,918250.0,1
2023-12-21,990.1,1023.0,990.0,1023.0,2.3,170.0,170809.0,1
2023-12-24,1020.0,1020.1,1005.0,1005.0,-1.76,490.0,495310.0,-1
2023-12-27,1025.0,1025.0,1004.5,1004.5,-0.05,35.0,35362.5,-1
2023-12-28,1000.0,1000.0,1000.0,1000.0,-0.45,75.0,75000.0,-1
2024-01-01,1010.0,1010.0,999.5,999.5,-0.05,80.0,80490.0,-1
2024-01-02,985.1,997.0,985.1,997.0,-0.25,55.0,54528.0,-1
2024-01-03,995.0,1000.0,995.0,997.0,0.0,135.0,134780.0,0
2024-01-04,1015.0,1015.0,1015.0,1015.0,1.81,17.0,17255.0,1
2024-01-07,1035.0,1035.0,1033.0,1033.0,1.77,275.0,284125.0,1
2024-01-08,1013.0,1053.6,1013.0,1053.6,1.99,365.0,376800.0,1
2024-01-09,1033.0,1033.0,1012.4,1020.0,-3.19,150.0,154110.0,-1
2024-01-10,1000.0,1020.0,1000.0,1020.0,0.0,50.0,50500.0,0
2024-01-11,1020.0,1040.0,1020.0,1030.0,0.98,65.0,66800.0,1
2024-01-14,1010.0,1030.2,1010.0,1030.2,0.02,225.0,229470.0,1
2024-01-16,1020.0,1020.0,1010.0,1010.0,-1.96,245.0,249210.0,-1
2024-01-22,995.0,997.0,995.0,997.0,-1.29,75.0,74725.0,-1
2024-01-23,1016.0,1016.0,995.5,995.5,-0.15,465.0,463937.5,-1
2024-01-24,1015.0,1015.0,1015.0,1015.0,1.96,150.0,152250.0,1
2024-01-25,996.0,1000.0,990.0,1000.0,-1.48,185.0,184053.0,-1
2024-01-29,987.0,1007.0,987.0,1007.0,0.7,250.0,248850.5,1
2024-01-30,990.1,990.1,990.1,990.1,-1.68,25.0,24752.5,-1
2024-02-01,1000.0,1000.0,1000.0,1000.0,1.0,250.0,250000.0,1
2024-02-04,1000.0,1000.0,999.6,999.6,-0.04,50.0,49990.0,-1
2024-02-05,997.0,997.0,997.0,997.0,-0.26,50.0,49850.0,-1
2024-02-06,999.9,999.9,999.9,999.9,0.29,15.0,14998.5,1
2024-02-07,1000.0,1009.0,1000.0,1009.0,0.91,120.0,120670.0,1
