published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-12-14,216.0,237.6,216.0,237.6,10.0,8512.0,2021287.2,1
2022-12-15,242.0,261.3,242.0,261.3,9.97,4995.0,1304520.5,1
2022-12-18,266.5,287.4,266.5,287.4,9.99,10491.0,3013554.4,1
2022-12-19,293.1,293.1,258.7,264.5,-7.97,30972.0,8337683.3,-1
2022-12-20,259.3,278.0,255.0,271.2,2.53,4630.0,1248363.0,1
2022-12-21,265.8,297.9,265.8,297.9,9.85,5545.0,1569114.5,1
2022-12-22,303.8,303.8,276.2,286.0,-3.99,9063.0,2576286.4,-1
2022-12-26,281.0,309.0,281.0,309.0,8.04,9815.0,2890389.0,1
2022-12-27,314.0,329.0,302.1,325.0,5.18,11845.0,3729181.0,1
2022-12-28,320.0,333.5,308.2,328.7,1.14,6972.0,2242197.0,1
2022-12-29,328.7,334.7,310.4,326.0,-0.82,7217.0,2377383.9,-1
2023-01-01,325.0,340.6,321.1,327.0,0.31,5560.0,1818557.9,1
2023-01-02,321.0,328.9,315.0,328.0,0.31,10919.0,3538541.0,1
2023-01-03,322.3,340.6,322.3,340.6,3.84,5410.0,1774865.0,1
2023-01-04,333.8,374.0,327.2,374.0,9.81,10673.0,3705525.8,1
2023-01-05,366.6,411.4,352.2,411.0,9.89,7940.0,2983643.0,1
2023-01-08,402.8,440.0,379.3,418.9,1.92,9461.0,3854409.0,1
2023-01-09,410.6,423.0,400.0,423.0,0.98,9039.0,3721950.6,1
2023-01-10,430.0,431.2,388.0,424.0,0.24,10210.0,4195974.0,1
2023-01-12,416.0,416.0,393.4,404.0,-4.72,11292.0,4501886.6,-1
2023-01-17,396.0,415.2,388.4,414.9,2.7,5470.0,2206547.0,1
2023-01-18,410.0,426.5,395.0,405.0,-2.39,7260.0,2980717.0,-1
2023-01-19,398.0,428.9,391.1,405.0,0.0,8689.0,3479732.8,0
2023-01-23,413.0,413.0,391.2,399.0,-1.48,2210.0,875267.0,-1
2023-01-24,391.1,407.7,385.1,406.9,1.98,6794.0,2689292.0,1
2023-01-25,400.0,417.9,392.1,415.0,1.99,10423.0,4232007.4,1
2023-01-26,406.7,425.0,398.7,410.5,-1.08,8680.0,3591931.0,-1
2023-01-29,402.3,451.5,397.0,451.5,9.99,16338.0,7184832.6,1
2023-01-30,460.5,478.3,438.0,444.0,-1.66,13610.0,6276252.5,-1
2023-01-31,435.2,474.3,430.5,470.0,5.86,13915.0,6331898.0,1
2023-02-01,470.0,508.0,462.1,499.0,6.17,10730.0,5282491.2,1
2023-02-02,489.1,499.0,466.4,477.0,-4.41,11324.0,5414302.1,-1
2023-02-05,467.5,486.0,446.9,451.0,-5.45,9547.0,4405309.0,-1
2023-02-06,442.0,465.3,442.0,455.0,0.89,10467.0,4743627.7,1
2023-02-07,445.9,477.6,437.0,470.0,3.3,8916.0,4128310.0,1
2023-02-08,460.6,475.0,455.0,469.0,-0.21,9521.0,4402566.6,-1
2023-02-09,459.7,493.9,442.0,493.9,5.31,9046.0,4209955.3,1
2023-02-12,484.1,503.7,465.1,497.0,0.63,13312.0,6511291.0,1
2023-02-14,487.1,494.0,473.6,488.5,-1.71,8881.0,4273828.8,-1
2023-02-15,478.8,488.0,462.6,474.0,-2.97,7450.0,3506553.0,-1
2023-02-16,464.6,498.4,457.0,466.0,-1.69,5877.0,2749266.0,-1
2023-02-20,457.1,466.0,448.9,448.9,-3.67,6590.0,3000652.4,-1
2023-02-22,440.0,486.0,440.0,475.1,5.84,7907.0,3663581.0,1
2023-02-23,465.6,468.0,450.0,450.0,-5.28,4128.0,1885158.0,-1
2023-02-26,441.0,461.0,432.4,458.0,1.78,4761.0,2134389.2,1
2023-02-27,448.9,466.7,443.1,466.7,1.9,6420.0,2893353.1,1
2023-02-28,457.4,470.2,448.3,469.2,0.54,1640.0,754574.6,1
2023-03-01,460.0,462.0,451.5,451.5,-3.77,6294.0,2867377.4,-1
2023-03-02,443.0,460.0,435.1,444.9,-1.46,5547.0,2465103.1,-1
2023-03-05,436.2,448.8,427.5,427.5,-3.91,2760.0,1211509.0,-1
2023-03-07,427.0,448.0,425.4,439.9,2.9,2950.0,1288341.0,1
2023-03-09,431.2,457.3,431.1,449.7,2.23,1790.0,790552.0,1
2023-03-12,445.0,453.9,425.0,447.0,-0.6,3230.0,1426510.0,-1
2023-03-13,439.0,460.0,431.1,450.8,0.85,2432.0,1078082.0,1
2023-03-14,445.0,448.8,435.1,448.8,-0.44,2240.0,992655.0,-1
2023-03-15,439.9,457.7,432.0,457.7,1.98,2094.0,929396.1,1
2023-03-16,466.8,466.8,444.5,464.1,1.4,3720.0,1680824.0,1
2023-03-19,454.9,460.0,442.1,453.0,-2.39,2660.0,1185068.0,-1
2023-03-20,444.0,460.0,444.0,458.6,1.24,3420.0,1552786.0,1
2023-03-22,466.9,475.0,443.0,473.0,3.14,7250.0,3302496.0,1
2023-03-23,463.6,463.6,446.0,460.0,-2.75,4306.0,1939008.6,-1
2023-03-26,450.8,450.8,431.7,431.7,-6.15,4594.0,1996639.8,-1
2023-03-27,423.2,443.2,423.2,443.2,2.66,1700.0,727208.0,1
2023-03-28,440.0,451.0,432.1,447.4,0.95,3240.0,1437632.0,1
2023-03-29,450.0,452.0,432.2,445.3,-0.47,1450.0,638036.0,-1
2023-03-30,436.4,451.9,431.0,450.0,1.06,4460.0,1939229.0,1
2023-04-02,459.0,459.0,428.1,443.5,-1.44,6450.0,2799487.0,-1
2023-04-03,434.7,443.3,420.0,435.5,-1.8,1540.0,656432.2,-1
2023-04-04,426.8,430.5,411.1,430.5,-1.15,770.0,324909.0,-1
2023-04-05,422.0,435.0,414.1,435.0,1.05,1660.0,697430.0,1
2023-04-06,435.0,442.3,401.9,421.9,-3.01,5560.0,2293044.0,-1
2023-04-09,413.5,413.5,391.0,398.8,-5.48,5870.0,2342987.0,-1
2023-04-10,390.9,402.9,382.5,382.9,-3.99,3265.0,1275777.6,-1
2023-04-11,387.6,411.0,387.4,396.9,3.66,4460.0,1760855.0,1
2023-04-12,400.0,424.0,398.0,420.0,5.82,3509.0,1443229.4,1
2023-04-13,411.6,428.1,411.6,413.6,-1.52,1991.0,829787.6,-1
2023-04-16,406.1,416.0,400.2,415.0,0.34,2850.0,1164837.0,1
2023-04-17,406.7,407.0,395.2,403.0,-2.89,2680.0,1074803.0,-1
2023-04-18,395.1,411.0,388.1,407.7,1.17,770.0,305013.0,1
2023-04-19,399.6,413.1,392.3,413.1,1.32,1100.0,446521.0,1
2023-04-20,406.0,406.0,400.2,402.0,-2.69,420.0,168862.0,-1
2023-04-23,394.0,410.0,378.6,394.0,-1.99,2530.0,980850.0,-1
2023-04-24,386.2,395.0,371.0,392.5,-0.38,3350.0,1287487.0,-1
2023-04-25,390.0,390.0,379.1,390.0,-0.64,650.0,250311.0,-1
2023-04-26,383.1,394.7,383.0,394.7,1.21,1410.0,548500.0,1
2023-04-27,386.9,392.9,373.1,390.0,-1.19,3430.0,1306005.0,-1
2023-04-30,382.2,382.2,373.0,380.0,-2.56,990.0,373442.0,-1
2023-05-02,373.0,380.4,359.3,375.0,-1.32,3140.0,1136731.0,-1
2023-05-03,367.5,375.0,350.1,375.0,0.0,3140.0,1121581.0,0
2023-05-04,367.5,377.9,355.0,360.0,-4.0,2491.0,934173.2,-1
2023-05-07,352.8,387.4,340.1,387.4,7.61,2970.0,1053623.0,1
2023-05-08,379.7,379.7,348.7,348.7,-9.99,12185.0,4253352.5,-1
2023-05-09,355.1,359.9,341.8,354.9,1.78,3100.0,1102815.0,1
2023-05-10,347.9,354.3,340.0,340.7,-4.0,640.0,221764.0,-1
2023-05-11,335.0,367.1,333.0,360.0,5.66,1260.0,431642.0,1
2023-05-14,352.8,352.8,324.3,347.9,-3.36,5590.0,1848283.0,-1
2023-05-15,341.0,341.0,320.0,331.3,-4.77,2645.0,866569.0,-1
2023-05-16,330.0,344.0,312.7,316.1,-4.59,2430.0,780412.0,-1
2023-05-17,312.1,347.0,312.1,347.0,9.78,1190.0,392579.0,1
2023-05-18,340.1,353.3,333.0,353.3,1.82,2716.0,929874.0,1
2023-05-21,354.9,354.9,331.0,354.0,0.2,4871.0,1663452.8,1
2023-05-22,347.0,351.0,333.3,351.0,-0.85,1334.0,461206.0,-1
2023-05-23,344.0,362.1,344.0,361.5,2.99,5850.0,2052867.2,1
2023-05-24,354.3,363.0,347.3,360.0,-0.41,3321.0,1172771.8,-1
2023-05-28,366.9,366.9,346.0,348.2,-3.28,4619.0,1637926.1,-1
2023-05-30,348.2,349.0,316.4,349.0,0.23,2280.0,775466.0,1
2023-05-31,350.0,353.8,316.6,344.0,-1.43,6716.0,2193173.5,-1
2023-06-01,337.2,348.3,330.5,344.1,0.03,500.0,168757.0,1
2023-06-04,344.0,361.0,340.0,355.0,3.17,3082.0,1085133.0,1
2023-06-05,347.9,357.0,337.0,350.0,-1.41,1984.0,688695.9,-1
2023-06-06,343.0,357.0,339.0,355.9,1.69,3630.0,1258663.0,1
2023-06-07,363.0,370.0,343.1,354.9,-0.28,4387.0,1567726.8,-1
