published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-03-06,287.1,287.1,287.1,287.1,0.0,20.0,5779.0,0
2022-03-07,292.8,298.6,292.8,298.6,4.01,34.0,9967.9,1
2022-03-09,304.5,310.5,304.5,310.5,3.99,27.0,8227.5,1
2022-03-10,316.7,341.5,316.7,341.5,9.98,70.0,23080.0,1
2022-03-13,348.3,375.6,348.3,375.6,9.99,51.0,18478.5,1
2022-03-14,383.1,390.7,383.1,390.7,4.02,20.0,7738.0,1
2022-03-15,398.5,429.7,398.5,429.7,9.98,230.0,98064.0,1
2022-03-16,438.2,472.6,438.2,472.6,9.98,270.0,126756.0,1
2022-03-20,482.0,519.8,482.0,519.8,9.99,950.0,492882.0,1
2022-03-21,530.1,571.7,530.1,571.7,9.98,1089.0,621461.3,1
2022-03-22,583.1,628.8,583.1,628.8,9.99,1300.0,815860.0,1
2022-03-23,641.3,691.6,641.3,691.6,9.99,1470.0,1015417.0,1
2022-03-24,705.4,760.7,705.4,760.7,9.99,4370.0,3322902.0,1
2022-03-27,775.9,836.7,775.9,836.7,9.99,8392.0,7018585.4,1
2022-03-28,853.4,920.3,853.4,920.3,9.99,8072.0,7425682.6,1
2022-03-29,938.7,1012.3,938.7,1012.3,10.0,3922.0,3966329.1,1
2022-03-30,1032.5,1113.5,1032.5,1113.5,10.0,12986.0,14453010.8,1
2022-03-31,1135.7,1224.8,1056.5,1224.8,10.0,79378.0,92384248.0,1
2022-04-03,1249.2,1347.2,1224.8,1347.2,9.99,7631.0,9978648.7,1
2022-04-04,1373.0,1481.9,1220.0,1470.0,9.12,47292.0,63915583.6,1
2022-04-05,1440.6,1440.6,1323.0,1323.0,-10.0,2885.0,3823442.0,-1
2022-04-06,1296.6,1296.6,1190.7,1190.7,-10.0,3980.0,4741953.0,-1
2022-04-07,1166.9,1166.9,1071.7,1112.0,-6.61,41032.0,45902793.6,-1
2022-04-11,1112.0,1150.0,1001.0,1001.0,-9.98,30266.0,31384946.0,-1
2022-04-12,1001.0,1060.8,926.0,935.0,-6.59,19079.0,18247383.3,-1
2022-04-13,916.3,1006.0,902.0,976.0,4.39,15093.0,14147697.0,1
2022-04-17,976.0,990.0,902.0,902.0,-7.58,9317.0,8694962.0,-1
2022-04-18,885.0,901.0,832.0,838.0,-7.1,14645.0,12579257.8,-1
2022-04-19,825.0,914.0,823.0,860.0,2.63,5294.0,4596702.2,1
2022-04-20,860.0,877.0,836.0,840.0,-2.33,3114.0,2646555.0,-1
2022-04-21,830.0,866.8,810.0,841.0,0.12,7026.0,5854658.0,1
2022-04-24,857.8,886.0,840.7,885.0,5.23,7160.0,6208188.0,1
2022-04-25,870.0,885.0,830.0,854.0,-3.5,6708.0,5691080.0,-1
