published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2012-06-10,0.0,141.0,136.0,141.0,0.0,950.0,131604.0,0
2012-06-11,141.0,155.0,143.0,147.0,0.0,2898.0,437702.0,0
2012-06-12,147.0,147.0,138.0,138.0,0.0,12254.0,1778789.0,0
2012-06-13,138.0,144.0,136.0,140.0,0.0,10961.0,1531733.0,0
2012-06-14,140.0,141.0,137.0,140.0,0.0,3464.0,483681.0,0
2012-06-17,140.0,138.0,136.0,136.0,0.0,1720.0,234741.0,0
2012-06-18,136.0,138.0,136.0,138.0,0.0,208.0,28407.0,0
2012-06-19,138.0,140.0,140.0,140.0,0.0,98.0,13720.0,0
2012-06-20,140.0,142.0,140.0,140.0,0.0,724.0,101598.0,0
2012-06-21,140.0,138.0,136.0,136.0,0.0,2405.0,329590.0,0
2012-06-25,136.0,137.0,135.0,135.0,0.0,3945.0,534220.0,0
2012-06-26,135.0,138.0,134.0,138.0,0.0,3293.0,443311.0,0
2012-06-27,138.0,136.0,136.0,136.0,0.0,475.0,64600.0,0
2012-06-28,136.0,141.0,138.0,141.0,0.0,2074.0,287169.0,0
2012-07-01,141.0,140.0,137.0,137.0,0.0,4050.0,556875.0,0
2012-07-02,137.0,139.0,137.0,137.0,0.0,825.0,113865.0,0
2012-07-03,137.0,137.0,137.0,137.0,0.0,810.0,110970.0,0
2012-07-04,137.0,139.0,139.0,139.0,0.0,49.0,6811.0,0
2012-07-05,139.0,141.0,141.0,141.0,0.0,148.0,20868.0,0
2012-07-08,141.0,140.0,139.0,140.0,0.0,619.0,86237.0,0
2012-07-09,140.0,140.0,140.0,140.0,0.0,49.0,6860.0,0
2012-07-10,140.0,138.0,138.0,138.0,0.0,198.0,27324.0,0
2012-07-12,138.0,138.0,138.0,138.0,0.0,1655.0,228390.0,0
2012-07-16,138.0,138.0,138.0,138.0,0.0,98.0,13524.0,0
2012-07-17,138.0,150.0,140.0,145.0,0.0,1226.0,177872.0,0
2012-07-18,145.0,153.0,147.0,153.0,0.0,1639.0,246286.0,0
2012-07-19,153.0,159.0,156.0,159.0,0.0,98.0,15435.0,0
2012-07-22,159.0,160.0,159.0,159.0,0.0,246.0,39261.0,0
2012-07-24,159.0,157.0,150.0,150.0,0.0,295.0,45677.0,0
2012-07-26,150.0,148.0,148.0,148.0,0.0,49.0,7252.0,0
2012-07-29,148.0,146.0,146.0,146.0,0.0,49.0,7154.0,0
2012-08-01,146.0,146.0,145.0,146.0,0.0,827.0,120524.0,0
2012-08-05,146.0,146.0,144.0,146.0,0.0,249.0,36256.0,0
2012-08-06,146.0,148.0,146.0,148.0,0.0,1786.0,260854.0,0
