published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-06-05,132.0,134.0,128.0,128.0,nan,810.0,105900.0,0
2011-06-06,128.0,130.0,123.0,123.0,-3.91,1990.0,255370.0,0
2011-06-07,123.0,122.0,116.0,116.0,-5.69,1980.0,233910.0,0
2011-06-08,116.0,118.0,112.0,112.0,-3.45,590.0,67160.0,0
2011-06-09,112.0,114.0,112.0,112.0,0.0,60.0,6800.0,0
2011-06-12,112.0,111.0,108.0,111.0,-0.89,370.0,40480.0,0
2011-06-13,111.0,110.0,106.0,106.0,-4.50,1470.0,159890.0,0
2011-06-14,106.0,108.0,107.0,107.0,0.94,620.0,66380.0,0
2011-06-15,107.0,109.0,107.0,107.0,0.0,440.0,47560.0,0
2011-06-16,107.0,113.0,106.0,113.0,5.61,990.0,110960.0,0
2011-06-19,113.0,124.0,113.0,124.0,9.73,210.0,25180.0,0
2011-06-20,113.0,124.0,113.0,124.0,0.0,210.0,25180.0,0
2011-06-21,135.0,140.0,136.0,140.0,12.90,1010.0,140340.0,0
2011-06-23,140.0,154.0,142.0,154.0,10.00,2890.0,436150.0,0
2011-06-26,154.0,151.0,151.0,151.0,-1.95,100.0,15100.0,0
2011-06-27,151.0,148.0,146.0,146.0,-3.31,40.0,5860.0,0
2011-06-29,146.0,146.0,146.0,146.0,0.0,40.0,5840.0,0
2011-06-30,146.0,139.0,135.0,135.0,-7.53,1200.0,165640.0,0
2011-07-04,135.0,129.0,129.0,129.0,-4.44,280.0,36120.0,0
2011-07-05,129.0,127.0,123.0,123.0,-4.65,250.0,31250.0,0
2011-07-06,123.0,131.0,117.0,129.0,4.88,850.0,105390.0,0
2011-07-07,129.0,129.0,127.0,127.0,-1.55,140.0,17920.0,0
2011-07-10,127.0,125.0,123.0,125.0,-1.57,300.0,37350.0,0
2011-07-11,125.0,131.0,125.0,130.0,4.00,1010.0,128240.0,0
2011-07-12,130.0,132.0,128.0,128.0,-1.54,1210.0,157120.0,0
2011-07-13,128.0,135.0,130.0,132.0,3.12,1260.0,165900.0,0
2011-07-14,132.0,134.0,130.0,130.0,-1.52,430.0,56540.0,0
2011-07-18,130.0,136.0,132.0,134.0,3.08,680.0,91120.0,0
2011-07-19,134.0,138.0,134.0,138.0,2.99,870.0,118120.0,0
2011-07-20,138.0,140.0,136.0,140.0,1.45,630.0,87480.0,0
2011-07-21,140.0,144.0,142.0,142.0,1.43,170.0,24180.0,0
2011-07-24,142.0,142.0,134.0,134.0,-5.63,760.0,106120.0,0
2011-07-25,134.0,132.0,128.0,128.0,-4.48,160.0,20840.0,0
2011-07-26,128.0,132.0,128.0,132.0,3.12,990.0,129760.0,0
2011-07-27,132.0,138.0,131.0,138.0,4.55,1030.0,137400.0,0
2011-07-28,138.0,136.0,133.0,134.0,-2.90,1080.0,145660.0,0
2011-07-31,134.0,134.0,130.0,132.0,-1.49,460.0,60380.0,0
2011-08-01,132.0,141.0,132.0,140.0,6.06,3220.0,442180.0,0
2011-08-02,140.0,140.0,135.0,135.0,-3.57,1560.0,215440.0,0
2011-08-03,135.0,136.0,132.0,136.0,0.74,1230.0,165850.0,0
2011-08-04,136.0,141.0,137.0,139.0,2.21,2930.0,402650.0,0
2011-08-07,139.0,140.0,135.0,136.0,-2.16,3000.0,409140.0,0
2011-08-08,136.0,136.0,134.0,135.0,-0.74,4610.0,626030.0,0
2011-08-09,135.0,136.0,134.0,136.0,0.74,810.0,109610.0,0
2011-08-10,136.0,137.0,132.0,136.0,0.0,1260.0,169420.0,0
2011-08-11,136.0,139.0,136.0,138.0,1.47,3860.0,531810.0,0
2011-08-15,138.0,140.0,137.0,140.0,1.45,1950.0,271310.0,0
2011-08-16,140.0,142.0,138.0,138.0,-1.43,1030.0,144280.0,0
2011-08-17,138.0,141.0,136.0,137.0,-0.72,5710.0,787920.0,0
2011-08-18,137.0,141.0,136.0,141.0,2.92,2140.0,295630.0,0
2011-08-22,141.0,140.0,137.0,139.0,-1.42,1340.0,185790.0,0
2011-08-23,139.0,142.0,135.0,140.0,0.72,6350.0,884170.0,0
2011-08-24,140.0,142.0,139.0,142.0,1.43,1700.0,238530.0,0
2011-08-25,142.0,141.0,136.0,141.0,-0.70,820.0,114010.0,0
2011-08-28,141.0,139.0,135.0,135.0,-4.26,250.0,33970.0,0
2011-08-29,135.0,135.0,133.0,135.0,0.0,680.0,91020.0,0
2011-08-30,135.0,143.0,137.0,142.0,5.19,770.0,108690.0,0
2011-09-01,142.0,140.0,138.0,138.0,-2.82,150.0,20960.0,0
2011-09-04,138.0,142.0,138.0,139.0,0.72,5540.0,774340.0,0
2011-09-05,139.0,141.0,137.0,139.0,0.0,4340.0,602430.0,0
2011-09-06,139.0,141.0,138.0,138.0,-0.72,2900.0,404190.0,0
2011-09-07,138.0,140.0,139.0,139.0,0.72,1940.0,270380.0,0
2011-09-08,139.0,142.0,137.0,137.0,-1.44,1630.0,227980.0,0
