published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2012-09-26,248.0,249.0,244.0,247.0,nan,7227.0,1771727.0,0
2012-09-30,245.0,247.0,238.0,244.0,-1.21,7236.0,1747500.0,0
2012-10-01,244.0,245.0,240.0,243.0,-0.41,5064.0,1229940.0,0
2012-10-01,244.0,245.0,240.0,243.0,0.0,5064.0,1229940.0,0
2012-10-02,243.0,248.0,242.0,248.0,2.06,2854.0,703587.0,0
2012-10-03,248.0,251.0,244.0,248.0,0.0,3424.0,848235.0,0
2012-10-04,248.0,250.0,244.0,250.0,0.81,3162.0,778818.0,0
2012-10-07,250.0,255.0,248.0,252.0,0.80,6485.0,1619076.0,0
2012-10-08,252.0,253.0,245.0,252.0,0.0,7223.0,1794754.0,0
2012-10-09,252.0,256.0,250.0,256.0,1.59,3945.0,997688.0,0
2012-10-10,256.0,256.0,251.0,253.0,-1.17,1964.0,497591.0,0
2012-10-11,253.0,252.0,250.0,251.0,-0.79,3846.0,964853.0,0
2012-10-14,251.0,254.0,251.0,254.0,1.20,1029.0,260641.0,0
2012-10-15,254.0,254.0,249.0,252.0,-0.79,1589.0,399228.0,0
2012-10-17,252.0,260.0,247.0,260.0,3.17,2975.0,759810.0,0
2012-10-18,260.0,266.0,260.0,266.0,2.31,3263.0,857695.0,0
2012-10-30,266.0,275.0,263.0,270.0,1.50,2478.0,668968.0,0
2012-10-31,270.0,285.0,275.0,278.0,2.96,4291.0,1202150.0,0
2012-11-01,278.0,287.0,269.0,287.0,3.24,2017.0,558941.0,0
2012-11-04,287.0,301.0,275.0,296.0,3.14,16234.0,4644510.0,0
2012-11-05,296.0,307.0,283.0,297.0,0.34,12136.0,3596379.0,0
2012-11-06,297.0,304.0,288.0,304.0,2.36,4876.0,1445227.0,0
2012-11-07,304.0,310.0,300.0,310.0,1.97,8988.0,2723750.0,0
2012-11-08,310.0,330.0,306.0,308.0,-0.65,9282.0,2905349.0,0
2012-11-11,308.0,324.0,289.0,293.0,-4.87,9640.0,2942956.0,0
2012-11-12,293.0,315.0,293.0,313.0,6.83,3044.0,925513.0,0
2012-11-18,313.0,326.0,310.0,318.0,1.60,2200.0,700288.0,0
2012-11-20,318.0,335.0,316.0,333.0,4.72,7312.0,2409100.0,0
2012-11-21,333.0,344.0,321.0,343.0,3.00,10747.0,3641530.0,0
2012-11-22,343.0,344.0,330.0,342.0,-0.29,9816.0,3317478.0,0
2012-11-25,342.0,370.0,343.0,352.0,2.92,13675.0,4806048.0,0
2012-11-26,352.0,359.0,334.0,359.0,1.99,14535.0,5076649.0,0
2012-11-27,359.0,369.0,345.0,366.0,1.95,15772.0,5698191.0,0
2012-11-28,366.0,385.0,368.0,380.0,3.83,17520.0,6596300.0,0
2012-11-29,380.0,395.0,373.0,380.0,0.0,12950.0,4917274.0,0
2012-12-02,380.0,380.0,366.0,370.0,-2.63,9600.0,3547576.0,0
2012-12-03,370.0,370.0,355.0,364.0,-1.62,5403.0,1951546.0,0
2012-12-04,364.0,382.0,368.0,380.0,4.40,11242.0,4214109.0,0
2012-12-05,380.0,400.0,379.0,400.0,5.26,14715.0,5693648.0,0
2012-12-06,400.0,404.0,385.0,404.0,1.00,29266.0,11506122.0,0
2012-12-09,404.0,398.0,383.0,387.0,-4.21,12055.0,4681506.0,0
2012-12-10,387.0,393.0,384.0,389.0,0.52,9827.0,3813009.0,0
2012-12-11,389.0,392.0,388.0,390.0,0.26,12681.0,4940691.0,0
2012-12-12,390.0,399.0,390.0,393.0,0.77,10338.0,4074235.0,0
2012-12-13,393.0,397.0,393.0,395.0,0.51,8951.0,3530672.0,0
2012-12-16,395.0,430.0,396.0,429.0,8.61,27653.0,11331777.0,0
2012-12-17,429.0,447.0,430.0,438.0,2.10,18004.0,7909557.0,0
2012-12-18,438.0,436.0,415.0,436.0,-0.46,13364.0,5707303.0,0
2012-12-19,436.0,440.0,431.0,438.0,0.46,6949.0,3028986.0,0
2012-12-20,438.0,438.0,425.0,425.0,-2.97,8162.0,3543582.0,0
2012-12-23,425.0,433.0,420.0,424.0,-0.24,13684.0,5807736.0,0
2012-12-24,424.0,443.0,424.0,439.0,3.54,15165.0,6557471.0,0
2012-12-26,439.0,450.0,420.0,449.0,2.28,55877.0,23914724.0,0
2012-12-27,449.0,445.0,430.0,433.0,-3.56,38430.0,16714971.0,0
2012-12-31,433.0,426.0,411.0,426.0,-1.62,5621.0,2350700.0,0
2013-01-01,426.0,418.0,410.0,411.0,-3.52,1508.0,622168.0,0
2013-01-02,411.0,418.0,396.0,411.0,0.0,6761.0,2732121.0,0
2013-01-03,411.0,420.0,412.0,415.0,0.97,8071.0,3355055.0,0
2013-01-06,415.0,414.0,405.0,410.0,-1.20,6373.0,2597884.0,0
2013-01-07,410.0,407.0,402.0,404.0,-1.46,4396.0,1772943.0,0
2013-01-08,404.0,407.0,397.0,402.0,-0.50,2702.0,1088105.0,0
2013-01-09,402.0,401.0,397.0,399.0,-0.75,2169.0,864109.0,0
2013-01-10,399.0,410.0,395.0,410.0,2.76,5251.0,2095800.0,0
2013-01-13,410.0,404.0,394.0,400.0,-2.44,7622.0,3040440.0,0
2013-01-15,400.0,427.0,397.0,426.0,6.50,7416.0,3086405.0,0
2013-01-16,426.0,425.0,410.0,413.0,-3.05,3443.0,1437600.0,0
2013-01-17,413.0,419.0,400.0,406.0,-1.69,6009.0,2436198.0,0
2013-01-20,406.0,400.0,382.0,396.0,-2.46,8069.0,3137659.0,0
2013-01-21,396.0,411.0,392.0,402.0,1.52,6102.0,2458804.0,0
2013-01-22,402.0,414.0,401.0,407.0,1.24,17050.0,6932381.0,0
2013-01-23,407.0,413.0,400.0,406.0,-0.25,19911.0,8084306.0,0
2013-01-24,406.0,405.0,400.0,400.0,-1.48,8814.0,3535881.0,0
2013-01-27,400.0,420.0,404.0,408.0,2.00,15069.0,6187130.0,0
2013-01-28,408.0,410.0,402.0,410.0,0.49,8533.0,3460616.0,0
2013-01-30,410.0,407.0,400.0,405.0,-1.22,10470.0,4210378.0,0
2013-01-31,405.0,405.0,400.0,405.0,0.0,4602.0,1843687.0,0
2013-02-03,405.0,418.0,408.0,414.0,2.22,7579.0,3131234.0,0
2013-02-04,414.0,424.0,409.0,424.0,2.42,6088.0,2511468.0,0
2013-02-05,424.0,421.0,413.0,416.0,-1.89,2858.0,1188795.0,0
2013-02-06,416.0,417.0,410.0,417.0,0.24,2049.0,848745.0,0
2013-02-07,417.0,416.0,410.0,416.0,-0.24,5440.0,2238601.0,0
2013-02-10,416.0,415.0,409.0,415.0,-0.24,8687.0,3584658.0,0
2013-02-12,415.0,438.0,415.0,438.0,5.54,19909.0,8571463.0,0
2013-02-13,438.0,438.0,418.0,438.0,0.0,9073.0,3873642.0,0
2013-02-14,438.0,448.0,430.0,441.0,0.68,18055.0,7999806.0,0
2013-02-17,441.0,485.0,449.0,484.0,9.75,1848.0,894488.0,0
2013-02-19,484.0,532.0,469.0,470.0,-2.89,28140.0,13614001.0,0
2013-02-20,470.0,468.0,444.0,465.0,-1.06,18130.0,8364851.0,0
2013-02-21,465.0,485.0,450.0,468.0,0.65,13474.0,6290624.0,0
2013-02-24,468.0,467.0,457.0,460.0,-1.71,12103.0,5571335.0,0
2013-02-25,460.0,485.0,466.0,484.0,5.22,21953.0,10305317.0,0
2013-02-26,484.0,493.0,480.0,486.0,0.41,16756.0,8120369.0,0
2013-02-27,486.0,490.0,475.0,484.0,-0.41,27729.0,13261099.0,0
2013-02-28,484.0,490.0,479.0,488.0,0.83,22055.0,10717234.0,0
2013-03-03,488.0,500.0,488.0,499.0,2.25,16091.0,7985532.0,0
2013-03-04,499.0,501.0,482.0,482.0,-3.41,27727.0,13721203.0,0
2013-03-05,482.0,500.0,490.0,491.0,1.87,12422.0,6115736.0,0
2013-03-06,491.0,501.0,484.0,499.0,1.63,12909.0,6420608.0,0
2013-03-07,499.0,500.0,475.0,495.0,-0.80,7774.0,3865363.0,0
2013-03-11,495.0,508.0,496.0,500.0,1.01,8775.0,4384337.0,0
2013-03-13,500.0,517.0,503.0,517.0,3.40,11206.0,5670389.0,0
2013-03-14,517.0,557.0,515.0,530.0,2.51,19147.0,10122761.0,0
2013-03-17,530.0,536.0,512.0,524.0,-1.13,16582.0,8623872.0,0
2013-03-18,524.0,534.0,511.0,526.0,0.38,16018.0,8237988.0,0
2013-03-19,526.0,533.0,511.0,521.0,-0.95,13086.0,6804308.0,0
2013-03-20,521.0,526.0,510.0,514.0,-1.34,16270.0,8341772.0,0
2013-03-21,514.0,514.0,500.0,506.0,-1.56,13949.0,7046239.0,0
2013-03-24,506.0,505.0,497.0,500.0,-1.19,8985.0,4488457.0,0
2013-03-25,500.0,508.0,492.0,504.0,0.80,10422.0,5200273.0,0
2013-03-27,504.0,501.0,497.0,499.0,-0.99,5051.0,2521196.0,0
2013-03-28,499.0,500.0,491.0,498.0,-0.20,6050.0,3014807.0,0
2013-03-31,498.0,492.0,480.0,482.0,-3.21,12315.0,5988924.0,0
2013-04-01,482.0,502.0,473.0,502.0,4.15,16704.0,8247866.0,0
2013-04-02,502.0,510.0,490.0,507.0,1.00,8638.0,4336577.0,0
2013-04-03,507.0,506.0,497.0,500.0,-1.38,5659.0,2839885.0,0
2013-04-04,500.0,501.0,483.0,497.0,-0.60,4475.0,2205860.0,0
2013-04-07,497.0,501.0,493.0,499.0,0.40,4584.0,2284331.0,0
2013-04-08,499.0,503.0,496.0,502.0,0.60,9152.0,4584268.0,0
2013-04-09,502.0,516.0,495.0,516.0,2.79,9482.0,4781265.0,0
2013-04-11,516.0,525.0,510.0,513.0,-0.58,10235.0,5282700.0,0
2013-04-15,513.0,526.0,515.0,515.0,0.39,10538.0,5477190.0,0
2013-04-16,515.0,520.0,507.0,520.0,0.97,4194.0,2146306.0,0
2013-04-17,520.0,519.0,510.0,517.0,-0.58,9228.0,4742734.0,0
2013-04-18,517.0,513.0,506.0,508.0,-1.74,8169.0,4156683.0,0
2013-04-21,508.0,518.0,490.0,495.0,-2.56,15641.0,7776639.0,0
2013-04-22,495.0,493.0,475.0,493.0,-0.40,10553.0,5081072.0,0
2013-04-23,493.0,505.0,493.0,496.0,0.61,9788.0,4888517.0,0
2013-04-25,496.0,504.0,486.0,488.0,-1.61,2497.0,1221649.0,0
2013-04-28,488.0,493.0,479.0,480.0,-1.64,9870.0,4780257.0,0
2013-04-29,480.0,490.0,479.0,486.0,1.25,5471.0,2646389.0,0
2013-04-30,486.0,483.0,479.0,481.0,-1.03,6953.0,3338497.0,0
2013-05-02,481.0,489.0,467.0,485.0,0.83,3369.0,1592661.0,0
2013-05-05,485.0,478.0,436.0,465.0,-4.12,5675.0,2565005.0,0
2013-05-06,465.0,456.0,419.0,435.0,-6.45,9322.0,3956592.0,0
2013-05-07,435.0,462.0,431.0,455.0,4.60,17062.0,7688708.0,0
2013-05-08,455.0,464.0,443.0,444.0,-2.42,4781.0,2140598.0,0
2013-05-09,444.0,452.0,440.0,446.0,0.45,2146.0,951579.0,0
2013-05-12,446.0,448.0,435.0,448.0,0.45,1421.0,621199.0,0
2013-05-13,448.0,447.0,425.0,447.0,-0.22,9340.0,4077639.0,0
2013-05-14,447.0,442.0,426.0,432.0,-3.36,36011.0,15615994.0,0
2013-08-05,432.0,475.0,440.0,475.0,9.95,288.0,135316.0,0
2013-08-06,475.0,514.0,475.0,505.0,6.32,51758.0,25472494.0,0
2013-08-07,505.0,508.0,486.0,489.0,-3.17,21531.0,10651804.0,0
2013-08-08,489.0,490.0,471.0,475.0,-2.86,9980.0,4750538.0,0
2013-08-11,475.0,475.0,451.0,459.0,-3.37,7270.0,3321372.0,0
2013-08-12,459.0,464.0,450.0,451.0,-1.74,8484.0,3835867.0,0
2013-08-13,451.0,455.0,447.0,449.0,-0.44,7911.0,3549817.0,0
2013-08-14,449.0,449.0,441.0,444.0,-1.11,7899.0,3501192.0,0
2013-08-15,444.0,451.0,425.0,430.0,-3.15,7007.0,3024875.0,0
2013-08-18,430.0,447.0,422.0,441.0,2.56,23584.0,10178547.0,0
2013-08-19,441.0,451.0,432.0,443.0,0.45,11651.0,5113976.0,0
2013-08-20,443.0,448.0,437.0,448.0,1.13,15091.0,6659986.0,0
2013-08-25,448.0,445.0,432.0,435.0,-2.90,3871.0,1684935.0,0
2013-08-26,435.0,435.0,427.0,428.0,-1.61,4468.0,1921431.0,0
2013-08-27,428.0,445.0,421.0,425.0,-0.70,37090.0,15875415.0,0
2013-08-29,425.0,435.0,422.0,429.0,0.94,5418.0,2333917.0,0
2013-09-01,429.0,435.0,428.0,433.0,0.93,3549.0,1535695.0,0
2013-09-02,433.0,433.0,423.0,430.0,-0.69,6230.0,2663210.0,0
2013-09-03,430.0,434.0,428.0,431.0,0.23,5877.0,2531587.0,0
2013-09-04,431.0,430.0,424.0,430.0,-0.23,6439.0,2742546.0,0
2013-09-05,430.0,427.0,421.0,422.0,-1.86,6760.0,2858559.0,0
2013-09-08,422.0,427.0,423.0,423.0,0.24,4047.0,1716697.0,0
2013-09-09,423.0,435.0,425.0,430.0,1.65,5365.0,2289407.0,0
2013-09-10,430.0,425.0,420.0,420.0,-2.33,6261.0,2640306.0,0
2013-09-11,420.0,429.0,415.0,420.0,0.0,6957.0,2918091.0,0
2013-09-12,420.0,427.0,419.0,421.0,0.24,7907.0,3328029.0,0
2013-09-15,421.0,423.0,405.0,409.0,-2.85,4223.0,1762224.0,0
2013-09-16,409.0,410.0,401.0,407.0,-0.49,5013.0,2034801.0,0
2013-09-17,407.0,407.0,398.0,398.0,-2.21,8215.0,3302033.0,0
2013-09-19,398.0,425.0,396.0,420.0,5.53,5539.0,2231203.0,0
2013-09-22,420.0,412.0,400.0,404.0,-3.81,6710.0,2702730.0,0
2013-09-23,404.0,411.0,399.0,406.0,0.50,6332.0,2537307.0,0
