published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-08-28,10.0,10.0,10.0,10.0,0.0,100.0,1000.0,0
2025-08-31,9.81,9.81,9.0,9.0,-10.0,3040.0,27683.0,-1
2025-09-01,8.85,9.2,8.7,9.02,0.22,3600.0,32300.0,1
2025-09-02,8.95,9.01,8.69,8.84,-2.0,8500.0,75254.9,-1
2025-09-03,8.68,9.28,8.68,9.1,2.94,5350.0,48275.0,1
2025-09-04,8.92,8.92,8.8,8.82,-3.08,2200.0,19484.0,-1
2025-09-07,8.75,9.15,8.75,9.0,2.04,2400.0,21504.0,1
2025-09-08,9.0,9.3,9.0,9.12,1.33,3850.0,35178.0,1
2025-09-21,8.94,9.0,8.8,8.96,-1.75,2300.0,20394.0,-1
2025-09-23,8.8,8.96,8.8,8.96,0.0,4390.0,38926.9,0
2025-09-24,8.8,8.91,8.79,8.85,-1.23,1100.0,9713.0,-1
2025-09-25,8.81,8.97,8.81,8.9,0.56,700.0,6212.0,1
2025-09-28,9.02,9.79,8.8,9.79,10.0,10100.0,90509.0,1
2025-10-07,9.6,9.6,9.07,9.07,-7.35,4050.0,37308.5,-1
2025-10-08,9.25,9.25,8.89,9.25,1.98,800.0,7241.0,1
2025-10-09,9.08,9.4,9.08,9.4,1.62,2100.0,19395.0,1
2025-10-12,9.22,9.22,9.0,9.0,-4.26,900.0,8226.0,-1
2025-10-13,8.82,8.9,8.65,8.9,-1.11,1200.0,10520.0,-1
2025-10-14,9.05,9.05,8.87,8.9,0.0,900.0,8032.0,0
2025-10-15,8.76,9.07,8.76,9.06,1.8,1700.0,15302.0,1
2025-10-16,8.89,9.1,8.85,9.1,0.44,2200.0,19813.0,1
2025-10-19,8.92,8.94,8.77,8.94,-1.76,2500.0,22199.0,-1
2025-10-26,9.0,9.11,8.95,9.11,1.9,6600.0,59223.0,1
2025-10-28,9.0,9.0,8.81,8.83,-3.07,1200.0,10732.0,-1
2025-10-29,8.8,8.86,8.8,8.86,0.34,700.0,6178.0,1
2025-10-30,8.86,9.18,8.86,9.18,3.61,3350.0,30276.5,1
2025-11-02,9.0,9.0,9.0,9.0,-1.96,1500.0,13500.0,-1
2025-11-03,9.0,9.0,8.83,8.9,-1.11,2650.0,23548.0,-1
2025-11-04,8.77,8.83,8.77,8.83,-0.79,1100.0,9682.0,-1
2025-11-05,8.75,8.82,8.75,8.82,-0.11,700.0,6152.0,-1
2025-11-06,8.8,9.07,8.8,9.02,2.27,1900.0,16927.0,1
2025-11-09,8.84,9.02,8.84,8.85,-1.88,2800.0,24976.0,-1
2025-11-10,8.75,8.99,8.75,8.99,1.58,1500.0,13274.0,1
2025-11-11,9.05,9.06,8.88,8.89,-1.11,700.0,6282.0,-1
2025-11-12,8.89,9.07,8.76,8.91,0.22,2200.0,19602.0,1
2025-11-13,8.91,9.08,8.74,8.86,-0.56,2300.0,20416.0,-1
2025-11-16,8.69,9.03,8.69,9.02,1.81,2800.0,24710.5,1
2025-11-17,8.85,8.92,8.85,8.87,-1.66,1100.0,9771.0,-1
2025-11-18,8.7,8.87,8.7,8.8,-0.79,11400.0,100976.0,-1
2025-11-19,8.7,8.81,8.53,8.81,0.11,10950.0,93554.0,1
2025-11-20,8.68,8.98,8.68,8.73,-0.91,5500.0,48731.0,-1
2025-11-23,8.61,8.8,8.61,8.79,0.69,1880.0,16431.6,1
2025-11-24,8.65,8.96,8.65,8.96,1.93,9500.0,84345.0,1
2025-11-25,8.79,8.96,8.63,8.96,0.0,1000.0,8775.0,0
2025-11-26,8.8,8.94,8.7,8.79,-1.9,2600.0,22901.0,-1
2025-11-27,8.7,9.25,8.7,9.25,5.23,3080.0,27746.0,1
2025-11-30,9.07,9.2,8.83,9.2,-0.54,6400.0,57801.0,-1
2025-12-01,9.02,9.2,9.02,9.03,-1.85,4000.0,36465.0,-1
2025-12-02,9.02,9.1,8.82,8.82,-2.33,14330.0,127953.6,-1
2025-12-03,8.65,9.18,8.65,8.68,-1.59,7520.0,65492.9,-1
2025-12-07,8.52,8.85,8.52,8.7,0.23,2230.0,19342.0,1
2025-12-08,8.54,8.72,8.5,8.72,0.23,12550.0,107527.0,1
2025-12-09,8.55,9.04,8.55,9.04,3.67,3950.0,34529.0,1
2025-12-10,9.0,9.0,8.88,8.88,-1.77,900.0,8016.0,-1
2025-12-11,8.73,8.95,8.73,8.77,-1.24,1600.0,14047.0,-1
2025-12-14,8.71,8.89,8.71,8.88,1.25,2100.0,18568.0,1
2025-12-15,8.73,8.81,8.73,8.81,-0.79,1000.0,8763.0,-1
2025-12-16,8.81,8.9,8.73,8.9,1.02,1100.0,9678.0,1
2025-12-17,9.0,9.04,8.82,9.04,1.57,1800.0,16030.0,1
2025-12-18,8.86,9.09,8.86,9.09,0.55,2500.0,22431.0,1
2025-12-21,8.93,9.14,8.93,9.14,0.55,5250.0,47641.0,1
2025-12-22,8.99,8.99,8.98,8.98,-1.75,1500.0,13475.0,-1
2025-12-23,8.83,8.98,8.81,8.81,-1.89,2200.0,19426.0,-1
2025-12-24,8.82,9.05,8.82,9.05,2.72,2000.0,17886.0,1
2025-12-28,8.87,9.26,8.87,9.26,2.32,6530.0,58979.0,1
2025-12-29,9.08,10.18,9.0,10.18,9.94,4750.0,44149.0,1
2025-12-31,10.18,10.18,9.98,9.98,-1.96,200.0,2016.0,-1
2026-01-01,9.79,9.79,8.98,8.98,-10.02,16700.0,151040.11,-1
2026-01-04,8.81,9.15,8.81,8.97,-0.11,2890.0,25744.1,-1
2026-01-05,8.8,9.0,8.8,8.9,-0.78,2200.0,19618.0,-1
2026-01-06,8.75,8.92,8.75,8.92,0.22,1800.0,15900.0,1
2026-01-07,8.79,9.09,8.79,8.91,-0.11,1700.0,15199.0,-1
2026-01-08,9.0,9.15,8.97,9.1,2.13,2210.0,19993.0,1
2026-01-12,9.1,9.1,8.93,8.93,-1.87,1900.0,17137.0,-1
2026-01-13,8.96,9.18,8.96,9.18,2.8,6050.0,54845.0,1
2026-01-14,9.0,9.1,8.84,9.1,-0.87,1500.0,13426.0,-1
2026-01-18,8.92,9.1,8.92,9.1,0.0,2500.0,22545.0,0
2026-01-20,8.93,9.1,8.93,9.05,-0.55,5300.0,47967.0,-1
2026-01-21,8.89,9.06,8.89,9.03,-0.22,2150.0,19407.0,-1
2026-01-22,8.92,9.15,8.92,9.03,0.0,3780.0,34245.4,0
2026-01-25,8.9,9.2,8.9,9.2,1.88,4400.0,39952.0,1
2026-01-26,9.02,9.38,9.02,9.22,0.22,13780.0,127911.4,1
2026-01-27,9.4,9.41,9.22,9.24,0.22,3100.0,28840.0,1
2026-01-28,9.07,9.33,9.07,9.15,-0.97,1600.0,14658.0,-1
2026-01-29,9.0,9.24,9.0,9.06,-0.98,2745.0,24916.0,-1
2026-02-01,8.92,9.41,8.92,9.23,1.88,6850.0,63208.5,1
2026-02-02,9.09,9.15,9.09,9.15,-0.87,2100.0,19129.0,-1
2026-02-03,9.1,9.17,9.03,9.04,-1.2,2800.0,25557.0,-1
2026-02-04,9.05,9.41,9.05,9.41,4.09,1899.0,17563.77,1
2026-02-05,9.58,9.74,9.5,9.6,2.02,55112.0,530443.38,1
2026-02-08,9.5,9.5,9.12,9.19,-4.27,1400.0,12872.0,-1
2026-02-09,9.13,9.38,9.03,9.08,-1.2,2450.0,22410.0,-1
2026-02-10,8.92,9.2,8.92,9.12,0.44,1200.0,10928.0,1
2026-02-11,9.07,9.48,9.07,9.48,3.95,5315.0,49840.5,1
2026-02-12,9.35,9.53,9.21,9.53,0.53,1600.0,15026.0,1
2026-02-16,9.34,9.5,8.99,9.34,-1.99,33310.0,310837.2,-1
2026-02-17,9.3,9.3,9.25,9.3,-0.43,1310.0,12145.5,-1
2026-02-22,9.15,9.16,9.15,9.15,-1.61,1300.0,11897.0,-1
2026-02-23,8.97,9.33,8.81,9.33,1.97,3900.0,35341.0,1
2026-02-24,9.17,9.2,9.17,9.17,-1.71,1570.0,14426.9,-1
2026-02-25,8.99,9.35,8.99,9.35,1.96,6000.0,55066.0,1
2026-02-26,9.17,9.5,9.16,9.32,-0.32,1850.0,17226.0,-1
2026-03-01,9.5,9.5,9.14,9.14,-1.93,2430.0,22503.0,-1
2026-03-03,9.32,9.32,9.17,9.2,0.66,2400.0,22314.0,1
2026-03-10,9.2,9.56,9.07,9.37,1.85,12673.0,118233.25,1
2026-03-11,9.19,9.55,9.19,9.52,1.6,2100.0,19837.0,1
2026-03-12,9.33,9.37,9.33,9.36,-1.68,1050.0,9821.5,-1
2026-03-15,9.21,9.65,9.21,9.51,1.6,9233.0,87904.23,1
2026-03-16,9.51,9.7,9.33,9.7,2.0,8350.0,79460.0,1
2026-03-17,9.6,9.6,9.14,9.35,-3.61,1500.0,13971.0,-1
2026-03-19,9.3,9.42,9.3,9.4,0.53,7000.0,65790.0,1
2026-03-22,9.58,9.89,9.39,9.6,2.13,4270.0,40977.6,1
2026-03-23,9.42,9.98,9.42,9.59,-0.1,6010.0,59077.5,-1
2026-03-24,9.41,9.78,9.4,9.78,1.98,4300.0,41108.0,1
2026-03-25,9.6,9.97,9.43,9.83,0.51,16040.0,156922.0,1
2026-03-26,9.64,9.7,9.45,9.7,-1.32,1900.0,18199.0,-1
2026-03-29,9.52,9.7,9.4,9.7,0.0,6400.0,60854.0,0
2026-03-30,9.71,9.86,9.52,9.8,1.03,9330.0,90977.3,1
2026-03-31,9.61,9.64,9.46,9.55,-2.55,5700.0,54650.0,-1
2026-04-01,9.55,9.6,9.48,9.6,0.52,1000.0,9541.0,1
2026-04-02,9.5,9.65,9.5,9.65,0.52,3400.0,32322.0,1
2026-04-05,9.48,9.8,9.48,9.53,-1.24,4850.0,46264.5,-1
2026-04-06,9.45,9.6,9.45,9.6,0.73,2400.0,22868.0,1
2026-04-07,9.41,9.5,9.41,9.42,-1.88,2600.0,24515.3,-1
2026-04-08,9.45,9.6,9.24,9.59,1.8,2300.0,21753.0,1
2026-04-09,9.5,9.8,9.5,9.56,-0.31,12910.0,125823.9,-1
2026-04-10,9.37,9.56,9.3,9.37,-1.99,1800.0,16878.0,-1
2026-04-13,9.25,9.37,9.25,9.26,-1.17,5300.0,49072.0,-1
2026-04-15,9.15,9.59,9.15,9.46,2.16,2600.0,24455.5,1
2026-04-16,9.35,9.72,9.35,9.5,0.42,5400.0,51353.0,1
2026-04-17,9.4,9.5,9.31,9.5,0.0,3500.0,32811.0,0
2026-04-20,9.5,9.78,9.32,9.78,2.95,6190.0,59209.1,1
2026-04-21,9.5,9.6,9.5,9.6,-1.84,4600.0,43816.0,-1
2026-04-22,9.38,9.6,9.38,9.6,0.0,1600.0,15271.0,0
2026-04-23,9.5,9.5,9.32,9.35,-2.6,600.0,5637.0,-1
2026-04-24,9.34,9.35,9.27,9.27,-0.86,400.0,3723.0,-1
2026-04-27,9.27,9.82,9.13,9.53,2.8,9240.0,89623.8,1
2026-04-28,9.53,9.52,9.17,9.35,-1.89,5310.0,49782.4,-1
2026-04-29,9.35,9.38,9.1,9.31,-0.43,2600.0,24077.0,-1
2026-04-30,9.04,9.42,9.01,9.2,-1.18,7790.0,71908.0,-1
2026-05-04,9.0,9.18,9.0,9.15,-0.54,13110.0,119973.5,-1
2026-05-05,9.42,9.7,9.15,9.41,2.84,1000.0,9310.0,1
2026-05-06,9.15,9.5,9.0,9.5,0.96,1800.0,16710.0,1
