published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2013-07-29,108.00,106.00,106.00,106.00,0.00,446.00,47276.00,0
2013-09-02,106.00,105.00,101.00,101.00,0.00,756.00,77712.00,0
2013-09-03,101.00,103.00,101.00,103.00,0.00,1562.00,159764.00,0
2013-09-05,103.00,105.00,105.00,105.00,0.00,198.00,20790.00,0
2013-09-09,105.00,107.00,107.00,107.00,0.00,500.00,53500.00,0
2013-09-10,107.00,107.00,107.00,107.00,0.00,40.00,4280.00,0
2013-09-11,107.00,107.00,105.00,105.00,0.00,1385.00,146327.00,0
2013-09-15,105.00,105.00,105.00,105.00,0.00,966.00,101430.00,0
2013-09-17,105.00,105.00,105.00,105.00,0.00,16.00,1680.00,0
2013-09-22,105.00,105.00,105.00,105.00,0.00,32.00,3360.00,0
2013-09-23,105.00,105.00,105.00,105.00,0.00,495.00,51975.00,0
2013-09-24,105.00,107.00,105.00,105.00,0.00,336.00,35722.00,0
2013-09-25,105.00,106.00,105.00,106.00,0.00,1421.00,149226.00,0
2013-10-02,106.00,106.00,106.00,106.00,0.00,125.00,13250.00,0
2013-10-03,106.00,104.00,104.00,104.00,0.00,565.00,61910.00,0
2013-10-20,104.00,102.00,102.00,102.00,0.00,27.00,2754.00,0
2013-10-22,102.00,100.00,100.00,100.00,0.00,3029.00,302900.00,0
2013-10-23,100.00,104.00,102.00,102.00,0.00,863.00,88122.00,0
2013-10-28,102.00,104.00,102.00,102.00,0.00,191.00,19614.00,0
2013-10-29,102.00,102.00,102.00,102.00,0.00,125.00,12750.00,0
2013-11-07,102.00,102.00,100.00,102.00,0.00,220.00,22190.00,0
2013-12-01,102.00,102.00,100.00,100.00,0.00,1545.00,155820.00,0
2013-12-04,100.00,104.00,102.00,104.00,0.00,20.00,2060.00,0
2013-12-05,104.00,110.00,106.00,110.00,0.00,30.00,3240.00,0
2013-12-09,110.00,118.00,112.00,118.00,0.00,258.00,30148.00,0
2013-12-10,118.00,120.00,120.00,120.00,0.00,10.00,1200.00,0
2013-12-11,120.00,124.00,122.00,124.00,0.00,30.00,3700.00,0
2013-12-12,124.00,130.00,126.00,130.00,0.00,336.00,43078.00,0
2013-12-15,130.00,134.00,132.00,134.00,0.00,218.00,29172.00,0
