published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2015-12-22,315.0,321.0,321.0,321.0,0.0,10.0,3210.0,0
2016-01-04,321.0,327.0,327.0,327.0,0.0,10.0,3270.0,0
2016-01-05,327.0,339.0,333.0,339.0,0.0,20.0,6720.0,0
2016-01-07,339.0,345.0,345.0,345.0,0.0,10.0,3450.0,0
2016-01-11,345.0,379.0,351.0,379.0,0.0,50.0,18250.0,0
2016-01-12,379.0,416.0,386.0,416.0,0.0,100.0,40830.0,0
2016-05-08,416.0,436.0,436.0,436.0,0.0,20.0,8720.0,0
2016-05-09,436.0,444.0,444.0,444.0,0.0,10.0,4440.0,0
2016-05-15,444.0,452.0,452.0,452.0,0.0,10.0,4520.0,0
2016-05-18,452.0,461.0,461.0,461.0,0.0,10.0,4610.0,0
2016-05-22,461.0,507.0,484.0,507.0,0.0,60.0,29770.0,0
2016-05-24,507.0,532.0,532.0,532.0,0.0,10.0,5320.0,0
2016-06-06,532.0,542.0,542.0,542.0,0.0,10.0,5420.0,0
2016-06-08,542.0,552.0,552.0,552.0,0.0,11.0,6072.0,0
2016-06-20,552.0,563.0,563.0,563.0,0.0,10.0,5630.0,0
2016-06-29,563.0,574.0,574.0,574.0,0.0,10.0,5740.0,0
2016-07-14,574.0,585.0,585.0,585.0,0.0,11.0,6435.0,0
2016-07-19,585.0,596.0,596.0,596.0,0.0,20.0,11920.0,0
2016-07-20,596.0,607.0,607.0,607.0,0.0,10.0,6070.0,0
2016-07-21,607.0,661.0,637.0,661.0,0.0,31.0,20131.0,0
2016-07-25,661.0,674.0,674.0,674.0,0.0,10.0,6740.0,0
2016-07-26,674.0,687.0,687.0,687.0,0.0,10.0,6870.0,0
2016-08-03,687.0,714.0,700.0,714.0,0.0,20.0,14140.0,0
2016-08-04,714.0,728.0,728.0,728.0,0.0,11.0,8008.0,0
2016-08-16,728.0,756.0,742.0,756.0,0.0,20.0,14980.0,0
2016-08-22,756.0,801.0,771.0,801.0,0.0,30.0,23580.0,0
2016-08-30,801.0,817.0,817.0,817.0,0.0,10.0,8170.0,0
2016-08-31,817.0,865.0,833.0,865.0,0.0,31.0,26319.0,0
2016-09-01,865.0,882.0,882.0,882.0,0.0,11.0,9702.0,0
2016-09-03,882.0,899.0,899.0,899.0,0.0,10.0,8990.0,0
2016-09-04,882.0,899.0,899.0,899.0,0.0,10.0,8990.0,0
2016-09-07,899.0,980.0,943.0,980.0,0.0,30.0,28840.0,0
2016-09-14,980.0,999.0,999.0,999.0,0.0,10.0,9990.0,0
2016-09-18,999.0,1079.0,1018.0,1079.0,0.0,160.0,168930.0,0
2016-09-20,1079.0,1144.0,1100.0,1144.0,0.0,30.0,33660.0,0
2016-09-21,1144.0,1225.0,1201.0,1225.0,0.0,20.0,24260.0,0
2016-09-25,1225.0,1249.0,1249.0,1249.0,0.0,10.0,12490.0,0
2016-09-26,1249.0,1311.0,1311.0,1311.0,0.0,40.0,52440.0,0
2016-09-27,1311.0,1442.0,1337.0,1442.0,0.0,63.0,88080.0,0
2016-10-05,1442.0,1470.0,1470.0,1470.0,0.0,11.0,16170.0,0
2016-10-06,1470.0,1499.0,1499.0,1499.0,0.0,10.0,14990.0,0
2016-10-16,1499.0,1528.0,1528.0,1528.0,0.0,10.0,15280.0,0
2016-10-18,1528.0,1680.0,1558.0,1680.0,0.0,113.0,186557.0,0
2016-10-19,1680.0,1848.0,1713.0,1848.0,0.0,55.0,97955.0,0
2016-10-20,1848.0,2032.0,1884.0,2032.0,0.0,51.0,99972.0,0
2016-10-23,2032.0,2235.0,2072.0,2235.0,0.0,72.0,156820.0,0
2016-10-24,2235.0,2458.0,2279.0,2458.0,0.0,563.0,1379434.0,0
2016-10-25,2458.0,2703.0,2367.0,2395.0,0.0,3857.0,9465842.0,0
2016-10-26,2395.0,2400.0,2306.0,2370.0,0.0,2546.0,6044776.0,0
2016-10-27,2370.0,2370.0,2335.0,2341.0,0.0,630.0,1479418.0,0
2016-11-03,2341.0,2428.0,2360.0,2400.0,0.0,963.0,2308277.0,0
2016-11-07,2400.0,2400.0,2262.0,2280.0,0.0,452.0,1058138.0,0
2016-11-08,2280.0,2315.0,2280.0,2285.0,0.0,1074.0,2471909.0,0
2016-11-09,2285.0,2270.0,2182.0,2195.0,0.0,1020.0,2269742.0,0
2016-11-10,2195.0,2238.0,2145.0,2146.0,0.0,600.0,1299445.0,0
2016-11-13,2146.0,2150.0,2030.0,2030.0,0.0,603.0,1266828.0,0
2016-11-14,2030.0,2111.0,2000.0,2000.0,0.0,629.0,1265495.0,0
2016-11-15,2000.0,2050.0,1950.0,1950.0,0.0,886.0,1768763.0,0
2016-11-16,1950.0,1911.0,1841.0,1841.0,0.0,343.0,643049.0,0
2016-11-17,1841.0,1914.0,1761.0,1761.0,0.0,878.0,1620087.0,0
2016-11-20,1761.0,1761.0,1650.0,1650.0,0.0,557.0,957126.0,0
2016-11-21,1650.0,1683.0,1553.0,1580.0,0.0,4439.0,7168810.0,0
2016-11-22,1580.0,1549.0,1422.0,1422.0,0.0,345.0,513115.0,0
2016-11-23,1422.0,1430.0,1373.0,1401.0,0.0,695.0,975240.0,0
2016-11-24,1401.0,1402.0,1340.0,1390.0,0.0,544.0,749991.0,0
2016-11-27,1390.0,1390.0,1355.0,1380.0,0.0,198.0,271700.0,0
2016-11-28,1380.0,1380.0,1326.0,1380.0,0.0,172.0,231222.0,0
2016-11-29,1380.0,1456.0,1353.0,1456.0,0.0,314.0,432358.0,0
2016-11-30,1456.0,1601.0,1455.0,1601.0,0.0,467.0,710859.0,0
2016-12-01,1601.0,1633.0,1568.0,1568.0,0.0,126.0,201337.0,0
2016-12-04,1568.0,1568.0,1412.0,1460.0,0.0,346.0,509832.0,0
2016-12-05,1460.0,1440.0,1358.0,1358.0,0.0,205.0,287748.0,0
2016-12-06,1358.0,1360.0,1320.0,1351.0,0.0,129.0,171925.0,0
2016-12-07,1351.0,1350.0,1306.0,1325.0,0.0,823.0,1093222.0,0
2016-12-08,1325.0,1345.0,1319.0,1319.0,0.0,116.0,155130.0,0
2016-12-11,1319.0,1300.0,1300.0,1300.0,0.0,10.0,13000.0,0
2016-12-12,1300.0,1300.0,1250.0,1251.0,0.0,145.0,183616.0,0
2016-12-14,1251.0,1258.0,1210.0,1235.0,0.0,158.0,194673.0,0
2016-12-15,1235.0,1264.0,1220.0,1264.0,0.0,73.0,90864.0,0
2016-12-18,1264.0,1367.0,1250.0,1367.0,0.0,235.0,307046.0,0
2016-12-19,1367.0,1394.0,1393.0,1394.0,0.0,21.0,29263.0,0
2016-12-20,1394.0,1390.0,1353.0,1353.0,0.0,70.0,95350.0,0
2016-12-21,1353.0,1349.0,1230.0,1236.0,0.0,147.0,187324.0,0
2016-12-22,1236.0,1226.0,1205.0,1226.0,0.0,244.0,296362.0,0
2016-12-26,1226.0,1226.0,1180.0,1226.0,0.0,102.0,122248.0,0
2016-12-27,1226.0,1225.0,1225.0,1225.0,0.0,10.0,12250.0,0
2016-12-28,1225.0,1246.0,1215.0,1246.0,0.0,195.0,241059.0,0
2016-12-29,1246.0,1275.0,1230.0,1275.0,0.0,150.0,187870.0,0
2017-01-02,1275.0,1323.0,1225.0,1323.0,0.0,90.0,115069.0,0
2017-01-03,1323.0,1300.0,1274.0,1274.0,0.0,121.0,156780.0,0
2017-01-04,1274.0,1276.0,1225.0,1276.0,0.0,1013.0,1250167.0,0
2017-01-05,1276.0,1300.0,1298.0,1298.0,0.0,41.0,53278.0,0
2017-01-08,1298.0,1273.0,1248.0,1248.0,0.0,40.0,50420.0,0
2017-01-10,1248.0,1260.0,1250.0,1260.0,0.0,33.0,41415.0,0
2017-01-11,1260.0,1250.0,1211.0,1211.0,0.0,62.0,75922.0,0
2017-01-12,1211.0,1270.0,1230.0,1270.0,0.0,44.0,54879.0,0
2017-01-16,1270.0,1295.0,1245.0,1245.0,0.0,106.0,135995.0,0
2017-01-17,1245.0,1269.0,1265.0,1265.0,0.0,22.0,27874.0,0
2017-01-18,1265.0,1260.0,1260.0,1260.0,0.0,11.0,13860.0,0
2017-01-19,1260.0,1250.0,1240.0,1245.0,0.0,43.0,53595.0,0
2017-01-23,1245.0,1225.0,1201.0,1201.0,0.0,31.0,37711.0,0
2017-01-24,1201.0,1225.0,1201.0,1201.0,0.0,40.0,48280.0,0
2017-01-25,1201.0,1177.0,1132.0,1132.0,0.0,144.0,164054.0,0
2017-01-26,1132.0,1110.0,1047.0,1080.0,0.0,265.0,287539.0,0
2017-01-31,1080.0,1101.0,1100.0,1101.0,0.0,21.0,23110.0,0
2017-02-01,1101.0,1166.0,1080.0,1166.0,0.0,506.0,555533.0,0
2017-02-02,1166.0,1150.0,1105.0,1105.0,0.0,54.0,60902.0,0
2017-02-05,1105.0,1100.0,1100.0,1100.0,0.0,3.0,3300.0,0
2017-02-06,1105.0,1099.0,1035.0,1035.0,0.0,477.0,501130.0,0
2017-02-07,1035.0,1035.0,980.0,980.0,0.0,437.0,439333.0,0
2017-02-08,980.0,965.0,892.0,945.0,0.0,631.0,595036.0,0
2017-02-09,945.0,945.0,944.0,944.0,0.0,22.0,20779.0,0
2017-02-13,944.0,926.0,918.0,918.0,0.0,35.0,32328.0,0
2017-02-14,918.0,917.0,917.0,917.0,0.0,44.0,40348.0,0
2017-02-15,917.0,934.0,881.0,890.0,0.0,278.0,250067.0,0
2017-02-16,890.0,961.0,907.0,961.0,0.0,50.0,46790.0,0
2017-02-19,961.0,945.0,925.0,925.0,0.0,237.0,223155.0,0
2017-02-20,925.0,1017.0,910.0,1010.0,0.0,1225.0,1177661.0,0
2017-02-21,1010.0,1030.0,1005.0,1010.0,0.0,607.0,619550.0,0
2017-02-22,1010.0,1000.0,1000.0,1000.0,0.0,22.0,22000.0,0
2017-02-26,1010.0,1020.0,1017.0,1020.0,0.0,84.0,85527.0,0
2017-02-28,1020.0,1000.0,942.0,942.0,0.0,55.0,53493.0,0
2017-03-01,942.0,930.0,891.0,928.0,0.0,317.0,289735.0,0
2017-03-02,928.0,964.0,928.0,945.0,0.0,222.0,209462.0,0
2017-03-05,945.0,1020.0,948.0,1020.0,0.0,593.0,576081.0,0
2017-03-06,1020.0,1059.0,1038.0,1038.0,0.0,194.0,203492.0,0
2017-03-07,1038.0,1018.0,985.0,985.0,0.0,127.0,126965.0,0
2017-03-09,985.0,970.0,951.0,965.0,0.0,52.0,50087.0,0
2017-03-13,965.0,984.0,965.0,984.0,0.0,89.0,86619.0,0
2017-03-14,984.0,1015.0,983.0,1015.0,0.0,41.0,41045.0,0
2017-03-15,1015.0,1050.0,1000.0,1050.0,0.0,52.0,53215.0,0
2017-03-16,1050.0,1050.0,1010.0,1050.0,0.0,581.0,597317.0,0
2017-03-19,1050.0,1092.0,1055.0,1092.0,0.0,375.0,399995.0,0
2017-03-20,1092.0,1180.0,1113.0,1180.0,0.0,306.0,357895.0,0
2017-03-21,1180.0,1298.0,1203.0,1298.0,0.0,896.0,1104665.0,0
2017-03-22,1298.0,1427.0,1275.0,1399.0,0.0,2136.0,2930414.0,0
2017-03-23,1399.0,1399.0,1301.0,1301.0,0.0,216.0,294284.0,0
2017-03-26,1301.0,1411.0,1280.0,1384.0,0.0,192.0,259004.0,0
2017-03-28,1384.0,1495.0,1410.0,1460.0,0.0,462.0,667095.0,0
2017-03-30,1460.0,1431.0,1348.0,1361.0,0.0,169.0,231770.0,0
2017-04-02,1361.0,1443.0,1388.0,1443.0,0.0,63.0,89398.0,0
2017-04-03,1443.0,1500.0,1470.0,1470.0,0.0,578.0,866090.0,0
2017-04-04,1470.0,1470.0,1362.0,1362.0,0.0,434.0,628051.0,0
2017-04-06,1362.0,1428.0,1375.0,1428.0,0.0,700.0,981873.0,0
2017-04-09,1428.0,1480.0,1372.0,1480.0,0.0,290.0,411070.0,0
2017-04-10,1480.0,1628.0,1455.0,1628.0,0.0,1185.0,1863603.0,0
2017-04-11,1628.0,1790.0,1630.0,1790.0,0.0,1495.0,2553720.0,0
2017-04-12,1790.0,1969.0,1755.0,1930.0,0.0,2412.0,4625704.0,0
2017-04-13,1930.0,1968.0,1838.0,1953.0,0.0,1749.0,3345030.0,0
2017-04-16,1953.0,2100.0,1883.0,1883.0,0.0,1617.0,3284483.0,0
2017-04-18,1883.0,1964.0,1780.0,1963.0,0.0,2223.0,4117474.0,0
2017-04-19,1963.0,2110.0,1965.0,2110.0,0.0,1149.0,2290923.0,0
2017-04-20,2110.0,2321.0,2145.0,2250.0,0.0,1949.0,4375585.0,0
2017-04-23,2250.0,2288.0,2200.0,2279.0,0.0,626.0,1398399.0,0
2017-04-24,2279.0,2250.0,2120.0,2250.0,0.0,1401.0,3103581.0,0
2017-04-25,2250.0,2381.0,2250.0,2381.0,0.0,1799.0,4142846.0,0
2017-04-26,2381.0,2619.0,2334.0,2619.0,0.0,2167.0,5435339.0,0
2017-04-27,2619.0,2719.0,2547.0,2627.0,0.0,2980.0,7942694.0,0
2017-04-30,2627.0,2675.0,2526.0,2580.0,0.0,787.0,2058215.0,0
2017-05-02,2580.0,2650.0,2550.0,2650.0,0.0,1455.0,3800364.0,0
2017-05-03,2650.0,2651.0,2573.0,2645.0,0.0,936.0,2458913.0,0
2017-05-04,2645.0,2593.0,2500.0,2519.0,0.0,231.0,586784.0,0
2017-05-07,2519.0,2569.0,2440.0,2440.0,0.0,1794.0,4552998.0,0
2017-05-08,2440.0,2601.0,2450.0,2450.0,0.0,333.0,830109.0,0
2017-05-09,2450.0,2549.0,2475.0,2500.0,0.0,309.0,772759.0,0
2017-05-11,2500.0,2510.0,2451.0,2475.0,0.0,187.0,463346.0,0
2017-05-15,2475.0,2625.0,2480.0,2490.0,0.0,797.0,2001869.0,0
2017-05-16,2490.0,2539.0,2462.0,2462.0,0.0,109.0,271098.0,0
2017-05-17,2462.0,2478.0,2430.0,2470.0,0.0,332.0,813199.0,0
2017-05-18,2470.0,2570.0,2455.0,2560.0,0.0,938.0,2375487.0,0
2017-05-21,2560.0,2573.0,2510.0,2550.0,0.0,1008.0,2570160.0,0
2017-05-22,2550.0,2653.0,2570.0,2570.0,0.0,62.0,161121.0,0
2017-05-23,2570.0,2600.0,2526.0,2589.0,0.0,3194.0,8209258.0,0
2017-05-24,2589.0,2595.0,2501.0,2550.0,0.0,180.0,458849.0,0
2017-05-28,2550.0,2526.0,2499.0,2525.0,0.0,97.0,244676.0,0
2017-05-30,2525.0,2575.0,2500.0,2500.0,0.0,1007.0,2557236.0,0
2017-05-31,2500.0,2622.0,2540.0,2622.0,0.0,822.0,2122681.0,0
2017-06-01,2622.0,2645.0,2570.0,2645.0,0.0,902.0,2353836.0,0
2017-06-04,2645.0,2600.0,2548.0,2600.0,0.0,86.0,221532.0,0
2017-06-05,2600.0,2660.0,2605.0,2640.0,0.0,611.0,1614688.0,0
2017-06-06,2640.0,2691.0,2630.0,2650.0,0.0,1039.0,2760663.0,0
