published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-06-02,279.0,279.0,279.0,279.0,74.38,20.0,5580.0,1
2019-06-03,292.0,292.0,292.0,292.0,4.66,10.0,2920.0,1
2019-06-04,306.0,312.0,306.0,312.0,6.85,20.0,6180.0,1
2019-06-06,327.0,327.0,327.0,327.0,4.81,10.0,3270.0,1
2019-06-16,343.0,343.0,343.0,343.0,4.89,10.0,3430.0,1
2019-06-17,360.0,360.0,360.0,360.0,4.96,750.0,270000.0,1
2019-06-18,378.0,385.0,378.0,385.0,6.94,20.0,7630.0,1
2019-06-20,404.0,423.0,404.0,423.0,9.87,200.0,84270.0,1
2019-06-23,444.0,465.0,444.0,465.0,9.93,210.0,97270.0,1
2019-06-24,488.0,511.0,456.0,462.0,-0.65,10977.0,5219423.0,-1
2019-06-25,466.0,466.0,440.0,440.0,-4.76,6120.0,2730470.0,-1
2019-06-26,462.0,462.0,409.0,412.0,-6.36,4160.0,1727930.0,-1
2019-06-27,405.0,410.0,397.0,405.0,-1.7,2900.0,1165470.0,-1
2019-06-30,405.0,410.0,380.0,381.0,-5.93,3915.0,1512910.0,-1
2019-07-01,381.0,395.0,369.0,393.0,3.15,1780.0,673000.0,1
2019-07-02,390.0,395.0,382.0,387.0,-1.53,1310.0,508060.0,-1
2019-07-03,387.0,406.0,383.0,398.0,2.84,1475.0,580835.0,1
2019-07-04,392.0,410.0,392.0,398.0,0.0,1300.0,520860.0,0
2019-07-07,400.0,405.0,384.0,392.0,-1.51,900.0,356430.0,-1
2019-07-08,390.0,395.0,379.0,388.0,-1.02,880.0,341460.0,-1
2019-07-09,390.0,402.0,384.0,402.0,3.61,1000.0,394450.0,1
2019-07-10,396.0,400.0,392.0,392.0,-2.49,450.0,179010.0,-1
2019-07-11,399.0,401.0,392.0,400.0,2.04,900.0,355325.0,1
2019-07-14,400.0,400.0,385.0,385.0,-3.75,400.0,156250.0,-1
2019-07-15,392.0,405.0,386.0,400.0,3.9,470.0,186020.0,1
2019-07-16,400.0,400.0,390.0,400.0,0.0,440.0,174130.0,0
2019-07-17,392.0,400.0,385.0,391.0,-2.25,240.0,94370.0,-1
2019-07-18,390.0,400.0,390.0,395.0,1.02,130.0,51320.0,1
2019-07-21,395.0,398.0,385.0,398.0,0.76,560.0,219680.0,1
2019-07-22,391.0,399.0,386.0,394.0,-1.01,310.0,121720.0,-1
2019-07-23,395.0,405.0,393.0,397.0,0.76,900.0,359710.0,1
2019-07-24,400.0,416.0,400.0,405.0,2.02,895.0,365085.0,1
2019-07-25,400.0,410.0,398.0,403.0,-0.49,1300.0,522930.0,-1
2019-07-28,400.0,403.0,397.0,401.0,-0.5,280.0,111970.0,-1
2019-07-29,396.0,441.0,396.0,427.0,6.48,1765.0,738090.0,1
2019-07-30,435.0,451.0,429.0,448.0,4.92,3520.0,1552475.0,1
2019-07-31,450.0,492.0,446.0,492.0,9.82,7063.0,3326920.0,1
2019-08-01,500.0,541.0,500.0,541.0,9.96,8440.0,4468050.0,1
2019-08-04,545.0,590.0,545.0,579.0,7.02,5695.0,3262165.0,1
2019-08-05,580.0,591.0,522.0,525.0,-9.33,4423.0,2468892.0,-1
2019-08-06,517.0,519.0,476.0,486.0,-7.43,3035.0,1481620.0,-1
2019-08-07,477.0,534.0,468.0,534.0,9.88,4515.0,2352480.0,1
2019-08-08,543.0,556.0,531.0,541.0,1.31,3265.0,1776085.0,1
2019-08-11,551.0,551.0,522.0,535.0,-1.11,685.0,367805.0,-1
2019-08-12,540.0,550.0,531.0,540.0,0.93,1640.0,886930.0,1
2019-08-13,530.0,549.0,523.0,535.0,-0.93,1530.0,822310.0,-1
2019-08-14,535.0,535.0,521.0,527.0,-1.5,1960.0,1031270.0,-1
2019-08-15,535.0,535.0,509.0,526.0,-0.19,3340.0,1713170.0,-1
2019-08-18,516.0,516.0,499.0,501.0,-4.75,610.0,305720.0,-1
2019-08-19,500.0,521.0,500.0,521.0,3.99,535.0,271405.0,1
2019-08-20,515.0,530.0,495.0,496.0,-4.8,290.0,147670.0,-1
2019-08-21,489.0,499.0,481.0,481.0,-3.02,935.0,454495.0,-1
2019-08-22,481.0,510.0,480.0,480.0,-0.21,530.0,258600.0,-1
2019-08-25,486.0,494.0,478.0,494.0,2.92,960.0,464160.0,1
2019-08-26,485.0,490.0,476.0,489.0,-1.01,350.0,169070.0,-1
2019-08-27,480.0,490.0,473.0,487.0,-0.41,440.0,212320.0,-1
2019-08-28,479.0,482.0,471.0,474.0,-2.67,1085.0,516380.0,-1
2019-08-29,468.0,485.0,468.0,475.0,0.21,390.0,186530.0,1
2019-09-01,470.0,480.0,459.0,480.0,1.05,720.0,338800.0,1
2019-09-02,471.0,471.0,455.0,458.0,-4.58,530.0,243210.0,-1
2019-09-03,466.0,476.0,457.0,471.0,2.84,905.0,424810.0,1
2019-09-04,462.0,490.0,457.0,490.0,4.03,715.0,345595.0,1
2019-09-05,482.0,483.0,466.0,478.0,-2.45,1080.0,518220.0,-1
2019-09-08,487.0,490.0,465.0,468.0,-2.09,475.0,223850.0,-1
2019-09-09,471.0,473.0,464.0,464.0,-0.85,520.0,243310.0,-1
2019-09-10,465.0,467.0,458.0,460.0,-0.86,290.0,134920.0,-1
2019-09-11,460.0,464.0,455.0,457.0,-0.65,120.0,54920.0,-1
2019-09-12,452.0,460.0,447.0,447.0,-2.19,360.0,162020.0,-1
2019-09-15,453.0,453.0,430.0,430.0,-3.8,360.0,156320.0,-1
2019-09-16,430.0,430.0,415.0,416.0,-3.26,1075.0,449540.0,-1
