published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-04-25,379.00,379.00,364.00,372.00,-3.63,20901.00,7720371.00,-1
2021-04-26,365.00,365.00,345.00,356.00,-4.30,26868.00,9467544.00,-1
2021-04-27,350.00,369.00,349.00,368.00,3.37,13009.00,4680746.00,1
2021-04-28,386.00,386.00,353.00,360.00,-2.17,7244.00,2636917.00,-1
2021-04-29,350.00,374.00,350.00,367.00,1.94,13195.00,4827880.00,1
2021-05-02,365.00,378.00,365.00,375.00,2.18,13085.00,4879330.00,1
2021-05-03,368.00,382.00,368.00,371.00,-1.07,19169.00,7139555.00,-1
2021-05-04,373.00,383.00,364.00,383.00,3.23,21924.00,8164538.00,1
2021-05-05,383.00,405.00,369.00,400.00,4.44,56811.00,22328554.00,1
2021-05-06,405.00,405.00,382.00,388.00,-3.00,19453.00,7536912.00,-1
2021-05-09,407.00,407.00,375.00,384.00,-1.03,32899.00,12587489.00,-1
2021-05-10,403.00,422.00,369.00,386.00,0.52,16664.00,6302749.00,1
2021-05-11,379.00,394.00,372.00,393.00,1.81,22186.00,8618911.00,1
2021-05-12,400.00,400.00,385.00,393.00,0.00,47981.00,18806097.00,0
2021-05-13,395.00,400.00,390.00,399.00,1.53,39488.00,15664321.00,1
2021-05-16,399.00,399.00,383.00,388.00,-2.76,46265.00,17924917.00,-1
2021-05-17,369.00,390.00,369.00,389.00,0.26,36107.00,13935580.00,1
2021-05-18,383.00,417.00,383.00,406.00,4.37,87505.00,35638950.00,1
2021-05-19,410.00,410.00,392.00,393.00,-3.20,18488.00,7340143.00,-1
2021-05-20,395.00,402.00,386.00,388.00,-1.27,17114.00,6670731.00,-1
2021-05-23,380.00,395.00,380.00,391.00,0.77,20910.00,8136005.00,1
2021-05-24,398.00,398.00,386.00,387.00,-1.02,31570.00,12292787.00,-1
2021-05-25,382.00,408.00,382.00,401.00,3.62,52861.00,21137832.00,1
2021-05-27,401.00,434.00,400.00,420.00,4.74,116366.00,48827506.00,1
2021-05-30,425.00,443.00,399.00,402.00,-4.29,72953.00,30097825.00,-1
2021-05-31,382.00,407.00,382.00,388.00,-3.48,33760.00,13291032.00,-1
2021-06-01,385.00,390.00,378.00,381.00,-1.80,20792.00,7957424.00,-1
2021-06-02,376.00,393.00,376.00,392.00,2.89,22681.00,8769623.00,1
2021-06-03,392.00,394.00,381.00,383.00,-2.30,29683.00,11407086.00,-1
2021-06-06,383.00,385.00,370.00,374.00,-2.35,35202.00,13239931.00,-1
2021-06-07,380.00,386.00,373.00,383.00,2.41,31129.00,11892925.00,1
2021-06-08,378.00,393.00,378.00,382.00,-0.26,37584.00,14505409.00,-1
2021-06-09,382.00,388.00,378.00,378.00,-1.05,22164.00,8471591.00,-1
2021-06-10,361.00,415.00,361.00,415.00,9.79,89320.00,36091807.00,1
2021-06-13,435.00,444.00,403.00,441.00,6.27,159930.00,69660187.00,1
2021-06-14,463.00,463.00,423.00,424.00,-3.85,68732.00,29698389.00,-1
2021-06-15,415.00,428.00,406.00,410.00,-3.30,55734.00,23103988.00,-1
2021-06-16,402.00,415.00,383.00,392.00,-4.39,39748.00,15768325.00,-1
2021-06-17,393.00,409.00,384.00,397.00,1.28,21852.00,8546222.00,1
2021-06-20,390.00,392.00,380.00,382.00,-3.78,29029.00,11154248.00,-1
2021-06-21,376.00,389.00,373.00,379.00,-0.79,15216.00,5739918.00,-1
2021-06-22,390.00,395.00,370.00,395.00,4.22,16943.00,6472941.00,1
2021-06-23,414.00,414.00,378.00,378.00,-4.30,10287.00,3938060.00,-1
2021-06-24,380.00,385.00,375.00,378.00,0.00,13588.00,5146275.00,0
2021-06-27,378.00,390.00,375.00,378.00,0.00,14232.00,5384814.00,0
2021-06-28,396.00,396.00,371.00,373.00,-1.32,20718.00,7769171.00,-1
2021-06-29,371.00,375.00,364.00,365.00,-2.14,13517.00,4981029.00,-1
2021-06-30,365.00,366.00,355.00,360.00,-1.37,8884.00,3181493.00,-1
2021-07-01,356.00,377.00,356.00,367.00,1.94,11414.00,4171405.00,1
2021-07-04,360.00,370.00,359.00,359.00,-2.18,10541.00,3828549.00,-1
2021-07-05,355.00,364.00,352.00,353.00,-1.67,9856.00,3507490.00,-1
2021-07-06,345.00,365.00,345.00,351.00,-0.57,6545.00,2308450.00,-1
2021-07-07,355.00,355.00,342.00,342.00,-2.56,8155.00,2825115.00,-1
2021-07-08,339.00,355.00,339.00,349.00,2.05,10036.00,3447740.00,1
2021-07-11,350.00,372.00,349.00,370.00,6.02,9414.00,3394381.00,1
2021-07-12,365.00,373.00,353.00,358.00,-3.24,17708.00,6388428.00,-1
2021-07-13,356.00,362.00,351.00,358.00,0.00,9544.00,3423157.00,0
2021-07-14,353.00,369.00,353.00,368.00,2.79,6055.00,2200585.00,1
2021-07-15,368.00,380.00,361.00,373.00,1.36,12493.00,4680991.00,1
2021-07-18,373.00,384.00,373.00,380.00,1.88,15598.00,5905388.00,1
2021-07-19,385.00,387.60,373.00,380.00,0.00,17563.00,6683892.00,0
2021-07-20,373.00,386.00,373.00,382.00,0.53,22393.00,8556624.20,1
2021-07-22,385.00,415.00,380.00,407.00,6.54,121804.00,49445018.50,1
2021-07-25,415.00,431.00,408.00,421.00,3.44,111176.00,46653941.60,1
2021-07-26,415.10,463.10,415.10,463.10,10.00,227054.00,102196724.90,1
2021-07-27,472.00,509.40,463.00,502.00,8.40,206927.00,103367047.70,1
2021-07-28,512.00,540.00,478.00,481.00,-4.18,76583.00,37291022.90,-1
2021-07-29,472.00,494.00,465.50,490.00,1.87,90922.00,43782048.30,1
2021-08-01,490.00,539.00,481.50,539.00,10.00,188288.00,99419488.50,1
2021-08-02,549.00,555.90,520.00,531.00,-1.48,109108.00,58638238.10,-1
2021-08-03,525.00,582.90,520.00,577.20,8.70,120819.00,67822633.60,1
2021-08-04,575.00,605.00,561.00,576.00,-0.21,162806.00,95515416.20,-1
2021-08-05,565.00,580.00,545.90,548.00,-4.86,86828.00,48848784.80,-1
2021-08-08,548.00,602.80,538.50,590.00,7.66,110745.00,64234918.60,1
2021-08-09,590.00,622.00,580.00,583.00,-1.19,91197.00,54295570.80,-1
2021-08-10,594.00,605.80,560.00,567.00,-2.74,94612.00,53803588.00,-1
2021-08-11,570.00,622.00,561.00,584.00,3.00,72970.00,42109702.20,1
2021-08-12,595.60,637.00,574.00,620.00,6.16,234936.00,139903859.50,1
2021-08-15,607.60,610.10,570.00,585.00,-5.65,85119.00,50143280.40,-1
2021-08-16,575.00,605.00,570.00,591.00,1.03,36809.00,21845590.50,1
2021-08-17,591.00,650.10,591.00,633.00,7.11,192480.00,122261693.70,1
2021-08-18,633.00,657.00,618.00,629.00,-0.63,233257.00,146651355.90,-1
2021-08-19,620.00,641.50,588.00,598.10,-4.91,46881.00,28533415.90,-1
2021-08-24,586.20,586.20,543.00,556.00,-7.04,64416.00,36143764.50,-1
2021-08-25,544.90,568.10,524.30,535.00,-3.78,24046.00,13111474.50,-1
2021-08-26,525.00,587.00,525.00,569.00,6.36,32350.00,18198640.80,1
2021-08-29,558.00,568.00,537.00,550.00,-3.34,36403.00,19932399.90,-1
2021-08-31,539.00,561.00,514.00,519.00,-5.64,30438.00,15891530.50,-1
2021-09-01,513.00,555.00,512.00,525.00,1.16,19194.00,10132605.50,1
2021-09-02,535.00,535.00,495.00,511.90,-2.50,31835.00,16159083.50,-1
2021-09-05,501.70,501.70,460.80,460.80,-9.98,23416.00,10970492.10,-1
2021-09-06,460.00,506.80,430.00,506.80,9.98,33898.00,16304144.50,1
2021-09-07,516.90,536.00,478.10,490.00,-3.31,33467.00,16854690.80,-1
2021-09-08,499.80,509.00,475.00,500.00,2.04,11025.00,5366032.30,1
2021-09-09,500.00,550.00,490.20,540.00,8.00,40506.00,21317071.30,1
2021-09-12,540.00,591.60,540.00,580.10,7.43,53759.00,30454474.10,1
2021-09-13,590.00,591.00,530.00,549.00,-5.36,43457.00,24067948.50,-1
2021-09-14,549.00,559.00,529.00,540.00,-1.64,17375.00,9315343.40,-1
