published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-10-20,129.00,127.00,119.00,119.00,0.00,290.00,34710.00,0
2011-10-23,119.00,114.00,108.00,108.00,0.00,1130.00,122320.00,0
2011-10-24,108.00,104.00,99.00,102.00,0.00,12310.00,1255260.00,0
2011-10-25,102.00,103.00,100.00,101.00,0.00,11240.00,1137280.00,0
2011-10-30,101.00,107.00,100.00,105.00,0.00,13420.00,1379730.00,0
2011-10-31,105.00,108.00,101.00,106.00,0.00,9880.00,1041190.00,0
2011-11-02,106.00,116.00,108.00,116.00,0.00,2440.00,281360.00,0
2011-11-03,116.00,114.00,105.00,108.00,0.00,5160.00,558940.00,0
2011-11-06,108.00,109.00,107.00,108.00,0.00,14960.00,1614710.00,0
2011-11-08,108.00,109.00,106.00,108.00,0.00,11430.00,1223610.00,0
2011-11-09,108.00,109.00,106.00,107.00,0.00,6420.00,689000.00,0
2011-11-10,107.00,108.00,106.00,107.00,0.00,21310.00,2281040.00,0
2011-11-13,107.00,107.00,103.00,104.00,0.00,8140.00,858560.00,0
2011-11-14,104.00,105.00,102.00,104.00,0.00,7960.00,827220.00,0
2011-11-15,104.00,105.00,103.00,104.00,0.00,14980.00,1556520.00,0
2011-11-16,104.00,105.00,103.00,103.00,0.00,6740.00,700940.00,0
2011-11-17,103.00,104.00,102.00,104.00,0.00,4240.00,438220.00,0
2011-11-20,104.00,105.00,102.00,104.00,0.00,5770.00,598190.00,0
2011-11-21,104.00,104.00,103.00,103.00,0.00,1560.00,161310.00,0
2011-11-22,103.00,105.00,103.00,104.00,0.00,7740.00,809510.00,0
2011-11-23,104.00,105.00,103.00,104.00,0.00,3910.00,408110.00,0
2011-11-24,104.00,104.00,103.00,103.00,0.00,8410.00,868010.00,0
2011-11-27,103.00,104.00,102.00,103.00,0.00,10440.00,1075250.00,0
2011-11-28,103.00,104.00,101.00,101.00,0.00,4330.00,441790.00,0
2011-12-01,102.00,102.00,100.00,102.00,0.00,3700.00,372840.00,0
2011-12-04,102.00,102.00,100.00,101.00,0.00,2900.00,292770.00,0
2011-12-05,101.00,102.00,101.00,101.00,0.00,4590.00,463690.00,0
2011-12-06,101.00,102.00,100.00,101.00,0.00,3680.00,371000.00,0
2011-12-07,101.00,101.00,99.00,99.00,0.00,4510.00,451010.00,0
2011-12-08,99.00,101.00,98.00,99.00,0.00,3820.00,380790.00,0
2011-12-11,99.00,100.00,98.00,98.00,0.00,4360.00,432830.00,0
2011-12-12,98.00,102.00,98.00,99.00,0.00,13560.00,1345290.00,0
2011-12-13,99.00,104.00,98.00,104.00,0.00,3870.00,395790.00,0
2011-12-14,104.00,102.00,98.00,102.00,0.00,10250.00,1034520.00,0
2011-12-15,102.00,101.00,97.00,97.00,0.00,2010.00,196970.00,0
2011-12-18,97.00,102.00,97.00,100.00,0.00,3130.00,311620.00,0
2011-12-19,100.00,100.00,98.00,100.00,0.00,2030.00,200350.00,0
2011-12-20,100.00,101.00,99.00,101.00,0.00,1970.00,198010.00,0
2011-12-21,101.00,100.00,98.00,99.00,0.00,6430.00,636590.00,0
2011-12-22,99.00,102.00,99.00,100.00,0.00,2500.00,249650.00,0
2011-12-26,100.00,100.00,99.00,100.00,0.00,370.00,36790.00,0
2011-12-27,100.00,100.00,99.00,100.00,0.00,4720.00,471300.00,0
2011-12-28,100.00,100.00,98.00,99.00,0.00,1510.00,149260.00,0
2011-12-29,99.00,100.00,98.00,98.00,0.00,960.00,95120.00,0
2012-01-01,98.00,101.00,98.00,99.00,0.00,7160.00,714580.00,0
2012-01-02,99.00,102.00,99.00,102.00,0.00,4490.00,451270.00,0
2012-01-03,102.00,103.00,99.00,99.00,0.00,1940.00,196000.00,0
2012-01-04,99.00,100.00,97.00,99.00,0.00,2780.00,276790.00,0
2012-01-05,99.00,99.00,97.00,99.00,0.00,3430.00,337610.00,0
2012-01-08,99.00,99.00,97.00,97.00,0.00,6780.00,662940.00,0
2012-01-09,97.00,99.00,97.00,98.00,0.00,4240.00,417100.00,0
2012-01-10,99.00,99.00,97.00,97.00,0.00,2230.00,218100.00,0
2012-01-11,97.00,97.00,97.00,97.00,0.00,550.00,53350.00,0
2012-01-12,97.00,98.00,96.00,97.00,0.00,2330.00,226220.00,0
2012-01-16,97.00,98.00,96.00,97.00,0.00,3690.00,358460.00,0
2012-01-17,97.00,97.00,96.00,97.00,0.00,1890.00,181930.00,0
2012-01-18,97.00,97.00,95.00,96.00,0.00,6870.00,659520.00,0
2012-01-19,96.00,98.00,96.00,98.00,0.00,1890.00,183520.00,0
2012-01-22,98.00,98.00,95.00,97.00,0.00,3840.00,367760.00,0
2012-01-23,97.00,97.00,95.00,96.00,0.00,5240.00,505110.00,0
