published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-06-06,237.0,237.0,237.0,237.0,0.0,10.0,2370.0,0
2019-06-10,248.0,248.0,248.0,248.0,4.64,10.0,2480.0,1
2019-06-11,260.0,260.0,260.0,260.0,4.84,10.0,2600.0,1
2019-06-12,273.0,273.0,273.0,273.0,5.0,10.0,2730.0,1
2019-06-16,286.0,291.0,286.0,291.0,6.59,20.0,5770.0,1
2019-06-18,305.0,311.0,305.0,311.0,6.87,20.0,6160.0,1
2019-06-19,326.0,326.0,326.0,326.0,4.82,10.0,3260.0,1
2019-06-23,342.0,358.0,342.0,358.0,9.82,550.0,196600.0,1
2019-06-24,375.0,393.0,375.0,393.0,9.78,90.0,35040.0,1
2019-06-25,412.0,432.0,412.0,432.0,9.92,890.0,384000.0,1
2019-06-26,453.0,462.0,424.0,434.0,0.46,21479.0,9349630.0,1
2019-06-27,430.0,438.0,430.0,436.0,0.46,6495.0,2820340.0,1
2019-06-30,436.0,443.0,422.0,432.0,-0.92,7780.0,3358900.0,-1
2019-07-01,424.0,434.0,424.0,426.0,-1.39,2960.0,1268740.0,-1
2019-07-02,422.0,437.0,422.0,434.0,1.88,2060.0,883270.0,1
2019-07-03,434.0,476.0,426.0,460.0,5.99,5670.0,2543590.0,1
2019-07-04,460.0,469.0,450.0,464.0,0.87,3691.0,1697654.0,1
2019-07-07,455.0,460.0,446.0,450.0,-3.02,1590.0,723450.0,-1
2019-07-08,450.0,452.0,440.0,445.0,-1.11,1928.0,857240.0,-1
2019-07-09,445.0,453.0,429.0,438.0,-1.57,830.0,365360.0,-1
2019-07-10,430.0,441.0,430.0,441.0,0.68,576.0,252096.0,1
2019-07-11,437.0,445.0,437.0,445.0,0.91,2205.0,971975.0,1
2019-07-14,445.0,450.0,432.0,440.0,-1.12,790.0,347110.0,-1
2019-07-15,435.0,448.0,433.0,448.0,1.82,1450.0,647740.0,1
2019-07-16,441.0,450.0,441.0,446.0,-0.45,1300.0,579460.0,-1
2019-07-17,441.0,459.0,441.0,454.0,1.79,1380.0,627100.0,1
2019-07-18,454.0,461.0,452.0,454.0,0.0,560.0,256050.0,0
2019-07-21,452.0,465.0,452.0,465.0,2.42,1705.0,786185.0,1
2019-07-22,460.0,475.0,460.0,474.0,1.94,2250.0,1059640.0,1
2019-07-23,470.0,494.0,469.0,493.0,4.01,1954.0,941796.0,1
2019-07-24,495.0,538.0,495.0,538.0,9.13,3695.0,1921035.0,1
2019-07-25,528.0,538.0,512.0,518.0,-3.72,6768.0,3524482.0,-1
2019-07-28,515.0,527.0,486.0,521.0,0.58,5185.0,2691478.0,1
2019-07-29,530.0,540.0,508.0,532.0,2.11,7930.0,4153950.0,1
2019-07-30,540.0,570.0,530.0,554.0,4.14,7035.0,3810040.0,1
2019-07-31,560.0,609.0,538.0,609.0,9.93,9471.0,5368394.0,1
2019-08-01,620.0,669.0,587.0,633.0,3.94,12138.0,7585498.0,1
2019-08-04,645.0,654.0,613.0,613.0,-3.16,6605.0,4153975.0,-1
2019-08-05,613.0,625.0,577.0,582.0,-5.06,7514.0,4494614.0,-1
2019-08-06,571.0,571.0,531.0,554.0,-4.81,2950.0,1632350.0,-1
2019-08-07,544.0,601.0,536.0,591.0,6.68,3728.0,2126225.0,1
2019-08-08,590.0,590.0,570.0,578.0,-2.2,2070.0,1199364.0,-1
2019-08-11,578.0,598.0,560.0,567.0,-1.9,1150.0,658335.0,-1
2019-08-12,556.0,585.0,556.0,582.0,2.65,1160.0,667635.0,1
2019-08-13,580.0,592.0,573.0,581.0,-0.17,2038.0,1191798.0,-1
2019-08-14,580.0,585.0,573.0,580.0,-0.17,1170.0,679100.0,-1
2019-08-15,569.0,574.0,564.0,564.0,-2.76,965.0,551600.0,-1
2019-08-18,570.0,570.0,562.0,564.0,0.0,1300.0,733880.0,0
2019-08-19,559.0,592.0,557.0,581.0,3.01,570.0,323910.0,1
2019-08-20,585.0,588.0,562.0,569.0,-2.07,1550.0,885110.0,-1
2019-08-21,558.0,570.0,525.0,538.0,-5.45,4726.0,2562511.0,-1
2019-08-22,530.0,540.0,519.0,527.0,-2.04,2160.0,1134380.0,-1
2019-08-25,527.0,530.0,514.0,518.0,-1.71,1490.0,774910.0,-1
2019-08-26,526.0,528.0,515.0,515.0,-0.58,1240.0,641140.0,-1
2019-08-27,515.0,545.0,512.0,534.0,3.69,1314.0,688838.0,1
2019-08-28,544.0,544.0,520.0,526.0,-1.5,520.0,272650.0,-1
2019-08-29,520.0,525.0,518.0,518.0,-1.52,450.0,234310.0,-1
2019-09-01,520.0,520.0,510.0,514.0,-0.77,390.0,199950.0,-1
2019-09-02,515.0,515.0,487.0,500.0,-2.72,1051.0,523294.0,-1
2019-09-03,491.0,515.0,490.0,511.0,2.2,731.0,364465.0,1
2019-09-04,515.0,525.0,503.0,525.0,2.74,1081.0,559179.0,1
2019-09-05,526.0,529.0,511.0,512.0,-2.48,1065.0,550370.0,-1
2019-09-08,521.0,521.0,503.0,503.0,-1.76,1680.0,851220.0,-1
2019-09-09,506.0,516.0,496.0,502.0,-0.2,910.0,461220.0,-1
2019-09-10,500.0,510.0,495.0,497.0,-1.0,1590.0,795060.0,-1
2019-09-11,500.0,500.0,488.0,498.0,0.2,607.0,299221.0,1
2019-09-12,489.0,492.0,482.0,489.0,-1.81,390.0,190600.0,-1
2019-09-15,498.0,498.0,448.0,448.0,-8.38,2645.0,1261900.0,-1
2019-09-16,442.0,460.0,442.0,459.0,2.46,960.0,436310.0,1
2019-09-17,460.0,483.0,451.0,483.0,5.23,1270.0,599060.0,1
2019-09-18,483.0,502.0,472.0,502.0,3.93,847.0,406091.0,1
2019-09-19,495.0,495.0,473.0,485.0,-3.39,358.0,173310.0,-1
2019-09-22,467.0,470.0,458.0,470.0,-3.09,380.0,175230.0,-1
2019-09-23,470.0,475.0,462.0,469.0,-0.21,300.0,139590.0,-1
2019-09-24,461.0,475.0,461.0,475.0,1.28,344.0,160270.0,1
2019-09-25,476.0,481.0,460.0,463.0,-2.53,490.0,229800.0,-1
2019-09-26,464.0,465.0,454.0,461.0,-0.43,380.0,174330.0,-1
2019-09-29,453.0,464.0,453.0,462.0,0.22,130.0,59450.0,1
2019-09-30,462.0,471.0,454.0,468.0,1.3,840.0,389030.0,1
2019-10-01,472.0,472.0,459.0,460.0,-1.71,160.0,74830.0,-1
2019-10-02,460.0,460.0,448.0,460.0,0.0,805.0,367920.0,0
2019-10-03,456.0,466.0,456.0,460.0,0.0,1050.0,481850.0,0
2019-10-10,453.0,454.0,453.0,454.0,-1.3,20.0,9070.0,-1
2019-10-14,455.0,463.0,454.0,454.0,0.0,370.0,168350.0,0
2019-10-15,450.0,456.0,450.0,454.0,0.0,60.0,27200.0,0
2019-10-16,457.0,464.0,456.0,460.0,1.32,230.0,106140.0,1
2019-10-17,460.0,460.0,456.0,460.0,0.0,100.0,45820.0,0
2019-10-20,461.0,461.0,452.0,452.0,-1.74,200.0,90730.0,-1
2019-10-21,454.0,455.0,445.0,447.0,-1.11,600.0,269290.0,-1
2019-10-22,445.0,458.0,441.0,447.0,0.0,690.0,308040.0,0
2019-10-23,447.0,455.0,445.0,453.0,1.34,220.0,99380.0,1
2019-10-24,454.0,470.0,447.0,470.0,3.75,80.0,36350.0,1
2019-10-31,470.0,479.0,455.0,461.0,-1.91,906.0,421222.0,-1
2019-11-03,460.0,469.0,456.0,469.0,1.74,689.0,317217.0,1
2019-11-04,460.0,468.0,453.0,468.0,-0.21,540.0,248650.0,-1
2019-11-05,468.0,475.0,451.0,460.0,-1.71,310.0,141950.0,-1
2019-11-06,451.0,460.0,451.0,454.0,-1.3,695.0,317715.0,-1
2019-11-07,453.0,453.0,447.0,451.0,-0.66,290.0,130170.0,-1
2019-11-10,445.0,451.0,445.0,450.0,-0.22,400.0,179490.0,-1
2019-11-11,455.0,480.0,450.0,472.0,4.89,2151.0,1013085.0,1
2019-11-12,473.0,489.0,464.0,480.0,1.69,1794.0,859876.0,1
2019-11-13,471.0,480.0,462.0,472.0,-1.67,310.0,145650.0,-1
2019-11-14,472.0,481.0,470.0,480.0,1.69,410.0,195130.0,1
2019-11-17,485.0,520.0,485.0,510.0,6.25,4803.0,2435405.0,1
2019-11-18,505.0,510.0,495.0,496.0,-2.75,1290.0,649710.0,-1
2019-11-19,491.0,500.0,490.0,492.0,-0.81,790.0,388990.0,-1
2019-11-20,493.0,500.0,493.0,500.0,1.63,310.0,153910.0,1
2019-11-21,500.0,500.0,466.0,490.0,-2.0,1252.0,605595.0,-1
2019-11-24,482.0,490.0,467.0,481.0,-1.84,265.0,126690.0,-1
2019-11-25,489.0,499.0,475.0,490.0,1.87,853.0,420454.0,1
2019-11-26,490.0,512.0,486.0,487.0,-0.61,810.0,397840.0,-1
2019-11-27,487.0,501.0,487.0,491.0,0.82,180.0,88610.0,1
2019-11-28,492.0,494.0,490.0,491.0,0.0,1160.0,569890.0,0
2019-12-01,484.0,493.0,484.0,490.0,-0.2,180.0,88200.0,-1
2019-12-02,499.0,503.0,490.0,503.0,2.65,562.0,277590.0,1
2019-12-03,501.0,505.0,493.0,495.0,-1.59,3171.0,1581782.0,-1
2019-12-04,470.0,487.0,470.0,480.0,-3.03,799.0,383956.0,-1
2019-12-05,489.0,513.0,486.0,513.0,6.88,695.0,344695.0,1
2019-12-08,511.0,530.0,501.0,530.0,3.31,2086.0,1082056.0,1
2019-12-09,530.0,547.0,530.0,539.0,1.7,660.0,354670.0,1
2019-12-10,549.0,560.0,525.0,537.0,-0.37,2468.0,1346970.0,-1
2019-12-11,540.0,590.0,540.0,590.0,9.87,7080.0,3965518.0,1
2019-12-12,600.0,620.0,578.0,604.0,2.37,7535.0,4502830.0,1
2019-12-15,600.0,600.0,561.0,588.0,-2.65,3230.0,1843984.0,-1
2019-12-16,577.0,607.0,553.0,590.0,0.34,1760.0,1023880.0,1
2019-12-17,597.0,597.0,558.0,573.0,-2.88,1202.0,683646.0,-1
2019-12-18,573.0,573.0,565.0,565.0,-1.4,640.0,362610.0,-1
2019-12-19,562.0,585.0,562.0,575.0,1.77,1263.0,721090.0,1
2019-12-22,566.0,575.0,566.0,575.0,0.0,1010.0,576250.0,0
2019-12-23,586.0,586.0,566.0,576.0,0.17,1090.0,626950.0,1
2019-12-24,566.0,575.0,555.0,555.0,-3.65,2229.0,1266050.0,-1
2019-12-25,549.0,570.0,549.0,557.0,0.36,320.0,179750.0,1
2019-12-26,557.0,572.0,550.0,571.0,2.51,700.0,398100.0,1
2019-12-29,560.0,566.0,556.0,563.0,-1.4,370.0,207860.0,-1
2019-12-30,566.0,566.0,557.0,560.0,-0.53,210.0,117360.0,-1
2019-12-31,559.0,570.0,558.0,563.0,0.54,2590.0,1460090.0,1
2020-01-01,555.0,580.0,555.0,579.0,2.84,2019.0,1160430.0,1
