published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-02-09,301.0,331.1,301.0,331.1,10.0,490.0,161043.0,1
2025-02-10,331.9,364.2,331.9,364.2,10.0,510.0,183831.0,1
2025-02-11,364.2,400.6,364.2,400.6,9.99,370.0,146775.0,1
2025-02-12,400.6,440.6,400.6,440.6,9.99,570.0,249556.0,1
2025-02-13,449.4,484.6,449.4,484.6,9.99,530.0,255972.0,1
2025-02-16,494.0,533.0,494.0,533.0,9.99,1700.0,904746.0,1
2025-02-17,533.0,586.3,533.0,586.3,10.0,1310.0,765936.0,1
2025-02-18,598.0,644.93,598.0,644.9,9.99,2240.0,1443426.0,1
2025-02-20,657.0,709.3,657.0,709.3,9.99,6010.0,4261075.0,1
2025-02-23,723.4,780.2,723.4,780.2,10.0,8930.0,6962950.0,1
2025-02-24,795.8,858.2,795.8,858.2,10.0,8010.0,6869532.0,1
2025-02-25,875.3,944.0,875.3,944.0,10.0,9770.0,9217073.0,1
2025-02-27,962.8,1038.4,962.8,1038.4,10.0,32050.0,33278864.0,1
2025-03-02,1059.1,1142.2,1059.1,1142.2,10.0,29640.0,33802950.0,1
2025-03-03,1165.0,1256.4,1165.0,1256.4,10.0,12620.0,15840555.0,1
2025-03-04,1281.5,1382.0,1281.5,1382.0,10.0,8440.0,11647546.0,1
2025-03-05,1409.6,1520.2,1409.6,1520.2,10.0,73730.0,112069496.0,1
2025-03-06,1550.6,1672.2,1550.6,1672.2,10.0,143850.0,240491334.0,1
2025-03-09,1705.6,1839.4,1519.0,1839.4,10.0,253093.0,455678013.9,1
2025-03-10,1874.8,2001.2,1770.0,2000.0,8.73,156648.0,304257333.9,1
2025-03-11,2000.0,2000.0,1884.6,1998.1,-0.1,187395.0,372846812.5,-1
2025-03-12,1958.2,1968.0,1880.7,1961.0,-1.86,188461.0,368693400.1,-1
2025-03-16,1922.0,1960.5,1901.0,1944.1,-0.86,134733.0,262057030.9,-1
2025-03-17,1922.0,1993.0,1922.0,1980.0,1.85,67016.0,132221068.6,1
2025-03-18,1953.0,1990.0,1952.1,1962.0,-0.91,40656.0,79763570.3,-1
2025-03-19,1955.0,1980.0,1935.3,1942.0,-1.02,46156.0,89759395.5,-1
2025-03-20,1940.0,2080.0,1922.1,2035.52,4.82,63141.0,128129540.1,1
2025-03-23,2000.0,2084.0,2000.0,2068.85,1.64,41850.0,86023694.4,1
2025-03-24,2070.0,2269.9,2030.1,2265.63,9.51,57992.0,124483644.1,1
2025-03-25,2265.0,2410.0,2231.1,2284.09,0.81,42770.0,99941176.6,1
2025-03-26,2280.0,2312.0,2151.0,2286.16,0.09,101487.0,229879706.5,1
2025-03-27,2260.0,2359.0,2255.0,2297.21,0.48,42297.0,98056619.6,1
