published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-01-31,490.00,498.00,476.00,480.00,0.00,641.00,310316.00,0
2017-02-01,480.00,489.00,471.00,489.00,0.00,547.00,264241.00,0
2017-02-02,489.00,491.00,480.00,480.00,0.00,800.00,389960.00,0
2017-02-05,480.00,489.00,472.00,475.00,0.00,690.00,327660.00,0
2017-02-06,475.00,475.00,470.00,470.00,0.00,340.00,160050.00,0
2017-02-07,470.00,471.00,471.00,471.00,0.00,298.00,140358.00,0
2017-02-08,471.00,473.00,473.00,473.00,0.00,110.00,52030.00,0
2017-02-09,473.00,464.00,445.00,445.00,0.00,350.00,157789.00,0
2017-02-12,445.00,440.00,419.00,419.00,0.00,415.00,178220.00,0
2017-02-13,419.00,411.00,400.00,400.00,0.00,340.00,138540.00,0
2017-02-14,400.00,401.00,395.00,395.00,0.00,580.00,232060.00,0
2017-02-15,395.00,397.00,381.00,397.00,0.00,1486.00,583565.00,0
2017-02-16,397.00,402.00,395.00,395.00,0.00,748.00,298492.00,0
2017-02-19,395.00,402.00,402.00,402.00,0.00,100.00,40200.00,0
2017-02-20,402.00,415.00,402.00,415.00,0.00,200.00,81780.00,0
2017-02-21,415.00,423.00,410.00,418.00,0.00,906.00,376238.00,0
2017-02-22,418.00,421.00,418.00,418.00,0.00,150.00,63000.00,0
2017-02-23,418.00,410.00,408.00,408.00,0.00,110.00,44900.00,0
2017-02-26,408.00,416.00,400.00,408.00,0.00,430.00,177410.00,0
2017-02-28,408.00,408.00,400.00,401.00,0.00,230.00,92550.00,0
2017-03-01,401.00,393.00,373.00,373.00,0.00,178.00,68515.00,0
2017-03-02,373.00,394.00,380.00,394.00,0.00,450.00,171420.00,0
2017-03-05,394.00,410.00,398.00,410.00,0.00,476.00,192660.00,0
2017-03-06,410.00,418.00,410.00,418.00,0.00,157.00,65418.00,0
2017-03-07,418.00,416.00,416.00,416.00,0.00,22.00,9152.00,0
2017-03-09,416.00,420.00,413.00,420.00,0.00,254.00,105980.00,0
2017-03-14,420.00,420.00,411.00,411.00,0.00,353.00,147400.00,0
2017-03-15,411.00,412.00,400.00,400.00,0.00,150.00,60550.00,0
2017-03-16,400.00,410.00,402.00,410.00,0.00,100.00,40670.00,0
2017-03-19,410.00,405.00,405.00,405.00,0.00,50.00,20250.00,0
2017-03-20,405.00,410.00,410.00,410.00,0.00,21.00,8610.00,0
2017-03-21,410.00,420.00,411.00,420.00,0.00,261.00,108341.00,0
2017-03-22,420.00,427.00,425.00,427.00,0.00,60.00,25600.00,0
2017-03-23,427.00,442.00,427.00,442.00,0.00,310.00,135400.00,0
2017-03-26,442.00,459.00,450.00,450.00,0.00,126.00,57150.00,0
2017-03-28,450.00,480.00,459.00,480.00,0.00,237.00,112068.00,0
2017-03-29,480.00,494.00,484.00,494.00,0.00,182.00,88735.00,0
