published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-02-20,10.0,10.0,9.05,9.23,-7.7,50670.0,466751.4,-1
2025-02-23,9.14,9.2,9.06,9.06,-1.84,41080.0,373828.5,-1
2025-02-24,8.89,9.15,8.89,9.0,-0.66,23341.0,209602.5,-1
2025-02-25,8.85,9.05,8.85,8.99,-0.11,38650.0,346888.5,-1
2025-02-27,8.85,9.16,8.85,8.89,-1.11,29240.0,260771.74,-1
2025-03-02,8.82,9.44,8.8,9.4,5.74,61490.0,561120.9,1
2025-03-03,9.3,9.98,9.15,9.79,4.15,58951.0,562568.3,1
2025-03-04,9.75,9.98,9.75,9.77,-0.2,49094.0,483222.62,-1
2025-03-05,9.77,9.95,9.77,9.86,0.92,29350.0,289970.0,1
2025-03-06,9.67,10.0,9.35,9.35,-5.17,859900.0,8595924.7,-1
2025-03-09,9.18,9.3,9.0,9.3,-0.53,18190.0,165932.9,-1
2025-03-10,9.2,9.2,9.06,9.13,-1.83,10450.0,95392.0,-1
2025-03-11,8.95,9.3,8.95,9.07,-0.66,9250.0,84148.0,-1
2025-03-12,8.89,9.18,8.89,9.02,-0.55,27100.0,244449.0,-1
2025-03-16,9.1,9.2,8.93,9.0,-0.22,9520.0,85718.8,-1
2025-03-17,8.85,9.5,8.85,8.97,-0.33,6200.0,55835.0,-1
2025-03-18,8.97,9.14,8.89,9.1,1.45,11329.0,102314.95,1
2025-03-19,8.93,9.83,8.93,9.8,7.69,16290.0,149181.2,1
2025-03-20,9.61,9.61,8.9,8.98,-8.37,8549.0,80138.39,-1
2025-03-23,8.81,9.18,8.81,8.97,-0.11,7400.0,66258.0,-1
2025-03-24,8.82,9.14,8.82,9.02,0.56,14950.0,134341.5,1
2025-03-25,9.19,9.19,9.01,9.11,1.0,4050.0,36707.5,1
2025-03-26,8.97,9.1,8.96,9.01,-1.1,4300.0,38735.0,-1
2025-03-27,9.0,9.19,8.83,9.01,0.0,6350.0,57330.0,0
2025-03-30,8.89,9.1,8.89,9.01,0.0,8070.0,72542.0,0
2025-04-01,8.85,9.07,8.85,8.95,-0.67,3550.0,31765.0,-1
2025-04-02,8.86,9.18,8.86,9.11,1.79,5860.0,53359.8,1
2025-04-03,8.93,9.11,8.93,9.02,-0.99,4600.0,41439.0,-1
2025-04-07,9.1,9.28,8.92,9.0,-0.22,7496.0,67898.6,-1
2025-04-08,8.89,9.28,8.83,9.1,1.11,6890.0,62539.2,1
2025-04-09,8.93,9.19,8.92,9.11,0.11,7050.0,64054.5,1
2025-04-10,8.96,9.16,8.96,9.11,0.0,8200.0,74388.0,0
2025-04-13,8.93,9.1,8.93,8.99,-1.32,16860.0,151553.0,-1
2025-04-15,8.89,9.09,8.89,9.0,0.11,2950.0,26511.5,1
2025-04-16,8.95,9.38,8.94,9.15,1.67,18560.0,167962.8,1
2025-04-17,8.97,9.1,8.97,9.09,-0.66,4800.0,43425.5,-1
2025-04-20,8.96,9.18,8.96,9.03,-0.66,9830.0,88751.9,-1
2025-04-21,9.0,9.21,9.0,9.08,0.55,6900.0,62614.0,1
2025-04-22,9.0,9.35,9.0,9.03,-0.55,12100.0,110371.0,-1
2025-04-23,8.86,9.29,8.86,9.18,1.66,9410.0,85584.0,1
2025-04-24,9.36,9.53,9.0,9.1,-0.87,9300.0,84170.0,-1
2025-04-27,8.95,9.64,8.95,9.32,2.42,65800.0,614164.0,1
2025-04-28,9.32,9.32,9.15,9.15,-1.82,9400.0,87399.5,-1
2025-04-29,9.15,9.32,9.14,9.26,1.2,5050.0,46264.5,1
2025-04-30,9.08,9.3,9.08,9.13,-1.4,5000.0,45882.0,-1
2025-05-04,9.0,9.18,8.96,9.11,-0.22,18660.0,169443.2,-1
2025-05-05,8.99,9.34,8.99,9.29,1.98,9050.0,83367.5,1
2025-05-06,9.12,9.21,9.12,9.2,-0.97,7150.0,65485.0,-1
2025-05-07,9.02,9.32,9.02,9.28,0.87,14750.0,136540.0,1
2025-05-08,9.16,9.39,9.16,9.31,0.32,13650.0,126781.5,1
2025-05-11,9.13,9.31,9.13,9.23,-0.86,10000.0,92308.0,-1
2025-05-13,9.2,9.3,9.1,9.26,0.33,28250.0,261460.0,1
2025-05-14,9.35,9.54,9.35,9.43,1.84,111060.0,1042029.2,1
2025-05-15,9.28,9.3,9.12,9.15,-2.97,15500.0,141637.0,-1
2025-05-18,9.0,9.23,9.0,9.04,-1.2,107250.0,968629.5,-1
2025-05-19,9.0,9.25,9.0,9.08,0.44,9140.0,83576.0,1
2025-05-20,9.0,9.28,9.0,9.13,0.55,4100.0,37381.0,1
2025-05-21,9.0,9.31,9.0,9.3,1.86,36678.0,338665.9,1
2025-05-22,9.12,9.19,8.96,9.16,-1.51,13390.0,121550.4,-1
2025-05-25,9.01,9.21,9.01,9.07,-0.98,78150.0,710439.0,-1
2025-05-26,9.0,9.23,9.0,9.08,0.11,26600.0,244576.0,1
2025-05-27,9.05,9.09,9.02,9.09,0.11,36750.0,332304.0,1
2025-05-28,9.01,9.27,9.01,9.22,1.43,32850.0,301827.0,1
2025-06-02,9.04,9.4,9.04,9.4,1.95,27000.0,251493.0,1
2025-06-03,9.3,9.3,9.12,9.25,-1.6,23525.0,216286.9,-1
2025-06-04,9.25,9.42,9.24,9.3,0.54,13810.0,128310.7,1
2025-06-05,9.12,9.35,9.01,9.3,0.0,22600.0,209701.0,0
2025-06-08,9.12,9.35,9.12,9.26,-0.43,5500.0,50858.0,-1
2025-06-09,9.08,9.81,9.08,9.35,0.97,28048.0,264133.88,1
2025-06-10,9.17,9.29,9.17,9.29,-0.64,2500.0,23164.0,-1
2025-06-11,9.25,9.37,9.25,9.28,-0.11,6250.0,58065.0,-1
2025-06-12,9.28,9.64,9.26,9.31,0.32,8301.0,78183.64,1
2025-06-15,9.22,9.27,9.22,9.27,-0.43,7300.0,67586.0,-1
2025-06-16,9.27,9.35,9.26,9.3,0.32,4190.0,38914.3,1
2025-06-17,9.3,9.3,9.14,9.24,-0.65,17700.0,162368.0,-1
2025-06-18,9.24,9.5,9.1,9.31,0.76,5500.0,50917.0,1
2025-06-19,9.17,9.28,9.17,9.27,-0.43,13530.0,125132.7,-1
2025-06-22,9.2,9.26,9.2,9.25,-0.22,46900.0,433364.0,-1
2025-06-23,9.15,9.26,9.15,9.21,-0.43,4520.0,41632.6,-1
2025-06-24,9.05,9.25,9.05,9.25,0.43,7950.0,72984.55,1
2025-06-25,9.18,9.45,9.18,9.41,1.73,16448.0,154065.6,1
2025-06-26,9.41,9.41,9.06,9.24,-1.81,6152.0,56658.82,-1
2025-06-29,9.25,9.31,9.25,9.25,0.11,16620.0,154542.0,1
2025-06-30,9.12,9.28,9.1,9.21,-0.43,3350.0,30787.5,-1
2025-07-01,9.21,9.38,9.18,9.29,0.87,7550.0,70021.0,1
2025-07-02,9.18,9.25,9.18,9.25,-0.43,9400.0,86852.0,-1
2025-07-03,9.18,9.66,9.18,9.66,4.43,9400.0,87865.0,1
2025-07-06,9.47,9.47,9.24,9.24,-4.35,6350.0,58747.0,-1
2025-07-07,9.42,9.42,9.15,9.42,1.95,21300.0,198515.5,1
2025-07-08,9.28,9.43,9.22,9.32,-1.06,14400.0,133345.0,-1
2025-07-09,9.24,9.4,9.24,9.4,0.86,3000.0,27861.0,1
2025-07-10,9.24,9.54,9.24,9.33,-0.74,12950.0,121935.5,-1
2025-07-13,9.16,9.94,9.16,9.59,2.79,45370.0,429670.1,1
2025-07-14,9.4,9.58,9.27,9.56,-0.31,18000.0,169412.0,-1
2025-07-15,9.5,10.13,9.32,9.62,0.63,22450.0,215403.9,1
2025-07-16,9.8,10.0,9.22,9.95,3.43,321877.0,3186671.15,1
2025-07-17,9.76,9.76,9.41,9.59,-3.62,17300.0,165297.0,-1
2025-07-20,9.41,9.63,9.41,9.51,-0.83,12960.0,123685.6,-1
2025-07-21,9.4,9.61,9.4,9.51,0.0,8100.0,77026.0,0
2025-07-22,9.5,9.89,9.41,9.7,2.0,14500.0,139737.0,1
2025-07-23,9.52,10.28,9.52,9.8,1.03,34200.0,333499.0,1
2025-07-24,9.61,10.0,9.61,9.7,-1.02,133800.0,1330492.5,-1
2025-07-27,9.51,9.94,9.51,9.93,2.37,69110.0,681637.5,1
2025-07-28,9.74,10.12,9.7,9.8,-1.31,424525.0,4219916.92,-1
2025-07-29,9.66,9.98,9.66,9.85,0.51,235892.0,2317376.32,1
2025-07-30,9.66,9.99,9.51,9.85,0.0,260900.0,2569506.0,0
2025-07-31,9.66,10.0,9.66,10.0,1.52,90780.0,905649.5,1
2025-08-03,10.0,10.3,9.8,9.97,-0.3,422860.0,4349606.7,-1
2025-08-04,9.78,10.25,9.5,9.82,-1.5,10350.0,102060.0,-1
2025-08-05,9.63,9.89,9.44,9.66,-1.63,8700.0,83782.0,-1
2025-08-06,9.51,9.86,9.51,9.63,-0.31,19777.0,192242.59,-1
2025-08-07,9.52,9.99,9.52,9.61,-0.21,4760.0,46468.0,-1
2025-08-11,9.5,10.1,9.42,9.93,3.33,30110.0,297928.0,1
2025-08-12,9.74,9.74,9.4,9.41,-5.24,11900.0,114090.5,-1
2025-08-13,9.23,9.5,9.23,9.42,0.11,22210.0,208424.0,1
2025-08-14,9.24,9.6,9.11,9.4,-0.21,5550.0,51655.0,-1
2025-08-17,9.23,9.42,9.2,9.23,-1.81,12210.0,113441.3,-1
2025-08-18,9.1,9.41,9.1,9.3,0.76,13400.0,124455.0,1
2025-08-19,9.15,9.38,9.15,9.38,0.86,5350.0,49625.5,1
2025-08-20,9.22,9.44,9.22,9.44,0.64,13080.0,121147.0,1
2025-08-21,9.26,9.3,9.25,9.25,-2.01,4100.0,37952.0,-1
2025-08-24,9.1,9.51,9.1,9.36,1.19,12750.0,118471.5,1
2025-08-25,9.18,9.4,9.18,9.4,0.43,5400.0,49960.0,1
2025-08-26,9.4,9.43,9.15,9.4,0.0,13100.0,121159.0,0
2025-08-27,9.25,9.43,9.25,9.29,-1.17,13500.0,125546.0,-1
2025-08-28,9.4,9.4,9.25,9.28,-0.11,18050.0,167797.5,-1
2025-08-31,9.11,9.2,8.82,9.15,-1.4,36070.0,328481.3,-1
2025-09-01,9.0,9.33,8.87,9.08,-0.77,88320.0,806840.6,-1
2025-09-02,9.1,9.2,9.1,9.17,0.99,4450.0,40638.0,1
2025-09-03,9.2,9.25,9.0,9.1,-0.76,16990.0,155940.0,-1
2025-09-04,9.11,9.23,9.0,9.17,0.77,3400.0,30850.0,1
2025-09-07,9.1,9.2,9.0,9.06,-1.2,7420.0,67203.6,-1
2025-09-08,8.9,9.24,8.9,9.1,0.44,6000.0,54123.0,1
2025-09-18,8.92,8.92,8.92,8.92,-1.98,10000.0,89200.0,-1
2025-09-21,8.75,9.1,8.75,9.09,1.91,36300.0,321605.0,1
2025-09-23,8.91,9.18,8.91,9.18,0.99,3400.0,30624.0,1
2025-09-24,9.0,9.0,8.92,9.0,-1.96,1900.0,17065.0,-1
