published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-04-19,282.00,290.00,280.00,287.00,0.00,22541.00,6400585.00,0
2017-04-20,287.00,295.00,270.00,285.00,0.00,21632.00,6071720.00,0
2017-04-23,285.00,295.00,285.00,287.00,0.00,14500.00,4200053.00,0
2017-04-24,287.00,306.00,290.00,297.00,0.00,26021.00,7708373.00,0
2017-04-25,297.00,305.00,294.00,299.00,0.00,34867.00,10421372.00,0
2017-04-26,299.00,305.00,292.00,292.00,0.00,5229.00,1565953.00,0
2017-04-27,292.00,292.00,280.00,289.00,0.00,48910.00,13879915.00,0
2017-04-30,289.00,288.00,275.00,288.00,0.00,40381.00,11409889.00,0
2017-05-02,288.00,290.00,270.00,290.00,0.00,75539.00,21365136.00,0
2017-05-03,227.00,245.00,223.00,227.00,0.00,13244.00,3042924.00,0
2017-05-04,227.00,235.00,225.00,225.00,0.00,7375.00,1677710.00,0
2017-05-07,225.00,221.00,216.00,220.00,0.00,9907.00,2167182.00,0
2017-05-08,220.00,221.00,215.00,217.00,0.00,5013.00,1086636.00,0
2017-05-09,217.00,221.00,215.00,218.00,0.00,14052.00,3046525.00,0
2017-05-11,218.00,236.00,220.00,220.00,0.00,39200.00,9236640.00,0
2017-05-15,220.00,224.00,218.00,218.00,0.00,7076.00,1555674.00,0
2017-05-16,218.00,216.00,215.00,215.00,0.00,1840.00,396840.00,0
2017-05-17,215.00,215.00,208.00,213.00,0.00,2804.00,595756.00,0
2017-05-18,213.00,215.00,210.00,212.00,0.00,6660.00,1410860.00,0
2017-05-21,212.00,214.00,204.00,214.00,0.00,3320.00,694181.00,0
2017-05-22,214.00,210.00,210.00,210.00,0.00,300.00,63000.00,0
2017-05-23,210.00,211.00,208.00,208.00,0.00,690.00,144420.00,0
2017-05-24,208.00,210.00,210.00,210.00,0.00,100.00,21000.00,0
2017-05-28,210.00,210.00,204.00,205.00,0.00,1200.00,246700.00,0
2017-05-30,205.00,202.00,200.00,200.00,0.00,865.00,173249.00,0
2017-05-31,200.00,205.00,195.00,205.00,0.00,3711.00,737133.00,0
2017-06-01,205.00,205.00,200.00,200.00,0.00,2166.00,435338.00,0
2017-06-04,200.00,198.00,198.00,198.00,0.00,24.00,4752.00,0
2017-06-05,198.00,201.00,199.00,199.00,0.00,2901.00,579551.00,0
2017-06-06,199.00,206.00,201.00,202.00,0.00,3214.00,648908.00,0
2017-06-07,202.00,206.00,200.00,200.00,0.00,3365.00,676035.00,0
2017-06-08,200.00,200.00,197.00,200.00,0.00,2369.00,467200.00,0
2017-06-11,200.00,198.00,193.00,193.00,0.00,1700.00,331600.00,0
2017-06-12,193.00,196.00,195.00,195.00,0.00,970.00,190000.00,0
2017-06-13,195.00,194.00,190.00,190.00,0.00,1228.00,235276.00,0
2017-06-14,190.00,193.00,188.00,190.00,0.00,2685.00,511480.00,0
2017-06-15,190.00,195.00,190.00,195.00,0.00,622.00,118854.00,0
2017-06-18,195.00,195.00,195.00,195.00,0.00,13.00,2535.00,0
2017-06-19,195.00,195.00,193.00,195.00,0.00,896.00,173576.00,0
2017-06-20,195.00,194.00,187.00,190.00,0.00,1238.00,238082.00,0
2017-06-21,190.00,192.00,190.00,190.00,0.00,133.00,25458.00,0
2017-06-22,190.00,192.00,187.00,192.00,0.00,4160.00,786372.00,0
2017-06-25,192.00,190.00,189.00,189.00,0.00,300.00,56800.00,0
2017-06-27,189.00,192.00,186.00,186.00,0.00,1025.00,191100.00,0
2017-06-28,186.00,188.00,187.00,188.00,0.00,2302.00,430561.00,0
2017-07-02,188.00,188.00,186.00,186.00,0.00,101.00,18908.00,0
2017-07-03,186.00,185.00,180.00,182.00,0.00,1868.00,338532.00,0
2017-07-04,182.00,182.00,179.00,179.00,0.00,824.00,147970.00,0
2017-07-05,179.00,182.00,176.00,182.00,0.00,2309.00,411804.00,0
2017-07-06,182.00,185.00,182.00,185.00,0.00,3070.00,563240.00,0
2017-07-09,185.00,188.00,182.00,186.00,0.00,468.00,86970.00,0
2017-07-10,186.00,186.00,183.00,186.00,0.00,2732.00,503040.00,0
2017-07-11,186.00,186.00,183.00,186.00,0.00,160.00,29451.00,0
2017-07-12,186.00,187.00,184.00,184.00,0.00,1523.00,282414.00,0
2017-07-13,184.00,183.00,180.00,181.00,0.00,1400.00,254100.00,0
2017-07-16,181.00,182.00,177.00,182.00,0.00,1777.00,319811.00,0
2017-07-17,182.00,185.00,180.00,185.00,0.00,366.00,66680.00,0
2017-07-18,185.00,192.00,185.00,192.00,0.00,1876.00,356040.00,0
2017-07-19,192.00,195.00,189.00,189.00,0.00,2432.00,465912.00,0
2017-07-20,189.00,186.00,185.00,186.00,0.00,610.00,113000.00,0
2017-07-23,186.00,192.00,186.00,192.00,0.00,1446.00,270319.00,0
2017-07-24,192.00,189.00,180.00,180.00,0.00,9006.00,1652295.00,0
2017-07-25,180.00,183.00,180.00,183.00,0.00,6793.00,1225053.00,0
2017-07-26,183.00,194.00,178.00,194.00,0.00,3491.00,647104.00,0
2017-07-27,194.00,194.00,188.00,194.00,0.00,4759.00,905136.00,0
2017-07-30,194.00,194.00,188.00,193.00,0.00,7060.00,1345440.00,0
2017-07-31,193.00,192.00,187.00,191.00,0.00,10826.00,2058353.00,0
2017-08-01,191.00,201.00,190.00,197.00,0.00,6428.00,1236169.00,0
2017-08-02,197.00,204.00,192.00,196.00,0.00,7699.00,1522018.00,0
2017-08-03,196.00,199.00,191.00,191.00,0.00,642.00,123194.00,0
2017-08-06,191.00,193.00,190.00,193.00,0.00,500.00,95411.00,0
2017-08-07,193.00,204.00,194.00,197.00,0.00,19474.00,3867296.00,0
2017-08-09,197.00,208.00,194.00,201.00,0.00,10028.00,2000682.00,0
2017-08-10,201.00,200.00,197.00,197.00,0.00,6350.00,1251250.00,0
2017-08-13,197.00,213.00,195.00,205.00,0.00,16213.00,3267671.00,0
2017-08-15,205.00,207.00,199.00,203.00,0.00,12986.00,2632134.00,0
2017-08-16,203.00,208.00,199.00,204.00,0.00,25977.00,5290135.00,0
2017-08-17,204.00,201.00,201.00,201.00,0.00,150.00,30150.00,0
2017-08-20,201.00,198.00,197.00,198.00,0.00,1194.00,235518.00,0
2017-08-21,198.00,197.00,196.00,196.00,0.00,1606.00,315382.00,0
2017-08-22,196.00,195.00,192.00,192.00,0.00,1042.00,200314.00,0
2017-08-23,192.00,191.00,190.00,191.00,0.00,97.00,18496.00,0
2017-08-24,191.00,194.00,194.00,194.00,0.00,147.00,28518.00,0
2017-08-27,194.00,191.00,191.00,191.00,0.00,151.00,28841.00,0
2017-08-28,191.00,195.00,192.00,195.00,0.00,308.00,59826.00,0
2017-09-04,195.00,194.00,191.00,191.00,0.00,16514.00,3203114.00,0
2017-09-06,191.00,188.00,182.00,185.00,0.00,5167.00,951434.00,0
2017-09-07,185.00,188.00,185.00,187.00,0.00,1995.00,371805.00,0
2017-09-10,187.00,187.00,180.00,180.00,0.00,848.00,154136.00,0
2017-09-11,180.00,189.00,180.00,187.00,0.00,3199.00,590364.00,0
2017-09-12,187.00,184.00,180.00,183.00,0.00,14853.00,2690990.00,0
2017-09-13,183.00,186.00,184.00,186.00,0.00,601.00,111766.00,0
2017-09-14,186.00,189.00,185.00,188.00,0.00,1008.00,188758.00,0
2017-09-17,188.00,194.00,185.00,194.00,0.00,3747.00,700600.00,0
2017-09-18,194.00,199.00,196.00,197.00,0.00,18388.00,3623346.00,0
2017-09-20,197.00,204.00,196.00,199.00,0.00,200.00,39760.00,0
2017-09-25,199.00,196.00,194.00,194.00,0.00,5408.00,1056612.00,0
2017-09-26,194.00,191.00,191.00,191.00,0.00,31.00,5921.00,0
2017-10-04,191.00,192.00,192.00,192.00,0.00,36.00,6912.00,0
2017-10-09,192.00,192.00,189.00,192.00,0.00,30.00,5730.00,0
2017-10-10,192.00,191.00,185.00,191.00,0.00,5079.00,949255.00,0
2017-10-11,191.00,188.00,181.00,181.00,0.00,2585.00,474181.00,0
2017-10-12,181.00,184.00,179.00,181.00,0.00,9786.00,1759314.00,0
2017-10-15,181.00,186.00,183.00,186.00,0.00,6095.00,1115670.00,0
2017-10-16,186.00,189.00,183.00,183.00,0.00,610.00,113190.00,0
2017-10-17,183.00,186.00,183.00,183.00,0.00,275.00,50385.00,0
2017-10-22,183.00,186.00,186.00,186.00,0.00,100.00,18600.00,0
2017-10-24,186.00,185.00,185.00,185.00,0.00,90.00,16650.00,0
2017-10-25,185.00,182.00,179.00,179.00,0.00,88.00,15782.00,0
2017-10-30,179.00,183.00,179.00,181.00,0.00,2760.00,496010.00,0
2017-10-31,181.00,190.00,182.00,189.00,0.00,7263.00,1349910.00,0
2017-11-01,189.00,186.00,182.00,182.00,0.00,3375.00,626283.00,0
