published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-04-19,271.1,298.2,271.1,298.2,10.0,292.0,83244.0,1
2022-04-20,304.1,328.0,304.1,328.0,9.99,329.0,106284.5,1
2022-04-21,334.5,360.8,334.5,360.8,10.0,2937.0,1058227.1,1
2022-04-24,368.0,396.8,368.0,396.8,9.98,23368.0,9271630.9,1
2022-04-25,404.7,436.4,373.0,399.0,0.55,117936.0,47099315.9,1
2022-04-26,400.0,406.0,375.0,390.0,-2.26,31191.0,12240866.9,-1
2022-04-27,390.0,390.0,376.0,385.0,-1.28,19815.0,7563877.0,-1
2022-04-28,390.0,392.0,376.6,377.4,-1.97,17660.0,6718459.5,-1
2022-05-02,370.0,371.0,339.7,358.0,-5.14,33774.0,11962451.3,-1
2022-05-04,359.0,359.0,322.2,324.5,-9.36,39443.0,13000972.0,-1
2022-05-05,318.2,323.0,303.0,304.0,-6.32,17917.0,5549899.1,-1
2022-05-08,304.0,316.0,288.2,310.0,1.97,21258.0,6299497.4,1
2022-05-09,315.0,315.0,297.0,305.0,-1.61,9948.0,3057362.8,-1
2022-05-10,311.1,315.0,298.9,307.0,0.66,16367.0,5017307.0,1
2022-05-11,307.0,334.5,303.2,325.5,6.03,21910.0,6908891.0,1
2022-05-12,328.8,336.0,313.6,320.7,-1.47,18554.0,6034107.5,-1
2022-05-17,318.0,318.0,291.5,291.5,-9.11,15356.0,4628160.5,-1
2022-05-18,292.0,307.0,284.3,305.0,4.63,16194.0,4804442.8,1
2022-05-19,300.0,306.0,290.0,300.0,-1.64,13565.0,4061736.5,-1
2022-05-20,295.0,306.0,290.2,295.0,-1.67,7312.0,2198517.0,-1
2022-05-23,289.1,295.0,285.5,286.4,-2.92,7110.0,2056800.0,-1
2022-05-24,285.0,297.0,282.1,290.7,1.5,9756.0,2827623.2,1
2022-05-25,294.7,299.0,285.4,290.5,-0.07,4662.0,1359604.4,-1
2022-05-26,290.5,298.8,286.1,291.0,0.17,9061.0,2637823.0,1
2022-05-27,290.0,295.0,285.4,289.9,-0.38,10340.0,2966138.5,-1
2022-05-30,285.0,295.0,280.0,281.0,-3.07,6744.0,1910264.3,-1
2022-05-31,276.0,280.0,271.0,280.0,-0.36,9538.0,2627646.0,-1
2022-06-01,276.0,282.9,271.4,276.0,-1.43,4880.0,1348068.5,-1
2022-06-02,271.1,279.4,269.1,271.0,-1.81,5733.0,1557999.2,-1
2022-06-03,266.0,277.4,266.0,271.0,0.0,9615.0,2608741.0,0
2022-06-06,270.0,279.9,270.0,270.0,-0.37,6687.0,1832029.0,-1
2022-06-07,265.0,273.0,260.2,261.1,-3.3,8189.0,2171584.4,-1
2022-06-08,256.0,287.0,256.0,275.0,5.32,11467.0,3074503.3,1
2022-06-09,275.0,280.5,265.1,265.1,-3.6,7513.0,2031446.5,-1
2022-06-10,270.3,291.6,270.0,291.6,10.0,27782.0,7899947.1,1
2022-06-13,297.4,320.7,297.4,320.7,9.98,33483.0,10676181.6,1
2022-06-14,327.1,352.0,296.6,300.0,-6.45,59615.0,19050231.4,-1
2022-06-15,294.0,306.0,279.0,290.5,-3.17,21862.0,6338644.2,-1
2022-06-16,296.0,310.0,280.0,302.0,3.96,12338.0,3658695.7,1
2022-06-17,300.0,308.9,292.1,300.5,-0.5,11414.0,3459292.1,-1
2022-06-19,295.1,298.8,288.3,290.0,-3.49,12859.0,3768696.2,-1
2022-06-20,284.2,284.2,274.6,277.8,-4.21,12882.0,3587901.0,-1
2022-06-21,280.0,291.7,274.4,290.7,4.64,13189.0,3758082.3,1
2022-06-22,285.0,286.6,278.0,286.6,-1.41,9925.0,2800704.8,-1
2022-06-23,280.9,280.9,266.0,266.0,-7.19,11732.0,3163252.5,-1
2022-06-24,265.0,291.7,255.1,276.0,3.76,7344.0,1969275.1,1
2022-06-26,276.0,299.5,276.0,298.0,7.97,15762.0,4571965.0,1
2022-06-27,292.1,300.0,283.0,287.0,-3.69,14028.0,4094553.3,-1
2022-06-28,281.3,290.5,277.1,284.8,-0.77,11636.0,3297982.7,-1
2022-06-29,280.0,310.0,276.0,308.2,8.22,24951.0,7489268.7,1
2022-06-30,308.0,323.0,303.0,316.0,2.53,25445.0,8055793.6,1
2022-07-01,312.0,322.0,307.0,309.0,-2.22,17724.0,5541375.0,-1
2022-07-03,305.0,326.0,303.1,322.0,4.21,32513.0,10277178.3,1
2022-07-04,325.0,331.0,310.0,325.0,0.93,37440.0,12031842.1,1
2022-07-05,318.5,331.0,310.0,315.0,-3.08,22821.0,7240142.0,-1
2022-07-06,310.3,316.0,305.0,315.0,0.0,12869.0,4011029.9,0
2022-07-07,315.0,326.0,309.0,314.0,-0.32,16030.0,5009391.0,-1
2022-07-08,314.0,314.0,299.0,304.0,-3.18,10135.0,3073138.9,-1
2022-07-11,300.2,300.2,284.0,284.0,-6.58,9345.0,2693370.4,-1
2022-07-12,285.0,300.0,283.0,289.4,1.9,11763.0,3410675.5,1
2022-07-13,283.7,302.5,283.7,298.0,2.97,13944.0,4113644.0,1
2022-07-14,292.1,310.0,292.1,310.0,4.03,22999.0,7001668.6,1
2022-07-15,311.0,312.0,297.0,303.5,-2.1,11120.0,3357904.5,-1
2022-07-17,298.0,309.0,297.8,299.2,-1.42,10420.0,3158481.0,-1
