published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-07-04,1050.0,1155.0,1050.0,1155.0,10.0,656.0,720472.0,1
2021-07-05,1178.0,1220.0,1178.0,1220.0,5.63,2042.0,2456700.0,1
2021-07-06,1240.0,1242.0,1240.0,1242.0,1.8,150.0,186100.0,1
2021-07-07,1230.0,1230.0,1230.0,1230.0,-0.97,10.0,12300.0,-1
2021-07-08,1206.0,1206.0,1206.0,1206.0,-1.95,10.0,12060.0,-1
2021-07-11,1205.0,1205.0,1205.0,1205.0,-0.08,10.0,12050.0,-1
2021-07-12,1181.0,1190.0,1172.0,1172.0,-2.74,525.0,620000.0,-1
2021-07-13,1195.0,1219.0,1195.0,1196.0,2.05,855.0,1038795.0,1
2021-07-15,1200.0,1200.0,1200.0,1200.0,0.33,50.0,60000.0,1
2021-07-18,1180.0,1180.0,1152.6,1160.0,-3.33,730.0,849450.0,-1
2021-07-19,1150.0,1150.0,1145.0,1145.0,-1.29,750.0,861875.0,-1
2021-07-20,1150.0,1150.0,1135.0,1150.0,0.44,525.0,599000.0,1
2021-07-22,1150.0,1173.0,1150.0,1154.0,0.35,165.0,191470.0,1
2021-07-25,1160.0,1160.0,1154.0,1154.0,0.0,225.0,259905.0,0
2021-07-26,1150.0,1160.0,1150.0,1160.0,0.52,630.0,729300.0,1
2021-07-27,1168.0,1168.0,1145.1,1165.0,0.43,740.0,853963.0,1
2021-08-01,1165.0,1170.0,1165.0,1170.0,0.43,225.0,262750.0,1
2021-08-02,1170.0,1170.0,1170.0,1170.0,0.0,190.0,222300.0,0
2021-08-05,1160.0,1160.0,1160.0,1160.0,-0.85,100.0,116000.0,-1
2021-08-08,1160.0,1160.0,1160.0,1160.0,0.0,430.0,498800.0,0
2021-08-09,1175.0,1190.0,1160.0,1190.0,2.59,460.0,541810.0,1
2021-08-10,1187.0,1195.0,1171.1,1195.0,0.42,775.0,922715.0,1
2021-08-11,1212.0,1215.0,1212.0,1215.0,1.67,45.0,54580.0,1
2021-08-19,1190.7,1190.7,1190.7,1190.7,-2.0,40.0,47628.0,-1
2021-08-26,1166.9,1166.9,1143.7,1143.7,-3.95,705.0,807541.5,-1
2021-08-29,1131.0,1140.0,1130.0,1132.0,-1.02,166.0,187972.0,-1
2021-08-31,1130.2,1130.2,1130.2,1130.2,-0.16,50.0,56510.0,-1
2021-09-05,1152.0,1152.0,1152.0,1152.0,1.93,25.0,28800.0,1
2021-09-06,1171.0,1172.0,1150.0,1150.0,-0.17,400.0,462150.0,-1
2021-09-09,1148.0,1148.0,1145.0,1145.0,-0.43,50.0,57325.0,-1
2021-09-12,1135.2,1145.0,1135.0,1145.0,0.0,275.0,312636.5,0
2021-09-13,1140.0,1140.0,1140.0,1140.0,-0.44,25.0,28500.0,-1
2021-09-20,1125.0,1125.0,1120.0,1120.0,-1.75,583.0,653965.0,-1
2021-09-23,1120.0,1135.0,1120.0,1135.0,1.34,102.0,115020.0,1
2021-09-29,1130.0,1130.0,1120.2,1120.2,-1.3,165.0,185813.0,-1
2021-09-30,1121.0,1121.0,1121.0,1121.0,0.07,25.0,28025.0,1
2021-10-03,1120.0,1130.0,1120.0,1130.0,0.8,200.0,225000.0,1
2021-10-06,1130.0,1140.0,1130.0,1140.0,0.88,345.0,391650.0,1
2021-10-11,1140.0,1140.0,1140.0,1140.0,0.0,50.0,57000.0,0
2021-10-18,1140.0,1140.0,1125.0,1140.0,0.0,671.0,759375.0,0
2021-10-26,1140.0,1150.0,1140.0,1150.0,0.88,125.0,143500.0,1
2021-10-31,1140.0,1150.0,1140.0,1150.0,0.0,125.0,143500.0,0
2021-11-01,1150.0,1150.0,1150.0,1150.0,0.0,50.0,57500.0,0
2021-11-02,1150.0,1150.0,1150.0,1150.0,0.0,200.0,230000.0,0
2021-11-09,1127.0,1127.0,1127.0,1127.0,-2.0,25.0,28175.0,-1
2021-11-11,1125.0,1150.0,1125.0,1150.0,2.04,375.0,430575.0,1
2021-11-14,1127.0,1149.5,1127.0,1149.5,-0.04,125.0,143125.0,-1
2021-11-15,1150.0,1155.0,1150.0,1155.0,0.48,225.0,259250.0,1
2021-11-16,1155.0,1155.0,1155.0,1155.0,0.0,95.0,109725.0,0
2021-11-17,1140.0,1140.0,1140.0,1140.0,-1.3,50.0,57000.0,-1
2021-11-22,1140.0,1140.0,1140.0,1140.0,0.0,25.0,28500.0,0
2021-11-24,1159.9,1161.0,1159.9,1161.0,1.84,75.0,87020.0,1
2021-12-05,1137.9,1150.0,1127.0,1127.0,-2.93,245.0,277780.0,-1
2021-12-06,1127.0,1127.0,1127.0,1127.0,0.0,50.0,56350.0,0
2021-12-08,1127.0,1127.0,1127.0,1127.0,0.0,50.0,56350.0,0
2021-12-09,1112.0,1115.0,1111.0,1115.0,-1.06,550.0,612350.0,-1
2021-12-12,1130.0,1130.0,1130.0,1130.0,1.35,100.0,113000.0,1
2021-12-13,1130.0,1140.0,1130.0,1140.0,0.88,255.0,288875.0,1
2021-12-16,1120.0,1120.0,1120.0,1120.0,-1.75,200.0,224000.0,-1
2021-12-20,1130.0,1130.0,1130.0,1130.0,0.89,100.0,113000.0,1
2021-12-21,1152.6,1152.6,1129.6,1129.6,-0.04,65.0,74689.0,-1
2021-12-22,1152.1,1152.1,1152.1,1152.1,1.99,50.0,57605.0,1
2021-12-27,1159.9,1159.9,1159.9,1159.9,0.68,100.0,115990.0,1
2022-01-03,1160.0,1160.0,1160.0,1160.0,0.01,90.0,104400.0,1
2022-01-04,1160.0,1160.0,1160.0,1160.0,0.0,200.0,232000.0,0
2022-01-05,1155.0,1155.0,1150.0,1150.0,-0.86,50.0,57625.0,-1
2022-01-09,1150.0,1150.0,1150.0,1150.0,0.0,165.0,189750.0,0
2022-01-10,1172.0,1173.0,1172.0,1173.0,2.0,35.0,41030.0,1
2022-01-18,1149.6,1149.6,1120.0,1120.0,-4.52,250.0,280431.5,-1
2022-01-19,1120.0,1120.0,1097.6,1097.6,-2.0,95.0,104840.0,-1
2022-01-20,1082.1,1090.0,1080.2,1090.0,-0.69,495.0,537020.0,-1
2022-01-23,1084.0,1100.0,1084.0,1100.0,0.92,230.0,250240.0,1
2022-01-25,1091.0,1091.0,1091.0,1091.0,-0.82,496.0,541136.0,-1
2022-01-26,1100.0,1100.0,1091.0,1091.0,0.0,150.0,164565.0,0
2022-01-27,1100.0,1100.0,1100.0,1100.0,0.82,50.0,55000.0,1
2022-01-30,1091.0,1100.0,1090.0,1100.0,0.0,400.0,438025.0,0
2022-01-31,1101.0,1110.0,1101.0,1110.0,0.91,60.0,66150.0,1
2022-02-03,1110.0,1110.0,1105.0,1105.0,-0.45,165.0,183025.0,-1
2022-02-06,1105.0,1105.0,1101.0,1101.0,-0.36,400.0,441250.0,-1
2022-02-07,1100.0,1100.0,1100.0,1100.0,-0.09,100.0,110000.0,-1
2022-02-08,1100.0,1100.0,1091.0,1091.0,-0.82,515.0,565520.0,-1
2022-02-10,1100.0,1100.0,1100.0,1100.0,0.82,115.0,126500.0,1
2022-02-13,1100.0,1100.0,1100.0,1100.0,0.0,640.0,704000.0,0
2022-02-14,1100.0,1100.0,1095.0,1095.0,-0.45,600.0,658500.0,-1
2022-02-15,1095.0,1095.0,1090.0,1090.0,-0.46,625.0,682475.0,-1
2022-02-16,1091.0,1091.0,1091.0,1091.0,0.09,221.0,241111.0,1
2022-02-17,1095.0,1095.0,1095.0,1095.0,0.37,300.0,328500.0,1
2022-02-20,1091.0,1091.0,1091.0,1091.0,-0.37,120.0,130920.0,-1
2022-02-21,1091.0,1091.0,1091.0,1091.0,0.0,170.0,185470.0,0
2022-02-22,1100.0,1100.0,1100.0,1100.0,0.82,181.0,199100.0,1
2022-02-23,1100.0,1100.0,1100.0,1100.0,0.0,300.0,330000.0,0
2022-02-28,1105.0,1105.0,1100.0,1100.0,0.0,620.0,682690.0,0
2022-03-02,1100.0,1101.0,1100.0,1101.0,0.09,311.0,342300.0,1
2022-03-06,1085.0,1086.0,1085.0,1085.0,-1.45,300.0,325512.0,-1
2022-03-07,1100.0,1100.0,1100.0,1100.0,1.38,365.0,401500.0,1
2022-03-09,1100.0,1100.0,1100.0,1100.0,0.0,175.0,192500.0,0
2022-03-10,1085.0,1085.0,1085.0,1085.0,-1.36,100.0,108500.0,-1
2022-03-14,1090.0,1090.0,1090.0,1090.0,0.46,200.0,218000.0,1
2022-03-15,1085.0,1085.0,1085.0,1085.0,-0.46,150.0,162750.0,-1
2022-03-20,1085.0,1085.0,1085.0,1085.0,0.0,250.0,271250.0,0
2022-03-21,1080.0,1095.0,1075.0,1095.0,0.92,410.0,441950.0,1
2022-04-03,1080.0,1080.0,1080.0,1080.0,-1.37,25.0,27000.0,-1
2022-04-05,1070.0,1070.0,1070.0,1070.0,-0.93,100.0,107000.0,-1
2022-04-06,1070.0,1070.0,1070.0,1070.0,0.0,450.0,481500.0,0
2022-04-12,1070.0,1070.0,1070.0,1070.0,0.0,100.0,107000.0,0
2022-04-27,1070.0,1070.0,1070.0,1070.0,0.0,300.0,321000.0,0
2022-05-05,1070.0,1070.0,1070.0,1070.0,0.0,235.0,251450.0,0
2022-05-26,1072.0,1072.0,1071.1,1071.1,0.1,20.0,21431.0,1
2022-06-03,1070.0,1070.1,1070.0,1070.1,-0.09,35.0,37451.0,-1
2022-06-09,1060.0,1065.0,1060.0,1061.0,-0.85,65.0,68965.0,-1
2022-06-15,1053.0,1053.0,1050.0,1050.0,-1.04,200.0,210305.0,-1
2022-06-20,1050.0,1050.0,1050.0,1050.0,0.0,400.0,420000.0,0
2022-06-21,1070.0,1070.0,1070.0,1070.0,1.9,10.0,10700.0,1
2022-06-23,1051.0,1051.0,1050.0,1050.0,-1.87,100.0,105056.5,-1
2022-06-26,1031.0,1031.0,1031.0,1031.0,-1.81,25.0,25775.0,-1
2022-06-28,1051.6,1072.6,1051.2,1051.2,1.96,46.0,48575.6,1
2022-06-29,1072.2,1085.0,1056.0,1085.0,3.22,128.0,136707.0,1
2022-06-30,1090.0,1111.8,1090.0,1111.0,2.4,104.0,114809.0,1
2022-07-04,1130.0,1130.0,1125.0,1125.0,1.26,55.0,62050.0,1
2022-07-06,1105.0,1105.0,1105.0,1105.0,-1.78,20.0,22100.0,-1
2022-07-07,1102.5,1102.5,1102.5,1102.5,-0.23,20.0,22050.0,-1
2022-07-11,1124.0,1124.0,1124.0,1124.0,1.95,25.0,28100.0,1
2022-07-12,1140.0,1140.0,1140.0,1140.0,1.42,25.0,28500.0,1
2022-07-13,1159.0,1159.0,1140.0,1158.0,1.58,90.0,103168.0,1
2022-07-14,1171.0,1171.0,1171.0,1171.0,1.12,100.0,117100.0,1
2022-07-15,1165.0,1165.0,1164.0,1164.0,-0.6,200.0,232875.0,-1
2022-07-21,1140.8,1140.8,1140.8,1140.8,-1.99,10.0,11408.0,-1
2022-07-26,1118.0,1118.0,1118.0,1118.0,-2.0,10.0,11180.0,-1
2022-07-31,1095.68,1095.68,1074.0,1074.0,-3.94,20.0,21696.8,-1
2022-08-02,1052.6,1052.6,1031.6,1031.6,-3.95,20.0,20842.0,-1
2022-08-03,1015.0,1016.0,1011.0,1015.0,-1.61,800.0,810900.0,-1
2022-08-04,1015.0,1015.0,1015.0,1015.0,0.0,10.0,10150.0,0
2022-08-05,1015.0,1015.0,1015.0,1015.0,0.0,10.0,10150.0,0
2022-08-07,1015.0,1015.0,1015.0,1015.0,0.0,125.0,126875.0,0
2022-08-09,1016.0,1016.0,1016.0,1016.0,0.1,512.0,520192.0,1
2022-08-10,1015.0,1015.0,1015.0,1015.0,-0.1,100.0,101500.0,-1
2022-08-11,1010.0,1010.0,1010.0,1010.0,-0.49,200.0,202000.0,-1
2022-08-14,1015.0,1015.0,1015.0,1015.0,0.5,33.0,33495.0,1
2022-08-16,1025.0,1025.0,1025.0,1025.0,0.99,25.0,25625.0,1
2022-08-17,1025.0,1025.0,1025.0,1025.0,0.0,405.0,415125.0,0
2022-08-18,1015.2,1015.2,1015.0,1015.0,-0.98,200.0,203024.0,-1
2022-08-30,1027.0,1027.0,1027.0,1027.0,1.18,25.0,25675.0,1
