published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-01-14,10.0,10.0,9.0,10.0,0.0,11380.0,106564.2,0
2024-01-16,9.9,10.1,9.0,9.03,-9.7,12850.0,119027.0,-1
2024-01-17,8.9,9.2,8.9,9.1,0.78,9250.0,82910.5,1
2024-01-18,9.0,9.1,8.6,8.9,-2.2,6460.0,56957.7,-1
2024-01-21,8.73,8.9,8.56,8.8,-1.12,11010.0,96540.5,-1
2024-01-22,8.97,8.97,8.63,8.71,-1.02,3500.0,30459.0,-1
2024-01-23,8.6,8.8,8.6,8.7,-0.11,8700.0,75527.8,-1
2024-01-24,8.6,9.04,8.6,8.9,2.3,6500.0,57495.0,1
2024-01-25,8.74,8.97,8.61,8.83,-0.79,4100.0,36160.0,-1
2024-01-28,8.66,9.0,8.6,8.76,-0.79,5600.0,49657.0,-1
2024-01-29,8.61,8.89,8.61,8.76,0.0,3900.0,34133.0,0
2024-01-30,8.76,8.82,8.63,8.7,-0.68,12830.0,111816.6,-1
2024-01-31,8.6,8.87,8.6,8.87,1.95,4050.0,35388.5,1
2024-02-01,8.71,8.8,8.71,8.8,-0.79,600.0,5249.0,-1
2024-02-04,8.65,8.97,8.65,8.8,0.0,3800.0,33414.0,0
2024-02-05,8.63,8.87,8.63,8.8,0.0,3200.0,27750.0,0
2024-02-06,8.66,8.88,8.66,8.71,-1.02,1400.0,12284.0,-1
2024-02-07,8.6,8.9,8.58,8.76,0.57,2750.0,24266.0,1
2024-02-08,8.76,8.93,8.66,8.7,-0.68,2500.0,21895.0,-1
2024-02-11,8.7,9.09,8.58,8.74,0.46,2550.0,22443.5,1
2024-02-12,8.74,8.74,8.62,8.7,-0.46,3500.0,30404.0,-1
2024-02-13,8.7,8.87,8.68,8.87,1.95,1400.0,12233.0,1
2024-02-14,8.8,9.0,8.8,9.0,1.47,6510.0,58304.0,1
2024-02-15,8.82,8.9,8.72,8.76,-2.67,207700.0,1813673.0,-1
2024-02-18,8.76,9.63,8.76,8.94,2.05,42720.0,390746.2,1
2024-02-20,9.0,9.15,8.85,9.0,0.67,7750.0,69852.5,1
2024-02-21,8.82,8.82,8.63,8.63,-4.11,2300.0,20249.0,-1
2024-02-22,8.46,9.01,8.46,8.83,2.32,108900.0,979663.0,1
2024-02-25,8.67,8.83,8.67,8.71,-1.36,1000.0,8703.0,-1
2024-02-26,8.7,8.7,8.6,8.6,-1.26,1900.0,16361.0,-1
2024-02-27,8.6,9.45,8.43,9.02,4.88,4710.0,40672.4,1
2024-02-28,8.84,8.84,8.68,8.8,-2.44,10900.0,96229.0,-1
2024-02-29,8.63,8.63,8.46,8.54,-2.95,2200.0,18738.0,-1
2024-03-03,8.54,9.04,8.4,8.55,0.12,4500.0,38483.0,1
2024-03-05,8.38,8.94,8.3,8.94,4.56,53000.0,457120.0,1
2024-03-06,8.8,9.35,8.8,9.35,4.59,650.0,5867.0,1
2024-03-07,9.17,9.17,8.99,8.99,-3.85,300.0,2715.0,-1
2024-03-10,8.95,9.88,8.65,9.34,3.89,17300.0,168879.0,1
2024-03-12,9.34,9.65,9.1,9.1,-2.57,1460.0,13597.8,-1
2024-03-13,8.92,9.83,8.86,8.86,-2.64,6060.0,56295.2,-1
2024-03-14,8.8,9.21,8.8,9.03,1.92,2000.0,17889.0,1
2024-03-17,9.21,9.48,8.5,8.77,-2.88,2200.0,19809.0,-1
2024-03-18,8.61,9.18,8.56,8.82,0.57,32200.0,277732.0,1
2024-03-19,8.7,8.93,8.55,8.93,1.25,2000.0,17472.0,1
2024-03-20,8.93,8.97,8.8,8.81,-1.34,1500.0,13276.0,-1
2024-03-21,8.7,8.87,8.64,8.75,-0.68,11800.0,102176.0,-1
2024-03-25,8.92,9.09,8.74,8.74,-0.11,500.0,4440.0,-1
2024-03-26,8.7,8.96,8.6,8.96,2.52,2300.0,20083.0,1
2024-03-27,8.79,9.85,8.79,9.85,9.93,2000.0,18001.0,1
2024-03-28,9.66,9.66,8.87,9.18,-6.8,21600.0,201681.0,-1
2024-03-31,9.01,9.36,8.85,8.85,-3.59,9150.0,82799.0,-1
2024-04-01,8.68,9.0,8.52,9.0,1.69,2450.0,21386.5,1
2024-04-02,8.85,9.0,8.82,8.86,-1.56,650.0,5764.0,-1
2024-04-03,8.8,8.81,8.56,8.81,-0.56,3150.0,27350.0,-1
2024-04-04,8.8,8.84,8.66,8.69,-1.36,1800.0,15664.0,-1
2024-04-07,8.52,8.68,8.52,8.68,-0.12,2100.0,18163.0,-1
2024-04-09,8.54,9.09,8.54,9.09,4.72,1800.0,15634.0,1
2024-04-10,8.92,9.08,8.67,9.08,-0.11,18500.0,166017.0,-1
2024-04-14,9.07,9.07,8.51,8.68,-4.41,3720.0,32683.6,-1
2024-04-15,8.6,8.61,8.51,8.61,-0.81,2400.0,20580.0,-1
2024-04-16,8.51,8.78,8.51,8.78,1.97,1100.0,9500.0,1
2024-04-18,8.61,8.63,8.51,8.63,-1.71,1600.0,13720.0,-1
2024-04-21,8.5,8.67,8.47,8.67,0.46,700.0,5960.0,1
2024-04-22,8.67,8.67,8.52,8.6,-0.81,3600.0,30833.0,-1
2024-04-24,8.55,8.55,8.4,8.5,-1.16,1100.0,9304.0,-1
2024-04-25,8.67,8.84,8.51,8.51,0.12,6200.0,54561.0,1
2024-04-28,8.4,8.87,8.36,8.87,4.23,36100.0,307310.6,1
2024-04-29,8.7,8.87,8.55,8.83,-0.45,1900.0,16642.0,-1
2024-04-30,8.66,9.24,8.49,9.24,4.64,4120.0,36620.2,1
2024-05-02,9.06,9.06,8.7,9.0,-2.6,37131.0,331517.68,-1
2024-05-05,8.82,8.82,8.55,8.65,-3.89,1800.0,15526.0,-1
2024-05-06,8.65,8.65,8.6,8.6,-0.58,2490.0,21449.0,-1
2024-05-07,8.7,8.78,8.6,8.78,2.09,1200.0,10402.0,1
2024-05-08,8.95,9.0,8.82,8.99,2.39,40900.0,367517.0,1
2024-05-09,8.82,8.83,8.65,8.82,-1.89,8000.0,70267.0,-1
2024-05-12,8.65,8.77,8.55,8.7,-1.36,64469.0,562788.44,-1
2024-05-13,8.7,8.7,8.62,8.7,0.0,1200.0,10424.0,0
2024-05-14,8.6,8.71,8.6,8.71,0.11,1300.0,11302.0,1
2024-05-15,8.55,8.86,8.55,8.7,-0.11,30800.0,270018.0,-1
2024-05-16,8.7,8.87,8.53,8.75,0.57,11200.0,97401.0,1
2024-05-19,8.58,8.85,8.52,8.63,-1.37,22661.0,196323.43,-1
2024-05-20,8.63,8.87,8.6,8.7,0.81,1250.0,10897.0,1
2024-05-21,8.53,8.61,8.53,8.61,-1.03,1700.0,14616.0,-1
2024-05-22,8.5,8.7,8.5,8.66,0.58,800.0,6889.0,1
2024-05-26,8.5,8.69,8.5,8.65,-0.12,2850.0,24601.5,-1
2024-05-27,8.61,9.15,8.61,9.15,5.78,21100.0,190902.0,1
2024-05-29,8.97,9.06,8.97,9.01,-1.53,1900.0,17168.0,-1
2024-05-30,8.85,9.19,8.85,9.19,2.0,62019.0,569407.61,1
2024-06-02,9.1,9.1,8.93,8.97,-2.39,800.0,7200.0,-1
2024-06-03,8.97,8.97,8.97,8.97,0.0,500.0,4485.0,0
2024-06-04,8.97,9.14,8.9,9.14,1.9,3900.0,35289.0,1
2024-06-05,9.1,9.1,9.1,9.1,-0.44,100.0,910.0,-1
2024-06-06,8.94,9.11,8.94,8.95,-1.65,11000.0,98397.0,-1
2024-06-09,8.8,8.98,8.8,8.95,0.0,2049.0,18098.69,0
2024-06-10,8.95,9.0,8.95,9.0,0.56,2100.0,18850.0,1
2024-06-11,8.9,9.12,8.9,8.99,-0.11,1210.0,10876.7,-1
2024-06-12,8.82,8.97,8.7,8.81,-2.0,1700.0,14989.0,-1
2024-06-13,8.81,8.82,8.65,8.82,0.11,800.0,7027.0,1
2024-06-16,8.67,8.82,8.67,8.82,0.0,900.0,7909.0,0
2024-06-18,8.82,8.99,8.82,8.82,0.0,700.0,6259.0,0
2024-06-19,8.67,8.99,8.67,8.99,1.93,850.0,7516.0,1
2024-06-20,8.82,9.16,8.82,9.0,0.11,3540.0,31769.6,1
2024-06-23,8.83,9.0,8.83,8.85,-1.67,2000.0,17837.0,-1
2024-06-24,8.69,8.74,8.69,8.7,-1.69,2050.0,17863.7,-1
2024-06-25,8.53,9.1,8.53,9.1,4.6,7500.0,67385.0,1
2024-06-26,9.27,9.27,9.09,9.09,-0.11,218.0,2002.86,-1
2024-06-27,8.93,8.94,8.93,8.93,-1.76,1000.0,8936.0,-1
