published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-04-18,540.00,535.00,535.00,535.00,0.00,216.00,115560.00,0
2011-04-19,535.00,530.00,506.00,506.00,0.00,828.00,429489.00,0
2011-04-20,506.00,506.00,487.00,495.00,0.00,1911.00,946979.00,0
2011-04-21,495.00,500.00,490.00,490.00,0.00,556.00,274117.00,0
2011-04-25,490.00,499.00,498.00,499.00,0.00,104.00,51846.00,0
2011-04-27,499.00,495.00,490.00,495.00,0.00,515.00,252510.00,0
2011-04-28,495.00,490.00,486.00,490.00,0.00,337.00,163926.00,0
2011-05-02,490.00,490.00,482.00,482.00,0.00,289.00,140098.00,0
2011-05-03,482.00,490.00,464.00,464.00,0.00,1699.00,817442.00,0
2011-05-05,464.00,474.00,473.00,474.00,0.00,91.00,43119.00,0
2011-05-08,474.00,481.00,465.00,481.00,0.00,462.00,215566.00,0
2011-05-09,481.00,494.00,485.00,494.00,0.00,324.00,158444.00,0
2011-05-10,494.00,508.00,500.00,505.00,0.00,454.00,229097.00,0
2011-05-11,505.00,525.00,508.00,520.00,0.00,1099.00,565779.00,0
2011-05-12,520.00,529.00,521.00,521.00,0.00,580.00,303170.00,0
2011-05-15,521.00,555.00,530.00,555.00,0.00,401.00,218909.00,0
2011-05-16,555.00,566.00,550.00,560.00,0.00,913.00,509478.00,0
2011-05-18,560.00,565.00,549.00,550.00,0.00,544.00,301200.00,0
2011-05-19,550.00,551.00,549.00,549.00,0.00,403.00,221619.00,0
2011-05-22,549.00,559.00,545.00,558.00,0.00,354.00,195225.00,0
2011-05-23,558.00,565.00,554.00,554.00,0.00,266.00,148415.00,0
2011-05-25,554.00,550.00,540.00,540.00,0.00,223.00,120770.00,0
2011-05-26,540.00,550.00,550.00,550.00,0.00,100.00,55000.00,0
2011-05-31,550.00,540.00,540.00,540.00,0.00,100.00,54000.00,0
2011-06-01,540.00,530.00,520.00,520.00,0.00,238.00,125140.00,0
2011-06-02,520.00,510.00,490.00,495.00,0.00,1017.00,506042.00,0
2011-06-05,495.00,491.00,488.00,488.00,0.00,200.00,97760.00,0
2011-06-06,488.00,479.00,470.00,470.00,0.00,200.00,94450.00,0
2011-06-07,470.00,478.00,466.00,466.00,0.00,596.00,281338.00,0
2011-06-08,466.00,460.00,451.00,451.00,0.00,600.00,274050.00,0
2011-06-09,451.00,442.00,435.00,435.00,0.00,73.00,31895.00,0
2011-06-12,435.00,428.00,427.00,427.00,0.00,232.00,99096.00,0
2011-06-13,427.00,420.00,402.00,402.00,0.00,1615.00,656933.00,0
2011-06-14,402.00,395.00,385.00,385.00,0.00,929.00,361797.00,0
2011-06-15,385.00,385.00,380.00,385.00,0.00,677.00,258685.00,0
2011-06-16,385.00,399.00,392.00,399.00,0.00,726.00,287189.00,0
2011-06-19,399.00,414.00,406.00,414.00,0.00,25.00,10270.00,0
2011-06-20,399.00,414.00,406.00,414.00,0.00,25.00,10270.00,0
2011-06-23,414.00,430.00,422.00,430.00,0.00,1643.00,706386.00,0
2011-06-26,430.00,473.00,438.00,473.00,0.00,289.00,134199.00,0
2011-06-27,473.00,480.00,455.00,455.00,0.00,1362.00,643830.00,0
2011-06-29,455.00,500.00,450.00,500.00,0.00,1733.00,814846.00,0
2011-06-30,500.00,520.00,490.00,500.00,0.00,6130.00,3079086.00,0
2011-07-03,500.00,520.00,491.00,515.00,0.00,503.00,254484.00,0
2011-07-04,515.00,525.00,523.00,525.00,0.00,757.00,396041.00,0
2011-07-05,525.00,542.00,530.00,536.00,0.00,315.00,168358.00,0
2011-07-06,536.00,558.00,527.00,527.00,0.00,1269.00,689066.00,0
