published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-10-24,100.0,100.0,100.0,100.0,0.0,44710.0,4471000.0,0
2011-10-25,100.0,100.0,100.0,100.0,0.0,29060.0,2906000.0,0
2011-10-30,100.0,98.0,98.0,98.0,0.0,200.0,19600.0,0
2011-10-31,98.0,100.0,99.0,100.0,0.0,56120.0,5611890.0,0
2011-11-03,100.0,100.0,100.0,100.0,0.0,11180.0,1118000.0,0
2011-11-08,100.0,100.0,98.0,100.0,0.0,9120.0,911680.0,0
2011-11-10,100.0,100.0,99.0,100.0,0.0,208360.0,20813644.0,0
2011-11-13,100.0,100.0,100.0,100.0,0.0,460.0,46000.0,0
2011-11-16,100.0,100.0,100.0,100.0,0.0,5020.0,502000.0,0
2011-11-17,100.0,100.0,100.0,100.0,0.0,13415.0,1341500.0,0
2011-11-21,100.0,100.0,100.0,100.0,0.0,44965.0,4496500.0,0
2011-11-22,100.0,100.0,100.0,100.0,0.0,12180.0,1218000.0,0
2011-11-23,100.0,101.0,101.0,101.0,0.0,145320.0,14677320.0,0
2011-12-05,101.0,99.0,99.0,99.0,0.0,30.0,2970.0,0
2011-12-07,99.0,100.0,100.0,100.0,0.0,240.0,24000.0,0
2011-12-11,100.0,100.0,100.0,100.0,0.0,8540.0,854000.0,0
2011-12-13,100.0,100.0,100.0,100.0,0.0,50.0,5000.0,0
2011-12-14,100.0,100.0,100.0,100.0,0.0,1550.0,155000.0,0
2011-12-18,100.0,100.0,100.0,100.0,0.0,50.0,5000.0,0
2012-02-07,100.0,99.0,99.0,99.0,0.0,20.0,1980.0,0
2012-03-20,99.0,99.0,99.0,99.0,0.0,40.0,3960.0,0
2012-04-30,99.0,100.0,98.0,100.0,0.0,5730.0,572650.0,0
2012-07-08,100.0,100.0,100.0,100.0,0.0,13810.0,1381000.0,0
2012-07-16,100.0,100.0,100.0,100.0,0.0,50.0,5000.0,0
2012-08-01,100.0,99.0,99.0,99.0,0.0,70.0,6930.0,0
2012-09-18,99.0,100.0,100.0,100.0,0.0,20.0,2000.0,0
2013-02-05,100.0,98.0,98.0,98.0,0.0,330.0,32340.0,0
2013-05-20,98.0,97.0,96.0,96.0,0.0,70.0,6740.0,0
2013-07-07,96.0,98.0,97.0,98.0,0.0,80.0,7780.0,0
2013-07-08,98.0,101.0,99.0,100.0,0.0,11240.0,1123940.0,0
