published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-30,214.2,231.0,214.2,231.0,0.0,2445.0,564379.0,0
2022-08-31,235.6,254.1,235.6,254.1,10.0,50.0,12251.0,1
2022-09-01,259.1,279.5,259.1,279.5,10.0,12469.0,3477758.9,1
2022-09-02,274.0,282.0,268.6,276.4,0.0,510.0,138050.0,0
2022-09-04,276.0,298.0,276.0,291.4,5.43,11192.0,3181207.0,1
2022-09-05,285.6,288.0,281.1,281.1,-3.53,1162.0,327597.0,-1
2022-09-06,286.7,292.4,280.0,291.2,3.59,1898.0,539908.6,1
2022-09-07,285.4,285.4,285.4,285.4,-1.99,10.0,2854.0,-1
2022-09-08,285.4,285.4,285.4,285.4,0.0,17.0,4851.8,0
2022-09-11,291.0,291.0,268.8,268.8,-5.82,2040.0,571005.0,-1
2022-09-12,273.0,273.0,269.0,269.0,0.07,280.0,76099.0,1
2022-09-13,274.0,274.0,274.0,274.0,1.86,500.0,137000.0,1
2022-09-14,279.4,291.8,276.4,281.8,2.85,1435.0,408921.0,1
2022-09-15,276.2,276.2,265.6,265.7,-5.71,2524.0,681975.8,-1
2022-09-16,261.0,281.0,260.5,281.0,5.76,1051.0,278135.5,1
2022-09-18,275.4,275.4,265.0,265.0,-5.69,366.0,100325.0,-1
2022-09-20,259.7,259.7,259.7,259.7,-2.0,10.0,2597.0,-1
2022-09-21,264.0,269.0,255.0,269.0,3.58,1471.0,378121.4,1
2022-09-22,263.7,263.7,254.3,254.3,-5.46,350.0,90635.0,-1
2022-09-25,250.1,279.7,249.3,279.7,9.99,1630.0,408893.0,1
2022-09-27,279.0,285.1,279.0,285.1,1.93,55.0,15406.0,1
2022-09-28,290.5,290.5,290.5,290.5,1.89,10.0,2905.0,1
2022-10-09,284.7,284.7,275.0,279.0,-3.96,816282.0,226981744.0,-1
2022-10-10,283.9,283.9,251.1,251.1,-10.0,593932.0,165877414.9,-1
2022-10-11,247.3,256.0,247.0,256.0,1.95,5315.0,1316650.0,1
2022-10-12,251.0,251.0,246.0,251.0,-1.95,1740.0,428592.0,-1
2022-10-13,247.1,250.0,238.0,250.0,-0.4,4780.0,1161896.8,-1
2022-10-16,250.0,250.0,236.5,247.5,-1.0,1541.0,373884.4,-1
2022-10-17,252.4,261.9,240.0,251.4,1.58,1190.0,306340.0,1
2022-10-19,256.4,256.4,241.4,249.9,-0.6,60.0,15002.0,-1
2022-10-20,254.8,254.8,238.0,238.1,-4.72,559.0,134214.9,-1
2022-10-23,240.1,249.9,235.5,249.9,4.96,330.0,79027.0,1
2022-10-31,254.0,254.0,240.1,248.7,-0.48,110.0,27197.0,-1
2022-11-01,252.0,260.0,240.3,242.0,-2.69,4062.0,1004658.0,-1
2022-11-02,246.8,251.7,242.3,251.1,3.76,2935.0,730237.0,1
2022-11-03,255.9,255.9,255.9,255.9,1.91,10.0,2559.0,1
2022-11-06,260.9,260.9,246.1,247.0,-3.48,4756.0,1206547.6,-1
2022-11-07,251.9,267.2,247.5,247.5,0.2,2668.0,676584.0,1
2022-11-08,242.9,252.6,242.9,252.0,1.82,2070.0,507888.6,1
2022-11-09,257.0,257.0,242.2,242.2,-3.89,3855.0,939620.5,-1
2022-11-10,247.0,247.0,237.4,237.4,-1.98,892.0,212156.8,-1
2022-11-13,232.8,233.0,232.8,233.0,-1.85,197.0,45881.6,-1
2022-11-14,237.6,242.3,237.6,242.3,3.99,20.0,4799.0,1
2022-11-15,247.0,247.0,247.0,247.0,1.94,10.0,2470.0,1
2022-11-16,242.1,255.0,238.0,238.0,-3.64,6867.0,1728327.7,-1
2022-11-17,242.7,252.4,242.7,252.4,6.05,30.0,7426.0,1
2022-11-22,256.9,256.9,256.9,256.9,1.78,20.0,5138.0,1
2022-11-23,251.8,251.8,242.0,242.0,-5.8,860.0,211010.0,-1
2022-11-24,246.8,251.7,241.8,251.7,4.01,730.0,177272.0,1
2022-11-27,252.8,261.8,252.8,261.8,4.01,3350.0,855091.0,1
2022-11-28,264.8,264.8,244.3,244.3,-6.68,514.0,129764.0,-1
2022-11-29,249.1,254.0,249.1,250.0,2.33,3690.0,925049.0,1
2022-11-30,250.0,250.0,250.0,250.0,0.0,3000.0,750000.0,0
2022-12-01,247.4,247.4,247.4,247.4,-1.04,78.0,19297.2,-1
2022-12-04,252.3,257.0,248.0,257.0,3.88,1055.0,265363.5,1
2022-12-05,251.9,251.9,251.9,251.9,-1.98,110.0,27709.0,-1
2022-12-07,250.0,254.5,245.0,245.0,-2.74,14332.0,3591794.4,-1
