published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-08,228.0,250.8,228.0,250.8,10.0,780.0,193340.8,1
2022-08-09,255.8,275.8,255.8,275.8,9.97,1308.0,360256.4,1
2022-08-10,281.3,303.3,281.3,303.3,9.97,6250.0,1895085.0,1
2022-08-11,309.3,333.6,309.3,333.6,9.99,74264.0,24693767.4,1
2022-08-14,340.2,361.0,315.0,316.0,-5.28,56104.0,18276158.6,-1
2022-08-15,316.0,331.0,305.0,327.0,3.48,24430.0,7761388.8,1
2022-08-16,333.0,335.0,314.0,317.1,-3.03,28602.0,9232691.0,-1
2022-08-17,315.0,327.0,310.7,325.9,2.78,19939.0,6416941.9,1
2022-08-18,332.4,355.0,322.5,355.0,8.93,62134.0,21359600.2,1
2022-08-21,362.0,362.1,336.0,337.0,-5.07,25805.0,8870087.2,-1
2022-08-22,334.7,343.7,328.3,335.0,-0.59,17151.0,5687991.5,-1
2022-08-23,335.0,335.0,326.0,332.0,-0.9,13919.0,4585691.2,-1
2022-08-24,332.0,339.0,321.0,335.0,0.9,23852.0,7891223.1,1
2022-08-25,328.4,341.0,323.6,329.9,-1.52,15796.0,5233903.5,-1
2022-08-26,323.4,325.0,318.0,322.0,-2.39,8989.0,2875745.4,-1
2022-08-28,315.6,318.2,301.0,303.0,-5.9,24587.0,7625635.9,-1
2022-08-29,297.0,311.1,290.0,300.0,-0.99,14061.0,4176257.5,-1
2022-08-30,302.0,309.5,296.2,296.2,-1.27,9010.0,2704967.3,-1
2022-08-31,292.0,297.0,283.0,284.2,-4.05,11590.0,3334470.4,-1
2022-09-01,280.0,298.0,273.1,288.4,1.48,14792.0,4106820.3,1
2022-09-02,287.0,305.0,280.1,286.0,-0.83,3700.0,1054768.0,-1
2022-09-04,286.0,293.8,283.0,290.0,1.4,4220.0,1214059.0,1
2022-09-05,285.0,294.0,281.0,288.0,-0.69,9467.0,2725676.4,-1
2022-09-06,292.7,292.7,274.1,276.1,-4.13,13184.0,3701018.0,-1
2022-09-07,271.2,279.2,271.2,279.0,1.05,7840.0,2149645.0,1
2022-09-08,284.0,286.0,270.0,285.9,2.47,7793.0,2179379.0,1
2022-09-11,280.2,285.0,276.7,276.7,-3.22,5596.0,1569417.5,-1
2022-09-12,272.0,275.0,268.1,268.1,-3.11,5763.0,1564912.7,-1
