published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-09-01,252.2,267.5,252.2,267.5,6.07,60.0,15406.0,1
2025-09-02,272.8,294.2,272.8,294.2,9.98,60.0,17124.0,1
2025-09-03,289.7,323.6,289.7,323.6,9.99,110.0,34447.0,1
2025-09-04,319.3,355.9,319.3,355.9,9.98,160.0,55724.0,1
2025-09-07,355.0,391.4,355.0,391.4,9.97,230.0,88559.0,1
2025-09-08,399.2,430.5,399.2,430.5,9.99,250.0,106855.0,1
2025-09-18,439.0,473.5,439.0,473.5,9.99,290.0,135085.0,1
2025-09-21,465.0,520.8,465.0,520.8,9.99,2380.0,1237581.0,1
2025-09-23,531.2,572.8,531.2,572.8,9.98,2710.0,1551268.0,1
2025-09-24,584.2,630.0,584.2,630.0,9.99,4010.0,2525175.0,1
2025-09-25,642.6,693.0,642.6,693.0,10.0,3810.0,2639093.0,1
2025-09-28,706.8,762.3,666.4,688.0,-0.72,76236.0,52107209.0,-1
2025-10-07,674.3,674.3,619.2,651.1,-5.36,39857.0,25820247.3,-1
2025-10-08,645.0,652.0,616.6,625.0,-4.01,28090.0,17615859.0,-1
2025-10-09,637.5,663.0,620.2,630.1,0.82,16468.0,10511522.9,1
2025-10-12,620.0,625.0,605.0,608.0,-3.51,15730.0,9566173.6,-1
2025-10-13,600.0,637.0,597.1,636.0,4.61,11440.0,6964569.0,1
2025-10-14,636.0,642.0,607.0,619.0,-2.67,9370.0,5771991.4,-1
2025-10-15,631.0,631.0,601.0,606.1,-2.08,8176.0,5003972.6,-1
2025-10-16,600.0,606.0,594.1,602.0,-0.68,11442.0,6864987.5,-1
2025-10-19,595.0,600.0,585.0,595.0,-1.16,6556.0,3879634.8,-1
2025-10-26,595.0,597.0,586.0,595.0,0.0,2055.0,1213154.0,0
2025-10-28,588.1,620.0,588.1,618.0,3.87,9500.0,5777605.0,1
2025-10-29,610.0,627.0,606.0,613.0,-0.81,7080.0,4357841.6,-1
2025-10-30,603.0,620.0,600.0,615.0,0.33,10128.0,6173577.6,1
2025-11-02,605.5,646.0,605.1,646.0,5.04,16879.0,10566557.0,1
2025-11-03,646.0,650.0,626.0,635.0,-1.7,9340.0,5928805.6,-1
2025-11-04,630.0,636.0,617.4,624.0,-1.73,7138.0,4435386.8,-1
2025-11-05,613.0,624.7,613.0,622.7,-0.21,7197.0,4436662.9,-1
2025-11-06,615.0,625.0,608.5,610.0,-2.04,7848.0,4823851.5,-1
2025-11-09,600.0,612.5,600.0,602.0,-1.31,10426.0,6305813.6,-1
2025-11-10,595.0,610.0,595.0,597.0,-0.83,7150.0,4286960.5,-1
2025-11-11,585.1,609.0,585.1,608.0,1.84,7320.0,4381554.7,1
2025-11-12,597.0,602.0,594.0,599.0,-1.48,5670.0,3385857.8,-1
2025-11-13,595.0,612.0,595.0,600.0,0.17,9741.0,5895342.7,1
2025-11-16,595.4,617.1,595.4,604.1,0.68,9133.0,5548529.7,1
2025-11-17,601.1,633.4,601.1,622.7,3.08,18153.0,11305147.8,1
2025-11-18,622.0,678.3,622.0,676.9,8.7,31242.0,20476250.2,1
2025-11-19,663.4,744.5,663.4,744.5,9.99,56113.0,40254618.3,1
2025-11-20,729.7,810.0,715.2,788.5,5.91,51453.0,40339982.4,1
2025-11-23,772.8,854.0,750.0,826.2,4.78,61076.0,48595961.3,1
2025-11-24,809.7,884.0,809.7,884.0,7.0,40393.0,34415190.5,1
2025-11-25,866.4,952.0,821.0,931.0,5.32,44943.0,39569985.1,1
2025-11-26,912.4,984.0,880.0,938.0,0.75,47659.0,44180734.3,1
2025-11-27,919.3,973.0,865.0,865.0,-7.78,44361.0,39937424.7,-1
2025-11-30,847.7,917.0,847.7,907.1,4.87,36262.0,32374520.9,1
2025-12-01,889.0,940.0,878.0,933.3,2.89,20090.0,18282940.5,1
2025-12-02,914.7,1002.0,882.3,960.0,2.86,38731.0,36524790.8,1
2025-12-03,940.8,1035.0,922.0,1020.0,6.25,56494.0,55743815.7,1
2025-12-07,1020.0,1097.9,985.2,1010.0,-0.98,58924.0,59906976.6,-1
2025-12-08,989.8,1071.0,940.4,1030.0,1.98,71075.0,69556538.5,1
