published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2015-11-26,0.0,318.0,318.0,318.0,0.0,10.0,3180.0,0
2015-12-07,318.0,349.0,324.0,349.0,0.0,100.0,34250.0,0
2015-12-08,349.0,383.0,366.0,383.0,0.0,140.0,53320.0,0
2015-12-09,383.0,421.0,390.0,421.0,0.0,90.0,37070.0,0
2015-12-10,421.0,463.0,429.0,463.0,0.0,525.0,242185.0,0
2015-12-13,463.0,508.0,472.0,508.0,0.0,50.0,24500.0,0
2015-12-14,508.0,558.0,518.0,558.0,0.0,85.0,46280.0,0
2015-12-15,558.0,602.0,569.0,602.0,0.0,40.0,23420.0,0
2015-12-16,602.0,662.0,614.0,662.0,0.0,235.0,154370.0,0
2015-12-17,662.0,728.0,675.0,728.0,0.0,785.0,569485.0,0
2015-12-20,728.0,800.0,742.0,800.0,0.0,6487.0,5185755.0,0
2015-12-21,800.0,816.0,720.0,770.0,0.0,14075.0,10679313.0,0
2015-12-22,770.0,831.0,751.0,815.0,0.0,7071.0,5559570.0,0
2015-12-23,815.0,869.0,799.0,867.0,0.0,10381.0,8661907.0,0
2015-12-24,867.0,953.0,851.0,953.0,0.0,12521.0,11611687.0,0
2015-12-27,953.0,1000.0,940.0,1000.0,0.0,9368.0,9080286.0,0
2015-12-28,1000.0,1000.0,952.0,1000.0,0.0,8182.0,7986926.0,0
2015-12-29,1000.0,1014.0,970.0,1000.0,0.0,9367.0,9262423.0,0
2015-12-31,1000.0,1080.0,996.0,1040.0,0.0,8498.0,8617383.0,0
2016-01-03,1040.0,1050.0,1000.0,1030.0,0.0,4637.0,4742675.0,0
2016-01-04,1030.0,1035.0,980.0,1000.0,0.0,3140.0,3169471.0,0
2016-01-05,1000.0,994.0,962.0,962.0,0.0,4895.0,4779025.0,0
2016-01-06,962.0,965.0,920.0,927.0,0.0,4499.0,4199115.0,0
2016-01-07,927.0,940.0,910.0,932.0,0.0,3829.0,3544777.0,0
