published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-06-22,350.0,381.1,350.0,381.1,0.0,1694.0,643813.7,0
2023-06-25,388.7,419.2,388.7,419.2,10.0,5728.0,2400285.7,1
2023-06-26,420.0,461.1,420.0,461.1,10.0,4364.0,2009685.7,1
2023-06-27,470.3,507.2,470.3,507.2,10.0,24091.0,12154377.3,1
2023-06-28,517.0,557.9,517.0,557.9,10.0,1523712.0,837036791.9,1
2023-07-02,569.0,574.0,548.0,549.0,-1.6,762109.0,425654707.9,-1
2023-07-03,548.0,549.0,530.0,532.0,-3.1,443519.0,239445785.1,-1
2023-07-04,542.6,542.6,520.4,529.0,-0.56,214583.0,113384502.4,-1
2023-07-05,535.0,535.0,505.0,508.8,-3.82,270713.0,139088920.3,-1
2023-07-06,515.0,518.0,491.0,497.0,-2.32,308562.0,153683428.2,-1
2023-07-09,500.0,512.8,492.0,498.0,0.2,371250.0,186072060.0,1
2023-07-10,500.0,510.0,488.1,489.8,-1.65,504920.0,249186992.7,-1
2023-07-11,495.0,502.0,488.0,490.0,0.04,258735.0,127813719.4,1
2023-07-12,490.0,503.0,485.2,496.2,1.27,186206.0,92316248.4,1
2023-07-13,500.0,514.0,498.0,507.0,2.18,318517.0,161509096.8,1
2023-07-16,507.0,514.9,504.0,507.0,0.0,308820.0,156945064.5,0
2023-07-17,517.1,517.1,502.0,516.0,1.78,212261.0,108464899.6,1
2023-07-18,516.2,525.0,513.0,513.6,-0.47,301695.0,156390333.7,-1
2023-07-19,516.0,516.0,508.6,510.0,-0.7,164408.0,84204343.9,-1
2023-07-20,499.8,515.0,499.8,504.9,-1.0,173777.0,88259472.4,-1
2023-07-23,507.0,516.0,504.0,510.8,1.17,206880.0,105427189.4,1
2023-07-24,508.0,513.0,500.1,500.4,-2.04,193182.0,97571138.3,-1
2023-07-25,500.4,504.0,490.4,491.8,-1.72,123003.0,60902374.4,-1
2023-07-26,498.0,499.0,485.0,487.1,-0.96,142367.0,69779438.0,-1
2023-07-27,490.0,492.0,478.0,478.0,-1.87,173200.0,83660573.6,-1
2023-07-30,478.0,485.0,468.0,470.0,-1.67,115672.0,54666317.2,-1
2023-07-31,473.9,481.0,468.6,474.0,0.85,96879.0,46133118.5,1
2023-08-01,468.8,480.0,462.1,466.0,-1.69,110535.0,51864632.6,-1
2023-08-02,466.0,468.8,458.7,467.4,0.3,88138.0,40796851.4,1
2023-08-03,473.0,474.9,464.0,468.0,0.13,72155.0,33901451.2,1
2023-08-06,458.7,472.6,451.0,458.0,-2.14,99712.0,45733060.0,-1
2023-08-07,458.0,467.0,450.0,454.0,-0.87,68555.0,31388464.1,-1
2023-08-08,450.2,458.0,442.0,445.0,-1.98,61829.0,27708639.9,-1
2023-08-09,450.0,465.0,438.5,463.9,4.25,119634.0,53811034.2,1
2023-08-10,466.0,468.0,457.0,457.0,-1.49,79935.0,37055597.5,-1
2023-08-13,457.0,466.0,454.2,462.0,1.09,88083.0,40445006.1,1
2023-08-14,466.0,468.9,453.0,453.2,-1.9,58115.0,26659987.6,-1
2023-08-15,450.0,460.0,450.0,450.5,-0.6,107956.0,48800844.1,-1
2023-08-16,450.0,450.0,441.1,442.2,-1.84,41181.0,18335777.9,-1
2023-08-17,442.0,450.2,442.0,445.0,0.63,64326.0,28776153.8,1
2023-08-20,440.0,454.9,440.0,443.0,-0.45,63429.0,28255365.9,-1
2023-08-21,444.0,447.0,438.0,441.9,-0.25,47478.0,20999790.4,-1
2023-08-22,442.0,445.0,437.0,444.9,0.68,42882.0,18941508.9,1
2023-08-23,441.0,459.0,441.0,453.0,1.82,84462.0,38203107.9,1
2023-08-24,451.0,456.0,440.6,442.0,-2.43,74208.0,33272284.9,-1
2023-08-27,442.0,442.9,435.1,437.9,-0.93,64554.0,28335395.6,-1
2023-08-28,435.0,443.9,435.0,437.0,-0.21,36845.0,16158366.3,-1
2023-08-29,445.0,445.0,431.2,432.3,-1.08,35054.0,15251289.9,-1
2023-08-30,432.4,437.0,429.0,430.0,-0.53,39652.0,17115449.1,-1
2023-09-03,428.6,430.0,418.1,420.0,-2.33,51126.0,21600607.9,-1
2023-09-04,420.0,425.0,412.0,418.0,-0.48,42146.0,17612734.7,-1
2023-09-05,419.7,425.9,413.0,416.0,-0.48,35954.0,15141254.3,-1
2023-09-07,411.6,420.0,410.0,412.0,-0.96,45182.0,18659440.1,-1
2023-09-10,420.2,420.2,409.0,410.8,-0.29,27188.0,11235652.1,-1
2023-09-11,406.0,434.0,406.0,426.0,3.7,59113.0,24940013.8,1
2023-09-12,434.0,434.0,418.0,423.7,-0.54,58074.0,24652584.3,-1
2023-09-13,424.0,439.5,421.2,439.0,3.61,56905.0,24574329.6,1
2023-09-17,439.0,439.0,422.0,424.0,-3.42,57525.0,24621088.1,-1
2023-09-18,416.3,432.0,416.3,424.0,0.0,25018.0,10645207.7,0
