published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-11-05,10.0,10.0,9.28,9.7,-3.0,3020.0,28790.2,-1
2025-11-06,9.51,9.8,9.33,9.5,-2.06,7500.0,71349.0,-1
2025-11-09,9.31,9.32,9.13,9.17,-3.47,3290.0,30242.4,-1
2025-11-10,9.1,9.2,8.99,9.0,-1.85,8200.0,74164.0,-1
2025-11-11,9.0,9.45,9.0,9.45,5.0,7820.0,72302.0,1
2025-11-12,9.35,9.35,8.99,9.02,-4.55,3300.0,29948.0,-1
2025-11-13,9.0,9.1,9.0,9.1,0.89,600.0,5412.0,1
2025-11-16,8.92,9.28,8.89,8.89,-2.31,7870.0,71451.4,-1
2025-11-17,8.8,9.1,8.8,9.1,2.36,3000.0,26965.0,1
2025-11-18,8.93,9.1,8.93,9.1,0.0,1800.0,16159.0,0
2025-11-19,8.95,9.3,8.93,9.3,2.2,12800.0,114538.0,1
2025-11-20,9.14,9.25,9.01,9.25,-0.54,1810.0,16497.5,-1
2025-11-23,9.07,9.15,9.0,9.01,-2.59,7100.0,64322.5,-1
2025-11-24,8.95,9.3,8.92,9.3,3.22,3800.0,34323.0,1
2025-11-25,9.13,9.31,9.13,9.15,-1.61,1410.0,12933.5,-1
2025-11-26,9.0,9.15,9.0,9.11,-0.44,1500.0,13644.0,-1
2025-11-27,9.0,9.2,9.0,9.15,0.44,4100.0,37391.0,1
2025-11-30,9.02,9.2,9.02,9.07,-0.87,2400.0,21737.0,-1
2025-12-01,9.0,9.2,9.0,9.07,0.0,5800.0,52824.3,0
2025-12-02,9.0,9.4,9.0,9.09,0.22,3500.0,32107.0,1
2025-12-03,8.91,9.3,8.91,9.3,2.31,2400.0,21701.0,1
2025-12-07,9.12,9.21,8.97,9.02,-3.01,2200.0,19850.0,-1
2025-12-08,8.94,9.02,8.85,8.91,-1.22,2700.0,24137.0,-1
2025-12-09,8.74,9.1,8.74,9.0,1.01,4800.0,43085.0,1
2025-12-10,9.0,9.18,8.92,9.18,2.0,3130.0,28507.5,1
2025-12-11,9.01,9.15,9.01,9.02,-1.74,2800.0,25255.0,-1
2025-12-14,8.85,9.02,8.85,8.97,-0.55,2550.0,22851.0,-1
2025-12-15,8.85,9.05,8.85,8.94,-0.33,2050.0,18269.5,-1
2025-12-16,9.07,9.15,9.0,9.0,0.67,4100.0,37022.5,1
2025-12-17,8.85,9.3,8.85,9.3,3.33,9000.0,82845.0,1
2025-12-18,9.12,9.2,9.0,9.1,-2.15,1200.0,10926.0,-1
2025-12-21,9.28,9.28,8.94,8.99,-1.21,2100.0,18943.0,-1
2025-12-22,8.83,9.18,8.83,8.96,-0.33,3650.0,32709.0,-1
2025-12-23,8.8,8.96,8.8,8.91,-0.56,5430.0,48098.2,-1
2025-12-24,8.76,9.25,8.76,9.25,3.82,6500.0,58981.0,1
2025-12-28,9.1,9.4,9.05,9.38,1.41,15470.0,144190.1,1
2025-12-29,9.2,9.3,9.2,9.25,-1.39,2400.0,22105.0,-1
2025-12-31,9.1,9.29,9.1,9.29,0.43,507620.0,4622098.9,1
2026-01-01,9.11,9.11,9.11,9.11,-1.94,2000.0,18220.0,-1
2026-01-04,9.0,9.2,9.0,9.05,-0.66,4200.0,38011.7,-1
2026-01-05,9.0,9.18,9.0,9.1,0.55,2550.0,23093.0,1
2026-01-06,8.92,9.2,8.92,9.2,1.1,4700.0,42567.0,1
2026-01-07,9.2,9.22,9.2,9.22,0.22,1250.0,11522.0,1
2026-01-08,9.05,9.06,9.05,9.06,-1.74,900.0,8146.0,-1
2026-01-12,8.93,9.11,8.93,9.0,-0.66,4000.0,36233.0,-1
2026-01-13,8.82,9.25,8.82,9.15,1.67,4100.0,36843.0,1
2026-01-14,8.98,9.0,8.98,9.0,-1.64,2400.0,21572.0,-1
2026-01-18,8.97,9.22,8.97,9.22,2.44,3900.0,35382.0,1
2026-01-20,9.05,9.77,8.9,9.77,5.97,20350.0,192287.0,1
2026-01-21,9.94,9.94,9.33,9.33,-4.5,5650.0,54403.5,-1
2026-01-22,9.15,9.33,9.0,9.3,-0.32,3400.0,31350.2,-1
2026-01-25,9.4,9.77,9.02,9.61,3.33,13600.0,130253.0,1
2026-01-26,9.42,9.47,9.24,9.4,-2.19,2500.0,23342.0,-1
2026-01-27,9.4,9.59,9.4,9.41,0.11,3600.0,34025.0,1
2026-01-28,9.24,9.4,9.24,9.24,-1.81,1000.0,9256.0,-1
2026-01-29,9.24,9.59,9.23,9.4,1.73,8450.0,79779.5,1
2026-02-01,9.25,9.62,9.07,9.43,0.32,17000.0,156715.0,1
2026-02-02,9.25,9.4,9.07,9.35,-0.85,6400.0,58368.0,-1
2026-02-03,9.17,10.28,9.17,10.28,9.95,104600.0,1069516.0,1
2026-02-04,10.08,10.17,9.61,9.71,-5.54,34550.0,342450.0,-1
2026-02-05,9.53,10.55,9.53,9.82,1.13,10211440.0,107137976.3,1
2026-02-08,9.63,9.85,9.63,9.69,-1.32,6090.0,59403.5,-1
2026-02-09,9.52,9.72,9.52,9.72,0.31,3140.0,30102.8,1
2026-02-10,9.6,9.72,9.55,9.55,-1.75,1100.0,10527.0,-1
2026-02-11,9.55,9.55,9.4,9.4,-1.57,1300.0,12250.0,-1
2026-02-12,9.23,9.41,9.23,9.25,-1.6,2380.0,22067.4,-1
2026-02-16,9.07,9.26,9.07,9.26,0.11,1900.0,17502.0,1
2026-02-17,9.08,9.61,9.08,9.61,3.78,5709.0,53098.87,1
2026-02-22,9.43,9.43,9.3,9.3,-3.23,699.0,6565.7,-1
2026-02-23,9.29,9.29,9.12,9.17,-1.4,1710.0,15639.2,-1
2026-02-24,8.99,9.15,8.99,9.15,-0.22,1000.0,9096.0,-1
2026-02-25,9.0,9.33,9.0,9.15,0.0,1730.0,15722.8,0
2026-02-26,8.97,9.08,8.97,9.08,-0.77,1410.0,12706.3,-1
2026-03-01,9.26,9.26,9.09,9.09,0.11,300.0,2761.0,1
2026-03-03,9.2,9.2,9.02,9.18,0.99,800.0,7294.0,1
2026-03-10,9.36,9.5,9.18,9.45,2.94,2520.0,23730.0,1
2026-03-11,9.45,9.5,9.45,9.5,0.53,13800.0,130475.0,1
2026-03-12,9.5,9.54,9.35,9.54,0.42,1200.0,11301.0,1
2026-03-15,9.35,9.5,9.31,9.38,-1.68,8190.0,77023.2,-1
2026-03-16,9.2,9.25,9.2,9.25,-1.39,700.0,6465.0,-1
2026-03-17,9.2,9.48,9.2,9.48,2.49,2300.0,21423.0,1
2026-03-19,9.32,9.51,9.32,9.34,-1.48,1700.0,15972.0,-1
2026-03-22,9.28,9.64,9.28,9.45,1.18,3420.0,31916.45,1
2026-03-23,9.35,9.91,9.35,9.91,4.87,5630.0,54587.8,1
2026-03-24,9.72,9.8,9.72,9.72,-1.92,100800.0,979794.0,-1
2026-03-25,9.53,9.79,9.53,9.79,0.72,53700.0,525082.0,1
2026-03-26,9.6,9.6,9.6,9.6,-1.94,3000.0,28800.0,-1
2026-03-29,9.41,9.61,9.41,9.61,0.1,1400.0,13231.0,1
2026-03-30,9.42,9.44,9.42,9.44,-1.77,1800.0,16976.0,-1
2026-03-31,9.26,9.67,9.26,9.67,2.44,5460.0,51458.0,1
2026-04-01,9.5,9.6,9.32,9.33,-3.52,1910.0,18035.0,-1
2026-04-02,9.16,9.49,9.16,9.49,1.71,1600.0,14814.0,1
2026-04-05,9.32,9.5,9.32,9.32,-1.79,7100.0,66451.0,-1
2026-04-06,9.14,9.32,9.14,9.2,-1.29,6600.0,61189.0,-1
2026-04-07,9.11,9.2,9.11,9.15,-0.54,3000.0,27418.0,-1
2026-04-08,9.05,9.35,9.05,9.35,2.19,1120.0,10311.0,1
2026-04-09,9.17,9.53,9.07,9.35,0.0,4000.0,37073.0,0
2026-04-10,9.18,9.49,9.0,9.23,-1.28,67000.0,617221.0,-1
2026-04-13,9.23,9.4,9.06,9.4,1.84,2600.0,24102.5,1
2026-04-15,9.22,9.49,9.07,9.49,0.96,41300.0,383185.0,1
2026-04-16,9.31,9.49,9.31,9.38,-1.16,2300.0,21603.0,-1
2026-04-17,9.2,9.38,9.05,9.09,-3.09,1500.0,13770.0,-1
2026-04-20,9.09,9.36,9.09,9.33,2.64,2500.0,22955.0,1
