published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-05-16,165.0,165.0,162.0,162.0,nan,150.0,24480.0,0
2011-05-18,162.0,160.0,160.0,160.0,-1.23,30.0,4800.0,0
2011-05-19,160.0,157.0,157.0,157.0,-1.88,20.0,3140.0,0
2011-05-23,157.0,154.0,150.0,150.0,-4.46,306.0,46784.0,0
2011-05-24,150.0,147.0,147.0,147.0,-2.00,100.0,14700.0,0
2011-05-25,147.0,149.0,147.0,149.0,1.36,570.0,83878.0,0
2011-05-26,149.0,151.0,151.0,151.0,1.34,10.0,1510.0,0
2011-05-30,151.0,157.0,154.0,157.0,3.97,40.0,6220.0,0
2011-05-31,157.0,154.0,151.0,151.0,-3.82,88.0,13420.0,0
2011-06-01,151.0,148.0,143.0,143.0,-5.30,402.0,58362.0,0
2011-06-02,143.0,144.0,144.0,144.0,0.70,264.0,38016.0,0
2011-06-05,144.0,142.0,142.0,142.0,-1.39,55.0,7810.0,0
2011-06-07,142.0,140.0,138.0,140.0,-1.41,208.0,28824.0,0
2011-06-16,140.0,142.0,138.0,142.0,1.43,278.0,38692.0,0
2011-06-21,156.0,171.0,159.0,171.0,20.42,50.0,8250.0,0
2011-06-23,171.0,180.0,174.0,180.0,5.26,363.0,64260.0,0
2011-06-26,180.0,180.0,180.0,180.0,0.0,100.0,18000.0,0
2011-06-30,180.0,177.0,177.0,177.0,-1.67,50.0,8850.0,0
2011-07-03,177.0,175.0,169.0,169.0,-4.52,254.0,43640.0,0
2011-07-05,169.0,166.0,166.0,166.0,-1.78,100.0,16600.0,0
2011-07-06,166.0,164.0,156.0,156.0,-6.02,1285.0,206620.0,0
2011-07-07,156.0,156.0,146.0,146.0,-6.41,566.0,85380.0,0
2011-07-11,146.0,153.0,148.0,153.0,4.79,348.0,51884.0,0
2011-07-12,153.0,153.0,150.0,153.0,0.0,112.0,17100.0,0
2011-07-13,153.0,162.0,156.0,159.0,3.92,650.0,103150.0,0
2011-07-14,159.0,171.0,162.0,165.0,3.77,909.0,150518.0,0
2011-07-18,165.0,168.0,168.0,168.0,1.82,164.0,27552.0,0
2011-07-19,168.0,165.0,165.0,165.0,-1.79,100.0,16500.0,0
2011-07-20,165.0,168.0,168.0,168.0,1.82,240.0,40320.0,0
2011-07-21,168.0,168.0,168.0,168.0,0.0,88.0,14784.0,0
2011-07-27,168.0,165.0,161.0,161.0,-4.17,488.0,79272.0,0
2011-07-31,161.0,164.0,161.0,161.0,0.0,140.0,22660.0,0
2011-08-08,161.0,160.0,157.0,157.0,-2.48,308.0,49016.0,0
2011-08-09,157.0,154.0,151.0,151.0,-3.82,200.0,30500.0,0
