published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-04-08,1020.0,1100.0,1020.0,1100.0,7.84,2326.0,2553070.0,1
2026-04-09,1078.0,1101.0,1078.0,1090.0,-0.91,2200.0,2407561.5,-1
2026-04-10,1080.0,1095.0,1080.0,1091.0,0.09,835.0,909662.5,1
2026-04-13,1084.0,1091.5,1084.0,1087.8,-0.29,1176.0,1280593.7,-1
2026-04-15,1087.0,1095.0,1087.0,1090.0,0.2,930.0,1014534.0,1
2026-04-16,1089.0,1110.0,1080.5,1090.0,0.0,2301.0,2525447.3,0
2026-04-17,1082.1,1099.9,1082.1,1090.0,0.0,775.0,845242.5,0
2026-04-20,1083.0,1089.0,1083.0,1085.5,-0.41,275.0,298575.0,-1
2026-04-21,1076.6,1090.9,1076.6,1084.1,-0.13,425.0,461295.8,-1
2026-04-22,1085.0,1085.0,1073.1,1084.0,-0.01,350.0,378577.5,-1
2026-04-23,1081.2,1083.6,1081.2,1083.6,-0.04,275.0,297667.5,-1
2026-04-24,1100.0,1100.0,1082.0,1083.1,-0.05,2425.0,2662457.5,-1
2026-04-27,1083.1,1110.0,1085.1,1098.9,1.46,1200.0,1313601.0,1
2026-04-28,1115.0,1115.0,1090.0,1090.0,-0.81,1150.0,1264499.0,-1
2026-04-29,1090.0,1100.0,1086.0,1096.0,0.55,365.0,399085.5,1
2026-04-30,1098.0,1098.0,1085.0,1087.1,-0.81,375.0,408623.0,-1
2026-05-04,1086.6,1087.0,1085.0,1085.0,-0.19,225.0,244520.0,-1
2026-05-05,1090.0,1090.0,1085.0,1085.5,0.05,270.0,293130.0,1
2026-05-06,1076.2,1087.0,1076.2,1085.1,-0.04,342.0,370899.1,-1
2026-05-07,1084.1,1090.0,1083.1,1083.1,-0.18,220.0,238707.0,-1
2026-05-08,1086.4,1086.4,1081.1,1085.0,0.18,259.0,280858.5,1
2026-05-11,1085.0,1090.0,1084.0,1085.0,0.0,190.0,206350.0,0
2026-05-12,1094.0,1095.0,1085.0,1085.0,0.0,130.0,141917.5,0
2026-05-13,1085.0,1086.0,1080.0,1084.0,-0.09,225.0,243851.0,-1
2026-05-14,1081.0,1100.0,1081.0,1083.1,-0.08,652.0,713168.1,-1
2026-05-15,1099.0,1099.0,1083.1,1087.0,0.36,270.0,293918.5,1
2026-05-18,1087.0,1100.0,1084.1,1085.0,-0.18,420.0,459367.5,-1
2026-05-19,1085.0,1097.9,1075.8,1090.0,0.46,384.0,420005.6,1
2026-05-20,1090.0,1099.0,1090.0,1090.0,0.0,385.0,422192.5,0
2026-05-21,1083.0,1100.0,1083.0,1099.9,0.91,536.0,588013.9,1
2026-05-22,1080.3,1099.0,1080.2,1099.0,-0.08,125.0,135640.0,-1
2026-05-25,1081.0,1099.0,1081.0,1099.0,0.0,200.0,217855.0,0
2026-05-26,1090.0,1100.0,1083.0,1100.0,0.09,350.0,382830.0,1
2026-05-27,1095.0,1095.0,1090.0,1090.0,-0.91,80.0,87475.0,-1
2026-06-01,1085.0,1098.0,1085.0,1098.0,0.73,375.0,409210.0,1
2026-06-02,1088.0,1098.0,1088.0,1098.0,0.0,280.0,305857.5,0
2026-06-03,1080.0,1099.7,1080.0,1098.0,0.0,395.0,433115.0,0
2026-06-04,1095.0,1100.0,1090.0,1097.0,-0.09,290.0,317947.5,-1
2026-06-05,1095.0,1097.0,1090.0,1105.0,0.73,50.0,54800.0,1
2026-06-08,1084.0,1095.0,1084.0,1088.5,-1.49,185.0,201432.5,-1
2026-06-09,1080.1,1102.0,1080.1,1085.5,-0.28,270.0,294665.0,-1
2026-06-10,1090.0,1090.0,1090.0,1090.0,0.41,50.0,54500.0,1
2026-06-11,1098.0,1099.0,1085.1,1085.1,-0.45,125.0,136552.5,-1
2026-06-12,1100.0,1100.0,1086.1,1086.2,0.1,125.0,136557.5,1
2026-06-15,1087.3,1087.3,1087.0,1087.0,0.07,100.0,108717.5,1
2026-06-16,1087.0,1095.0,1087.0,1095.0,0.74,125.0,136220.5,1
2026-06-17,1090.1,1099.0,1087.0,1099.0,0.37,100.0,109277.5,1
2026-06-18,1087.2,1087.2,1087.2,1087.2,-1.07,25.0,27180.0,-1
2026-06-19,1087.5,1087.5,1086.2,1086.5,-0.06,75.0,81505.0,-1
2026-06-22,1100.0,1105.0,1097.0,1098.1,1.07,680.0,748542.5,1
2026-06-23,1095.0,1110.0,1087.0,1087.0,-1.01,300.0,330052.5,-1
2026-06-24,1095.1,1118.0,1095.1,1114.9,2.57,930.0,1033618.5,1
2026-06-25,1100.0,1100.0,1095.6,1095.6,-1.73,235.0,257831.0,-1
2026-06-26,1100.0,1110.0,1097.6,1113.8,1.66,218.0,240539.0,1
2026-06-29,1094.2,1110.0,1094.2,1096.5,-1.55,110.0,121220.0,-1
2026-06-30,1095.0,1135.0,1095.0,1098.3,0.16,565.0,624999.5,1
2026-07-01,1094.1,1110.0,1094.1,1100.0,0.15,200.0,220007.5,1
2026-07-02,1086.1,1109.0,1086.1,1109.0,0.82,375.0,413987.5,1
2026-07-03,1116.0,1140.0,1105.8,1110.0,0.09,20658.0,23522489.0,-1
2026-07-06,1091.2,1111.0,1091.2,1100.0,-0.9,650.0,717725.0,1
2026-07-07,1100.3,1100.3,1100.3,1100.3,0.03,25.0,27507.5,0
