published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-06-04,378.2,407.9,378.2,407.9,10.0,20616.0,8408535.4,1
2023-06-05,416.0,448.0,416.0,423.0,3.7,231972.0,99845784.1,1
2023-06-06,430.0,454.0,419.0,449.0,6.15,147524.0,64413372.3,1
2023-06-07,449.0,465.0,442.0,445.0,-0.89,124690.0,56771155.1,-1
2023-06-08,440.0,480.0,436.1,474.0,6.52,221698.0,102687713.2,1
2023-06-11,474.0,489.8,467.0,482.0,1.69,224765.0,106850631.5,1
2023-06-12,485.0,486.0,468.2,476.9,-1.06,146034.0,69548122.0,-1
2023-06-13,470.2,514.0,470.1,499.8,4.8,325937.0,162678843.6,1
2023-06-14,500.0,512.0,490.0,493.2,-1.32,265587.0,133431908.9,-1
2023-06-15,493.0,519.9,489.0,519.0,5.23,230873.0,116187301.9,1
2023-06-18,529.1,570.0,517.0,569.0,9.63,309962.0,169358775.7,1
2023-06-19,580.2,580.2,545.0,550.0,-3.34,308316.0,172068999.4,-1
2023-06-20,554.0,566.0,535.1,540.0,-1.82,229378.0,126069186.1,-1
2023-06-21,540.0,560.0,532.0,547.0,1.3,233430.0,128170592.5,1
2023-06-22,557.9,564.8,544.6,561.0,2.56,237721.0,132354787.0,1
2023-06-25,572.0,605.1,567.0,599.0,6.77,363061.0,215320270.6,1
2023-06-26,610.0,613.0,585.0,587.0,-2.0,260362.0,154996464.2,-1
2023-06-27,598.0,599.0,580.0,594.0,1.19,223434.0,131420278.6,1
2023-06-28,605.8,615.0,583.0,599.0,0.84,288869.0,172776274.1,1
2023-07-02,593.0,610.0,587.0,588.0,-1.84,245565.0,146881869.7,-1
2023-07-03,586.0,603.0,581.1,583.0,-0.85,222577.0,131750718.6,-1
2023-07-04,594.6,596.0,569.5,584.0,0.17,123500.0,71595549.4,1
2023-07-05,589.8,590.0,555.1,559.0,-4.28,119710.0,67905596.5,-1
2023-07-06,557.0,578.0,550.1,567.0,1.43,98660.0,55602854.0,1
2023-07-09,570.0,583.4,565.0,578.9,2.1,99338.0,57301915.4,1
2023-07-10,589.9,590.0,571.0,571.3,-1.31,93115.0,53975722.5,-1
2023-07-11,570.0,579.0,565.0,565.1,-1.09,64715.0,36937853.0,-1
2023-07-12,560.0,575.0,560.0,570.0,0.87,59393.0,33919780.2,1
2023-07-13,580.0,581.0,556.0,558.0,-2.11,113923.0,64420991.5,-1
2023-07-16,565.0,570.0,557.0,560.0,0.36,66579.0,37468439.0,1
2023-07-17,559.1,583.6,559.0,582.0,3.93,88764.0,51176163.1,1
2023-07-18,585.0,600.0,580.0,584.2,0.38,115654.0,68279877.5,1
2023-07-19,577.3,593.5,576.4,585.0,0.14,87188.0,51029579.4,1
2023-07-20,583.3,583.9,570.1,570.1,-2.55,53172.0,30684256.7,-1
2023-07-23,575.0,594.0,570.0,583.5,2.35,70056.0,40586591.6,1
2023-07-24,580.0,588.0,570.0,570.6,-2.21,92375.0,53305957.0,-1
2023-07-25,571.3,579.0,562.0,562.1,-1.49,50756.0,28710962.9,-1
2023-07-26,556.0,570.0,552.0,561.9,-0.04,57641.0,32404848.0,-1
2023-07-27,552.0,566.9,551.5,554.5,-1.32,56285.0,31397621.0,-1
2023-07-30,560.0,564.0,537.4,540.0,-2.61,91300.0,49869846.4,-1
2023-07-31,532.0,554.4,532.0,545.0,0.93,41177.0,22579435.4,1
2023-08-01,545.0,549.5,526.0,526.0,-3.49,38778.0,20791990.9,-1
2023-08-02,520.0,535.0,520.0,532.9,1.31,30211.0,15905821.6,1
2023-08-03,532.0,539.9,528.0,532.0,-0.17,35462.0,18921501.8,-1
2023-08-06,530.0,530.1,514.0,519.0,-2.44,36670.0,19013157.9,-1
2023-08-07,510.0,528.0,509.0,514.5,-0.87,35987.0,18585777.0,-1
2023-08-08,515.0,521.0,499.0,501.5,-2.53,43319.0,21937289.3,-1
2023-08-09,493.3,528.0,493.3,522.0,4.09,52552.0,26893769.3,1
2023-08-10,522.0,537.0,512.0,527.0,0.96,47580.0,25202797.0,1
2023-08-13,530.0,534.9,521.2,532.5,1.04,47779.0,25288583.8,1
2023-08-14,540.0,540.0,525.0,527.0,-1.03,48626.0,25854430.6,-1
2023-08-15,521.0,529.0,515.0,517.0,-1.9,21324.0,11053832.3,-1
2023-08-16,513.0,517.0,506.7,509.5,-1.45,27759.0,14149414.7,-1
2023-08-17,519.6,523.9,509.1,512.0,0.49,21983.0,11316802.5,1
2023-08-20,510.0,515.0,501.1,501.1,-2.13,27468.0,14002216.6,-1
2023-08-21,505.0,515.0,496.0,501.6,0.1,18569.0,9340472.8,1
2023-08-22,501.0,515.0,495.1,510.0,1.67,18325.0,9269830.2,1
2023-08-23,516.0,525.0,513.0,520.0,1.96,24445.0,12709901.7,1
2023-08-24,525.8,528.0,502.3,504.0,-3.08,25731.0,13191175.2,-1
2023-08-27,504.0,505.0,495.0,503.9,-0.02,29562.0,14798371.2,-1
2023-08-28,500.0,515.0,499.5,500.0,-0.77,31449.0,15871183.5,-1
2023-08-29,493.0,510.0,493.0,497.0,-0.6,17877.0,8905424.4,-1
2023-08-30,498.5,500.0,496.0,496.0,-0.2,10629.0,5292601.3,-1
2023-09-03,494.0,499.9,481.0,482.0,-2.82,25592.0,12505555.1,-1
2023-09-04,491.6,507.9,480.4,486.0,0.83,15270.0,7442635.3,1
2023-09-05,486.0,491.0,482.0,483.1,-0.6,4118.0,1997066.8,-1
2023-09-07,475.0,478.0,473.0,473.0,-2.09,24315.0,11552132.6,-1
2023-09-10,480.0,480.0,476.0,476.2,0.68,9661.0,4618371.6,1
2023-09-11,480.0,500.0,480.0,496.0,4.16,30663.0,15128402.8,1
2023-09-12,500.0,505.9,485.0,486.0,-2.02,22885.0,11314199.2,-1
2023-09-13,494.9,518.0,490.0,518.0,6.58,37023.0,18624127.1,1
2023-09-17,515.0,518.0,491.2,495.0,-4.44,40060.0,20186301.9,-1
2023-09-18,488.0,509.0,488.0,507.0,2.42,18695.0,9385146.6,1
2023-09-19,510.0,510.0,499.0,504.0,-0.59,12105.0,6113619.1,-1
2023-09-21,513.0,527.0,510.0,520.9,3.35,47669.0,24795249.1,1
2023-09-24,512.0,525.0,506.1,512.0,-1.71,20905.0,10757975.1,-1
2023-09-25,509.0,521.9,504.0,509.0,-0.59,18142.0,9275806.7,-1
2023-09-26,517.9,520.0,506.0,512.1,0.61,30863.0,15815919.3,1
2023-09-27,511.0,517.8,504.1,506.2,-1.15,21606.0,10997535.5,-1
2023-10-01,498.0,505.9,495.2,496.0,-2.02,15018.0,7492805.0,-1
2023-10-02,496.0,504.9,495.0,500.1,0.83,23310.0,11668236.4,1
2023-10-03,500.0,504.0,495.2,495.3,-0.96,10938.0,5438569.5,-1
2023-10-04,492.2,505.0,492.1,504.0,1.76,21017.0,10536751.0,1
2023-10-05,497.1,500.5,496.1,497.0,-1.39,8654.0,4315102.6,-1
2023-10-08,498.0,498.0,482.0,483.0,-2.82,30379.0,14816166.0,-1
2023-10-09,478.0,491.9,477.2,483.0,0.0,14598.0,7054195.2,0
2023-10-10,477.0,490.0,471.0,476.0,-1.45,17917.0,8528884.1,-1
2023-10-11,466.5,489.6,466.5,480.0,0.84,8663.0,4124017.3,1
2023-10-12,475.0,480.0,466.0,467.1,-2.69,16555.0,7792098.5,-1
2023-10-16,470.0,470.0,457.0,465.0,-0.45,13573.0,6268113.8,-1
2023-10-17,469.0,475.0,463.0,469.0,0.86,11602.0,5430582.9,1
2023-10-18,472.0,487.5,469.9,484.0,3.2,16770.0,8060195.5,1
2023-10-19,485.0,489.4,474.0,475.0,-1.86,11682.0,5595242.3,-1
