published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-06-20,291.8,320.9,291.0,320.9,9.97,69635.0,22078936.8,1
2023-06-21,327.0,352.9,320.9,340.1,5.98,38920.0,13127518.3,1
2023-06-22,346.8,346.8,314.0,316.0,-7.53,34344.0,11128906.4,-1
2023-06-25,320.0,320.0,292.0,305.0,-3.48,34233.0,10287833.0,-1
2023-06-26,299.3,320.0,294.0,312.0,2.3,26084.0,7884962.7,1
2023-06-27,305.9,315.0,302.0,314.9,0.93,15285.0,4692311.0,1
2023-06-28,315.0,320.0,290.2,294.0,-6.64,14295.0,4328908.5,-1
2023-07-02,289.3,298.0,282.0,282.0,-4.08,12473.0,3584437.0,-1
2023-07-03,276.4,292.3,271.0,274.4,-2.7,8589.0,2385340.4,-1
2023-07-04,270.0,279.0,267.8,276.0,0.58,7019.0,1906588.5,1
2023-07-05,270.5,283.4,260.0,264.0,-4.35,11648.0,3099510.0,-1
2023-07-06,259.0,274.5,250.0,256.0,-3.03,10071.0,2565843.8,-1
2023-07-09,255.0,270.3,250.0,253.9,-0.82,7208.0,1823353.0,-1
2023-07-10,248.9,256.0,248.9,251.0,-1.14,6947.0,1756457.7,-1
2023-07-11,246.2,256.0,246.2,251.2,0.08,5940.0,1487404.0,1
2023-07-12,248.0,272.0,248.0,270.1,7.52,18317.0,4802116.2,1
2023-07-13,275.5,280.0,260.0,260.0,-3.74,9348.0,2475140.9,-1
2023-07-16,255.1,257.0,250.2,257.0,-1.15,3911.0,991083.1,-1
2023-07-17,252.0,264.3,247.2,264.3,2.84,7738.0,1987262.0,1
2023-07-18,259.2,271.0,256.0,265.0,0.26,14283.0,3786274.0,1
2023-07-19,260.0,261.1,255.1,256.4,-3.25,6765.0,1754205.0,-1
2023-07-20,255.0,265.0,255.0,260.0,1.4,7423.0,1929838.5,1
2023-07-23,265.1,283.0,263.0,278.0,6.92,30540.0,8349059.2,1
2023-07-24,278.0,288.0,270.0,273.0,-1.8,18242.0,5099997.5,-1
2023-07-25,268.3,275.0,267.1,269.0,-1.47,4675.0,1262138.6,-1
2023-07-26,269.0,276.0,258.6,270.0,0.37,8564.0,2303527.6,1
2023-07-27,275.0,275.0,259.1,262.0,-2.96,4240.0,1113618.3,-1
2023-07-30,258.0,262.0,252.7,253.2,-3.36,9627.0,2453720.8,-1
2023-07-31,249.5,264.1,249.5,251.5,-0.67,7749.0,1965725.3,-1
2023-08-01,255.0,260.1,249.9,250.0,-0.6,8459.0,2134663.7,-1
2023-08-02,250.0,255.0,248.0,251.0,0.4,4765.0,1197139.0,1
2023-08-03,246.2,258.0,246.2,246.8,-1.67,7092.0,1775335.1,-1
2023-08-06,245.0,245.0,236.1,238.1,-3.53,5730.0,1370708.5,-1
2023-08-07,240.0,248.0,233.9,236.0,-0.88,8059.0,1908305.1,-1
2023-08-08,233.0,240.7,227.2,228.6,-3.14,5084.0,1179797.5,-1
2023-08-09,224.5,232.4,216.6,232.4,1.66,12442.0,2761597.3,1
2023-08-10,232.0,235.8,223.0,225.0,-3.18,7456.0,1687068.8,-1
2023-08-13,221.0,229.1,217.0,220.8,-1.87,10417.0,2303361.0,-1
2023-08-14,223.9,225.0,217.0,218.1,-1.22,5220.0,1142172.0,-1
2023-08-15,218.0,218.0,213.1,214.0,-1.88,6314.0,1352610.0,-1
2023-08-16,210.0,215.0,207.0,210.0,-1.87,3545.0,748989.0,-1
2023-08-17,206.1,216.2,206.1,209.1,-0.43,2211.0,466243.0,-1
2023-08-20,205.2,208.0,205.2,206.2,-1.39,2810.0,580434.0,-1
2023-08-21,202.2,206.5,200.2,202.0,-2.04,3601.0,730010.0,-1
2023-08-22,202.0,220.0,200.2,220.0,8.91,8150.0,1698990.0,1
2023-08-23,220.0,229.5,216.0,229.5,4.32,10697.0,2406283.8,1
2023-08-24,225.0,229.5,217.0,229.5,0.0,9564.0,2122535.0,0
