published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-07-08,312.0,343.2,312.0,343.2,0.0,70.0,23052.0,0
2019-07-09,360.0,377.0,360.0,377.0,9.85,2030.0,731180.0,1
2019-07-10,395.0,414.0,395.0,414.0,9.81,1170.0,483990.0,1
2019-07-11,434.0,442.0,395.0,396.0,-4.35,33978.0,13894370.0,-1
2019-07-14,396.0,398.0,378.0,386.0,-2.53,9560.0,3713690.0,-1
2019-07-15,384.0,399.0,384.0,393.0,1.81,6312.0,2471492.0,1
2019-07-16,393.0,400.0,391.0,400.0,1.78,3470.0,1373900.0,1
2019-07-17,398.0,398.0,394.0,395.0,-1.25,3115.0,1231855.0,-1
2019-07-18,395.0,400.0,390.0,393.0,-0.51,3580.0,1414180.0,-1
2019-07-21,391.0,394.0,389.0,393.0,0.0,4220.0,1651860.0,0
2019-07-22,393.0,394.0,388.0,392.0,-0.25,2380.0,932410.0,-1
2019-07-23,399.0,400.0,391.0,394.0,0.51,4115.0,1629155.0,1
2019-07-24,394.0,405.0,394.0,404.0,2.54,8278.0,3322862.0,1
2019-07-25,404.0,404.0,393.0,399.0,-1.24,4425.0,1766585.0,-1
2019-07-28,405.0,413.0,399.0,411.0,3.01,7960.0,3223210.0,1
2019-07-29,416.0,440.0,410.0,440.0,7.06,7883.0,3316990.0,1
2019-07-30,448.0,466.0,440.0,461.0,4.77,16362.0,7431797.0,1
2019-07-31,465.0,503.0,451.0,500.0,8.46,16916.0,7949635.0,1
2019-08-01,510.0,550.0,487.0,533.0,6.6,17210.0,8921130.0,1
2019-08-04,543.0,551.0,491.0,507.0,-4.88,14349.0,7548883.0,-1
2019-08-05,510.0,513.0,467.0,471.0,-7.1,10930.0,5330434.0,-1
2019-08-06,462.0,470.0,439.0,468.0,-0.64,5996.0,2674734.0,-1
2019-08-07,459.0,502.0,437.0,490.0,4.7,8803.0,4216283.0,1
2019-08-08,485.0,485.0,464.0,477.0,-2.65,3480.0,1645934.0,-1
2019-08-11,474.0,486.0,456.0,474.0,-0.63,2700.0,1272110.0,-1
2019-08-12,474.0,495.0,470.0,480.0,1.27,5140.0,2472120.0,1
2019-08-13,480.0,490.0,475.0,481.0,0.21,4465.0,2157290.0,1
2019-08-14,473.0,486.0,473.0,475.0,-1.25,2635.0,1258090.0,-1
2019-08-15,475.0,484.0,468.0,478.0,0.63,1190.0,561940.0,1
2019-08-18,485.0,485.0,463.0,467.0,-2.3,2520.0,1177090.0,-1
2019-08-19,459.0,480.0,459.0,474.0,1.5,3469.0,1643680.0,1
2019-08-20,470.0,483.0,467.0,470.0,-0.84,2380.0,1121750.0,-1
2019-08-21,462.0,470.0,455.0,462.0,-1.7,5410.0,2501695.0,-1
2019-08-22,468.0,470.0,460.0,465.0,0.65,2455.0,1139400.0,1
2019-08-25,465.0,465.0,453.0,453.0,-2.58,2820.0,1284750.0,-1
2019-08-26,451.0,460.0,450.0,451.0,-0.44,3185.0,1444960.0,-1
2019-08-27,442.0,469.0,442.0,457.0,1.33,1735.0,799905.0,1
2019-08-28,458.0,458.0,450.0,452.0,-1.09,2270.0,1027200.0,-1
2019-08-29,450.0,455.0,445.0,455.0,0.66,2280.0,1022260.0,1
2019-09-01,455.0,455.0,445.0,450.0,-1.1,1030.0,460915.0,-1
2019-09-02,450.0,450.0,436.0,437.0,-2.89,1260.0,552790.0,-1
2019-09-03,430.0,455.0,430.0,454.0,3.89,1720.0,756960.0,1
2019-09-04,454.0,463.0,445.0,457.0,0.66,1340.0,607788.0,1
2019-09-05,460.0,460.0,443.0,448.0,-1.97,1320.0,594340.0,-1
2019-09-08,448.0,455.0,440.0,445.0,-0.67,1764.0,787000.0,-1
2019-09-09,445.0,445.0,436.0,438.0,-1.57,1200.0,527190.0,-1
2019-09-10,432.0,440.0,432.0,436.0,-0.46,1020.0,444380.0,-1
2019-09-11,433.0,439.0,431.0,431.0,-1.15,1070.0,463870.0,-1
2019-09-12,430.0,436.0,428.0,431.0,0.0,555.0,240085.0,0
2019-09-15,431.0,435.0,420.0,421.0,-2.32,1330.0,568630.0,-1
2019-09-16,415.0,422.0,411.0,419.0,-0.48,1390.0,576370.0,-1
2019-09-17,419.0,439.0,419.0,439.0,4.77,2320.0,1011310.0,1
2019-09-18,439.0,459.0,436.0,456.0,3.87,2823.0,1261710.0,1
2019-09-19,456.0,456.0,441.0,450.0,-1.32,1137.0,511745.0,-1
2019-09-22,440.0,440.0,423.0,429.0,-4.67,1658.0,707778.0,-1
2019-09-23,429.0,433.0,419.0,432.0,0.7,998.0,421338.0,1
2019-09-24,424.0,435.0,424.0,435.0,0.69,700.0,299705.0,1
2019-09-25,439.0,439.0,421.0,428.0,-1.61,643.0,272396.0,-1
2019-09-26,420.0,430.0,420.0,423.0,-1.17,2136.0,906326.0,-1
2019-09-29,431.0,431.0,420.0,424.0,0.24,1400.0,590160.0,1
2019-09-30,418.0,425.0,418.0,424.0,0.0,400.0,168680.0,0
2019-10-01,417.0,430.0,417.0,430.0,1.42,985.0,419250.0,1
2019-10-02,438.0,438.0,418.0,421.0,-2.09,1040.0,437140.0,-1
2019-10-03,424.0,429.0,423.0,429.0,1.9,170.0,72580.0,1
2019-10-10,429.0,429.0,421.0,421.0,-1.86,110.0,46520.0,-1
2019-10-14,417.0,420.0,416.0,418.0,-0.71,340.0,142010.0,-1
2019-10-15,419.0,421.0,419.0,421.0,0.72,100.0,41980.0,1
2019-10-16,413.0,426.0,413.0,421.0,0.0,190.0,79830.0,0
2019-10-17,421.0,423.0,418.0,418.0,-0.71,730.0,306550.0,-1
2019-10-20,413.0,419.0,413.0,416.0,-0.48,830.0,344990.0,-1
2019-10-21,415.0,423.0,414.0,415.0,-0.24,560.0,234520.0,-1
2019-10-22,415.0,417.0,407.0,417.0,0.48,390.0,162050.0,1
2019-10-23,420.0,420.0,413.0,415.0,-0.48,300.0,124410.0,-1
2019-10-24,416.0,420.0,412.0,417.0,0.48,910.0,380530.0,1
2019-10-31,425.0,456.0,425.0,435.0,4.32,2010.0,881040.0,1
2019-11-03,435.0,444.0,432.0,438.0,0.69,1280.0,559610.0,1
2019-11-04,441.0,442.0,434.0,438.0,0.0,1210.0,530550.0,0
2019-11-05,434.0,443.0,434.0,439.0,0.23,1345.0,590685.0,1
2019-11-06,444.0,452.0,441.0,447.0,1.82,3628.0,1616322.0,1
