published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-24,110.00,114.00,110.00,114.00,0.00,9740.00,1088670.00,0
2011-03-25,114.00,114.00,108.00,110.00,0.00,10000.00,1109060.00,0
2011-03-27,110.00,113.00,108.00,111.00,0.00,1440.00,159680.00,0
2011-03-28,111.00,111.00,103.00,104.00,0.00,1640.00,174780.00,0
2011-03-29,104.00,107.00,104.00,104.00,0.00,2730.00,284520.00,0
2011-03-30,104.00,107.00,103.00,105.00,0.00,4220.00,442730.00,0
2011-03-31,105.00,110.00,103.00,108.00,0.00,7920.00,859600.00,0
2011-04-04,108.00,110.00,106.00,107.00,0.00,7970.00,859730.00,0
2011-04-05,107.00,109.00,107.00,107.00,0.00,5430.00,584990.00,0
2011-04-06,107.00,109.00,106.00,107.00,0.00,5010.00,537040.00,0
2011-04-07,107.00,109.00,106.00,106.00,0.00,7140.00,760740.00,0
2011-04-10,106.00,110.00,105.00,108.00,0.00,7220.00,775400.00,0
2011-04-11,108.00,106.00,103.00,106.00,0.00,3860.00,407600.00,0
2011-04-13,106.00,109.00,107.00,109.00,0.00,670.00,72750.00,0
2011-04-17,109.00,109.00,104.00,107.00,0.00,3200.00,340020.00,0
2011-04-18,107.00,108.00,104.00,105.00,0.00,2240.00,237110.00,0
2011-04-19,105.00,105.00,101.00,105.00,0.00,1460.00,152580.00,0
2011-04-20,105.00,107.00,105.00,107.00,0.00,8550.00,910950.00,0
2011-04-21,107.00,107.00,101.00,107.00,0.00,9110.00,970830.00,0
2011-04-25,107.00,107.00,104.00,104.00,0.00,2560.00,269900.00,0
2011-04-26,104.00,105.00,104.00,105.00,0.00,130.00,13580.00,0
2011-04-27,105.00,107.00,105.00,107.00,0.00,8820.00,941010.00,0
2011-04-28,107.00,109.00,103.00,106.00,0.00,6950.00,738060.00,0
2011-05-02,106.00,106.00,103.00,104.00,0.00,5090.00,528510.00,0
2011-05-03,104.00,103.00,100.00,103.00,0.00,7820.00,797760.00,0
2011-05-04,103.00,104.00,100.00,102.00,0.00,3430.00,348300.00,0
2011-05-05,102.00,103.00,100.00,100.00,0.00,4330.00,438150.00,0
2011-05-08,100.00,104.00,99.00,101.00,0.00,6690.00,670850.00,0
2011-05-09,101.00,101.00,99.00,101.00,0.00,3550.00,355610.00,0
2011-05-10,101.00,104.00,100.00,102.00,0.00,5660.00,578260.00,0
2011-05-11,102.00,107.00,101.00,106.00,0.00,5630.00,574160.00,0
2011-05-12,106.00,104.00,102.00,104.00,0.00,1150.00,118190.00,0
2011-05-15,104.00,105.00,102.00,105.00,0.00,5110.00,529290.00,0
2011-05-16,105.00,108.00,103.00,104.00,0.00,7770.00,821320.00,0
2011-05-18,104.00,108.00,104.00,106.00,0.00,5010.00,529940.00,0
2011-05-19,106.00,106.00,100.00,105.00,0.00,5430.00,560260.00,0
2011-05-22,105.00,106.00,100.00,100.00,0.00,3750.00,378040.00,0
2011-05-23,100.00,103.00,100.00,101.00,0.00,3520.00,355700.00,0
2011-05-24,101.00,105.00,100.00,104.00,0.00,11100.00,1130980.00,0
2011-05-25,104.00,106.00,99.00,99.00,0.00,5630.00,571400.00,0
2011-05-26,99.00,104.00,100.00,102.00,0.00,7280.00,746830.00,0
2011-05-30,102.00,105.00,102.00,105.00,0.00,2590.00,264950.00,0
2011-05-31,105.00,107.00,101.00,107.00,0.00,1440.00,147900.00,0
2011-06-01,107.00,107.00,105.00,105.00,0.00,480.00,50760.00,0
2011-06-02,105.00,106.00,100.00,104.00,0.00,3180.00,324630.00,0
2011-06-05,104.00,104.00,98.00,98.00,0.00,2940.00,293530.00,0
2011-06-06,98.00,100.00,97.00,100.00,0.00,3210.00,315910.00,0
2011-06-07,100.00,102.00,95.00,102.00,0.00,1240.00,119710.00,0
2011-06-08,102.00,100.00,99.00,99.00,0.00,510.00,50980.00,0
2011-06-09,99.00,102.00,94.00,102.00,0.00,840.00,80700.00,0
2011-06-12,102.00,100.00,100.00,100.00,0.00,1000.00,100000.00,0
2011-06-13,100.00,98.00,90.00,98.00,0.00,590.00,54750.00,0
2011-06-14,98.00,97.00,92.00,92.00,0.00,2240.00,210200.00,0
2011-06-15,92.00,92.00,88.00,88.00,0.00,730.00,65510.00,0
2011-06-16,88.00,88.00,85.00,88.00,0.00,930.00,80770.00,0
2011-06-19,88.00,96.00,89.00,96.00,0.00,990.00,92120.00,0
2011-06-20,88.00,96.00,89.00,96.00,0.00,990.00,92120.00,0
2011-06-21,105.00,106.00,103.00,105.00,0.00,3130.00,328490.00,0
2011-06-23,105.00,113.00,107.00,112.00,0.00,910.00,101390.00,0
2011-06-26,112.00,111.00,109.00,109.00,0.00,150.00,16420.00,0
2011-06-29,109.00,107.00,99.00,99.00,0.00,2630.00,269270.00,0
2011-06-30,99.00,98.00,94.00,96.00,0.00,3260.00,312450.00,0
2011-07-03,96.00,96.00,90.00,96.00,0.00,2570.00,239860.00,0
2011-07-04,96.00,96.00,90.00,90.00,0.00,1020.00,94200.00,0
2011-07-05,90.00,96.00,91.00,96.00,0.00,1640.00,153070.00,0
2011-07-06,96.00,99.00,96.00,98.00,0.00,2590.00,252210.00,0
2011-07-07,98.00,99.00,97.00,98.00,0.00,2000.00,196340.00,0
2011-07-10,98.00,97.00,96.00,97.00,0.00,1100.00,106580.00,0
2011-07-11,97.00,100.00,98.00,98.00,0.00,1820.00,181320.00,0
2011-07-12,98.00,99.00,99.00,99.00,0.00,270.00,26730.00,0
2011-07-13,99.00,102.00,99.00,99.00,0.00,490.00,49120.00,0
2011-07-14,99.00,104.00,97.00,104.00,0.00,3510.00,348410.00,0
2011-07-17,104.00,114.00,106.00,114.00,0.00,140.00,15480.00,0
2011-07-18,114.00,116.00,103.00,103.00,0.00,1880.00,201520.00,0
2011-07-19,103.00,105.00,102.00,105.00,0.00,2220.00,231690.00,0
2011-07-20,105.00,111.00,103.00,109.00,0.00,950.00,102610.00,0
2011-07-21,109.00,110.00,104.00,104.00,0.00,620.00,66940.00,0
2011-07-24,104.00,105.00,102.00,103.00,0.00,2150.00,222270.00,0
2011-07-25,103.00,103.00,99.00,100.00,0.00,850.00,85300.00,0
2011-07-26,100.00,104.00,100.00,104.00,0.00,1160.00,117860.00,0
2011-07-27,104.00,107.00,103.00,104.00,0.00,2250.00,236890.00,0
2011-07-28,104.00,104.00,101.00,103.00,0.00,7170.00,737790.00,0
2011-07-31,103.00,104.00,100.00,101.00,0.00,3080.00,309860.00,0
2011-08-01,101.00,101.00,98.00,99.00,0.00,8470.00,853010.00,0
2011-08-02,99.00,102.00,99.00,100.00,0.00,5820.00,577970.00,0
2011-08-03,100.00,104.00,100.00,104.00,0.00,8340.00,835230.00,0
